Pool,Gene,nbPctgShift
P1-7,Actb,8.68722769369191
P1-7,Actl6a,4.38332465496746
P1-7,Actl6b,-2.8579188808114058
P1-7,Aff1,-13.832988767129047
P1-7,Aff4,-0.3937215828184275
P1-7,Arid1a,9.12834747412891
P1-7,Arid1b,3.1032246418326372
P1-7,Arid2,-1.0882836674419032
P1-7,Ash1l,3.00396696270389
P1-7,Ash2l,-0.27912117508643064
P1-7,Asxl1,-3.4861750645361393
P1-7,Asxl2,-0.16256483280348277
P1-7,Asxl3,1.1359675182495597
P1-7,Atad2,1.4014952639080676
P1-7,Atad2b,2.040138529208665
P1-7,Atm,5.421062170064733
P1-7,Atr,1.2842764666565216
P1-7,Atrx,1.6356368442170037
P1-7,Aurkb,-1.500710774382469
P1-7,Baz1a,1.7896389966111839
P1-7,Baz1b,0.5216571325966282
P1-7,Baz2a,0.43125044986904965
P1-7,Baz2b,-1.1909244467176983
P1-7,Bcl6,-2.7936298780880358
P1-7,Bmi1,-0.17533293291840124
P1-7,Bop1,-0.49234943930088626
P1-7,Bptf,-5.09283199317867
P1-7,Brd1,-2.459674312916797
P1-7,Brd2,2.123207573331589
P1-7,Brd3,1.8551082181849061
P1-7,Brd4,11.677945855136812
P1-7,Brd7,0.9883173365838568
P1-7,Brd8,-0.8691185743222025
P1-7,Brd9,-2.2551782718762254
P1-7,Brdt,1.2700731356502857
P1-7,Brpf1,-10.47487099772837
P1-7,Brpf3,-2.1814857831926266
P1-7,Brwd1,-5.0241649375058195
P1-7,Brwd3,7.858849043169322
P1-7,CD4,-2.4059377422490975
P1-7,CDK9,13.266053723991314
P1-7,Carm1,-7.010043553452638
P1-7,Cbx1,-2.2638794274214433
P1-7,Cbx2,-3.7385111336674677
P1-7,Cbx3,-0.7115027496318209
P1-7,Cbx4,4.1741767719492895
P1-7,Cbx5,-10.142182230092384
P1-7,Cbx6,20.29159462736773
P1-7,Cbx7,4.498137261417989
P1-7,Cbx8,-7.178255824006468
P1-7,Ccnt1,4.503237846664447
P1-7,Cd14,4.821833323982112
P1-7,Cd19,-0.5204665289592754
P1-7,Cd4,2.149635266981605
P1-7,Cecr2,-12.757220977691196
P1-7,Chaf1a,-0.8534003739706169
P1-7,Chaf1b,7.798133211144091
P1-7,Chd1,-0.07282582806353233
P1-7,Chd1l,11.763652753403647
P1-7,Chd2,1.1303750765431513
P1-7,Chd3,5.863262155746932
P1-7,Chd4,12.810426441152796
P1-7,Chd5,-2.2940487163164516
P1-7,Chd6,4.895884254474494
P1-7,Chd7,-3.8139793201493055
P1-7,Chd8,-2.0974536047978347
P1-7,Chd9,2.830586819030483
P1-7,Clock,5.329736347086828
P1-7,Crebbp,5.884514910069331
P1-7,Ctsl,3.308221418068374
P1-7,Cxxc1,10.172265608250926
P1-7,Dmap1,4.1096898834641085
P1-7,Dnmt1,-6.700060281259392
P1-7,Dnmt3a,3.060158512180056
P1-7,Dnmt3b,-2.0484832574117338
P1-7,Dnmt3l,5.221849457288519
P1-7,Dot1l,9.879520529717727
P1-7,Dpy30,7.647291408323706
P1-7,Dub2a,-0.8036044433034597
P1-7,Eaf1,9.523360430979833
P1-7,Eed,-1.1104773927385159
P1-7,Ehmt1,-6.154630815734681
P1-7,Ehmt2,1.8921999598819976
P1-7,Elp3,2.1223822854275625
P1-7,Elp4,0.6135961850139857
P1-7,Ep300,14.710985392984288
P1-7,Ep400,4.9328262681187915
P1-7,Epc1,1.0188639780118667
P1-7,Epc2,1.2193577941956555
P1-7,Ercc5,9.554253171673647
P1-7,Ezh1,9.853761728551534
