GeneName,inputMinusAvg_nbPctg
Actl6b,6.242937820739135
Aff1,15.273856381163446
Aff4,-2.1882199076453546
Arid2,-3.454442130611058
Ash1l,-14.429364766107987
Ash2l,-12.90611931261008
Asxl1,-5.090140049128773
Asxl2,-3.8538634664167994
Asxl3,-22.562219115924297
Atad2,-6.780599632515152
Atad2b,-16.081467150591465
Atm,-13.40270855609814
Atr,1.1127290294936625
Atrx,-10.626822495045989
Aurkb,15.228937011408075
Baz1a,-19.777806824051734
Baz1b,-14.433903407800136
Baz2a,-7.666668511100281
Baz2b,-21.471992799000123
Bcl6,-18.72879246417862
Bmi1,-4.76936590308978
Bop1,-15.182205870621534
Bptf,-10.353008114156864
Brd1,-11.648960744490017
Brd2,0.5149025715308442
Brd3,-7.209088855868588
Brd4,16.87985205662926
Brd8,-1.554925718311857
Brd9,-4.883451228989023
Brpf1,-7.1111682686931985
Brpf3,-2.102652597747067
Brwd1,-6.092099329717307
Brwd3,-10.865068044088682
CD4,0.28657021143114836
Carm1,-4.871008957662937
Cbx1,-9.042165392417871
Cbx3,4.327068197177432
Cbx4,-5.097895636783991
Cbx5,-6.3602883435958475
Cbx6,7.392002870998134
Cbx7,-18.01205174821496
Cbx8,-3.934931780453569
Cd14,-17.673975426203306
Cd4,-12.106221365321108
Chaf1a,4.651793265759503
Chaf1b,6.848506026493656
Chd1,-1.3241829065013775
Chd1l,4.947375500205752
Chd2,-11.082416027621862
Chd3,-5.025305483378032
Chd4,-5.380875474110477
Chd5,-9.601512040358296
Chd6,-8.473775602036476
Chd8,-10.33932340766793
Chd9,-7.124503267803139
Crebbp,-13.37046340381063
Ctsl,2.60091931657327
Cxxc1,-3.442548434420516
Dmap1,-14.004223442550813
Dnmt1,8.41123186913217
Dnmt3a,-24.712547773496624
Dnmt3b,-1.8097781356447484
Dnmt3l,3.714290497742752
Dot1l,-9.957094262206027
Dub2a,-7.374725893101031
Eed,-3.750594075246434
Ehmt1,10.68859795490741
Ehmt2,-24.975681923890733
Elp3,2.1550055657645353
Elp4,-11.605010693715927
Ep300,5.040006514207683
Ep400,-12.9626033947278
Epc1,2.14249234811851
Epc2,-30.65358745184098
Ercc5,-13.965127737565425
Ezh1,-24.204078586078527
Ezh2,-0.3663995736866559
Fbxl19,8.326485165008066
Fbxo44,1.089527895388084
Fbxw9,-12.262256292937943
Fkbp1a,-8.282530590501215
Fosb,-11.677129141613491
Gadd45a,17.908228691501016
Gadd45b,-21.549943744681254
Gtf2b,-2.0817037747150664
Gtf2f1,1.2957727012394145
Gtf3c4,-7.603314909966738
Hat1,14.254778581632356
Hcfc1,24.67138835214384
Hdac1,-0.15001135940905108
Hdac10,8.91291182166215
Hdac2,-24.730072824110795
Hdac3,3.0185357697662454
Hdac4,2.055176388309272
Hdac6,-5.773894416388416
Hdac7,-7.791572511724125
Hdac8,-17.515237890589383
Hdac9,13.737848557899888
Hells,1.638094437641141
Hes1,40.92913224174866
Hes6,-41.28166364654798
Hira,-22.330164258891305
Hltf,-13.20523120868009
Id2,-1.174925963508752
Id3,-4.362001017572444
Ing2,-7.114141535260905
Ing3,-15.494934745827793
Ing4,-12.121354194413719
Ing5,-11.527742010244086
Ino80,-15.198829012774333
Jarid2,-13.568730099166302
Jhdm1d,-14.411750982664708
Jmjd1c,-16.051621058106353
Jmjd4,-10.513022984203616
Klf12,7.128553899085887
Klf2,-2.47334992262531
Ms4a1,-30.271271928788735
Nfatc3,-1.8925737593881147
Runx3,0.1093211954785076
Sgk1,-19.602257194432436
Tbx21,-9.071328104195867
