type,shRNA,count,pctg,nbPctg
target,Epc1.3,48963,0.47206566401280975,89.53215440768103
target,Epc1.4,919,0.008860330151905974,61.94377306393712
target,Epc2.1,6886,0.06638980786292115,75.21357060978025
target,Epc2.2,4775,0.0460370799514157,72.64447152792776
target,Epc2.3,19322,0.1862886824756553,82.75110938276762
target,Epc2.4,14222,0.13711818870555686,80.4875051628779
target,Ercc5.1,8689,0.08377302360164418,76.88403102790677
target,Ercc5.2,5052,0.04870771265226222,73.04092746542136
target,Ercc5.3,305,0.0029405883529176518,55.663013909805784
target,Ercc5.4,1515,0.014606529031705711,65.05062421805702
target,Ezh1.2,154695,1.4914567713265448,96.4901015189412
target,Ezh1.3,9154,0.08825621568068256,77.26251573081711
target,Ezh1.4,30094,0.2901444783367338,86.02672913211403
target,Ezh2.1,332,0.0032009027317005255,56.19034383738736
target,Ezh2.2,9,8.677145959429136e-05,38.08748733416047
target,Ezh2.3,946,0.009120644530688848,62.14481175488782
target,Ezh2.4,23124,0.2229448035175993,84.08352713830236
target,Fbxl19.1,2636,0.025414396387839114,68.62104523281864
target,Fbxl19.2,5022,0.04841847445361458,72.99789581264172
target,Fbxl19.3,12,0.00011569527945905515,41.806911384647776
target,Fbxl19.4,84,0.000809866956213386,49.32046265225916
target,Fbxo17.1,0,0.0,38.08748733416047
target,Fbxo17.2,1,9.641273288254595e-06,38.08748733416047
target,Fbxo17.3,0,0.0,38.08748733416047
target,Fbxo44.1,309,0.0029791534460706704,55.663013909805784
target,Fbxo44.2,4550,0.04386779346155841,72.30518658668213
target,Fbxo44.3,0,0.0,38.08748733416047
target,Fbxo44.4,548,0.005283417761963519,58.875856711781125
target,Fbxw9.1,5353,0.051609735912026854,73.44468763737933
target,Fbxw9.2,528,0.005090592296198427,58.6537075727953
target,Fbxw9.3,1,9.641273288254595e-06,38.08748733416047
target,Fbxw9.4,2,1.928254657650919e-05,38.08748733416047
target,Fkbp1a.1,36725,0.35407576151115,87.4787298073863
target,Fkbp1a.3,7111,0.06855909435277843,75.44612048745118
target,Fkbp1a.4,10547,0.10168650937122123,78.28988596059318
target,Fkbp2.1,0,0.0,38.08748733416047
target,Fkbp2.2,0,0.0,38.08748733416047
target,Fkbp2.3,0,0.0,38.08748733416047
target,Fkbp5.1,43,0.00041457475139494764,46.38051589775758
target,Fkbp5.2,3,2.8923819864763787e-05,38.08748733416047
target,Fkbp5.3,1,9.641273288254595e-06,38.08748733416047
control,Fosb,1534,0.01478971322418255,65.09354645182884
control,Fosb.2,36078,0.34783785769364933,87.35067140187597
target,Gadd45a.1,1861,0.017942409589441804,66.3437909700181
target,Gadd45a.2,1,9.641273288254595e-06,38.08748733416047
target,Gadd45a.3,3459,0.03334916430407264,70.43148234575199
target,Gadd45a.4,0,0.0,38.08748733416047
target,Gadd45b.1,1191,0.011482756486311224,63.51343329151504
target,Gadd45b.2,13000,0.12533655274730976,79.824956686375
target,Gadd45b.3,20388,0.1965662798009347,83.14999570132274
target,Gadd45b.4,0,0.0,38.08748733416047
target,Gtf2b.1,40816,0.3935182105333996,88.2412454022011
target,Gtf2b.2,95,0.0009159209623841866,49.855416909858306
target,Gtf2b.3,81,0.0007809431363486222,48.72586693943472
target,Gtf2b.4,395,0.0038083029488605656,57.12484503309505
target,Gtf2f1.1,635,0.006122208538041669,59.7894230039681
target,Gtf2f1.2,1270,0.012244417076083338,63.93123501149357
target,Gtf2f1.3,459,0.00442534443930886,57.935987515271684
target,Gtf2f1.4,47,0.000453139844547966,46.38051589775758
target,Gtf2h1.1,0,0.0,38.08748733416047
target,Gtf2h1.2,8949,0.08627975465659038,77.09660958758423
target,Gtf2h1.3,343,0.0033069567378713263,56.35637732103049
target,Gtf3c4.1,0,0.0,38.08748733416047
target,Gtf3c4.2,14664,0.14137963149896537,80.71003542463254
target,Gtf3c4.3,0,0.0,38.08748733416047
target,Gtf3c4.4,13992,0.13490069584925832,80.36828231235783
target,H2afz.1,2,1.928254657650919e-05,38.08748733416047
target,H2afz.2,0,0.0,38.08748733416047
target,H2afz.3,0,0.0,38.08748733416047
target,Hat1.1,3218,0.03102561744160329,69.94899492765467
target,Hat1.2,79,0.000761660589772113,48.72586693943472
target,Hat1.3,38685,0.37297265715612904,87.85458566074279
target,Hat1.4,0,0.0,38.08748733416047
target,Hcfc1.1,3,2.8923819864763787e-05,38.08748733416047
target,Hcfc1.2,5,4.820636644127299e-05,38.08748733416047
target,Hcfc1.3,2,1.928254657650919e-05,38.08748733416047
target,Hcfc1.4,2279,0.021972461823932223,67.64757913497353
target,Hdac1.1,7,6.748891301778218e-05,38.08748733416047
target,Hdac1.2,22,0.00021210801234160113,43.84813832235946
target,Hdac1.3,23,0.00022174928562985569,43.84813832235946
target,Hdac1.4,1245,0.012003385243876973,63.82916070960785
target,Hdac10.1,2,1.928254657650919e-05,38.08748733416047
target,Hdac10.2,16176,0.15595723671080636,81.43632143904719
target,Hdac10.3,617,0.005948665618853086,59.597390728412535
target,Hdac10.4,18,0.00017354291918858272,41.806911384647776
target,Hdac11.1,11,0.00010605400617080056,41.806911384647776
target,Hdac11.2,0,0.0,38.08748733416047
target,Hdac11.3,0,0.0,38.08748733416047
target,Hdac2.1,58974,0.5685844509015265,90.8178796081507
target,Hdac2.2,49509,0.47732979922819674,89.61041197250131
target,Hdac2.3,11467,0.11055648079641545,78.9031024548085
target,Hdac2.4,13039,0.12571256240555168,79.84838748615316
target,Hdac3.1,1,9.641273288254595e-06,38.08748733416047
target,Hdac3.2,54,0.0005206287575657482,47.28620317110188
target,Hdac3.3,2922,0.02817180054827993,69.29154654883189
target,Hdac3.4,3278,0.03160409383889857,70.07794747739561
target,Hdac4.1,14,0.00013497782603556435,41.806911384647776
target,Hdac4.2,0,0.0,38.08748733416047
target,Hdac4.3,4270,0.04116823694084712,71.86659397667589
target,Hdac4.4,11758,0.11336209132329755,79.08626825659537
target,Hdac5.1,0,0.0,38.08748733416047
target,Hdac5.2,0,0.0,38.08748733416047
target,Hdac5.3,0,0.0,38.08748733416047
target,Hdac6.1,1368,0.013189261858332288,64.37261540641181
target,Hdac6.2,231,0.0022271341295868117,54.21445462018001
target,Hdac6.3,11279,0.10874392141822359,78.7829891926634
target,Hdac6.4,46170,0.4451375877187147,89.1188973213753
target,Hdac7.1,875,0.00843611412722277,61.66588939509084
target,Hdac7.2,86969,0.838491896606214,93.34346748140683
target,Hdac7.3,8,7.713018630603676e-05,38.08748733416047
target,Hdac7.4,67,0.000645965310313058,48.05564486948972
target,Hdac8.1,20057,0.19337501834252244,83.02835361164344
target,Hdac8.2,10952,0.10559122505296432,78.56467587721012
target,Hdac8.3,9376,0.09039657835067509,77.43292700103123
target,Hdac8.4,30292,0.2920534504478082,86.07462320066894
target,Hdac9.2,9034,0.08709926288609202,77.16340474939662
target,Hdac9.3,996,0.009602708195101577,62.46696450462467
target,Hells.1,57542,0.5547781475527459,90.65039005494482
target,Hells.2,71682,0.691105751848666,92.11869347645317
target,Hells.3,0,0.0,38.08748733416047
target,Hells.4,305386,2.944309884406918,98.8967276801356
control,Hes1,51,0.0004917049377009844,46.38051589775758
control,Hes1.2,17649,0.17015883226440537,82.08131369900985
control,Hes1.3,3,2.8923819864763787e-05,38.08748733416047
target,Hes6,21313,0.20548445759257022,83.4781414160563
target,Hes6.3,1345,0.012967512572702433,64.27695686156777
target,Hira.1,9427,0.09088828328837607,77.47294733801972
target,Hira.2,44028,0.42448598033527335,88.78118746986311
target,Hira.3,2771,0.026715968281753488,68.9516142066814
target,Hira.4,45027,0.4341176123502397,88.9416902424619
target,Hltf.1,0,0.0,38.08748733416047
target,Hltf.2,1595,0.015377830894766081,65.34565426832741
target,Hltf.3,172359,1.661760222690274,96.97642607064263
target,Hltf.4,4055,0.039095363183872384,71.50669268631573
control,Id2,80,0.0007713018630603678,48.72586693943472
control,Id2.2,4061,0.03915321082360192,71.52423124709631
control,Id2.3,0,0.0,38.08748733416047
control,Id2.4,5797,0.0558904612520119,73.99360053020082
control,Id2.5,7003,0.06751783683764694,75.34129594212288
control,Id3,202,0.0019475372042274282,53.464673207829414
control,Id3.2,1067,0.010287238598567654,62.83414086288812
control,Id3.3,20038,0.1931918341500456,83.02068418009398
control,Id3.4,3232,0.03116059526763885,69.97064502588954
control,Id3.5,15,0.00014461909932381894,41.806911384647776
target,Ing2.1,6855,0.06609092839098525,75.18130143425317
target,Ing2.2,15696,0.15132942553244413,81.21493703276427
target,Ing2.3,553,0.005331624128404791,58.98407629992085
target,Ing2.4,4665,0.04497653988970769,72.47674960749724
target,Ing3.1,2365,0.02280161132672212,67.91075697545284
