plate,shRNA,Well,GeoMean
Control 1,shBptf.1,B02,2560.349933
Control 1,shBptf.2,B03,2600.456354
Control 1,shBptf.3,B04,2679.781206
Control 1,shBptf.4,B05,1868.0221
Control 1,shBrd8.1,C06,1801.616987
Control 1,shBrd8.2,C07,2378.844013
Control 1,shBrd8.3,C08,1032.345534
Control 1,shBrd8.4,C09,1491.455432
Control 1,shCxxcl.1,D06,1551.017946
Control 1,shCxxcl.2,D07,924.1753519
Control 1,shCxxcl.3,D08,1642.18526
Control 1,shCxxcl.4,D09,1600.757668
Control 1,shKlf2.1,E06,2891.82101
Control 1,shKlf2.2,E07,1989.664536
Control 1,shKlf2.3,E08,2315.940888
Control 1,shKlf2.4,E09,2508.555988
Control 1,shMll2.1,C02,3693.065634
Control 1,shMll2.2,C03,4523.811201
Control 1,shMll2.3,C04,2559.304019
Control 1,shMll2.4,C05,3236.271545
Control 1,shNcor1.1,D02,3412.490638
Control 1,shNcor1.2,D03,897.7220293
Control 1,shNcor1.3,D04,3630.958077
Control 1,shNcor1.4,D05,1851.966575
Control 1,shRunx3.1,F02,1460.933522
Control 1,shRunx3.2,F03,2087.850067
Control 1,shRunx3.3,F04,1465.984982
Control 1,shCd4.1,B11,2390.156816
Control 1,shCd4.1,B10,2434.252698
Control 1,shCd4.2,C10,2459.522726
Control 1,shCd4.2,C11,2794.618605
Control 1,shCd4.3,D10,2175.660319
Control 1,shCd4.3,D11,2255.354963
Control 1,shCd4.4,E10,3659.930943
Control 1,shCd4.4,E11,3667.78257
Control 1,shSmarca4.1,E02,1716.365026
Control 1,shSmarca4.2,E03,2241.169112
Control 1,shSmarca4.3,E04,2366.176027
Control 1,shSmarca4.4,E05,1983.730831
Control 1,shSmarce1.1,G02,2238.935859
Control 1,shSmarce1.2,G03,3057.160399
Control 1,shSmarce1.3,G04,3262.024902
Control 1,shSmarce1.4,G05,2385.317547
Control 1,shSp140.1,F06,2325.053405
Control 1,shSp140.2,F07,2074.20999
Control 1,shSp140.3,F08,2451.336398
Control 1,shSp140.4,F09,1040.066366
Control 1,shWdr82.1,G06,1196.365953
Control 1,shWdr82.2,G07,1258.197322
Control 1,shWdr82.3,G08,1110.751833
Control 1,shWdr82.4,G09,1396.808348
Control 1,shWhsc1.1,B06,2434.697972
Control 1,shWhsc1.2,B07,2457.152135
Control 1,shWhsc1.3,B08,3043.46023
Control 1,shWhsc1.4,B09,2376.630591
control 2,shBptf.1,B02,5219.404928
control 2,shBptf.2,B03,5026.684978
control 2,shBptf.3,B04,5216.266727
control 2,shBptf.4,B05,3432.916396
control 2,shBrd8.1,C06,3046.599991
control 2,shBrd8.2,C07,4704.61498
control 2,shBrd8.3,C08,1914.147619
control 2,shBrd8.4,C09,2736.036046
control 2,shCxxcl.1,D06,2684.897742
control 2,shCxxcl.2,D07,1519.00487
control 2,shCxxcl.3,D08,2785.081893
control 2,shCxxcl.4,D09,3207.046841
control 2,shKlf2.1,E06,4343.283342
control 2,shKlf2.2,E07,3223.539903
control 2,shKlf2.3,E08,3822.048897
control 2,shKlf2.4,E09,3553.688474
control 2,shMll2.1,C02,7451.043004
control 2,shMll2.2,C03,9558.31635
control 2,shMll2.3,C04,5247.602387
control 2,shMll2.4,C05,5922.199957
control 2,shNcor1.1,D02,6771.476833
control 2,shNcor1.2,D03,2217.940292
control 2,shNcor1.3,D04,6694.089599
control 2,shNcor1.4,D05,3784.081531
