plate,shRNA,Well,Percentage
control 3,shSmarce1.1,G02,0
plate 21,Sirt2,C08,0
plate 21,Smarcc1.3,E07,0
plate 5,Ezh1.1,B08,0
plate 21,Smarcd2.1,F05,4.87804878
plate 19,Wdr82.1,B06,6.613625062
plate 9,Kdm5c.2,D02,7.417813993
plate 13,Prkaa1.3,E09,7.705479452
plate 4,Dnmt1.4,G02,6.936026936
plate 9,Men1.2,D11,8.108108108
Control 1,shCxxcl.1,D06,7.503539405
control 3,shWdr82.1,G06,8.316831683
plate 13,Prdm13.2,D06,8.493427705
plate 13,Prdm8.2,D08,8.80773362
control 3,shWdr82.2,G07,9.001782531
plate 10,Mll3.2,C08,8.970727101
plate 19,Actb,B05,9.294722092
Control 1,shWdr82.2,G07,8.617832284
control 2,shWdr82.1,G06,9.143742735
plate 5,Ep300.4,G03,9.090909091
control 2,shWdr82.4,G09,9.549878345
plate 13,Prdm2.1,C11,9.617321249
plate 19,Wdr82.2,C08,9.931113662
control 3,shWdr82.4,G09,9.953161593
plate 2,Brd3.4,F04,9.375
control 2,shWdr82.2,G07,9.771126761
control 3,shmll2.1,C02,10.31518625
plate 11,Pcgf1.1,B07,9.96301936
control 3,shSmarca4.2,E03,10.35986914
control 2,shNcor1.2,D03,10
plate 4,Cxxc1.4,G09,9.726962457
plate 15,Setd5.1,C11,10.4519774
plate 20,Fkbp5.1,D02,10.45281422
plate 13,Prdm14.2,E07,10.12491782
plate 4,Dnmt3a.2,C02,9.843081312
plate 19,Wdr82.4,G08,10.61746988
plate 18,Uhrf1.2,C02,10.74847694
plate 13,Prdm11.2,D02,10.33503691
plate 18,Ube2i.1,C06,10.86587436
plate 11,Nap1l3.1,B10,10.52631579
plate 4,Chd4.4,G04,10.36144578
plate 4,Dnmt1.1,C06,10.55702918
plate 14,Prmt8.1,C11,10.73208126
control 2,shmll2.3,C04,10.74879227
plate 18,Trim28.3,E11,11.34686347
plate 8,Kdm5a.3,F03,10.87977138
plate 20,Gtf2h1.1,B06,11.55339806
plate 16,Smarca4.2,E03,11.57243816
plate 1,Ash1l.3,F05,11.00917431
plate 4,Dnmt3b.2,C05,11.01398601
Control 1,shWdr82.1,G06,11.12426036
plate 8,Kdm2b.2,C10,11.38138808
plate 2,Brd1.1,B05,11.42201835
plate 9,Mbd2.2,D08,11.4505918
plate 11,Pcgf1.2,D11,11.45945946
plate 2,Baz2a.3,F02,11.60409556
plate 15,Setd4.2,D09,12.3659306
plate 8,Kdm1a.2,D09,11.64533821
plate 19,Actl6a,E03,12.42680547
plate 19,Wdr82.3,F02,12.45853299
plate 11,Pcgf1.3,F03,11.70333409
plate 17,Sp110.4,F10,12.5
Control 1,shWdr82.4,G09,11.89767995
plate 4,Chd3.4,E04,11.91836735
