plate,shRNA,Well,Percentage
CR-pLMPd-A-P17,Smyd4.1,B02,0
CR-pLMPd-A-P17,Suv39h2.1,B03,0.225952227
control screen 2,Runx3.1,F02,14.366951
CR-pLMPd-A-P14,Ring1.2,C02,14.81481481
CR-pLMPd-A-P13,Prdm11.1,B10,17.0212766
control screen 3,Runx3.1,F02,12.67347473
CR-pLMPd-A-P12,Phf8.4,G02,20.45454545
CR-pLMPd-A-P06,Fkbp1a.2,D02,18.18181818
control screen 2,Runx3.3,F04,22.77733721
control screen 1,Runx3.1,F02,19.67639411
CR-pLMPd-A-P18,Trim24.1,D05,20
CR-pLMPd-A-P10,Mll3.3,F02,23.71613761
control screen 2,Smarca4.2,E03,26.23885918
control screen 3,Runx3.3,F04,23.28729282
CR-pLMPd-A-P05,Ep300.3,F09,24.08536585
control screen 3,Smarca4.2,E03,24.70178926
CR-pLMPd-A-P21,Smarcc1.3,E07,25
CR-pLMPd-A-P10,Mll3.2,C08,29.50326141
control screen 1,Smarca4.2,E03,26.04042806
CR-pLMPd-A-P02,Brd4.4,G02,27.95566502
CR-pLMPd-A-P21,Smarcd2.3,B09,29.26004228
CR-pLMPd-A-P03,Brwd3.4,G04,28.57142857
CR-pLMPd-A-P08,Kdm3b.1,C06,32.8125
CR-pLMPd-A-P16,Smarca4.2,E03,31.02998696
CR-pLMPd-A-P12,Pcgf2.1,B02,33.33333333
control screen 3,Runx3.2,F03,31.40243902
CR-pLMPd-A-P07,Hdac9.1,B06,30
CR-pLMPd-A-P19,Arid1a.2,G11,32.54582485
control screen 2,Runx3.2,F03,34.59508829
CR-pLMPd-A-P13,Prdm10.2,C04,34.9617422
control screen 1,Runx3.3,F04,31.26245847
CR-pLMPd-A-P10,Mll3.4,G08,35.18184163
CR-pLMPd-A-P21,Smarcb1.1,D06,33.33333333
CR-pLMPd-A-P18,Trim66.2,E03,34.61538462
CR-pLMPd-A-P07,Ino80.2,D08,32.81853282
CR-pLMPd-A-P07,Ino80.3,E10,33.08616722
control screen 3,Smarce1.2,G03,35.57360406
control screen 3,Smarca4.1,E02,35.89001447
CR-pLMPd-A-P05,Ep300.2,E02,33.65806137
control screen 3,Smarce1.3,G04,36.2054681
control screen 2,Smarce1.2,G03,38.11761356
CR-pLMPd-A-P20,Paf1.3,E06,37.04478861
CR-pLMPd-A-P08,Kdm4c.3,E09,38.43194724
CR-pLMPd-A-P07,Ing5.4,F04,34.79069767
CR-pLMPd-A-P13,Prdm13.3,F06,38.63636364
control screen 2,Smarca4.1,E02,38.65156974
CR-pLMPd-A-P05,Ep300.1,C11,35.29411765
CR-pLMPd-A-P11,Nsd1.3,F09,39.25292814
CR-pLMPd-A-P07,Ing4.3,D04,35.92792793
CR-pLMPd-A-P07,Hdac9.4,G08,36.36363636
control screen 2,Ncor1.4,D05,40.28976244
CR-pLMPd-A-P16,Smarce1.2,C05,39.31006819
CR-pLMPd-A-P11,Nap1l2.2,C04,40.41450777
control screen 2,Smarce1.3,G04,40.43039421
CR-pLMPd-A-P16,Smarca4.1,B05,39.42480527
control screen 1,Smarce1.3,G04,36.65743306
control screen 1,Runx3.2,F03,37.35269937
CR-pLMPd-A-P20,Paf1.1,B04,40.59139785
CR-pLMPd-A-P03,Chd1l.1,C09,37.63466042
CR-pLMPd-A-P11,Ncor1.4,G07,41.89633375
CR-pLMPd-A-P13,Prdm13.4,F10,42.1656051
CR-pLMPd-A-P20,Mecp2.1,E03,41.45885287
