plate,shRNA,Well,GeoMean
plate 3,Chd1l.4,G06,0
Control 1,shNcor1.2,D03,17.2680842
plate 2,Baz2a.2,C08,19.31704798
plate 2,Brd8.1,B08,20.96557556
Control 1,shmll2.2,C03,21.03137453
plate 2,Baz1b.1,B10,25.61514305
plate 2,Brd1.4,G11,27.53324741
plate 2,Bop1.3,E11,28.18101709
plate 2,Baz1a.3,D10,30.08916108
plate 1,Atr.3,E09,30.40314612
plate 2,Bptf.1,C11,30.81387962
plate 1,Ash2l.3,E11,31.51732249
plate 2,Brpf3.1,B07,32.6691086
Control 1,shmll2.4,C05,34.16585277
Control 1,shmll2.1,C02,34.2032253
plate 2,Brd9.4,F11,34.29489837
plate 3,Brwd3.1,B10,36.82437104
plate 2,Bptf.3,F09,36.94615063
plate 2,Brpf3.2,D11,37.23650535
plate 2,Bop1.4,G10,37.51405185
plate 2,Bop1.1,B09,38.11924922
plate 5,Dub2a.1,B02,39.34804054
plate 1,Asxl3.4,G09,39.75577555
plate 5,Eed.4,G04,42.33568209
plate 1,Atr.1,B11,42.53695176
plate 2,Brd2.2,C10,43.21028144
plate 1,Arid2.4,F10,43.2364647
plate 1,Ash2l.2,D09,44.25940688
plate 1,Atad2b.3,E10,44.41767875
plate 5,Ep400.3,F08,46.25696604
plate 4,Chd4.2,D02,47.88396624
plate 3,Cbx4.2,D09,48.04658203
plate 1,Aurkb.2,D11,48.65224225
plate 1,Aff1.1,B10,49.07594609
plate 2,Brd9.2,C05,49.82557084
plate 3,Cbx4.3,E11,50.38670195
control 2,shmll2.2,C03,14.4795842
plate 2,Brpf1.1,C09,51.00841331
plate 2,Brd2.1,B03,51.04924466
plate 1,Ash2l.4,G10,51.2871694
plate 12,Phf8.4,G02,16.97872334
plate 10,Mll2.2,D02,18.6238225
plate 2,Brd8.2,C02,52.33579476
plate 11,Padi4.1,B04,21.41638787
plate 2,Baz2a.4,G08,52.87091652
plate 5,Epc2.1,B04,52.88752672
plate 2,Bmi1.1,D05,52.94482045
plate 2,Brd4.3,E10,53.21482244
plate 2,Baz1a.4,E04,53.283402
plate 4,Ctsl.1,B05,53.45588539
plate 1,Aff4.2,C08,53.906272
control 2,shmll2.1,C02,26.22395152
plate 4,Cxxc1.2,C10,54.80059154
plate 2,Brd8.4,F07,55.21708942
plate 2,Brd1.1,B05,55.26930418
plate 4,Dot1l.1,B07,55.36285985
control 2,shmll2.4,C05,31.12439487
plate 10,Mll2.4,G04,31.85899165
plate 5,Epc1.4,G09,55.84056571
plate 2,Bptf.2,E02,56.20740716
plate 14,Ring1.2,C02,34.36784322
plate 15,Scml4.4,G08,25.94346065
plate 18,Trim24.1,D05,27.62371249
plate 12,Phc1.3,F05,35.8093602
plate 12,Phf1.4,G10,39.38883759
plate 10,Myst4.2,D03,39.49646369
plate 1,Atr.4,F11,58.21159998
plate 5,Ehmt1.1,B06,58.53517007
plate 14,Rnf40.2,D11,42.39366056
plate 2,Baz1a.2,C04,58.72852185
plate 14,Rnf40.1,B07,43.36157832
plate 1,Atm.1,B08,59.26872682
plate 4,Ctsl.4,G11,59.31659594
plate 14,Rnf40.3,F03,45.31168277
plate 3,Cbx4.4,G10,59.65523432
plate 3,Cbx4.1,B09,59.69926417
plate 14,Ring1.4,F07,46.45267495
plate 10,Mll2.1,B10,46.70723289
plate 1,Aff1.2,D02,60.15056022
plate 3,Cbx6.1,B05,60.17755727
plate 14,Rnf217.4,G06,48.48860831
plate 1,Actl6b.3,D10,60.41706195
plate 8,Kat2b.1,C03,50.30877971
plate 14,Rbbp4.3,D04,52.92029687
plate 2,Baz1a.1,B02,61.81686663
plate 5,Ezh2.1,B11,61.96592701
plate 2,Bop1.2,D09,62.39516269
plate 1,Asxl3.2,C10,62.61932174
control 3,shmll2.2,C03,57.92688382
plate 8,Kdm4a.2,C02,60.21294172
plate 5,Fbxo44.2,D11,63.70470375
plate 14,Rbbp4.2,C10,60.34841271
plate 4,Dot1l.3,F03,63.79826864
plate 1,Atad2.3,E06,63.99673101
plate 5,Ezh2.4,F11,64.20598678
plate 11,Nap1l3.1,B10,62.3461782
Control 1,shNcor1.1,D02,64.57154808
plate 6,Fkbp1a.1,B10,64.65475154
plate 1,Aurkb.3,F03,65.07336673
control 3,shmll2.4,C05,68.21218337
plate 8,Kdm3a.4,F04,67.19381156
plate 1,Aurkb.1,B07,65.85157362
plate 9,Kdm6a.3,F06,67.95072448
plate 4,Chd4.1,B10,66.05492323
plate 14,Rnf20.1,B11,68.78321021
plate 4,Chd6.1,C03,66.19027732
plate 1,Atad2.1,B04,66.37391619
plate 2,Baz2b.2,D06,66.38455477
plate 4,Dmap1.4,F04,66.57641871
plate 2,Baz2b.4,F10,66.72026823
plate 12,Pcgf5.4,G04,71.31484215
plate 3,Cbx5.1,C11,67.04435308
plate 1,Aff1.4,G04,67.11208317
Control 1,shBrd8.2,C07,67.30087671
plate 1,Ash1l.3,F05,67.34189367
plate 4,Chd6.4,F10,67.44890293
plate 8,Kdm2b.2,C10,73.91208393
plate 5,Ehmt2.4,F10,67.80969892
plate 5,Elp4.1,B09,68.20374244
plate 2,Baz2a.3,F02,68.34606447
plate 14,Rnf20.4,F11,76.97208132
plate 5,Ehmt1.4,G08,68.44988632
plate 14,Prmt2.4,G04,77.11319488
plate 6,Fbxw9.1,B02,68.54602196
plate 14,Rnf40.4,G05,78.57640542
plate 2,Baz2a.1,B06,69.02400951
plate 5,Ercc5.1,C06,69.07052461
plate 14,Rbbp4.1,B03,79.98418677
plate 1,Atm.4,F07,69.34533785
plate 5,Fbxl19.2,D03,69.54583916
plate 2,Brd2.4,G09,69.54886212
plate 12,Pcmt1.3,F06,81.07479953
plate 8,Kdm4d.1,C09,81.31928942
plate 3,Cbx7.1,B03,69.66293097
plate 20,Fkbp5.3,G04,88.63398364
control 2,shBrd8.2,C07,82.41385451
plate 2,Brpf1.4,G06,70.00188745
plate 14,Prmt6.4,G07,82.94026594
plate 6,Hdac3.1,B11,70.11431403
plate 14,Prmt8.3,F09,83.32463448
control 3,shNcor1.2,D03,93.02523142
plate 12,Phip.4,F07,85.38672622
plate 15,Setd4.3,E11,94.18410076
plate 11,Nap1l2.1,B02,85.85754392
plate 1,Arid2.2,D06,71.29261111
plate 12,Phf2.1,B05,87.26840856
plate 5,Fbxl19.1,C09,71.37500576
plate 5,Dub2a.2,C04,71.40132181
plate 6,Hat1.1,B05,71.50235964
plate 16,Sirt3.3,E08,97.52163359
plate 2,Bmi1.2,E07,71.73486848
plate 11,Pcgf1.3,F03,88.90928369
plate 13,Prdm9.3,E05,88.96246668
Control 1,shBptf.1,B02,72.06283642
plate 12,Pcgf6.2,C08,89.94690649
control 2,shSp140.2,F07,90.33045814
plate 3,Chd1.1,B11,72.44491616
plate 17,Suv420h2.1,C06,101.5047099
plate 6,Gtf2f1.1,B09,72.50757667
plate 5,Ehmt2.1,C03,72.51311174
plate 5,Epc1.2,C10,72.64154485
plate 14,Rbbp7.1,C06,92.25920327
plate 3,Cbx8.1,B04,73.08086941
plate 11,Orc1.4,G11,93.89465247
control 2,shNcor1.1,D02,94.10621821
plate 12,Prdm1.1,B07,94.75384676
plate 14,Prmt8.1,C11,94.89175882
plate 5,Fbxo44.4,G05,73.50397227
plate 3,Cbx7.2,C10,73.95443003
plate 6,Hdac6.1,B07,74.16475594
plate 17,Smyd5.2,D02,110.0966438
plate 6,Gtf3c4.1,C11,74.45188785
plate 11,Orc1.2,E03,98.35289605
plate 8,Kdm2b.1,B03,98.59143989
plate 4,Chd5.3,F02,74.88976235
plate 1,Aurkb.4,G05,74.91984498
plate 17,Supt16h.1,C11,113.0702338
plate 9,Mecom.1,C09,100.152417
plate 20,Rnf2.3,D11,113.4151057
plate 20,Satb1.2,G05,113.461151
plate 17,Smyd5.3,E08,113.6726318
plate 2,Brpf1.3,D07,75.14691772
plate 17,Sp140.2,E07,115.023828
plate 9,Men1.4,G05,103.0789993
plate 11,Pbrm1.4,G06,103.2155611
plate 11,Padi1.4,G09,103.6763541
plate 14,Prmt6.3,F05,104.2634532
plate 12,Phf20.3,D04,105.2050379
plate 12,Pcgf2.3,D10,105.3601698
plate 2,Baz1b.4,G04,76.44919385
plate 7,Hdac7.1,B02,76.51665902
plate 14,Prmt6.1,D05,105.7857949
plate 9,Men1.3,F03,105.9396649
plate 1,Asxl3.3,D04,76.60215785
plate 14,Prmt7.4,G10,106.4497373
plate 1,Asxl2.4,G11,76.76451937
plate 4,Dnmt3a.2,C02,76.82557003
plate 16,Smarcd3.1,B08,122.2723387
plate 14,Rnf20.2,C05,107.0698158
plate 9,Kdm6a.4,F10,107.1791547
plate 5,Eed.1,B10,77.02332953
plate 3,Chd2.2,D11,77.10516484
Control 1,shBptf.2,B03,77.21162624
plate 17,Suv420h1.1,B04,123.8736262
plate 19,Cecr2.2,C02,125.4720245
control 3,shBrd8.2,C07,125.6099705
plate 16,Smyd3.2,D11,125.758274
plate 4,Dnmt3b.2,C05,77.64941909
plate 2,Baz1b.3,E08,77.65019991
plate 18,Trim28.1,B09,125.9712854
plate 15,Setdb2.1,B04,126.075986
plate 4,Chd8.4,G07,77.82415612
plate 19,Dpy30.3,G06,126.9180744
plate 2,Brd3.1,B04,77.87091749
plate 6,Gtf2f1.3,E11,77.96773753
plate 8,Kdm4d.3,D07,110.977627
plate 9,L3mbtl2.4,G03,111.1560446
plate 20,Mecp2.3,G11,128.1516617
plate 11,Nap1l3.2,D02,111.9021013
plate 17,Smyd5.1,B10,129.3445633
plate 5,Ercc5.3,E10,78.50683095
control 2,shWdr82.3,G08,112.7687168
plate 1,Aff1.3,E08,78.73442405
Control 1,shBptf.3,B04,78.76227102
control 2,shCd4.1,B10,113.7483448
plate 5,Ezh2.3,E09,78.85533366
plate 2,Brd1.2,E03,78.92933877
plate 20,Hdac5.3,G07,132.1405647
plate 16,Smarcc2.3,E06,132.4673903
plate 9,Men1.2,D11,115.0625869
plate 9,Mbd2.3,E10,115.3892936
plate 14,Rbbp5.4,F04,115.4430615
plate 12,Phf1.3,E11,115.4619234
Control 1,shSmarce1.1,G02,79.28750868
plate 15,Sin3b.2,D11,133.9031965
plate 14,Prmt2.2,D02,115.873601
plate 11,Pbrm1.2,D03,116.4340228
plate 8,Kdm1a.2,D09,116.6449273
plate 15,Sfmbt1.2,C02,135.3393069
plate 15,Sfmbt1.3,E05,135.3503026
plate 10,Mll1.4,E04,116.8396865
plate 1,Asxl2.3,F08,79.6911381
plate 16,Sirt7.3,E11,135.8528602
plate 18,Ube2i.3,E10,136.0457085
plate 2,Brd3.2,C07,79.88755277
plate 6,Hdac10.2,D08,80.11586182
plate 9,Men1.1,B07,118.4719653
