plate,shRNA,Well,GeoMean
5,Elp3.3,F05,10.05866397
2,Brd8.3,E05,27.0797959
2,Baz2a.2,C08,31.20977968
7,Ino80.2,D08,33.05140941
4,Cxxc1.2,C10,34.99916111
7,Jhdm1d.2,C05,42.71356278
2,Bptf.4,G03,43.87178789
7,Ing2.2,E02,44.38019872
7,Hdac9.1,B06,44.42816365
2,Brd9.1,B11,44.75574682
2,Brd2.3,D04,46.34131328
18,Usp27x.1,C09,42.39365474
6,Hdac6.3,F03,46.57200617
control 3,Sp140.4,F09,42.57329539
2,Brd8.4,F07,47.65850458
7,Hira.1,D05,47.99871372
control 3,Brd8.4,C09,44.25176903
6,Hat1.2,E03,50.22401229
2,Bmi1.1,D05,50.65092843
6,Fkbp1a.4,G04,50.84466837
7,Ing5.4,F04,51.24309957
7,Ing5.2,C07,51.46369828
14,Rbbp4.4,G09,53.16314836
2,Brd3.3,E06,52.30235411
2,Brd2.1,B03,53.24511487
7,Ing3.2,E03,53.52163974
2,Bptf.2,E02,54.62598385
17,Sp140.4,G07,52.18183172
2,Bop1.4,G10,56.29899054
2,Baz2b.3,F06,56.39446146
6,Hcfc1.1,B03,56.98378678
13,Prdm15.2,D09,61.33426203
7,Ino80.4,G02,57.47536715
4,Chd5.1,B06,57.54199359
control 3,Cxxcl.2,D07,53.78918397
6,Hdac1.1,B04,58.32047906
6,Gtf2b.4,G07,58.86439224
4,Dmap1.1,B04,59.00927554
7,Hells.3,F06,59.08520745
7,Hells.2,D06,59.55127538
4,Chd4.1,B10,61.0752916
7,Hira.2,E07,61.0765062
control 3,Brd8.3,C08,57.39046215
6,Hdac6.1,B07,61.66085529
7,Ing4.3,D04,61.93944603
6,Gtf2b.1,D05,62.06532243
10,Mll3.4,G08,69.90871637
7,Jmjd4.3,F03,62.1872874
6,Hdac2.3,E05,62.19594687
7,Ing5.3,E06,62.27665588
2,Brpf3.2,D11,62.69049528
control 3,Bptf.4,B05,59.27882287
4,Ctsl.1,B05,63.11647389
6,Fkbp1a.2,D02,63.42243419
7,Hdac9.2,C08,63.61259981
control,Bptf.1,B02,72.55507857
6,Gadd45b.1,C03,63.97604345
12,Phf8.4,G02,73.77646922
7,Ing3.3,F08,64.78247216
7,Hdac7.4,E04,65.05648461
6,Gadd45a.3,F02,65.21414784
7,Hells.1,C03,65.49315486
2,Baz1b.2,D02,65.61175886
6,Gtf3c4.4,G03,65.86270146
