plate,shRNA,Well,Percentage
control 2,shNcor1.2,D03,15.38461538
5,Elp3.3,F05,0
5,Ep300.4,G03,0
14,Rbbp4.4,G09,20
21,Sirt2,C08,20
control 1,shNcor1.2,D03,11.11111111
control 2,shRunx3.3,F04,27.31164384
17,Taf1.4,F11,25.94312246
4,Dmap1.1,B04,13.47708895
control 2,shRunx3.1,F02,28.44974446
control 2,shRunx3.2,F03,32.07349081
4,Ctsl.1,B05,18.18181818
control 1,shNcor1.1,D02,18.39530333
12,Pcgf5.4,G04,33.58356381
5,Ep300.1,C11,20
6,Hdac3.1,B11,20.41522491
control 2,shNcor1.1,D02,34.78927203
control 3,shRunx3.3,F04,33.2278481
control 1,shNcor1.3,D04,21.40896615
16,Smarcd1.3,E10,33.9922049
18,Usp22.4,F11,34.00662774
17,Taf1.1,B11,34.22268908
8,Kat2b.1,C03,36.03187251
4,Cxxc1.1,B03,22.98136646
16,Smarce1.3,E09,35.17474634
5,Ep400.4,G11,22.99509002
3,Brwd3.4,G04,23.07692308
control 3,shNcor1.1,D02,35.28481013
12,Phip.4,F07,36.76171079
control 1,shRunx3.3,F04,23.15832316
16,Smarcd1.1,C06,35.62715045
16,Smarca4.2,E03,35.69355775
21,Smarcd2.3,B09,36.00788288
18,Trim28.3,E11,36.14318707
control 3,shmll2.4,C05,36.17111393
9,Kdm6a.1,C03,37.63636364
9,Kdm5c.4,G04,38.15261044
17,Ssrp1.3,E11,36.87943262
14,Prmt2.4,G04,38.19913952
8,Kdm4a.2,C02,38.32116788
control 1,shSmarca4.2,E03,25.10460251
2,Bptf.1,C11,25.22321429
4,Chd3.1,B02,25.36534447
4,Chd4.1,B10,25.76687117
11,Ncoa1.3,F02,39.10521955
15,Scml2.2,D02,37.93381759
14,Rnf40.4,G05,39.28980527
4,Dnmt1.1,C06,26.03351955
12,Pcgf5.3,E08,39.48608137
12,Pcgf6.3,F02,39.58773784
6,Hdac3.2,C05,26.50176678
10,Myst4.4,G06,39.85457064
14,Ring1.2,C02,40
4,Cxxc1.2,C10,27.27272727
control 1,shBptf.1,B02,27.27666956
2,Bptf.3,F09,27.28026534
control 1,shNcor1.4,D05,27.50659631
4,Dnmt3a.1,B08,27.56232687
control 1,shRunx3.2,F03,27.77777778
18,Tet1.1,B10,39.84375
15,Setd4.4,G10,40.09797061
12,Phf19.4,G03,41.11731844
12,Prdm1.2,D11,41.15442279
12,Polr2b.1,B11,41.19458128
18,Trim28.4,G10,40.38581207
17,Tcea1.2,D11,40.40738986
control 2,shNcor1.3,D04,41.37466307
12,Pcgf5.1,B10,41.45873321
16,Sirt7.3,E11,40.54054054
12,Phf1.1,B09,41.54852781
control 3,shSmarca4.1,E02,40.6504065
control 3,shSmarca4.2,E03,40.65827686
5,Elp4.3,E11,28.86232846
1,Aff1.4,G04,28.92690513
11,Padi4.1,B04,41.86507937
12,Phip.3,E05,41.97530864
control 1,shBptf.3,B04,29.13631634
control 3,shNcor1.4,D05,41.16788321
10,Mta3.4,G09,42.10128496
12,Prdm1.4,G05,42.11438475
17,Taf1.3,E09,41.35251799
1,Asxl1.2,E02,29.39801286
7,Hdac9.4,G08,29.41176471
control 1,shRunx3.1,F02,29.4199536
2,Brd2.1,B03,29.45736434
18,Trim33.1,C11,41.52158359
17,Sp110.4,F10,41.66666667
12,Phf1.4,G10,42.65639166
control 2,shSmarca4.2,E03,42.66666667
11,Ncor1.3,F05,42.8200692
6,Hdac3.4,F11,30.10752688
6,Fkbp1a.1,B10,30.12863913
12,Pcgf6.2,C08,42.93004465
17,Smyd4.3,D10,42.20206601
16,Smarca4.4,G11,42.21879815
20,Phc3.1,B08,42.30282581
17,Smyd4.1,B02,42.3442014
16,Sirt1.1,B02,42.47181965
4,Ctsl.4,G11,30.53511706
control 3,shRunx3.2,F03,42.74881517
4,Chd9.1,B09,30.88071349
16,Smarca4.1,B05,42.93614882
16,Smarcc2.3,E06,42.96788483
11,Ncor1.1,D05,43.68070953
control 2,shSmarca4.1,E02,43.69817579
15,Setdb1.4,G09,43.04474708
17,Supt16h.2,E02,43.19695528
18,Tet2.3,F02,43.23922734
9,L3mbtl3.4,G11,43.92857143
control 2,shNcor1.4,D05,44.00294334
12,Phf2.3,F08,44.00963275
20,Mecp2.3,G11,43.36520076
4,Chd5.1,B06,31.51308305
6,Gtf3c4.1,C11,31.54574132
7,Hdac9.1,B06,31.57894737
control 1,shSmarce1.3,G04,31.67889512
12,Phf20l1.3,E06,44.25574426
19,Actl6a,E03,43.73650108
12,Phf2.1,B05,44.41391941
8,Kat2a.4,G08,44.44444444
2,Brd9.4,F11,31.96078431
4,Dnmt3b.1,B11,32.05841446
