plate,shRNA,Well,GeoMean
CR-pLMPd-A-P14,Psip1.4,G11,0
control screen 2,Smarce1.3,G04,96.34167822
control screen 2,Runx3.3,F04,113.5057895
control screen 2,Runx3.1,F02,116.4206327
control screen 2,Smarce1.2,G03,117.2923035
control screen 2,mll2.2,C03,118.738472
control screen 2,Runx3.2,F03,124.5118658
CR-pLMPd-A-P18,Usp27x.1,C09,23.27717981
control screen 2,mll2.1,C02,149.1658997
CR-pLMPd-A-P10,Mll2.2,D02,173.5438068
CR-pLMPd-A-P10,Mll5.3,F06,211.0357293
CR-pLMPd-A-P10,Mll2.1,B10,214.69739
control screen 2,Smarca4.2,E03,230.6184287
CR-pLMPd-A-P08,Kat2a.4,G08,230.6345401
control screen 2,Ncor1.4,D05,240.6897669
control screen 2,Smarca4.3,E04,252.3746084
control screen 2,shCd4.3+pMig,D11,252.9776409
control screen 2,Smarce1.4,G05,264.3341812
control screen 2,Sp140.2,F07,265.0550939
CR-pLMPd-A-P19,Arid1a.2,G11,125.816563
CR-pLMPd-A-P10,Morf4l1.1,D05,268.3899615
control screen 2,Smarca4.1,E02,268.3905989
CR-pLMPd-A-P12,Pcgf5.1,B10,278.7794104
CR-pLMPd-A-P16,Smarce1.3,E09,136.895675
control screen 3,Smarce1.3,G04,139.1836108
control screen 2,Ncor1.1,D02,292.1618139
CR-pLMPd-A-P08,Kdm3a.3,E06,293.6976188
control screen 3,Ncor1.2,D03,148.4024687
control screen 2,shCd4.2+pMig,C11,298.111003
control screen 3,mll2.2,C03,151.7004403
control screen 2,shCd4.2+Runx3,C10,299.7770728
control screen 3,Runx3.3,F04,154.2472047
CR-pLMPd-A-P15,Sin3a.4,G06,156.3027714
CR-pLMPd-A-P07,Hdac9.1,B06,78.31220365
CR-pLMPd-A-P08,Kdm3b.4,G02,307.2482529
control screen 2,Sp140.3,F08,307.4887889
CR-pLMPd-A-P19,Dpy30.2,D07,158.924825
control screen 1,Runx3.3,F04,81.19635223
control screen 1,Runx3.2,F03,81.36173581
control screen 1,mll2.2,C03,81.44496111
control screen 2,mll2.4,C05,308.8604455
control screen 2,shCd4.3+Runx3,D10,308.8612195
control screen 2,Sp140.4,F09,310.3330127
CR-pLMPd-A-P21,Smarcd2.3,B09,161.5122685
CR-pLMPd-A-P12,Phf19.4,G03,311.2795031
control screen 3,Runx3.2,F03,161.839785
CR-pLMPd-A-P21,Smarcc1.2,D05,163.6638619
CR-pLMPd-A-P08,Kdm4c.3,E09,313.9025256
CR-pLMPd-A-P21,Setd3.2,D02,165.2837198
CR-pLMPd-A-P21,Smarca2.1,F02,166.5596254
control screen 3,mll2.1,C02,167.095547
control screen 2,Cxxcl.2,D07,321.8226653
control screen 2,Sp140.1,F06,323.7657824
CR-pLMPd-A-P08,Kdm4a.4,F07,327.9347206
CR-pLMPd-A-P19,Zmynd8.4,G03,177.4641596
control screen 2,Smarca4.4,E05,334.3297529
CR-pLMPd-A-P15,Scml4.1,B06,180.4707156
CR-pLMPd-A-P21,Smyd1.3,G10,181.7915925
CR-pLMPd-A-P21,Smarcd2.1,F05,185.1520934
control screen 1,Ncor1.1,D02,115.737744
CR-pLMPd-A-P02,Brd4.1,C06,115.8906341
CR-pLMPd-A-P21,Smarcd2.2,G07,186.3898516
control screen 1,mll2.1,C02,116.3536599
CR-pLMPd-A-P15,Scml2.4,G04,187.5345655
CR-pLMPd-A-P02,Brd3.3,E06,118.7590233
CR-pLMPd-A-P02,Brd4.2,D08,120.480609
CR-pLMPd-A-P16,Smyd2.3,D07,189.8483791
control screen 2,Cxxcl.3,D08,347.1209827
control screen 1,Smarce1.3,G04,122.8702963
CR-pLMPd-A-P16,Smarce1.2,C05,191.8131204
CR-pLMPd-A-P08,Kdm1b.4,G03,351.745053
CR-pLMPd-A-P20,H2afz.1,G08,193.8681339
CR-pLMPd-A-P12,Pcgf6.1,B06,351.9584164
CR-pLMPd-A-P18,Tet1.4,G04,194.531907
CR-pLMPd-A-P12,Phf1.1,B09,354.6843651
control screen 3,Runx3.1,F02,196.3916661
CR-pLMPd-A-P02,Brd4.3,E10,130.790634
control screen 1,Runx3.1,F02,132.4414944
control screen 2,Cxxcl.1,D06,359.0837696
CR-pLMPd-A-P21,Smarcc1.1,F10,199.8500462
CR-pLMPd-A-P15,Setd5.2,E02,200.9799736
control screen 1,mll2.4,C05,135.490734
CR-pLMPd-A-P17,Tcea1.3,F03,202.6692557
CR-pLMPd-A-P19,Dpy30.1,D03,203.4340584
CR-pLMPd-A-P10,Myst2.1,B08,366.1474326
CR-pLMPd-A-P14,Rbbp7.1,C06,366.4601526
CR-pLMPd-A-P16,Sirt7.2,D09,208.0086542
CR-pLMPd-A-P20,Kdm4b.2,G03,208.355569
CR-pLMPd-A-P09,L3mbtl4.1,B03,370.4929352
CR-pLMPd-A-P11,Nsd1.3,F09,372.7382014
control screen 1,Bptf.1,B02,147.8489415
CR-pLMPd-A-P08,Kdm3a.2,C07,373.9853513
CR-pLMPd-A-P15,Sin3a.2,D03,211.9280227
CR-pLMPd-A-P19,Arid1b.2,C10,213.600112
CR-pLMPd-A-P08,Kdm2b.1,B03,377.2546745
control screen 3,Smarce1.2,G03,214.2409846
control screen 2,Ncor1.3,D04,377.9062128
CR-pLMPd-A-P08,Kdm2a.3,F08,378.242026
CR-pLMPd-A-P18,Trim66.2,E03,214.7652612
control screen 2,Klf2.4,E09,378.5947232
control screen 1,Sp140.2,F07,153.1346447
control screen 1,Smarce1.2,G03,153.2161207
CR-pLMPd-A-P16,Smarcd3.4,F07,215.5631369
CR-pLMPd-A-P11,Padi6.4,G02,379.4785984
control screen 1,Smarca4.2,E03,156.9610348
CR-pLMPd-A-P11,Ncor2.2,D09,383.431305
CR-pLMPd-A-P16,Sirt6.3,F05,219.1415315
control screen 2,mll2.3,C04,383.9367649
CR-pLMPd-A-P09,Kdm5b.1,B02,384.8628943
CR-pLMPd-A-P01,Aff1.4,G04,160.1378631
CR-pLMPd-A-P01,Asxl1.2,E02,160.9143044
CR-pLMPd-A-P07,Hdac8.3,E08,161.1223018
CR-pLMPd-A-P19,Whsc1l1.2,E07,221.5895579
CR-pLMPd-A-P10,Mta1.4,G03,387.1612512
CR-pLMPd-A-P17,Sp140.3,F05,222.1370869
CR-pLMPd-A-P17,Taf3.4,G06,222.3744232
control screen 1,Ncor1.4,D05,162.7430487
CR-pLMPd-A-P09,Kdm6a.1,C03,388.260828
CR-pLMPd-A-P03,Brwd1.4,E04,163.6542036
CR-pLMPd-A-P07,Jmjd1c.3,D07,164.547752
CR-pLMPd-A-P02,Brd1.1,B05,164.7636867
CR-pLMPd-A-P03,Cbx1.4,F10,165.9696034
control screen 1,Ncor1.3,D04,166.3312993
CR-pLMPd-A-P19,Brdt.2,F04,225.7668239
CR-pLMPd-A-P08,Kat5.1,D05,392.5784688
control screen 2,Brd8.3,C08,392.6641723
CR-pLMPd-A-P19,Arid1b.3,D04,226.4094505
CR-pLMPd-A-P18,Trim24.1,D05,226.7183845
control screen 1,Sp140.3,F08,168.4463015
CR-pLMPd-A-P10,Mll2.4,G04,393.6538292
control screen 2,Bptf.4,B05,393.9992675
