plate_well,shRNA,Percentage
19_B06,Wdr82.1,8.556866953
16_D07,Smyd2.3,10.85972851
control3_G07,shWdr82.2,12.2160525
control3_G08,shWdr82.3,13.78755365
control3_E02,shSmarca4.1,14.69668543
control3_G06,shWdr82.1,15.12557078
19_F02,Wdr82.3,15.55329949
control3_G09,shWdr82.4,15.80310881
control3_E03,shSmarca4.2,15.87608906
11_G07,Ncor1.4,13.79990143
19_C08,Wdr82.2,17.01791359
3_G04,Brwd3.4,7.692307692
8_C10,Kdm2b.2,14.73801148
20_B06,Gtf2h1.1,18.19699499
15_D09,Setd4.2,19.23076923
13_E07,Prdm14.2,16.22590766
19_G08,Wdr82.4,19.5931922
21_C08,Sirt2,20
20_B02,Fbxo17.2,20.16748081
control3_C02,shmll2.1,20.19274897
3_C06,Chaf1a.1,11.13967438
18_B08,Uhrf1.1,21.51898734
8_C02,Kdm4a.2,18.61313869
control2_B04,shBptf.3,18.87613771
4_G09,Cxxc1.4,12.06823028
20_B03,Padi2.1,22.48792271
control2_G07,shWdr82.2,19.12883758
9_D02,Kdm5c.2,19.16545366
16_B05,Smarca4.1,22.87581699
4_G06,Dnmt3l.4,12.59259259
11_D11,Pcgf1.2,19.6287703
20_B07,Rnf2.2,23.09063893
control2_G06,shWdr82.1,19.72887222
8_F03,Kdm5a.3,19.76442874
control2_G08,shWdr82.3,19.90876507
control3_E04,shSmarca4.3,23.37387626
12_F06,Pcmt1.3,19.96592845
13_E09,Prkaa1.3,19.96981891
control3_C09,shBrd8.4,23.63840539
15_D02,Scml2.2,23.72881356
control2_G09,shWdr82.4,20.25862069
15_D10,Rpa3.3,24.06417112
control1_G09,shWdr82.4,13.80537975
11_B07,Pcgf1.1,20.73070608
12_C11,Phf19.1,20.88525999
10_G08,Mll3.4,20.90592334
10_C07,Mtf2.2,20.95709571
8_D09,Kdm1a.2,20.96439406
11_F03,Pcgf1.3,20.99109131
17_F11,Taf1.4,24.55020313
12_F09,Phf19.3,21.03929024
4_B11,Dnmt3b.1,14.15159944
13_C11,Prdm2.1,21.0626186
control1_D06,shCxxcl.1,14.29132313
8_C03,Kat2b.1,21.21115538
17_D09,Ssrp1.2,24.94099135
15_D03,Sin3a.2,25.11784512
17_B09,Ssrp1.1,25.147859
4_C06,Dnmt1.1,14.74860335
control1_B05,shBptf.4,14.93184634
10_B07,Nap1l1.1,21.87323147
4_G02,Dnmt1.4,14.9870801
14_G04,Prmt2.4,21.88076214
control1_G07,shWdr82.2,15
3_E10,Chaf1a.3,15.07785796
17_B04,Suv420h1.1,25.79666161
14_G05,Rnf40.4,22.22222222
11_G05,Pcgf1.4,22.24702381
8_C09,Kdm4d.1,22.38775921
18_E09,Usp22.3,26.22656049
17_E11,Ssrp1.3,26.24113475
18_C06,Ube2i.1,26.24456259
10_B04,Mtf2.1,22.59167185
control3_C08,shBrd8.3,26.30494505
20_B05,Kdm4b.3,26.42140468
10_C06,Myst1.1,22.72076372
8_C08,Kat2a.2,22.74368231
12_F11,Polr2b.4,22.74881517
control1_D09,shCxxcl.4,15.93763534
control3_C06,shBrd8.1,26.63755459
9_G11,L3mbtl3.4,22.94642857
control1_G08,shWdr82.3,16.06166087
4_E11,Chd9.3,16.08202914
12_F10,Pcmt1.4,23.09368192
18_B10,Tet1.1,26.84461806
16_E03,Smarca4.2,26.87173535
5_G09,Epc1.4,16.2979351
control1_G06,shWdr82.1,16.33802817
12_G11,Phf2.4,23.25396825
10_B11,Myst3.1,23.30154946
18_C02,Uhrf1.2,27.11496746
13_C05,Prkaa1.2,23.3783426
11_D04,Padi1.3,23.41302556
19_B05,Actb,27.24181895
2_F02,Baz2a.3,16.60181582
12_C08,Pcgf6.2,23.49564108
12_G02,Phf8.4,23.52941176
17_E10,Suv420h2.3,27.35132303
control3_D09,shCxxcl.4,27.42568704
17_B11,Taf1.1,27.71008403
control3_B06,shWhsc1.1,27.72277228
9_G05,Men1.4,23.9178515
11_D06,Ncoa3.2,23.95833333
9_C04,Kdm5b.2,23.96694215
11_B02,Nap1l2.1,24.01746725
2_B02,Baz1a.1,17.20930233
4_B06,Chd5.1,17.2923777
17_B10,Smyd5.1,28.03581421
9_F08,L3mbtl3.3,24.21340629
10_B05,Mta2.1,24.3036592
17_B06,Sp100.1,28.18923328
12_C06,Phf8.1,24.32885906
control1_E06,shKlf2.1,17.50679774
control1_E02,shSmarca4.1,17.51740139
5_B10,Eed.1,17.62820513
9_E10,Mbd2.3,24.51312447
13_B11,Prkaa1.1,24.55445545
12_F08,Phf2.3,24.56351595
5_F03,Fbxo44.3,17.7173913
5_D05,Elp3.1,17.72079772
5_D06,Ehmt2.2,17.7238806
19_E03,Actl6a,28.50971922
8_D04,Kdm2b.3,24.63377673
15_C11,Setd5.1,28.52960312
5_G11,Ep400.4,17.8396072
4_C02,Dnmt3a.2,17.85714286
control1_E09,shKlf2.4,17.86593707
5_D08,Ercc5.2,17.92294807
11_B06,Ncoa1.1,24.81914302
10_C08,Mll3.2,24.83443709
11_C02,Parp1.2,24.85380117
control1_E03,shSmarca4.2,17.9916318
2_G11,Brd1.4,18.02816901
6_B08,Hdac2.1,18.04820694
control1_B11,shCd4.1,18.05845511
15_D04,Setdb1.3,28.90510949
13_E11,Prdm15.3,24.98611882
7_E09,Jhdm1d.3,18.11537458
16_E08,Sirt3.3,28.9766702
20_G10,Jmjd8.1,28.97842898
4_C10,Cxxc1.2,18.18181818
2_B08,Brd8.1,18.18181818
18_G05,Usp51.4,29.09207161
11_C11,Nsd1.1,25.22321429
15_B05,Setd8.1,29.17139614
20_D02,Fkbp5.1,29.19280636
12_B11,Polr2b.1,25.24630542
6_C05,Hdac3.2,18.3745583
11_E05,Parp1.3,25.30701754
18_F10,Tet3.4,29.26065163
control3_C05,shmll2.4,29.26725964
9_G06,Mecom.4,25.33062055
control3_E06,shKlf2.1,29.28743961
control1_B08,shWhsc1.3,18.45703125
20_B08,Phc3.1,29.31252636
10_G07,Morf4l1.4,25.37612839
12_C09,Ppargc1a.1,25.40868753
14_C10,Rbbp4.2,25.4180602
10_F04,Mtf2.4,25.43940796
12_B08,Phip.1,25.44466403
control1_B10,shCd4.1,18.57619577
17_D10,Smyd4.3,29.47845805
17_D06,Sp110.2,29.55404384
13_E06,Prdm6.3,25.58667676
12_G06,Ppargc1a.4,25.5888651
12_G07,Phc1.4,25.60160428
5_G05,Fbxo44.4,18.77333333
8_C11,Kdm1b.1,25.70336923
5_G07,Elp3.4,18.85847797
13_D06,Prdm13.2,25.74257426
12_E10,Phf8.3,25.75587906
2_C02,Brd8.2,18.9081225
6_C07,Hdac1.2,18.93287435
control1_B09,shWhsc1.4,18.94288755
8_G09,Kdm2b.4,25.8286429
10_F02,Mll3.3,25.84453324
15_C05,Sfmbt2.2,29.87072946
13_C08,Prdm12.2,25.89473684
4_C05,Dnmt3b.2,19.03508772
4_B08,Dnmt3a.1,19.04432133
6_G10,Gtf2f1.4,19.1323693
6_B10,Fkbp1a.1,19.2281652
16_B08,Smarcd3.1,30.1499847
10_F10,Mll5.4,26.14638448
2_B03,Brd2.1,19.26910299
control3_G04,shSmarce1.3,30.26992288
9_F04,Mbd1.4,26.28827483
11_B08,Parp1.1,26.3583815
4_G11,Ctsl.4,19.56521739
18_C10,Ube2b.2,30.52070263
15_B03,Setdb1.1,30.53188363
17_G10,Ssrp1.4,30.5516662
6_B07,Hdac6.1,19.62616822
11_F07,Parp1.4,26.52933833
8_C04,Jmjd5.2,26.54802978
4_C08,Chd5.2,19.7109067
4_C07,Dmap1.2,19.75088968
control3_E05,shSmarca4.4,30.70707071
8_F05,Kat5.3,26.64576803
1_D02,Aff1.2,19.80558931
control3_E09,shKlf2.4,30.79365079
6_D11,Hdac6.2,19.87041037
12_G08,Pcgf6.4,26.75304878
2_B10,Baz1b.1,19.8917456
2_B05,Brd1.1,19.89247312
control3_B07,shWhsc1.2,30.87633088
12_B07,Prdm1.1,26.80361947
11_D10,Nap1l2.3,26.85370741
5_C11,Ep300.1,20
5_F08,Ep400.3,20
3_C02,Chaf1b.2,20
15_E10,Setmar.3,30.99873578
19_D05,Whsc1l1.1,31.03448276
5_G08,Ehmt1.4,20.08733624
4_D06,Chd6.2,20.09646302
control3_C04,shmll2.3,31.085353
6_C08,Gadd45a.2,20.10582011
11_B11,Paxip1.1,26.99163332
4_E05,Dnmt3a.3,20.12678288
5_C07,Epc2.2,20.15968064
12_G03,Phf19.4,27.03910615
10_B08,Myst2.1,27.05718271
10_C09,Myst4.1,27.0602706
12_G10,Phf1.4,27.10788758
10_C05,Myst3.2,27.15156131
10_D10,Mll1.3,27.15231788
4_B09,Chd9.1,20.28985507
6_G07,Gtf2b.4,20.32258065
12_G05,Prdm1.4,27.20970537
control3_C03,shmll2.2,31.35650988
2_F10,Baz2b.4,20.37037037
control3_G03,shSmarce1.2,31.40862944
9_G03,L3mbtl2.4,27.27701746
15_D06,Setd1a.2,31.444333
18_F11,Usp22.4,31.45021303
9_F09,L3mbtl2.3,27.31755424
20_B04,Paf1.1,31.45695364
14_C11,Prmt8.1,27.39965096
12_F03,Prdm1.3,27.41784038
7_F11,Jhdm1d.4,20.56208775
4_F03,Dot1l.3,20.58394161
9_G04,Kdm5c.4,27.46987952
18_E11,Trim28.3,31.63972286
9_D08,Mbd2.2,27.5101567
14_F10,Prmt5.4,27.51895991
control1_B06,shWhsc1.1,20.64327485
control2_E03,shSmarca4.2,27.6
12_B06,Pcgf6.1,27.66135792
11_B09,Ncor2.1,27.67354597
control2_E02,shSmarca4.1,27.69485904
control2_C04,shmll2.3,27.73460849
10_E09,Myst3.3,27.76223776
11_C06,Padi6.1,27.7665996
10_E11,Msl3.3,27.78007441
4_D05,Chd8.1,20.90517241
11_E08,Nap1l3.3,27.8019802
5_F02,Ehmt1.3,20.9375
5_E10,Ercc5.3,20.95343681
10_F07,Myst2.4,27.88550323
14_B09,Prmt7.1,27.89171452
4_F05,Chd8.3,21.0266535
13_C06,Prdm8.1,27.90239093
18_D08,Ube2i.2,32.125
4_D04,Cxxc1.3,21.05684548
11_C08,Ncoa1.2,27.95031056
4_C09,Dnmt3l.1,21.08079187
5_C10,Epc1.2,21.09053498
5_C08,Ehmt1.2,21.12068966
17_D07,Taf3.3,32.2138451
11_E11,Ncor2.3,28.03284808
12_F05,Phc1.3,28.05611222
2_E02,Bptf.2,21.19205298
3_F07,Chaf1b.4,21.22538293
17_B08,Suz12.1,32.31462926
3_B07,Chd2.1,21.26029496
12_C10,Phf20.2,28.14029364
17_B05,Suv39h1.1,32.37095363
13_C10,Prdm5.2,28.18548387
15_D11,Sin3b.2,32.47524752
1_F10,Arid2.4,21.37628111
17_B07,Tcea1.1,32.54781421
control1_D11,shCd4.3,21.49695387
11_G09,Padi1.4,28.37386743
10_C04,Mll1.2,28.37726524
3_D08,Chaf1a.2,21.51474531
13_D08,Prdm8.2,28.39366516
13_C07,Prdm6.2,28.4025667
13_E08,Prdm11.3,28.43616371
7_F09,Ing2.3,21.57610423
control3_C10,shCd4.2,32.76836158
3_G07,Cbx3.4,21.70263789
15_D05,Setd2.1,32.84615385
9_G08,Kdm5d.4,28.59199539
4_B03,Cxxc1.1,21.73913043
6_C09,Hdac4.1,21.75925926
3_B08,Chaf1b.1,21.76769185
control3_E08,shKlf2.3,32.91015625
control3_C07,shBrd8.2,32.92383292
16_B10,Sirt3.1,32.94861226
4_G07,Chd8.4,21.81916622
1_E07,Ash1l.2,21.82235835
6_B09,Gtf2f1.1,21.82361734
4_B07,Dot1l.1,21.8401937
12_D11,Prdm1.2,28.73563218
13_E10,Prdm8.3,28.80161128
12_F07,Phip.4,28.81873727
control1_G03,shSmarce1.2,21.97977648
4_F11,Dnmt3b.4,21.98019802
7_E02,Ing2.2,21.9858156
7_F04,Ing5.4,22.01372998
7_G03,Ing2.4,22.04617474
14_G11,Psip1.4,28.94736842
16_E05,Smarcd3.3,33.23943662
13_E04,Prdm10.4,28.9507772
6_C11,Gtf3c4.1,22.08201893
1_C10,Asxl3.2,22.08920188
14_D11,Rnf40.2,29.00997698
3_G11,Cbx6.4,22.14123007
control1_E05,shSmarca4.4,22.1446384
12_D09,Phf1.2,29.02953586
18_C07,Ube2e1.2,33.33333333
19_D02,Wdr5.2,33.41677096
4_D09,Chd9.2,22.26762002
4_F02,Chd5.3,22.29946524
17_E02,Supt16h.2,33.49191246
15_E06,Setdb2.3,33.49864743
15_C02,Sfmbt1.2,33.51920694
10_G09,Mta3.4,29.21390779
9_F03,Men1.3,29.22476297
4_E10,Dnmt1.3,22.38442822
15_B04,Setdb2.1,33.63471971
control2_F08,shSp140.3,29.33478735
3_D10,Brwd1.3,22.49705536
16_B09,Sirt7.1,33.71378402
18_E05,Uhrf1.3,33.71710526
17_D11,Tcea1.2,33.72809095
10_C10,Mta3.2,29.40208448
11_F08,Orc1.3,29.40287226
3_C10,Cbx7.2,22.53968254
20_G02,Phc2.2,33.74679213
13_B09,Prdm15.1,29.41585535
10_D11,Nap1l1.2,29.44550669
7_C06,Ino80.1,22.61484099
7_D10,Hdac7.3,22.61712439
11_F10,Ncoa3.4,29.52243126
9_B06,Kdm5d.1,29.54661233
14_G07,Prmt6.4,29.5765878
13_B03,Prdm5.1,29.58860759
2_D07,Brpf1.3,22.75862069
5_E02,Ep300.2,22.79635258
11_B03,Padi1.1,29.68591692
4_D03,Dnmt3l.2,22.82282282
16_E06,Smarcc2.3,34.10852713
11_F11,Paxip1.4,29.75308642
16_C11,Smarca1.1,34.13173653
control2_D09,shCxxcl.4,29.81335953
3_G02,Chaf1a.4,22.9480737
10_G06,Myst4.4,29.84764543
17_E09,Taf1.3,34.24460432
7_B04,Ing5.1,23.04526749
7_G05,Jmjd4.4,23.07692308
17_C07,Suv420h1.2,34.33430773
control2_F09,shSp140.4,29.95839112
20_C04,Fbxo17.3,34.34377082
3_G06,Chd1l.4,23.11557789
8_F10,Kat2b.4,29.99143102
17_B02,Smyd4.1,34.37886917
control3_B05,shBptf.4,34.38864629
16_B02,Sirt1.1,34.42028986
11_E02,Nsd1.2,30.03374578
control1_D08,shCxxcl.3,23.17763623
14_C03,Prmt5.1,30.06253006
12_G09,Phf20.4,30.09009009
12_D10,Pcgf2.3,30.09277935
18_B06,Tet2.1,34.49477352
18_F05,Trim24.3,34.53640324
11_B04,Padi4.1,30.15873016
14_C07,Rbbp5.2,30.16759777
13_C09,Prkaa2.1,30.1726578
3_E11,Cbx4.3,23.33736397
20_C11,Jmjd8.2,34.61333333
20_C02,Phc3.2,34.62007314
control1_B04,shBptf.3,23.36108221
control2_E06,shKlf2.1,30.23655914
2_B07,Brpf3.1,23.38376891
3_B11,Chd1.1,23.39360223
2_B06,Baz2a.1,23.39776195
9_G02,Mbd2.4,30.27237354
4_B10,Chd4.1,23.43558282
20_E10,Phc2.1,34.75279682
16_B04,Smarcc2.1,34.7672363
6_B05,Hat1.1,23.48218766
11_G10,Ncor2.4,30.36649215
16_G02,Smarcd1.4,34.78691774
18_B07,Usp51.1,34.79285955
3_E06,Cbx8.3,23.51421189
8_C05,Kdm4c.2,30.38499506
10_C03,Mll5.1,30.39879609
19_D11,Eaf1.2,34.84466835
16_F08,Smarca4.3,34.84649698
15_G10,Setd4.4,34.84954514
13_C03,Prdm13.1,30.42559614
15_B08,Sfmbt1.1,34.88250653
9_B05,L3mbtl3.1,30.4587156
3_B06,Carm1.1,23.63691745
19_D08,Cbx2.1,34.94461229
7_B10,Hdac8.1,23.65030675
4_E09,Dnmt3b.3,23.68421053
8_E10,Kdm3b.3,30.57014254
3_B05,Cbx6.1,23.7012987
16_G11,Smarca4.4,35.01540832
4_D11,Dot1l.2,23.71134021
14_D10,Prmt1.3,30.58315335
5_D09,Elp4.2,23.72479241
11_D05,Ncor1.1,30.59866962
20_C03,H2afz.2,35.06979911
4_E08,Chd4.3,23.76350199
7_E03,Ing3.2,23.7649063
17_G04,Smyd5.4,35.08881271
11_G03,Nsd1.4,30.64516129
13_B07,Prkcd.1,30.72370191
5_G10,Elp4.4,23.85945027
16_D11,Smyd3.2,35.18877057
6_G09,Hcfc1.4,23.88059701
12_C05,Polr2b.2,30.75539568
16_C05,Smarce1.2,35.23143523
18_E04,Tdg.4,35.27431841
13_F09,Prdm2.3,30.83485679
5_E06,Epc2.3,24.06181015
16_G08,Sirt4.4,35.41155867
3_C03,Cbx1.1,24.07407407
control3_B08,shWhsc1.3,35.43123543
1_G09,Asxl3.4,24.08921933
10_F09,Mta1.3,30.97112861
3_B03,Cbx7.1,24.10623085
12_D08,Phf8.2,30.98591549
16_C07,Smarcc2.2,35.50792171
12_E09,Polr2b.3,31.03727715
1_D11,Aurkb.2,24.18478261
16_C06,Smarcd1.1,35.59587113
7_F10,Hells.4,24.24892704
15_F08,Setd8.3,35.61643836
12_C07,Phf20l1.2,31.12781955
7_C11,Ing2.1,24.3063263
10_G10,Msl3.4,31.18131868
5_B09,Elp4.1,24.31906615
4_C04,Chd3.2,24.34402332
6_D07,Hdac4.3,24.36708861
16_D08,Smarcd1.2,35.76779026
16_C08,Sirt4.2,35.78248236
control3_D08,shCxxcl.3,35.78431373
16_F03,Smyd3.3,35.80901857
13_D02,Prdm11.2,31.34328358
11_C10,Padi1.2,31.34408602
18_C11,Trim33.1,35.86930599
5_F06,Ehmt2.3,24.50476889
9_C11,L3mbtl2.1,31.37432188
5_G06,Fbxl19.4,24.50980392
20_F03,Satb1.1,35.89645984
control2_F06,shSp140.1,31.39534884
7_B07,Jmjd4.1,24.54036771
2_F07,Brd8.4,24.54506983
8_F11,Kdm4c.4,31.42509135
2_C03,Baz2b.1,24.57231726
control3_E07,shKlf2.2,35.97185576
11_D07,Pbrm1.3,31.45751266
19_D04,Arid1b.3,35.97816961
13_C04,Prdm10.2,31.46551724
4_E06,Dmap1.3,24.6031746
9_C09,Mecom.1,31.50046598
20_F11,Phf17.2,36.02530703
7_F02,Hdac9.3,24.63768116
7_C08,Hdac9.2,24.64387464
16_G05,Smyd3.4,36.05653223
3_D02,Brwd3.2,24.66705269
7_E06,Ing5.3,24.69103339
8_G07,Kat5.4,31.55893536
15_E05,Sfmbt1.3,36.08891109
15_G11,Setd8.4,36.10436893
15_C10,Setdb1.2,36.12474733
14_C04,Prmt1.2,31.61147903
1_D07,Atrx.3,24.79108635
11_C05,Paxip1.2,31.66547534
4_E07,Chd8.2,24.80359147
9_G09,L3mbtl4.4,31.68617252
11_B05,Orc1.1,31.69014085
19_F04,Brdt.2,36.24816805
8_F06,Kat2b.3,31.70798148
control1_E07,shKlf2.2,24.84952709
20_G09,Padi3,36.26302083
4_F04,Dmap1.4,24.85732403
2_G06,Brpf1.4,24.88888889
6_F07,Hdac2.4,24.89063867
control3_D06,shCxxcl.1,36.30532393
11_D03,Pbrm1.2,31.75832688
control1_F09,shSp140.4,24.89217498
14_C09,Rnf217.1,31.78607467
1_C02,Atm.2,24.92233345
13_B06,Prdm12.1,31.79723502
7_B02,Hdac7.1,24.93917275
control2_B06,shWhsc1.1,31.81818182
20_D11,Rnf2.3,36.45833333
1_B02,Actl6b.1,25.03467406
6_D06,Gadd45b.2,25.06082725
16_C02,Smarcd3.2,36.5276664
1_F08,Asxl2.3,25.10121457
9_C08,Kdm5d.2,31.98529412
19_C03,Whsc1.1,36.56936701
15_E02,Setd5.2,36.59556671
1_C08,Aff4.2,25.18714223
6_F11,Hdac3.4,25.19201229
7_G07,Hira.4,25.19866701
18_F08,Trim66.3,36.68621701
11_E04,Nap1l2.4,32.11255025
6_B11,Hdac3.1,25.25951557
control1_D07,shCxxcl.2,25.30864198
8_D08,Kdm3b.2,32.18274112
2_F06,Baz2b.3,25.3236246
2_D03,Brpf1.2,25.33898305
9_C10,L3mbtl4.2,32.21335573
1_B11,Atr.1,25.35094963
control3_C11,shCd4.2,36.82008368
5_C02,Ezh1.2,25.37086345
4_F07,Dnmt3a.4,25.37462537
18_B02,Tdg.1,36.8480406
14_D08,Rbbp7.2,32.25545675
2_G05,Brpf3.4,25.39118065
3_D07,Chd1l.3,25.40540541
control1_E04,shSmarca4.3,25.40639748
20_B11,Phf10.2,36.87354796
7_C05,Jhdm1d.2,25.42579075
2_D02,Baz1b.2,25.43083372
5_B07,Fbxo44.1,25.43792841
control2_B08,shWhsc1.3,32.30625584
18_G07,Trim24.4,36.91983122
1_D03,Atrx.2,25.48828125
control3_B09,shWhsc1.4,36.96808511
8_D11,Kdm5a.2,32.39780354
3_C11,Cbx5.1,25.53677478
12_B05,Phf2.1,32.41758242
6_D05,Gtf2b.1,25.55970149
18_F09,Trim33.3,37.05822955
9_B09,L3mbtl1.1,32.47293922
14_C06,Rbbp7.1,32.4729892
16_B11,Smarce1.1,37.08877873
6_F10,Gadd45b.4,25.61837456
