plate_well,shRNA,GeoMean
14_G11,Psip1.4,0
18_C09,Usp27x.1,25.30505356
21_E02,Ube2a.2,76.24369542
18_D05,Trim24.1,89.4730033
2_B08,Brd8.1,121.7022276
19_D05,Whsc1l1.1,122.2294743
control2_G04,Smarce1.3,311.5758141
14_C02,Ring1.2,336.5166693
2_C06,Brd4.1,210.5729951
control2_D07,Cxxcl.2,369.1087717
control2_D11,shCd4.3+pMig,370.7066409
10_F06,Mll5.3,374.8265566
5_B08,Ezh1.1,238.2090852
2_E10,Brd4.3,240.8439578
control2_F04,Runx3.3,393.3939117
control2_C02,mll2.1,399.7222405
18_C07,Ube2e1.2,227.9907524
control3_C03,mll2.2,231.9271493
control1_C03,mll2.2,272.252065
14_G08,Prmt3.4,428.3650417
16_E09,Smarce1.3,246.9797255
control2_C03,mll2.2,438.8266285
control3_G04,Smarce1.3,254.4070992
control3_C02,mll2.1,258.1136209
8_G08,Kat2a.4,455.5171215
control1_C02,mll2.1,307.1837488
control3_D03,Ncor1.2,281.2155863
control1_G04,Smarce1.3,320.1511442
control2_F02,Runx3.1,486.3147913
control2_D10,shCd4.3+Runx3,498.8307401
15_G08,Scml4.4,304.5044284
3_G04,Brwd3.4,339.3598213
10_B10,Mll2.1,527.4516429
5_B03,Epc1.1,356.4359486
control2_F09,Sp140.4,534.8614527
15_B06,Scml4.1,325.5396041
2_D08,Brd4.2,361.8848659
12_B10,Pcgf5.1,546.6413688
2_G02,Brd4.4,367.7283676
21_D02,Setd3.2,335.7164819
19_D03,Dpy30.1,337.5641129
21_F02,Smarca2.1,339.1642977
10_B08,Myst2.1,558.066629
control2_G03,Smarce1.2,558.3025584
18_E10,Ube2i.3,345.7261528
16_G09,Smarca5.4,346.9061961
control2_F03,Runx3.2,570.3348663
control2_C11,shCd4.2+pMig,575.1852775
control2_D08,Cxxcl.3,576.6366472
8_G02,Kdm3b.4,580.1823709
15_D08,Setmar.2,355.9129902
control1_D03,Ncor1.2,393.0425099
8_C06,Kdm3b.1,593.669596
1_B09,Ash2l.1,403.1570677
control2_D06,Cxxcl.1,600.63842
18_B02,Tdg.1,372.7107541
5_G02,Ercc5.4,414.7923326
18_E03,Trim66.2,376.9358996
19_B05,Actb,376.9859111
control2_D09,Cxxcl.4,610.9415662
10_B06,Mll3.1,614.0179058
20_G08,H2afz.1,381.0831785
15_C06,Setmar.1,381.1562957
15_D07,Sin3a.3,382.6331218
8_E06,Kdm3a.3,618.9164966
control1_D11,shCd4.3+pMig,423.9117988
19_B03,Arid1b.1,387.612733
16_B09,Sirt7.1,389.7802624
control1_C11,shCd4.2+pMig,431.201804
20_G03,Kdm4b.2,394.3853463
15_G06,Sin3a.4,394.4248799
18_G04,Tet1.4,399.4633275
control2_C08,Brd8.3,644.3561584
control2_F08,Sp140.3,648.5613766
control1_G03,Smarce1.2,444.9807418
16_B03,Smarca5.1,405.8730703
15_D03,Sin3a.2,405.892641
