plate_well,shRNA,GeoMean
control3_G05,Smarce1.4,634.6140372
19_B03,Arid1b.1,1666.518984
12_G09,Phf20.4,2144.478888
14_G09,Rbbp4.4,2147.230761
6_D11,Hdac6.2,1627.67359
5_G03,Ep300.4,1629.341028
2_C02,Brd8.2,1631.656814
control3_F04,Runx3.3,695.20254
control2_D03,Ncor1.2,2191.505498
6_D04,Hcfc1.3,1643.503687
6_B09,Gtf2f1.1,1645.473671
3_B03,Cbx7.1,1645.47578
11_C03,Ncoa3.1,2201.898061
7_B06,Hdac9.1,1649.392497
5_B03,Epc1.1,1655.479025
11_B04,Padi4.1,2222.346052
8_C02,Kdm4a.2,2224.424857
11_E03,Orc1.2,2226.058887
8_D03,Kdm4d.2,2230.691749
3_B09,Cbx4.1,1668.804614
8_G05,Kdm5a.4,2238.913808
control2_C03,mll2.2,2239.382142
19_G08,Wdr82.4,1759.485136
control3_C03,mll2.2,771.2801292
18_E03,Trim66.2,788.9636867
16_E03,Smarca4.2,809.1765819
control3_F02,Runx3.1,820.4340615
8_G11,Kdm2a.4,2283.490854
3_D11,Chd2.2,1700.190206
19_B05,Actb,1818.145341
11_D05,Ncor1.1,2302.257125
3_B11,Chd1.1,1711.721866
3_E11,Cbx4.3,1715.153643
11_E04,Nap1l2.4,2320.63272
2_G11,Brd1.4,1719.34847
11_B05,Orc1.1,2327.673391
8_B06,Kat2a.1,2369.657172
2_B04,Brd3.1,1751.771707
5_F11,Ezh2.4,1751.913091
3_E06,Cbx8.3,1752.714463
5_G09,Epc1.4,1756.721554
8_F07,Kdm4a.4,2392.434321
11_D03,Pbrm1.2,2393.872595
8_E03,Kdm2a.2,2397.170329
8_G10,Kdm1a.4,2400.48958
5_D10,Dub2a.3,1766.156837
11_E05,Parp1.3,2404.363934
8_E06,Kdm3a.3,2407.760187
8_E02,Kdm1b.2,2411.97379
control3_C02,mll2.1,984.5386702
3_E03,Cbx6.2,1780.406645
8_E08,Jmjd6.3,2430.899845
control2_D11,shCd4.3+pMig,2433.76909
6_B05,Hat1.1,1788.247049
11_C05,Paxip1.2,2440.312726
11_G09,Padi1.4,2441.105716
8_F02,Kat2a.3,2449.805896
