plate_well,shRNA,GeoMean
14_G11,Psip1.4,0
control2_G04,Smarce1.3,96.34167822
control2_F04,Runx3.3,113.5057895
control2_F02,Runx3.1,116.4206327
control2_G03,Smarce1.2,117.2923035
control2_C03,mll2.2,118.738472
control2_F03,Runx3.2,124.5118658
18_C09,Usp27x.1,23.27717981
control2_C02,mll2.1,149.1658997
10_D02,Mll2.2,173.5438068
10_F06,Mll5.3,211.0357293
10_B10,Mll2.1,214.69739
control2_E03,Smarca4.2,230.6184287
8_G08,Kat2a.4,230.6345401
control2_D05,Ncor1.4,240.6897669
control2_E04,Smarca4.3,252.3746084
control2_D11,shCd4.3+pMig,252.9776409
control2_G05,Smarce1.4,264.3341812
control2_F07,Sp140.2,265.0550939
19_G11,Arid1a.2,125.816563
10_D05,Morf4l1.1,268.3899615
control2_E02,Smarca4.1,268.3905989
12_B10,Pcgf5.1,278.7794104
16_E09,Smarce1.3,136.895675
control3_G04,Smarce1.3,139.1836108
control2_D02,Ncor1.1,292.1618139
8_E06,Kdm3a.3,293.6976188
control3_D03,Ncor1.2,148.4024687
control2_C11,shCd4.2+pMig,298.111003
control3_C03,mll2.2,151.7004403
control2_C10,shCd4.2+Runx3,299.7770728
control3_F04,Runx3.3,154.2472047
15_G06,Sin3a.4,156.3027714
7_B06,Hdac9.1,78.31220365
8_G02,Kdm3b.4,307.2482529
control2_F08,Sp140.3,307.4887889
19_D07,Dpy30.2,158.924825
control1_F04,Runx3.3,81.19635223
control1_F03,Runx3.2,81.36173581
control1_C03,mll2.2,81.44496111
control2_C05,mll2.4,308.8604455
control2_D10,shCd4.3+Runx3,308.8612195
control2_F09,Sp140.4,310.3330127
21_B09,Smarcd2.3,161.5122685
12_G03,Phf19.4,311.2795031
control3_F03,Runx3.2,161.839785
21_D05,Smarcc1.2,163.6638619
8_E09,Kdm4c.3,313.9025256
21_D02,Setd3.2,165.2837198
21_F02,Smarca2.1,166.5596254
control3_C02,mll2.1,167.095547
control2_D07,Cxxcl.2,321.8226653
control2_F06,Sp140.1,323.7657824
8_F07,Kdm4a.4,327.9347206
19_G03,Zmynd8.4,177.4641596
