plate_well,shRNA,Percentage
17_B02,Smyd4.1,0
17_B03,Suv39h2.1,0.225952227
control2_F02,Runx3.1,14.366951
14_C02,Ring1.2,14.81481481
13_B10,Prdm11.1,17.0212766
control3_F02,Runx3.1,12.67347473
12_G02,Phf8.4,20.45454545
6_D02,Fkbp1a.2,18.18181818
control2_F04,Runx3.3,22.77733721
control1_F02,Runx3.1,19.67639411
18_D05,Trim24.1,20
10_F02,Mll3.3,23.71613761
control2_E03,Smarca4.2,26.23885918
control3_F04,Runx3.3,23.28729282
5_F09,Ep300.3,24.08536585
control3_E03,Smarca4.2,24.70178926
21_E07,Smarcc1.3,25
10_C08,Mll3.2,29.50326141
control1_E03,Smarca4.2,26.04042806
2_G02,Brd4.4,27.95566502
21_B09,Smarcd2.3,29.26004228
3_G04,Brwd3.4,28.57142857
8_C06,Kdm3b.1,32.8125
16_E03,Smarca4.2,31.02998696
12_B02,Pcgf2.1,33.33333333
control3_F03,Runx3.2,31.40243902
7_B06,Hdac9.1,30
19_G11,Arid1a.2,32.54582485
control2_F03,Runx3.2,34.59508829
13_C04,Prdm10.2,34.9617422
control1_F04,Runx3.3,31.26245847
10_G08,Mll3.4,35.18184163
21_D06,Smarcb1.1,33.33333333
18_E03,Trim66.2,34.61538462
7_D08,Ino80.2,32.81853282
7_E10,Ino80.3,33.08616722
control3_G03,Smarce1.2,35.57360406
control3_E02,Smarca4.1,35.89001447
5_E02,Ep300.2,33.65806137
control3_G04,Smarce1.3,36.2054681
control2_G03,Smarce1.2,38.11761356
20_E06,Paf1.3,37.04478861
8_E09,Kdm4c.3,38.43194724
7_F04,Ing5.4,34.79069767
13_F06,Prdm13.3,38.63636364
control2_E02,Smarca4.1,38.65156974
5_C11,Ep300.1,35.29411765
11_F09,Nsd1.3,39.25292814
7_D04,Ing4.3,35.92792793
7_G08,Hdac9.4,36.36363636
control2_D05,Ncor1.4,40.28976244
16_C05,Smarce1.2,39.31006819
11_C04,Nap1l2.2,40.41450777
control2_G04,Smarce1.3,40.43039421
16_B05,Smarca4.1,39.42480527
control1_G04,Smarce1.3,36.65743306
control1_F03,Runx3.2,37.35269937
20_B04,Paf1.1,40.59139785
3_C09,Chd1l.1,37.63466042
11_G07,Ncor1.4,41.89633375
13_F10,Prdm13.4,42.1656051
20_E03,Mecp2.1,41.45885287
19_F07,Chd7.1,41.51741294
19_E03,Actl6a,41.8746196
control1_D09,Cxxcl.4,38.97785349
16_E09,Smarce1.3,42.28979212
20_C07,Paf1.2,42.61363636
7_E04,Hdac7.4,39.2841361
control1_G03,Smarce1.2,39.42722636
2_C06,Brd4.1,39.77272727
control1_G08,Wdr82.3,39.81145758
1_F09,Asxl1.3,40
control1_D05,Ncor1.4,40.07243991
20_B09,Iws1.1,43.67956138
13_G07,Prdm14.4,44.20186113
control1_G07,Wdr82.2,40.2916074
17_E09,Taf1.3,44.39598779
9_D06,Kdm6a.2,44.93986506
2_D08,Brd4.2,40.93264249
19_B11,Chd7.2,44.75103734
6_E07,Gtf2b.2,41.14285714
5_D09,Elp4.2,41.16743472
10_G11,Mta2.4,45.35591719
10_E07,Morf4l1.2,45.35748074
13_D02,Prdm11.2,45.47406082
5_B03,Epc1.1,41.50977552
17_C08,Sp100.2,45.37071886
16_D08,Smarcd1.2,45.82924436
7_E07,Hira.2,42.10683378
3_E03,Cbx6.2,42.14226634
16_D09,Sirt7.2,46.17881381
control2_E04,Smarca4.3,46.37599625
control1_D07,Cxxcl.2,42.3117338
20_D06,H2afz.3,46.31746876
control2_D07,Cxxcl.2,46.62551857
control1_E02,Smarca4.1,42.51968504
19_F04,Brdt.2,46.75603217
3_D05,Cbx3.1,42.75074479
6_D04,Hcfc1.3,42.91868605
control3_D05,Ncor1.4,47.28306655
control2_G05,Smarce1.4,47.64408919
8_E11,Kdm1a.3,47.72109387
2_E09,Brd9.3,43.84352849
19_B05,Actb,48.24212779
3_D10,Brwd1.3,44.03956925
2_E10,Brd4.3,44.182262
13_D04,Prdm5.3,48.61367837
9_F06,Kdm6a.3,48.63429439
10_B06,Mll3.1,48.64864865
13_C11,Prdm2.1,48.66850321
4_C05,Dnmt3b.2,44.65452045
control3_G05,Smarce1.4,49.09615385
control1_C09,Brd8.4,44.72401321
7_C08,Hdac9.2,44.7320891
10_F06,Mll5.3,49.15254237
7_E03,Ing3.2,45.01850709
control3_E04,Smarca4.3,49.52071208
3_D04,Cbx7.3,45.17208413
13_G09,Prdm5.4,49.51177484
21_C08,Sirt2,50
21_E02,Ube2a.2,50
5_F05,Elp3.3,45.45454545
21_C04,Scmh1.1,50.08849558
control1_E04,Smarca4.3,45.54508748
6_G09,Hcfc1.4,45.72192513
10_D05,Morf4l1.1,50
16_F08,Smarca4.3,50.39713041
control1_G06,Wdr82.1,45.95210946
3_C03,Cbx1.1,45.97402597
7_G06,Jmjd1c.4,46.00886918
6_B03,Hcfc1.1,46.31519274
3_B07,Chd2.1,46.34675669
control1_C11,shCd4.2+pMig,46.37588198
control3_D07,Cxxcl.2,51.23939444
13_D06,Prdm13.2,50.7751938
17_E04,Smyd4.4,51.27444134
7_E05,Jarid2.3,46.55355249
15_C11,Setd5.1,51.36422694
18_C04,Tdg.2,51.57350869
16_F11,Smarce1.4,51.62311956
3_F03,Chd2.3,47.02484113
control3_G02,Smarce1.1,52
11_E07,Ncor1.2,51.51515152
16_D02,Sirt3.2,52.17809097
7_F09,Ing2.3,47.30344379
13_D10,Prdm10.3,51.90492835
10_E03,Mta2.2,52.21992179
control1_D06,Cxxcl.1,47.91499599
13_F03,Prkcd.3,52.28334198
10_E08,Mll2.3,52.28628231
2_B04,Brd3.1,47.97297297
13_G04,Prdm11.4,52.3379555
14_D10,Prmt1.3,52.46132208
3_D02,Brwd3.2,48.17188089
17_D07,Taf3.3,53.34261838
14_D07,Rnf217.3,52.59391771
7_D07,Jmjd1c.3,48.38709677
12_E04,Pcgf2.4,52.76561878
9_D04,L3mbtl4.3,52.84241532
17_C05,Taf1.2,53.67222579
9_E02,L3mbtl2.2,52.94117647
14_B04,Rbbp5.1,52.97066934
10_F05,Morf4l1.3,53.01076541
control1_G05,Smarce1.4,48.68319132
control1_G09,Wdr82.4,48.71364653
