plate_well,shRNA,GeoMean
control2_C03,shmll2.2,347.8709035
control3_C03,shmll2.2,361.3169136
14_G09,Rbbp4.4,489.0557733
10_C11,Mta1.1,537.3435858
control1_D03,shNcor1.2,116.4965656
control1_C03,shmll2.2,153.1719201
7_C09,Jmjd1c.1,246.1274815
control3_C02,shmll2.1,858.0031613
17_F11,Taf1.4,974.9429483
control1_C02,shmll2.1,589.6995253
control2_C02,shmll2.1,1740.261071
control3_G02,shSmarce1.1,1172.452595
10_D02,Mll2.2,1798.90346
19_G08,Wdr82.4,1216.773229
2_E10,Brd4.3,731.7547658
2_C06,Brd4.1,927.511533
control1_G09,shWdr82.4,1008.820622
10_B10,Mll2.1,2567.764499
control3_G09,shWdr82.4,1731.581206
21_D06,Smarcb1.1,1762.229191
2_D08,Brd4.2,1212.52676
19_D05,Whsc1l1.1,1837.002404
4_B10,Chd4.1,1225.576663
19_C08,Wdr82.2,1924.266105
2_G02,Brd4.4,1294.020368
control1_G06,shWdr82.1,1298.697361
10_D04,Mta3.3,3106.112894
19_F02,Wdr82.3,1992.32964
4_B03,Cxxc1.1,1369.863409
control1_G07,shWdr82.2,1452.17482
control2_G09,shWdr82.4,3415.611123
19_B06,Wdr82.1,2146.724551
control1_G03,shSmarce1.2,1520.521119
control3_C05,shmll2.4,2230.593991
control1_C05,shmll2.4,1553.481482
4_B04,Dmap1.1,1566.038203
control2_G06,shWdr82.1,3729.666967
control1_G04,shSmarce1.3,1615.664754
4_C06,Dnmt1.1,1616.882671
control3_G08,shWdr82.3,2330.659938
control3_G07,shWdr82.2,2363.652727
control3_G06,shWdr82.1,2372.370796
14_C02,Ring1.2,3854.619689
control1_D04,shNcor1.3,1729.046434
control2_G04,shSmarce1.3,3988.275329
4_B08,Dnmt3a.1,1759.646572
15_F11,Sfmbt2.4,2565.725193
12_B02,Pcgf2.1,4170.599389
control2_G07,shWdr82.2,4176.14401
control2_G08,shWdr82.3,4218.123965
control1_G08,shWdr82.3,1854.030621
4_G09,Cxxc1.4,1863.183607
control1_D09,shCxxcl.4,1896.37939
4_B09,Chd9.1,1933.982722
4_B02,Chd3.1,1948.106853
15_B06,Scml4.1,2737.722892
control1_D08,shCxxcl.3,1951.504041
4_D04,Cxxc1.3,1982.835904
control2_G03,shSmarce1.2,4583.425923
4_B11,Dnmt3b.1,2018.612722
control1_D06,shCxxcl.1,2047.139866
control1_G02,shSmarce1.1,2072.57675
8_C06,Kdm3b.1,4769.814025
14_D11,Rnf40.2,4830.15113
16_F03,Smyd3.3,2967.80831
7_D07,Jmjd1c.3,2158.463847
12_E08,Pcgf5.3,4941.655328
4_B06,Chd5.1,2199.05961
1_B09,Ash2l.1,2204.20229
18_C07,Ube2e1.2,3080.171501
16_C05,Smarce1.2,3089.484346
19_D03,Dpy30.1,3096.566212
5_F05,Elp3.3,2250.365092
21_E07,Smarcc1.3,3124.907245
control2_C05,shmll2.4,5109.198054
control1_D02,shNcor1.1,2269.342731
19_D02,Wdr5.2,3152.883811
control3_D03,shNcor1.2,3158.325429
12_E06,Phf20l1.3,5212.805635
16_E09,Smarce1.3,3203.586519
control2_D09,shCxxcl.4,5263.697494
12_E05,Phip.3,5385.389884
10_B08,Myst2.1,5385.871026
4_B05,Ctsl.1,2396.894005
control3_G03,shSmarce1.2,3343.829039
control3_D09,shCxxcl.4,3349.562845
21_C08,Sirt2,3351.957
19_G10,Zmynd11.4,3355.275177
control3_G04,shSmarce1.3,3362.908999
3_G04,Brwd3.4,2468.546755
11_G11,Orc1.4,5555.784917
control1_C04,shmll2.3,2502.854762
control2_D03,shNcor1.2,5685.420089
18_D05,Trim24.1,3475.792018
12_C08,Pcgf6.2,5716.989553
16_F02,Sirt4.3,3499.338808
1_E02,Asxl1.2,2615.849576
12_E07,Phc1.2,5853.873302
6_B11,Hdac3.1,2624.756234
12_C04,Pcgf2.2,5890.190708
8_E08,Jmjd6.3,5933.765703
12_E04,Pcgf2.4,5976.940924
17_E09,Taf1.3,3645.579813
8_B03,Kdm2b.1,6018.145414
2_B04,Brd3.1,2702.686208
8_C10,Kdm2b.2,6039.477439
2_B07,Brpf3.1,2711.277664
12_D06,Pcmt1.2,6050.287129
18_E03,Trim66.2,3685.458441
control3_D04,shNcor1.3,3699.798894
21_E02,Ube2a.2,3707.084382
10_G03,Mta1.4,6103.784567
control2_D08,shCxxcl.3,6141.183527
12_G04,Pcgf5.4,6178.862185
10_G11,Mta2.4,6180.784883
15_G06,Sin3a.4,3774.050465
12_C07,Phf20l1.2,6212.568827
15_G10,Setd4.4,3778.320346
17_F10,Sp110.4,3780.989295
19_G09,Brd7.1,3784.262628
5_F08,Ep400.3,2797.587196
4_C10,Cxxc1.2,2797.981087
1_G04,Aff1.4,2800.629695
21_F05,Smarcd2.1,3793.95307
12_B11,Polr2b.1,6285.632918
control1_F07,shSp140.2,2834.586712
control1_B02,shBptf.1,2859.000494
9_E10,Mbd2.3,6366.447233
4_D02,Chd4.2,2868.410679
5_G04,Eed.4,2878.614952
control1_B08,shWhsc1.3,2886.655166
19_D09,Zmynd11.2,3905.330902
19_G11,Arid1a.2,3913.944116
17_D09,Ssrp1.2,3924.198406
17_E11,Ssrp1.3,3940.866879
9_F06,Kdm6a.3,6493.814382
control1_E11,shCd4.4,2926.297692
12_C03,Pcmt1.1,6509.527057
15_G11,Setd8.4,3956.25745
12_D08,Phf8.2,6517.908302
21_B09,Smarcd2.3,3959.206741
17_C11,Supt16h.1,3959.808691
19_E10,Cbx2.2,3963.883661
19_D06,Whsc1.2,3964.715107
7_G08,Hdac9.4,2947.173151
9_D08,Mbd2.2,6554.426378
4_E03,Ctsl.2,2958.32635
15_D02,Scml2.2,3992.062355
control2_C04,shmll2.3,6583.869479
12_D09,Phf1.2,6605.62244
10_E09,Myst3.3,6614.604405
1_D02,Aff1.2,2979.443515
2_B03,Brd2.1,2981.113684
12_C05,Polr2b.2,6634.337867
11_C09,Pbrm1.1,6647.040871
10_B06,Mll3.1,6658.636892
11_D08,Padi6.2,6667.031555
17_G11,Suv39h1.4,4045.594441
2_B02,Baz1a.1,3008.649325
control2_E11,shCd4.4,6678.768345
2_E06,Brd3.3,3010.789483
control1_C07,shBrd8.2,3015.994499
12_B09,Phf1.1,6693.403079
11_D05,Ncor1.1,6716.351304
12_F10,Pcmt1.4,6736.474307
17_E07,Sp140.2,4124.762543
16_G03,Smarca1.4,4130.83842
5_C11,Ep300.1,3075.012474
4_G05,Dot1l.4,3082.046893
9_D06,Kdm6a.2,6838.046521
5_B08,Ezh1.1,3093.592963
12_B06,Pcgf6.1,6864.323242
8_C02,Kdm4a.2,6873.977849
control1_F03,shRunx3.2,3105.445278
7_B06,Hdac9.1,3107.027431
6_G02,Hdac10.4,3107.912114
12_D04,Phf20.3,6890.394969
12_D02,Pcgf5.2,6906.022081
control1_B04,shBptf.3,3117.381386
9_B02,Kdm5b.1,6909.671165
4_C07,Dmap1.2,3122.99959
8_G08,Kat2a.4,6918.602533
8_D07,Kdm4d.3,6925.589949
1_G03,Asxl1.4,3132.573307
control3_D08,shCxxcl.3,4205.188896
1_G02,Atad2b.4,3140.755365
control3_E11,shCd4.4,4220.569551
4_C09,Dnmt3l.1,3148.265821
4_G04,Chd4.4,3148.292104
12_G10,Phf1.4,6975.451815
2_C02,Brd8.2,3150.910616
19_B03,Arid1b.1,4233.437468
control1_B03,shBptf.2,3156.365349
8_C09,Kdm4d.1,6996.343025
9_D05,Kdm6b.1,6999.26713
control3_F07,shSp140.2,4253.059695
11_F05,Ncor1.3,7026.526868
control3_D02,shNcor1.1,4262.44196
4_C04,Chd3.2,3191.965732
11_D07,Pbrm1.3,7064.414741
19_F10,Whsc1.4,4278.470149
12_F05,Phc1.3,7069.552406
8_C07,Kdm3a.2,7074.588596
14_C05,Rnf20.2,7081.682724
12_C10,Phf20.2,7089.067771
control3_F08,shSp140.3,4293.334091
12_G06,Ppargc1a.4,7095.543586
6_C11,Gtf3c4.1,3212.821578
16_G06,Smyd2.4,4309.676579
1_E11,Ash2l.3,3226.108444
4_D08,Dnmt1.2,3228.168084
4_D07,Dnmt3l.3,3229.563742
19_D04,Arid1b.3,4328.321933
1_D04,Asxl3.3,3236.318902
9_D11,Men1.2,7162.006146
17_C03,Sp110.1,4340.337963
2_C11,Bptf.1,3243.930053
control1_G05,shSmarce1.4,3244.069928
2_D05,Bmi1.1,3244.61343
control1_B07,shWhsc1.2,3244.955561
16_D07,Smyd2.3,4347.549543
20_G05,Satb1.2,4349.980967
5_G03,Ep300.4,3255.983268
12_F02,Pcgf6.3,7198.828328
19_G07,Whsc1l1.4,4359.397738
15_G08,Scml4.4,4365.407931
8_G11,Kdm2a.4,7213.610881
control1_C11,shCd4.2,3263.220591
12_F09,Phf19.3,7219.213315
12_F11,Polr2b.4,7227.802089
8_B02,Jmjd5.1,7227.908639
12_E10,Phf8.3,7239.903076
1_B11,Atr.1,3276.735898
control2_D02,shNcor1.1,7242.407138
control2_D04,shNcor1.3,7256.570295
17_D10,Smyd4.3,4392.820067
12_B05,Phf2.1,7273.331699
control3_C07,shBrd8.2,4401.92216
18_C11,Trim33.1,4403.734317
18_C06,Ube2i.1,4407.371947
4_D09,Chd9.2,3303.025597
2_B08,Brd8.1,3304.81868
2_G04,Baz1b.4,3308.471328
4_G11,Ctsl.4,3309.637403
17_C10,Suv39h2.2,4424.858416
11_B04,Padi4.1,7321.064271
17_C09,Taf3.1,4435.247005
16_C07,Smarcc2.2,4440.910174
16_B08,Smarcd3.1,4448.323996
9_C06,Mbd2.1,7361.802708
8_B04,Kdm3a.1,7362.939625
12_G11,Phf2.4,7364.086578
19_E06,Brdt.1,4460.446476
2_E04,Baz1a.4,3346.524179
control1_B11,shCd4.1,3353.550654
1_C11,Asxl1.1,3355.359721
11_C10,Padi1.2,7419.473798
2_F02,Baz2a.3,3360.93698
4_E02,Crebbp.2,3362.804949
12_F03,Prdm1.3,7427.743466
7_G02,Ino80.4,3370.748937
12_B07,Prdm1.1,7445.772589
16_E08,Sirt3.3,4506.545881
19_G03,Zmynd8.4,4506.894344
11_D10,Nap1l2.3,7456.592841
11_B10,Nap1l3.1,7460.825201
