plate,shRNA,Well,GeoMean
14,Rbbp4.4,G09,629.2562272
17,Taf1.4,F11,113.4425639
21,Smarcd2.3,B09,370.6385803
14,Prmt2.4,G04,998.261009
16,Smarca4.2,E03,426.3266848
19,Arid1a.2,G11,440.3757922
16,Smarce1.3,E09,464.6628438
17,Taf1.3,E09,528.750267
5,Elp3.3,F05,292.798055
14,Rnf20.2,C05,1187.071036
19,Whsc1l1.1,D05,571.5771879
control 2,shNcor1.2,D03,1199.89347
14,Ring1.2,C02,1212.854394
16,Smarce1.2,C05,596.5778888
4,Dmap1.1,B04,363.1110268
4,Chd4.1,B10,374.6756352
control 1,shRunx3.1,F02,377.3690776
control 1,shNcor1.2,D03,389.97334
16,Smarce1.4,F11,645.0399844
4,Cxxc1.1,B03,406.8969259
14,Prmt2.2,D02,1285.564264
16,Smarca4.1,B05,654.8141599
14,Prmt3.3,F02,1289.442103
7,Jmjd1c.1,C09,428.8776951
control 1,shSmarca4.2,E03,436.4119605
14,Prmt5.2,D06,1331.047134
4,Dnmt1.1,C06,469.6418176
19,Actl6a,E03,704.2386112
21,Smarcb1.1,D06,712.057648
control 3,shSmarca4.2,E03,713.4453347
control 1,shSmarce1.3,G04,489.7903116
5,Ep300.4,G03,493.2872533
10,Msl3.3,E11,1365.303017
14,Prmt1.2,C04,1367.819732
14,Prmt8.1,C11,1376.758623
19,Zmynd11.4,G10,736.4304659
4,Dnmt3a.1,B08,520.3240121
11,Ncoa3.3,F06,1386.530792
control 1,shSmarce1.4,G05,540.3154186
9,L3mbtl4.1,B03,1403.136389
4,Ctsl.1,B05,542.8535848
control 1,shSmarca4.1,E02,550.1164411
11,Padi4.1,B04,1428.859614
21,Smarcd2.1,F05,781.4859319
control 1,shSmarce1.2,G03,572.4065186
control 1,shmll2.2,C03,578.1023847
14,Prmt8.2,E02,1437.695392
16,Smyd3.3,F03,790.3394146
control 1,shSmarca4.3,E04,584.5720369
4,Chd9.1,B09,585.9634291
19,Whsc1.4,F10,796.3765793
control 1,shCxxcl.3,D08,589.8486122
14,Rbbp5.2,C07,1451.461026
19,Brd7.1,G09,807.4621233
control 1,shNcor1.4,D05,607.6091878
14,Prmt1.3,D10,1466.010569
control 1,shSmarce1.1,G02,615.084142
control 1,shRunx3.3,F04,617.0433404
9,L3mbtl3.3,F08,1475.475458
15,Sfmbt2.4,F11,824.2637801
control 1,shNcor1.3,D04,627.0462073
control 1,shCxxcl.1,D06,627.1138603
14,Rbbp7.1,C06,1483.360307
2,Brd4.2,D08,628.4968041
9,Kdm5b.3,D10,1484.014716
4,Dnmt3b.1,B11,629.0903239
17,Tcea1.4,G05,838.4224075
14,Rnf217.3,D07,1497.218993
17,Taf3.4,G06,843.1957856
14,Rbbp7.4,G02,1501.043821
16,Smarca4.3,F08,844.9047243
17,Taf3.1,C09,848.6389623
19,Whsc1l1.2,E07,852.3760328
14,Prmt2.1,B10,1510.652094
19,Dpy30.1,D03,853.2317689
19,Whsc1.2,D06,854.7043436
control 1,shmll2.1,C02,661.4165615
14,Prmt5.3,F06,1514.393269
4,Chd3.1,B02,663.6669054
4,Chd5.1,B06,679.4245894
control 1,shWhsc1.4,B09,679.7075779
12,Pcgf5.3,E08,1531.311797
8,Kat2a.4,G08,1532.939407
19,Cbx2.2,E10,873.7185009
16,Sirt7.3,E11,878.9997287
19,Arid1b.1,B03,882.2770497
3,Brwd3.4,G04,696.0580244
17,Taf1.2,C05,894.6148225
control 1,shRunx3.2,F03,711.5935031
control 3,shSmarce1.3,G04,897.3461831
2,Brd4.3,E10,713.4624164
control 2,shSmarce1.4,G05,1565.524714
1,Asxl1.3,F09,718.3149616
16,Smarcd1.2,D08,902.2984981
14,Rbbp5.3,E06,1569.312828
2,Brd4.1,C06,723.0351983
control 1,shWhsc1.2,B07,728.4479147
14,Psip1.2,E03,1577.097978
4,Cxxc1.3,D04,735.3738596
control 1,shCd4.2,C11,738.0422817
14,Rbbp5.4,F04,1587.230586
17,Sp110.4,F10,920.5589207
11,Paxip1.1,B11,1588.68295
1,Aff1.2,D02,743.374929
1,Ash2l.1,B09,744.575905
11,Paxip1.2,C05,1596.128386
9,Mbd2.1,C06,1597.766345
14,Prmt3.2,C08,1598.011681
2,Brd4.4,G02,755.4860701
15,Setmar.2,D08,932.5533426
14,Prmt5.1,C03,1603.673633
14,Rnf40.3,F03,1606.276412
control 1,shmll2.3,C04,762.3298318
control 2,shRunx3.1,F02,1612.618632
control 1,shCxxcl.4,D09,771.1457799
control 1,shNcor1.1,D02,772.2350335
1,Atad2.4,F04,773.9551365
19,Arid1b.3,D04,948.0680468
14,Rbbp7.2,D08,1621.591249
control 1,shSmarca4.4,E05,782.7236771
control 1,shCd4.4,E11,785.1588162
14,Rnf217.2,D03,1628.679456
control 1,shCd4.1,B11,788.2518016
10,Mll3.4,G08,1631.381553
12,Phf20l1.3,E06,1632.605919
16,Smarcd1.4,G02,961.2217091
control 1,shSp140.2,F07,793.2517497
control 1,shBrd8.4,C09,794.2168252
1,Atm.4,F07,794.8332781
control 1,shWhsc1.3,B08,795.0758228
1,Ash1l.1,D05,796.6201609
1,Atad2b.4,G02,798.1597618
14,Rnf20.4,F11,1643.651694
14,Ring1.3,E05,1644.156483
19,Zmynd8.3,F09,970.9874319
control 1,shSp140.4,F09,810.2484043
12,Phip.3,E05,1651.694216
9,Kdm6a.1,C03,1652.998918
10,Mta2.4,G11,1654.119218
4,Cxxc1.2,C10,814.7112172
1,Asxl2.2,E03,818.3565987
11,Padi6.4,G02,1657.631034
control 1,shBptf.2,B03,821.8744185
14,Prmt7.4,G10,1661.517152
14,Prmt7.2,D09,1666.071553
control 1,shSp140.3,F08,828.3956097
control 1,shBrd8.3,C08,829.4250345
control 1,shCd4.3,D11,831.0228177
control 3,shSmarce1.4,G05,993.4435785
4,Crebbp.1,C11,832.5842352
control 2,shSmarca4.2,E03,1672.407701
control 1,shBptf.3,B04,836.3175893
15,Sin3a.4,G06,1000.116981
14,Prmt7.1,B09,1679.420881
16,Sirt1.2,C04,1002.273254
11,Padi1.1,B03,1681.286777
7,Jmjd1c.3,D07,845.5087889
16,Smarca4.4,G11,1004.887549
9,L3mbtl1.3,E11,1683.155402
10,Myst4.4,G06,1684.633163
1,Asxl1.2,E02,848.9845936
11,Ncor1.2,E07,1688.127236
15,Setd2.4,G07,1010.15371
1,Atr.1,B11,854.6776765
9,Kdm5d.3,F02,1692.366153
16,Sirt4.3,F02,1014.721951
14,Rbbp7.3,E10,1694.368906
4,Dnmt3l.3,D07,858.658244
19,Zmynd8.1,C11,1015.231443
control 2,shSmarce1.3,G04,1699.184238
14,Prmt6.1,D05,1701.777684
16,Sirt6.3,F05,1022.513408
15,Setd5.2,E02,1022.622663
control 2,shSmarce1.2,G03,1703.70605
10,Msl3.4,G10,1704.882863
14,Rbbp4.2,C10,1706.544791
14,Rnf20.3,E09,1708.322869
19,Cbx2.1,D08,1027.322188
control 1,shCd4.3,D10,874.2987038
10,Mll3.2,C08,1710.325994
14,Rnf40.4,G05,1711.702285
18,Trim66.1,B05,1030.126672
1,Asxl2.4,G11,877.7536313
3,Chd2.4,G05,878.5215011
4,Chd4.2,D02,879.8944862
8,Kdm2b.1,B03,1715.114834
16,Smarcd1.1,C06,1033.566813
15,Scml4.4,G08,1034.268056
19,Brdt.1,E06,1036.946928
1,Aurkb.4,G05,886.908869
14,Rnf20.1,B11,1720.868362
control 1,shWdr82.4,G09,887.4726396
control 3,shSmarce1.1,G02,1039.091586
2,Brd2.4,G09,890.7281385
4,Dnmt1.2,D08,893.1373004
8,Kdm4d.1,C09,1729.558185
17,Taf1.1,B11,1046.188977
15,Setd2.2,E07,1046.280517
control 1,shWdr82.2,G07,897.6355669
15,Setd5.3,F09,1049.433806
16,Smarcd1.3,E10,1051.922594
