plate,shRNA,Well,GeoMean
plate 21,Sirt2,C08,1
plate 3,Chd1l.4,G06,0
plate 17,Taf1.4,F11,529.5223553
plate 17,Taf1.3,E09,883.443611
plate 2,Brd4.2,D08,660.1969659
plate 21,Smarcd2.3,B09,1077.01682
Control 1,shCxxcl.4,D09,900.4853148
control 3,shCxxcl.4,D09,1324.138738
plate 17,Taf3.4,G06,1330.671336
control 3,shSmarce1.1,G02,1337.721357
Control 1,shWdr82.2,G07,1115.325795
Control 1,shWdr82.1,G06,1169.871019
control 3,shWdr82.1,G06,1419.981457
Control 1,shCxxcl.1,D06,1245.315867
plate 19,Wdr82.1,B06,1492.013482
control 3,shWdr82.2,G07,1499.5356
Control 1,shNcor1.2,D03,1287.781526
Control 1,shWdr82.4,G09,1288.548282
Control 1,shWhsc1.4,B09,1384.79969
control 3,shWdr82.4,G09,1607.997838
control 3,shWhsc1.4,B09,1697.64616
plate 13,Prdm8.1,C06,1983.409648
plate 13,Prkaa2.2,D03,1984.523834
plate 5,Elp3.3,F05,1528.230008
plate 19,Wdr82.2,C08,1741.996688
plate 13,Prdm15.3,E11,2037.343095
Control 1,shCxxcl.3,D08,1600.389439
plate 2,Brd4.4,G02,1601.744031
Control 1,shSmarce1.3,G04,1603.505763
control 3,shSmarca4.2,E03,1804.878559
plate 3,Brwd3.4,G04,1632.48064
plate 13,Prdm5.2,C10,2113.701004
plate 13,Prdm12.3,F02,2115.295144
Control 1,shWhsc1.3,B08,1679.31673
plate 13,Prdm11.2,D02,2165.209955
Control 1,shSmarca4.2,E03,1684.315827
plate 13,Prkaa2.3,D07,2170.867172
Control 1,shWdr82.3,G08,1703.195469
plate 13,Prdm11.3,E08,2236.439469
plate 13,Prkaa2.1,C09,2253.032173
plate 13,Prdm9.2,C02,2266.156274
plate 13,Prdm10.3,D10,2269.531131
control 2,shWdr82.2,G07,2298.845858
Control 1,shCxxcl.2,D07,1833.539752
control 2,shCxxcl.4,D09,2338.580868
plate 17,Taf3.1,C09,2017.322241
Control 1,shSmarce1.2,G03,1858.349977
control 3,shCxxcl.1,D06,2027.719304
plate 13,Prdm8.3,E10,2376.287507
plate 13,Prkcd.2,D11,2384.108135
plate 13,Prdm13.4,F10,2387.227381
plate 13,Prdm6.3,E06,2401.094675
plate 13,Prdm15.2,D09,2418.041467
plate 6,Hdac3.4,F11,1927.986782
Control 1,shCd4.2,C10,1940.707075
plate 13,Prdm13.1,C03,2457.712587
plate 19,Wdr82.4,G08,2105.768302
plate 13,Prkaa1.2,C05,2471.950932
plate 13,Prdm10.2,C04,2490.361729
plate 6,Hdac3.2,C05,1976.957392
plate 15,Setdb1.1,B03,2131.58903
control 2,shWdr82.4,G09,2502.835913
plate 4,Cxxc1.4,G09,1989.417636
plate 13,Prkaa1.4,F11,2510.057459
plate 19,Arid1a.2,G11,2147.734367
plate 5,Ep300.2,E02,1998.855571
plate 13,Prdm4.3,F08,2527.556589
plate 14,Prmt2.4,G04,2531.075946
plate 13,Prdm8.2,D08,2531.494274
plate 13,Prdm4.2,E03,2541.672334
control 3,shWhsc1.3,B08,2168.021659
control 2,shWdr82.1,G06,2549.265628
plate 5,Ep300.3,F09,2026.196702
Control 1,shCd4.2,C11,2036.711068
plate 13,Prdm12.4,G08,2592.62586
plate 13,Prdm9.4,F07,2598.348034
plate 13,Prdm14.2,E07,2601.239938
plate 13,Prdm14.3,F05,2603.208233
plate 20,Paf1.3,E06,2221.318461
plate 16,Smarca4.2,E03,2227.021673
plate 13,Prdm10.4,E04,2626.505907
Control 1,shWhsc1.1,B06,2093.783583
plate 17,Taf3.3,D07,2236.426189
plate 13,Prdm2.4,G03,2631.30153
Control 1,shNcor1.4,D05,2097.835174
plate 13,Prdm14.1,D05,2649.107338
plate 13,Prkaa1.3,E09,2654.048478
plate 13,Prdm5.4,G09,2655.116232
plate 13,Prdm5.3,D04,2657.07684
plate 20,Paf1.2,C07,2265.653001
plate 2,Brd4.3,E10,2127.894766
plate 13,Prdm12.2,C08,2684.935847
control 3,shCxxcl.3,D08,2294.780546
plate 16,Smyd2.3,D07,2296.803645
plate 17,Tcea1.4,G05,2298.02184
Control 1,shNcor1.3,D04,2162.167191
plate 13,Prdm15.4,G10,2711.566776
plate 15,Setd5.4,G03,2313.260598
plate 13,Prdm8.4,G02,2743.648245
plate 13,Prdm13.3,F06,2764.784547
plate 13,Prdm14.4,G07,2777.359012
