plate,shRNA,Well,GeoMean
CR-pLMPd-A-P02,Baz2a.2,C08,196.8559802
control screen 1,Smarce1.2,G03,364.6312391
control screen 1,Smarca4.1,E02,400.4352507
control screen 1,Smarce1.3,G04,420.0365568
CR-pLMPd-A-P12,Pcgf2.1,B02,123.5235625
CR-pLMPd-A-P01,Asxl2.2,E03,541.1774239
control screen 2,Smarce1.2,G03,358.7980573
CR-pLMPd-A-P12,Phf8.4,G02,411.4900034
control screen 2,Smarce1.3,G04,451.4691065
CR-pLMPd-A-P19,Actl6a,E03,176.2942943
control screen 1,Smarca4.2,E03,684.1725753
control screen 2,Runx3.3,F04,605.3875234
CR-pLMPd-A-P13,Prdm11.1,B10,617.6325928
CR-pLMPd-A-P19,Arid1a.2,G11,229.7670581
control screen 2,Smarca4.1,E02,651.7360185
CR-pLMPd-A-P14,Ring1.2,C02,731.6411773
control screen 2,Runx3.1,F02,732.121874
CR-pLMPd-A-P05,Elp3.3,F05,834.4252365
control screen 2,Smarca4.2,E03,850.5381989
CR-pLMPd-A-P02,Brd9.1,B11,862.9187099
control screen 1,Runx3.1,F02,865.7367566
control screen 2,Smarce1.4,G05,899.4029978
control screen 1,Smarce1.4,G05,902.2261839
control screen 1,Runx3.3,F04,972.5650896
CR-pLMPd-A-P06,Hdac3.1,B11,993.633738
CR-pLMPd-A-P07,Hdac9.4,G08,999.7818925
CR-pLMPd-A-P02,Brd4.3,E10,1014.076446
control screen 1,Smarca4.3,E04,1066.865111
CR-pLMPd-A-P08,Kdm3b.4,G02,1236.046305
control screen 2,Runx3.2,F03,1246.981194
CR-pLMPd-A-P06,Fkbp1a.1,B10,1087.005376
CR-pLMPd-A-P08,Jmjd5.1,B02,1274.142581
CR-pLMPd-A-P10,Mll3.4,G08,1319.706504
control screen 2,Smarca4.3,E04,1399.699035
CR-pLMPd-A-P02,Brd1.1,B05,1207.059703
CR-pLMPd-A-P02,Brpf1.1,C09,1236.031244
control screen 1,Wdr82.4,G09,1240.190861
CR-pLMPd-A-P05,Ep400.4,G11,1244.693133
CR-pLMPd-A-P10,Mll2.1,B10,1528.537337
CR-pLMPd-A-P01,Ash2l.3,E11,1288.611105
CR-pLMPd-A-P09,L3mbtl1.4,G10,1603.335395
CR-pLMPd-A-P14,Rbbp5.2,C07,1620.70999
control screen 1,mll2.2,C03,1347.697814
CR-pLMPd-A-P06,Gtf3c4.1,C11,1373.043086
control screen 2,Wdr82.4,G09,1740.030846
CR-pLMPd-A-P08,Kdm3b.1,C06,1743.019412
CR-pLMPd-A-P01,Aurkb.2,D11,1388.315465
CR-pLMPd-A-P17,Suv39h2.1,B03,179.5430569
CR-pLMPd-A-P11,Ncor1.4,G07,1772.894032
CR-pLMPd-A-P11,Padi6.4,G02,1783.095331
CR-pLMPd-A-P17,Smyd4.1,B02,208.0354158
CR-pLMPd-A-P11,Ncoa1.3,F02,1788.711834
control screen 3,Smarce1.2,G03,221.300685
CR-pLMPd-A-P11,Parp1.2,C02,1814.100048
CR-pLMPd-A-P03,Chd2.1,B07,1432.70902
control screen 1,Smarca4.4,E05,1442.421381
CR-pLMPd-A-P16,Smarce1.3,E09,304.6546772
control screen 3,Smarce1.3,G04,311.361384
CR-pLMPd-A-P16,Smarce1.2,C05,313.2621688
control screen 1,Runx3.2,F03,1458.24495
CR-pLMPd-A-P02,Brd4.1,C06,1459.348447
CR-pLMPd-A-P18,Trim24.1,D05,328.0200623
CR-pLMPd-A-P03,Chd1l.1,C09,1464.054115
CR-pLMPd-A-P02,Baz1b.1,B10,1470.339896
control screen 3,Smarca4.1,E02,357.1547368
CR-pLMPd-A-P11,Nap1l3.4,G04,1908.100383
CR-pLMPd-A-P03,Cbx7.2,C10,1477.413211
CR-pLMPd-A-P11,Orc1.4,G11,1922.41607
CR-pLMPd-A-P21,Smarcb1.1,D06,377.10741
CR-pLMPd-A-P06,Hdac4.1,C09,1484.986012
CR-pLMPd-A-P11,Nsd1.3,F09,1933.367864
CR-pLMPd-A-P16,Smarca4.1,B05,433.6109955
CR-pLMPd-A-P21,Smarcd2.3,B09,434.5025773
control screen 3,Smarca4.2,E03,450.7042586
CR-pLMPd-A-P02,Brd2.1,B03,1521.755881
CR-pLMPd-A-P11,Nap1l3.2,D02,1993.230423
CR-pLMPd-A-P11,Nap1l2.1,B02,1999.274988
CR-pLMPd-A-P10,Myst4.2,D03,2000.81505
CR-pLMPd-A-P05,Ezh1.1,B08,1535.50478
CR-pLMPd-A-P08,Kdm4c.3,E09,2012.262334
CR-pLMPd-A-P05,Ep300.1,C11,1538.321771
CR-pLMPd-A-P08,Jmjd6.4,G04,2022.482035
CR-pLMPd-A-P11,Padi1.1,B03,2038.799
CR-pLMPd-A-P08,Kdm1b.4,G03,2044.109909
CR-pLMPd-A-P02,Brd4.4,G02,1558.260802
CR-pLMPd-A-P16,Smarce1.4,F11,537.8058402
CR-pLMPd-A-P13,Prdm2.1,C11,2056.064266
control screen 1,mll2.1,C02,1563.195107
CR-pLMPd-A-P08,Kdm1a.3,E11,2078.022949
control screen 2,mll2.1,C02,2080.506625
CR-pLMPd-A-P11,Paxip1.1,B11,2081.035067
control screen 2,Smarca4.4,E05,2095.182486
CR-pLMPd-A-P10,Morf4l1.1,D05,2095.656732
CR-pLMPd-A-P03,Brwd3.1,B10,1589.712953
CR-pLMPd-A-P08,Kdm2b.1,B03,2108.080571
CR-pLMPd-A-P02,Bptf.2,E02,1593.576682
CR-pLMPd-A-P21,Smarcc1.3,E07,613.1207141
CR-pLMPd-A-P08,Kdm2a.3,F08,2115.153178
CR-pLMPd-A-P11,Nsd1.2,E02,2116.722475
CR-pLMPd-A-P12,Pcmt1.2,D06,2120.269387
control screen 3,Smarce1.4,G05,634.6140372
CR-pLMPd-A-P19,Arid1b.1,B03,1666.518984
CR-pLMPd-A-P12,Phf20.4,G09,2144.478888
CR-pLMPd-A-P14,Rbbp4.4,G09,2147.230761
CR-pLMPd-A-P06,Hdac6.2,D11,1627.67359
CR-pLMPd-A-P05,Ep300.4,G03,1629.341028
CR-pLMPd-A-P02,Brd8.2,C02,1631.656814
control screen 3,Runx3.3,F04,695.20254
control screen 2,Ncor1.2,D03,2191.505498
CR-pLMPd-A-P06,Hcfc1.3,D04,1643.503687
CR-pLMPd-A-P06,Gtf2f1.1,B09,1645.473671
CR-pLMPd-A-P03,Cbx7.1,B03,1645.47578
CR-pLMPd-A-P11,Ncoa3.1,C03,2201.898061
CR-pLMPd-A-P07,Hdac9.1,B06,1649.392497
CR-pLMPd-A-P05,Epc1.1,B03,1655.479025
CR-pLMPd-A-P11,Padi4.1,B04,2222.346052
CR-pLMPd-A-P08,Kdm4a.2,C02,2224.424857
CR-pLMPd-A-P11,Orc1.2,E03,2226.058887
CR-pLMPd-A-P08,Kdm4d.2,D03,2230.691749
CR-pLMPd-A-P03,Cbx4.1,B09,1668.804614
CR-pLMPd-A-P08,Kdm5a.4,G05,2238.913808
control screen 2,mll2.2,C03,2239.382142
CR-pLMPd-A-P19,Wdr82.4,G08,1759.485136
control screen 3,mll2.2,C03,771.2801292
CR-pLMPd-A-P18,Trim66.2,E03,788.9636867
CR-pLMPd-A-P16,Smarca4.2,E03,809.1765819
control screen 3,Runx3.1,F02,820.4340615
CR-pLMPd-A-P08,Kdm2a.4,G11,2283.490854
CR-pLMPd-A-P03,Chd2.2,D11,1700.190206
CR-pLMPd-A-P19,Actb,B05,1818.145341
CR-pLMPd-A-P11,Ncor1.1,D05,2302.257125
CR-pLMPd-A-P03,Chd1.1,B11,1711.721866
CR-pLMPd-A-P03,Cbx4.3,E11,1715.153643
CR-pLMPd-A-P11,Nap1l2.4,E04,2320.63272
CR-pLMPd-A-P02,Brd1.4,G11,1719.34847
CR-pLMPd-A-P11,Orc1.1,B05,2327.673391
CR-pLMPd-A-P08,Kat2a.1,B06,2369.657172
CR-pLMPd-A-P02,Brd3.1,B04,1751.771707
CR-pLMPd-A-P05,Ezh2.4,F11,1751.913091
CR-pLMPd-A-P03,Cbx8.3,E06,1752.714463
CR-pLMPd-A-P05,Epc1.4,G09,1756.721554
CR-pLMPd-A-P08,Kdm4a.4,F07,2392.434321
CR-pLMPd-A-P11,Pbrm1.2,D03,2393.872595
CR-pLMPd-A-P08,Kdm2a.2,E03,2397.170329
CR-pLMPd-A-P08,Kdm1a.4,G10,2400.48958
CR-pLMPd-A-P05,Dub2a.3,D10,1766.156837
CR-pLMPd-A-P11,Parp1.3,E05,2404.363934
CR-pLMPd-A-P08,Kdm3a.3,E06,2407.760187
CR-pLMPd-A-P08,Kdm1b.2,E02,2411.97379
control screen 3,mll2.1,C02,984.5386702
CR-pLMPd-A-P03,Cbx6.2,E03,1780.406645
CR-pLMPd-A-P08,Jmjd6.3,E08,2430.899845
control screen 2,shCd4.3+pMig,D11,2433.76909
CR-pLMPd-A-P06,Hat1.1,B05,1788.247049
CR-pLMPd-A-P11,Paxip1.2,C05,2440.312726
CR-pLMPd-A-P11,Padi1.4,G09,2441.105716
CR-pLMPd-A-P08,Kat2a.3,F02,2449.805896
CR-pLMPd-A-P08,Kdm4c.4,F11,2450.664309
CR-pLMPd-A-P10,Mta3.2,C10,2450.674631
CR-pLMPd-A-P14,Prmt1.1,B02,2455.21112
CR-pLMPd-A-P11,Padi1.3,D04,2456.302767
CR-pLMPd-A-P04,Dnmt1.4,G02,1798.054674
CR-pLMPd-A-P03,Chd1.4,F11,1800.585389
CR-pLMPd-A-P19,Eaf1.2,D11,1970.827555
CR-pLMPd-A-P03,Chd1.3,E09,1807.012329
CR-pLMPd-A-P06,Hdac3.4,F11,1809.245744
CR-pLMPd-A-P11,Pcgf1.3,F03,2477.00719
CR-pLMPd-A-P11,Ncoa1.1,B06,2487.436815
control screen 1,Ncor1.1,D02,1816.95534
CR-pLMPd-A-P08,Kdm4c.1,B11,2491.125192
CR-pLMPd-A-P01,Ash2l.1,B09,1818.898021
CR-pLMPd-A-P03,Cbx8.1,B04,1819.005554
CR-pLMPd-A-P08,Kdm1a.1,B09,2500.152411
CR-pLMPd-A-P11,Nap1l3.1,B10,2500.387913
CR-pLMPd-A-P06,Gtf3c4.4,G03,1825.833365
control screen 2,Cxxcl.2,D07,2507.337202
CR-pLMPd-A-P05,Elp4.2,D09,1831.113109
CR-pLMPd-A-P11,Nsd1.4,G03,2521.232893
CR-pLMPd-A-P04,Chd3.1,B02,1837.688328
CR-pLMPd-A-P08,Kdm4c.2,C05,2523.913997
control screen 3,Smarca4.3,E04,1120.635589
CR-pLMPd-A-P01,Asxl1.2,E02,1843.344868
CR-pLMPd-A-P11,Padi4.4,F04,2533.296547
CR-pLMPd-A-P08,Kat2a.2,C08,2542.029853
CR-pLMPd-A-P11,Ncor2.1,B09,2542.995829
CR-pLMPd-A-P09,Kdm5d.3,F02,2549.342221
CR-pLMPd-A-P06,Hdac10.4,G02,1857.082546
CR-pLMPd-A-P08,Kdm5a.1,B07,2556.938153
CR-pLMPd-A-P06,Gadd45b.2,D06,1857.710362
CR-pLMPd-A-P11,Parp1.1,B08,2559.263318
control screen 3,shCd4.1+pMig,B11,1166.541197
CR-pLMPd-A-P01,Asxl1.1,C11,1865.012928
CR-pLMPd-A-P10,Myst3.4,F11,2572.134656
CR-pLMPd-A-P10,Myst1.1,C06,2579.637354
CR-pLMPd-A-P07,Jmjd1c.3,D07,1873.380358
CR-pLMPd-A-P04,Dnmt3b.1,B11,1878.420839
CR-pLMPd-A-P12,Phip.1,B08,2592.49387
CR-pLMPd-A-P01,Actl6b.3,D10,1880.703643
CR-pLMPd-A-P02,Brpf3.1,B07,1881.231234
