plate,shRNA,Well,Percentage
19,Wdr82.1,B06,8.556866953
16,Smyd2.3,D07,10.85972851
control 3,shWdr82.2,G07,12.2160525
control 3,shWdr82.3,G08,13.78755365
control 3,shSmarca4.1,E02,14.69668543
control 3,shWdr82.1,G06,15.12557078
19,Wdr82.3,F02,15.55329949
control 3,shWdr82.4,G09,15.80310881
control 3,shSmarca4.2,E03,15.87608906
11,Ncor1.4,G07,13.79990143
19,Wdr82.2,C08,17.01791359
3,Brwd3.4,G04,7.692307692
8,Kdm2b.2,C10,14.73801148
20,Gtf2h1.1,B06,18.19699499
15,Setd4.2,D09,19.23076923
13,Prdm14.2,E07,16.22590766
19,Wdr82.4,G08,19.5931922
21,Sirt2,C08,20
20,Fbxo17.2,B02,20.16748081
control 3,shmll2.1,C02,20.19274897
3,Chaf1a.1,C06,11.13967438
18,Uhrf1.1,B08,21.51898734
8,Kdm4a.2,C02,18.61313869
control 2,shBptf.3,B04,18.87613771
4,Cxxc1.4,G09,12.06823028
20,Padi2.1,B03,22.48792271
control 2,shWdr82.2,G07,19.12883758
9,Kdm5c.2,D02,19.16545366
16,Smarca4.1,B05,22.87581699
4,Dnmt3l.4,G06,12.59259259
11,Pcgf1.2,D11,19.6287703
20,Rnf2.2,B07,23.09063893
control 2,shWdr82.1,G06,19.72887222
8,Kdm5a.3,F03,19.76442874
control 2,shWdr82.3,G08,19.90876507
control 3,shSmarca4.3,E04,23.37387626
12,Pcmt1.3,F06,19.96592845
13,Prkaa1.3,E09,19.96981891
control 3,shBrd8.4,C09,23.63840539
15,Scml2.2,D02,23.72881356
control 2,shWdr82.4,G09,20.25862069
15,Rpa3.3,D10,24.06417112
control 1,shWdr82.4,G09,13.80537975
11,Pcgf1.1,B07,20.73070608
12,Phf19.1,C11,20.88525999
10,Mll3.4,G08,20.90592334
10,Mtf2.2,C07,20.95709571
8,Kdm1a.2,D09,20.96439406
11,Pcgf1.3,F03,20.99109131
17,Taf1.4,F11,24.55020313
12,Phf19.3,F09,21.03929024
