plate_well,shRNA,Percentage
control3_G02,shSmarce1.1,0
21_C08,Sirt2,0
21_E07,Smarcc1.3,0
5_B08,Ezh1.1,0
21_F05,Smarcd2.1,4.87804878
19_B06,Wdr82.1,6.613625062
9_D02,Kdm5c.2,7.417813993
13_E09,Prkaa1.3,7.705479452
4_G02,Dnmt1.4,6.936026936
9_D11,Men1.2,8.108108108
control1_D06,shCxxcl.1,7.503539405
control3_G06,shWdr82.1,8.316831683
13_D06,Prdm13.2,8.493427705
13_D08,Prdm8.2,8.80773362
control3_G07,shWdr82.2,9.001782531
10_C08,Mll3.2,8.970727101
19_B05,Actb,9.294722092
control1_G07,shWdr82.2,8.617832284
control2_G06,shWdr82.1,9.143742735
5_G03,Ep300.4,9.090909091
control2_G09,shWdr82.4,9.549878345
13_C11,Prdm2.1,9.617321249
19_C08,Wdr82.2,9.931113662
control3_G09,shWdr82.4,9.953161593
2_F04,Brd3.4,9.375
control2_G07,shWdr82.2,9.771126761
control3_C02,shmll2.1,10.31518625
11_B07,Pcgf1.1,9.96301936
control3_E03,shSmarca4.2,10.35986914
control2_D03,shNcor1.2,10
4_G09,Cxxc1.4,9.726962457
15_C11,Setd5.1,10.4519774
20_D02,Fkbp5.1,10.45281422
13_E07,Prdm14.2,10.12491782
4_C02,Dnmt3a.2,9.843081312
19_G08,Wdr82.4,10.61746988
18_C02,Uhrf1.2,10.74847694
13_D02,Prdm11.2,10.33503691
18_C06,Ube2i.1,10.86587436
11_B10,Nap1l3.1,10.52631579
4_G04,Chd4.4,10.36144578
4_C06,Dnmt1.1,10.55702918
14_C11,Prmt8.1,10.73208126
control2_C04,shmll2.3,10.74879227
18_E11,Trim28.3,11.34686347
8_F03,Kdm5a.3,10.87977138
20_B06,Gtf2h1.1,11.55339806
16_E03,Smarca4.2,11.57243816
1_F05,Ash1l.3,11.00917431
4_C05,Dnmt3b.2,11.01398601
control1_G06,shWdr82.1,11.12426036
8_C10,Kdm2b.2,11.38138808
2_B05,Brd1.1,11.42201835
9_D08,Mbd2.2,11.4505918
11_D11,Pcgf1.2,11.45945946
2_F02,Baz2a.3,11.60409556
15_D09,Setd4.2,12.3659306
8_D09,Kdm1a.2,11.64533821
19_E03,Actl6a,12.42680547
19_F02,Wdr82.3,12.45853299
11_F03,Pcgf1.3,11.70333409
17_F10,Sp110.4,12.5
control1_G09,shWdr82.4,11.89767995
4_E04,Chd3.4,11.91836735
9_E10,Mbd2.3,11.83190534
12_B09,Phf1.1,11.86717474
3_E10,Chaf1a.3,12.01157742
12_B08,Phip.1,11.88267736
14_C04,Prmt1.2,11.90155739
14_D10,Prmt1.3,11.90681622
4_B03,Cxxc1.1,12.07289294
control3_C09,shBrd8.4,12.82226785
2_C02,Brd8.2,12.16545012
13_C08,Prdm12.2,12.00846945
14_G04,Prmt2.4,12.02866937
14_G05,Rnf40.4,12.04232804
control3_E02,shSmarca4.1,12.91925466
4_E11,Chd9.3,12.23544974
6_C07,Hdac1.2,12.24806202
11_D04,Padi1.3,12.07304701
18_B08,Uhrf1.1,12.97034086
6_B11,Hdac3.1,12.28249744
4_B11,Dnmt3b.1,12.35343384
3_F07,Chaf1b.4,12.41830065
1_E07,Ash1l.2,12.42093157
6_D11,Hdac6.2,12.43052046
4_G06,Dnmt3l.4,12.52747253
