type,shRNA,count
target,Mta2.2,50996
target,Prmt8.4,50954
target,Morf4l1.2,50660
target,Mll2.2,48578
target,L3mbtl1.3,46506
target,Mbd1.1,44997
target,Prmt5.3,43677
target,Phf20.2,41417
target,Prmt3.2,36699
target,Nap1l1.4,33173
target,Prmt5.2,31624
target,Kdm5c.2,31102
target,Phf20.3,29565
target,Mll1.2,28369
target,Kdm5a.2,28334
target,Mbd4.1,26697
target,Phf20l1.4,26542
target,Rbbp4.3,26458
target,Prdm8.2,26429
target,Prdm8.1,26423
target,Myst4.3,25146
target,Pcgf6.3,24615
target,Mtf2.1,23878
target,Phc1.2,23307
target,Nap1l3.3,23271
target,Mbd2.3,22739
target,Psip1.1,22197
target,Mta3.1,20698
target,Kdm5d.1,20065
target,Kdm4c.4,20031
target,Prmt1.4,19309
target,L3mbtl3.1,18590
target,Kdm1a.2,18281
target,Prdm9.4,17916
target,Ncor1.4,17829
target,Myst3.2,17775
target,Psip1.4,17772
target,Prdm4.2,17689
target,Mecom.2,17546
target,Nap1l3.2,17199
target,Men1.4,17153
target,Prdm1.2,16884
target,Prmt2.4,16875
target,Prmt3.4,16827
target,Mta1.4,16703
target,Phf19.1,16635
target,Polr2b.1,16049
target,Kdm5b.2,15675
target,Phf1.3,15571
target,Ncoa1.2,15493
target,Kat2a.3,15177
target,Jmjd5.3,15165
target,Phip.1,15144
target,Prmt2.3,14956
target,Ring1.4,14770
target,L3mbtl3.4,14724
target,Myst3.3,14568
target,Prdm10.2,14496
target,Mta2.1,14460
target,Prdm10.1,14335
target,Mll5.2,14331
target,Kdm5b.3,14208
target,Kdm4a.3,14082
target,Rbbp7.4,13197
target,Ncoa3.4,12937
target,Mbd3.2,12644
target,Kdm4c.1,12562
target,Kdm1a.1,12287
target,Kdm4d.1,11891
target,Mll1.3,11556
target,Morf4l1.4,11299
target,Pcmt1.4,11261
target,Nap1l3.1,11212
target,Nsd1.2,11028
target,Ncor1.1,10948
target,Kdm5a.1,10910
target,Ppargc1a.4,10581
target,Phf19.3,10353
target,Prdm15.4,10090
target,Phc1.1,9610
target,Pbrm1.1,9392
target,Phf8.2,9193
target,Pcgf2.3,9170
target,Mbd1.4,8970
target,Mll3.4,8866
target,Parp1.3,8817
