Position,Pool,shRNA,GeoMean
11_C08,2,Ncoa1.2,6402.25351696658
11_C09,2,Pbrm1.1,5496.18378010222
11_C10,2,Padi1.2,5000.99834644169
11_C11,2,Nsd1.1,5979.46380755533
11_D02,2,Nap1l3.2,7146.52103736761
11_D03,2,Pbrm1.2,5861.92541538697
11_D04,2,Padi1.3,6341.64190194808
11_D05,2,Ncor1.1,4325.88317694972
11_D06,2,Ncoa3.2,6097.5839930863
11_D07,2,Pbrm1.3,5854.44114644621
11_D08,2,Padi6.2,6202.10021733027
11_D09,2,Ncor2.2,4873.41901755736
11_D10,2,Nap1l2.3,5490.59355165531
11_D11,2,Pcgf1.2,6909.52322337734
11_E02,2,Nsd1.2,5749.4586387578
11_E03,2,Orc1.2,6140.20878481706
11_E04,2,Nap1l2.4,5545.45565328115
11_E05,2,Parp1.3,6134.25249215412
11_E06,2,Padi4.3,7368.9804961519
11_E07,2,Ncor1.2,7950.88499509278
11_E08,2,Nap1l3.3,6467.54764126726
11_E09,2,Paxip1.3,6925.30679803773
11_E10,2,Padi6.3,6228.14018991834
11_E11,2,Ncor2.3,7021.23413157091
11_F02,2,Ncoa1.3,7084.31269435277
11_F03,2,Pcgf1.3,5601.14617407369
11_F04,2,Padi4.4,5843.2709402932
11_F05,2,Ncor1.3,6980.97962059197
11_F06,2,Ncoa3.3,6528.79752390346
11_F07,2,Parp1.4,5661.02946659487
11_F08,2,Orc1.3,5453.03063905798
11_F09,2,Nsd1.3,6048.08181045111
11_F10,2,Ncoa3.4,6198.33675778515
11_F11,2,Paxip1.4,5867.52829137443
11_G02,2,Padi6.4,5801.10449558667
11_G03,2,Nsd1.4,6081.63337691792
11_G04,2,Nap1l3.4,5559.05869258118
11_G05,2,Pcgf1.4,3919.10472675701
11_G06,2,Pbrm1.4,6149.53875779442
11_G07,2,Ncor1.4,4975.01280699548
11_G08,2,Ncoa1.4,6290.73617397062
11_G09,2,Padi1.4,5983.45061032548
11_G10,2,Ncor2.4,4763.25320670089
11_G11,2,Orc1.4,6753.38221559581
12_B02,2,Pcgf2.1,5317.2044264322
12_B03,2,Phf20.1,5864.21644884394
12_B04,2,Phf20l1.1,5782.82594480756
12_B05,2,Phf2.1,6505.21065336701
12_B06,2,Pcgf6.1,4588.52872731448
12_B07,2,Prdm1.1,5479.04700295959
12_B08,2,Phip.1,5153.0437386385
12_B09,2,Phf1.1,5437.50814031236
12_B10,2,Pcgf5.1,3564.15090191745
12_B11,2,Polr2b.1,5897.14348272012
12_C02,2,Phip.2,6550.9557301869
12_C03,2,Pcmt1.1,5164.32306018847
12_C04,2,Pcgf2.2,4774.63363732437
12_C05,2,Polr2b.2,7050.77205245808
12_C06,2,Phf8.1,6001.62727891027
12_C07,2,Phf20l1.2,4623.6283281592
12_C08,2,Pcgf6.2,4324.91385526765
12_C09,2,Ppargc1a.1,6221.23087296352
12_C10,2,Phf20.2,5892.51200059122
12_C11,2,Phf19.1,7509.39754800514
12_D02,2,Pcgf5.2,6052.96749666182
12_D03,2,Ppargc1a.2,5726.03506852049
12_D04,2,Phf20.3,7439.18856818885
12_D05,2,Phc1.1,6634.70637997817
