Position,Pool,shRNA,Percentage
control2_B02,2,Bptf.1,34.60764588
control2_B03,2,Bptf.2,42.59259259
control2_B04,2,Bptf.3,47.83653846
control2_B05,2,Bptf.4,44.24131627
control2_B06,2,Whsc1.1,42.00107009
control2_B07,2,Whsc1.2,48.12098992
control2_B08,2,Whsc1.3,40.66091954
control2_B09,2,Whsc1.4,42.86539573
control2_B10,2,Cd4.1,41.67852063
control2_B11,2,Cd4.1,60.90331687
control2_C02,2,Mll2.1,46.84499314
control2_C03,2,Mll2.2,48.6090776
control2_C04,2,Mll2.3,63.33045729
control2_C05,2,Mll2.4,31.91823899
control2_C06,2,Brd8.1,49.19871795
control2_C07,2,Brd8.2,45.09394572
control2_C08,2,Brd8.3,53.51299326
control2_C09,2,Brd8.4,46.68064291
control2_C10,2,Cd4.2,52.33002292
control2_C11,2,Cd4.2,71.14967462
control2_D02,2,Ncor1.1,26.98224852
control2_D03,2,Ncor1.2,28.57142857
control2_D04,2,Ncor1.3,27.73302647
control2_D05,2,Ncor1.4,36.91128149
control2_D06,2,Cxxcl.1,48.29396325
control2_D07,2,Cxxcl.2,65.13157895
control2_D08,2,Cxxcl.3,49.79822437
control2_D09,2,Cxxcl.4,56.80751174
control2_D10,2,Cd4.3,50.86599818
control2_D11,2,Cd4.3,57.47176368
control2_E02,2,Smarca4.1,36.53295129
control2_E03,2,Smarca4.2,35.67753002
control2_E04,2,Smarca4.3,38.68243243
control2_E05,2,Smarca4.4,41.60427807
control2_E06,2,Klf2.1,41.01610905
control2_E07,2,Klf2.2,45.44217687
control2_E08,2,Klf2.3,48.30393487
control2_E09,2,Klf2.4,53.35775336
control2_E10,2,Cd4.4,49.82394366
control2_E11,2,Cd4.4,56.75227838
control2_F02,2,Runx3.1,35.46511628
control2_F03,2,Runx3.2,46.11111111
control2_F04,2,Runx3.3,47.24919094
control2_F05,2,Empty,80
control2_F06,2,Sp140.1,39.82737361
control2_F07,2,Sp140.2,36.05839416
control2_F08,2,Sp140.3,35.81445523
control2_F09,2,Sp140.4,41.17647059
control2_F10,2,Empty,42.85714286
control2_F11,2,Empty,0
control2_G02,2,Smarce1.1,43.54587869
control2_G03,2,Smarce1.2,34.62365591
control2_G04,2,Smarce1.3,40.54054054
control2_G05,2,Smarce1.4,38.74873865
control2_G06,2,Wdr82.1,31.04421449
control2_G07,2,Wdr82.2,35.11737089
control2_G08,2,Wdr82.3,32.28840125
control2_G09,2,Wdr82.4,34.23137876
control2_G10,2,Empty,37.5
control2_G11,2,Empty,90.47619048
