Position,Pool,shRNA,GeoMean
19_E05,3,Cecr2.3,66.11811948
19_E06,3,Brdt.1,63.50643302
19_E07,3,Whsc1l1.2,70.25886356
19_E08,3,Wdr5.3,78.72649155
19_E09,3,Clock.1,64.88009839
19_E10,3,Cbx2.2,63.79746894
19_E11,3,Zmynd11.3,80.85659155
19_F02,3,Wdr82.3,50.45092254
19_F03,3,Eaf1.3,53.57342473
19_F04,3,Brdt.2,46.77149133
19_F05,3,Whsc1l1.3,63.24607661
19_F06,3,Whsc1.3,75.73877077
19_F07,3,Chd7.1,40.56811181
19_F08,3,Arid1a.1,76.37192534
19_F09,3,Zmynd8.3,86.45043805
19_F10,3,Whsc1.4,77.60729698
19_F11,3,Clock.2,76.02147083
19_G02,3,Cbx2.3,54.38363753
19_G03,3,Zmynd8.4,62.49247666
19_G04,3,Wdr5.4,69.09338056
19_G05,3,Fbxo17.1,57.14147301
19_G06,3,Dpy30.3,58.07580347
19_G07,3,Whsc1l1.4,62.01240211
19_G08,3,Wdr82.4,63.63487556
19_G09,3,Brd7.1,89.33338395
19_G10,3,Zmynd11.4,
19_G11,3,Arid1a.2,
16_B02,3,Sirt1.1,52.18664807
16_B03,3,Smarca5.1,53.9355183
16_B04,3,Smarcc2.1,64.93330624
16_B05,3,Smarca4.1,133.6940197
16_B06,3,Sirt4.1,70.54859375
16_B07,3,Smyd3.1,51.64077821
16_B08,3,Smarcd3.1,65.70202827
16_B09,3,Sirt7.1,46.8858619
16_B10,3,Sirt3.1,47.09643456
16_B11,3,Smarce1.1,46.3129334
16_C02,3,Smarcd3.2,63.12891817
16_C03,3,Sirt5.1,58.49289261
16_C04,3,Sirt1.2,57.17732725
16_C05,3,Smarce1.2,210.280816
16_C06,3,Smarcd1.1,41.01269544
16_C07,3,Smarcc2.2,60.0188596
16_C08,3,Sirt4.2,43.97530684
16_C09,3,Smyd2.1,57.41202187
16_C10,3,Smarca5.2,47.75806885
16_C11,3,Smarca1.1,47.16261212
16_D02,3,Sirt3.2,52.88313693
16_D03,3,Smyd2.2,54.70387081
16_D04,3,Smarca5.3,53.9499454
16_D05,3,Sirt6.1,51.87872449
16_D06,3,Sirt5.2,68.36929214
16_D07,3,Smyd2.3,109.0536924
16_D08,3,Smarcd1.2,38.62512081
16_D09,3,Sirt7.2,59.02673841
16_D10,3,Sirt1.3,46.80575445
16_D11,3,Smyd3.2,51.3440339
16_E02,3,Smarca1.2,61.7570344
16_E03,3,Smarca4.2,145.6958431
16_E04,3,Sirt1.4,56.57096305
16_E05,3,Smarcd3.3,59.6918061
16_E06,3,Smarcc2.3,79.01046266
16_E07,3,Sirt6.2,49.00530775
16_E08,3,Sirt3.3,50.3061877
16_E09,3,Smarce1.3,169.4201219
16_E10,3,Smarcd1.3,32.19909067
16_E11,3,Sirt7.3,32.55497946
16_F02,3,Sirt4.3,59.11945233
16_F03,3,Smyd3.3,49.25403011
16_F04,3,Smarcc2.4,85.37332714
16_F05,3,Sirt6.3,64.91555627
16_F06,3,Sirt5.3,77.06973696
16_F07,3,Smarcd3.4,64.94829796
16_F08,3,Smarca4.3,85.10110927
16_F09,3,Smarca1.3,66.49355671
16_F10,3,Sirt5.4,55.83663869
16_F11,3,Smarce1.4,103.7073945
16_G02,3,Smarcd1.4,47.05488552
16_G03,3,Smarca1.4,50.93355424
16_G04,3,Sirt3.4,66.40727057
16_G05,3,Smyd3.4,58.69080767
16_G06,3,Smyd2.4,46.93289187
16_G07,3,Sirt6.4,79.09703856
16_G08,3,Sirt4.4,69.08363228
16_G09,3,Smarca5.4,61.81401327
16_G10,3,Sirt7.4,70.08699783
16_G11,3,Smarca4.4,69.22658585
15_B02,3,Rpa3.1,64.0513843
15_B03,3,Setdb1.1,41.29064728
15_B04,3,Setdb2.1,64.32580995
15_B05,3,Setd8.1,55.83841508
15_B06,3,Scml4.1,45.93576444
15_B07,3,Sin3b.1,57.85446382
15_B08,3,Sfmbt1.1,53.83391757
15_B09,3,Setd4.1,61.05261353
15_B10,3,Scml2.1,56.78861779
15_B11,3,Sfmbt2.1,55.20448553
15_C02,3,Sfmbt1.2,49.71113992
15_C03,3,Setd1a.1,65.07432797
15_C04,3,Rpa3.2,54.66240051
15_C05,3,Sfmbt2.2,52.44613933
15_C06,3,Setmar.1,59.35398853
15_C07,3,Setdb2.2,68.13792344
15_C08,3,Scml4.2,50.98883172
15_C09,3,Sin3a.1,50.95144185
15_C10,3,Setdb1.2,58.28616105
15_C11,3,Setd5.1,57.21159588
15_D02,3,Scml2.2,58.07700699
15_D03,3,Sin3a.2,63.02799253
15_D04,3,Setdb1.3,48.53028793
15_D05,3,Setd2.1,57.63616937
15_D06,3,Setd1a.2,61.36343388
15_D07,3,Sin3a.3,57.88850119
15_D08,3,Setmar.2,46.99011172
15_D09,3,Setd4.2,58.83703559
15_D10,3,Rpa3.3,69.03764338
15_D11,3,Sin3b.2,52.97580896
15_E02,3,Setd5.2,48.25487708
15_E03,3,Setd8.2,55.53874996
15_E04,3,Rpa3.4,65.35812804
15_E05,3,Sfmbt1.3,58.74617506
15_E06,3,Setdb2.3,56.42410172
15_E07,3,Setd2.2,60.5840022
15_E08,3,Scml2.3,60.14061775
15_E09,3,Sfmbt2.3,51.20526959
15_E10,3,Setmar.3,52.30959475
15_E11,3,Setd4.3,62.55619922
15_F02,3,Scml4.3,57.37432495
15_F03,3,Sin3b.3,53.0289009
15_F04,3,Setdb2.4,56.09132553
15_F05,3,Setd2.3,52.31794632
15_F06,3,Setd1a.3,84.06910205
15_F07,3,Sfmbt1.4,58.72127601
15_F08,3,Setd8.3,67.4429252
15_F09,3,Setd5.3,49.59352158
15_F10,3,Setd1a.4,69.98083966
15_F11,3,Sfmbt2.4,121.7686491
15_G02,3,Setmar.4,52.93006286
15_G03,3,Setd5.4,49.0715888
15_G04,3,Scml2.4,48.84377763
15_G05,3,Sin3b.4,61.08066526
15_G06,3,Sin3a.4,62.76350052
15_G07,3,Setd2.4,55.94080001
15_G08,3,Scml4.4,52.34402489
15_G09,3,Setdb1.4,66.46739464
15_G10,3,Setd4.4,62.25699734
15_G11,3,Setd8.4,61.43405164
20_B02,3,Fbxo17.2,54.30545466
20_B03,3,Padi2.1,49.97171164
20_B04,3,Paf1.1,56.76100384
20_B05,3,Kdm4b.3,48.64781856
20_B06,3,Gtf2h1.1,61.09571881
20_B07,3,Rnf2.2,79.09424404
20_B08,3,Phc3.1,63.42403906
20_B09,3,Iws1.1,56.91837004
20_B10,3,Fkbp2.3,67.69528988
20_B11,3,Phf10.2,57.4301504
20_C02,3,Phc3.2,53.79362097
20_C03,3,H2afz.2,51.4979301
20_C04,3,Fbxo17.3,54.46176067
20_C05,3,Phf10.3,92.94475618
20_C06,3,Parp2.2,77.10743791
20_C07,3,Paf1.2,54.74474656
20_C08,3,Gtf2h1.2,59.45513108
20_C09,3,Prdm16.1,70.1392581
20_C10,3,Padi2.2,52.07440559
20_C11,3,Jmjd8.2,59.19638299
20_D02,3,Fkbp5.1,53.05102908
20_D03,3,Prdm16.2,59.12596465
20_D04,3,Padi2.3,69.0128688
20_D05,3,Hdac11.3,67.1019032
20_D06,3,H2afz.3,57.91389431
20_D07,3,Prdm16.3,67.68984213
20_D08,3,Parp2.3,80.02887573
20_D09,3,Iws1.2,66.46537051
20_D10,3,Fkbp2.1,61.01212501
20_D11,3,Rnf2.3,67.11246473
20_E02,3,Jmjd8.3,53.95677205
20_E03,3,Mecp2.1,55.39291613
20_E04,3,Fkbp2.2,55.75150799
20_E05,3,Phc3.3,60.28907579
20_E06,3,Paf1.3,58.8850911
20_E07,3,Hdac5.1,67.48537914
20_E08,3,Fkbp5.2,56.35207265
20_E09,3,Phf17.1,70.42317473
20_E10,3,Phc2.1,52.26062581
20_E11,3,Iws1.3,54.20380855
20_F02,3,Gtf2h1.3,58.41296552
20_F03,3,Satb1.1,80.42771072
20_F04,3,Parp2.1,64.53745035
20_F05,3,Hdac5.2,60.58095738
20_F06,3,Hdac11.1,47.28728183
20_F07,3,Phf10.1,82.72179293
20_F08,3,Mecp2.2,60.88656851
20_F09,3,Kdm4b.1,54.21834725
20_F10,3,Hdac11.2,53.3395272
20_F11,3,Phf17.2,56.54233274
20_G02,3,Phc2.2,55.61039303
20_G03,3,Kdm4b.2,72.89418935
20_G04,3,Fkbp5.3,52.58473203
20_G05,3,Satb1.2,46.58835058
20_G06,3,Rnf2.1,74.56731518
20_G07,3,Hdac5.3,70.00144282
20_G08,3,H2afz.1,55.24350571
20_G09,3,Padi3,48.2550848
20_G10,3,Jmjd8.1,59.14829303
20_G11,3,Mecp2.3,54.36132825
control3_B02,3,Bptf.1,52.95606187
control3_B03,3,Bptf.2,54.6852239
control3_B04,3,Bptf.3,58.57220117
control3_B05,3,Bptf.4,54.23135217
control3_B06,3,Whsc1.1,55.65364374
control3_B07,3,Whsc1.2,49.47838675
control3_B08,3,Whsc1.3,51.72498445
control3_B09,3,Whsc1.4,63.21338145
control3_B10,3,Cd4.1,47.18866925
control3_B11,3,Cd4.1,45.02162265
control3_C02,3,Mll2.1,48.90406321
control3_C03,3,Mll2.2,68.88518022
control3_C04,3,Mll2.3,53.30903868
control3_C05,3,Mll2.4,71.35024333
control3_C06,3,Brd8.1,58.60768271
control3_C07,3,Brd8.2,57.0222549
control3_C08,3,Brd8.3,48.78501572
control3_C09,3,Brd8.4,44.01736316
control3_C10,3,Cd4.2,49.39069871
control3_C11,3,Cd4.2,47.20708196
control3_D02,3,Ncor1.1,60.47157896
control3_D03,3,Ncor1.2,56.34205943
control3_D04,3,Ncor1.3,53.75058346
control3_D05,3,Ncor1.4,39.16552538
control3_D06,3,Cxxcl.1,62.42079349
control3_D07,3,Cxxcl.2,56.01796868
control3_D08,3,Cxxcl.3,63.74844975
control3_D09,3,Cxxcl.4,52.9146316
control3_D10,3,Cd4.3,60.2024378
control3_D11,3,Cd4.3,47.47097723
control3_E02,3,Smarca4.1,100.6554656
control3_E03,3,Smarca4.2,112.0156223
control3_E04,3,Smarca4.3,82.08627926
control3_E05,3,Smarca4.4,89.73195334
control3_E06,3,Klf2.1,61.50444046
control3_E07,3,Klf2.2,69.19903962
control3_E08,3,Klf2.3,62.25321404
control3_E09,3,Klf2.4,61.81112194
control3_E10,3,Cd4.4,66.38495575
control3_E11,3,Cd4.4,46.13668042
control3_F02,3,Runx3.1,53.53820477
control3_F03,3,Runx3.2,89.42454473
control3_F04,3,Runx3.3,83.89541736
control3_F05,3,Empty,119.5416348
control3_F06,3,Sp140.1,65.6370045
control3_F07,3,Sp140.2,65.75260272
control3_F08,3,Sp140.3,52.35158157
control3_F09,3,Sp140.4,60.36528663
control3_F10,3,Empty,46.3282804
control3_F11,3,Empty,2.32620992
control3_G02,3,Smarce1.1,26.35352213
control3_G03,3,Smarce1.2,187.733258
control3_G04,3,Smarce1.3,185.1630969
control3_G05,3,Smarce1.4,142.5847817
control3_G06,3,Wdr82.1,59.65571126
control3_G07,3,Wdr82.2,57.65237284
control3_G08,3,Wdr82.3,57.10314353
control3_G09,3,Wdr82.4,54.19331778
control3_G10,3,Empty,92.40393979
control3_G11,3,Empty,3.69536972
21_B02,3,Satb1.3,95.56744768
21_B06,3,Setd7.2,71.78940112
21_B09,3,Smarcd2.3,226.271036
21_B10,3,Setd3.1,81.96518555
21_C03,3,Smarca2.3,74.36909214
21_C04,3,Scmh1.1,64.93789617
21_C08,3,Sirt2,235.9098358
21_C11,3,Ube2a.1,89.13685564
21_D02,3,Setd3.2,75.20769326
21_D05,3,Smarcc1.2,132.1393963
21_D06,3,Smarcb1.1,70.26535894
21_D09,3,Smyd1.1,75.51574401
21_D10,3,Scmh1.2,97.95988684
21_E02,3,Ube2a.2,31.66257728
21_E04,3,Scmh1.3,98.60713914
21_E07,3,Smarcc1.3,120.2301986
21_E08,3,Setd3.3,66.02953611
21_E11,3,Smyd1.2,82.95685908
21_F02,3,Smarca2.1,67.91481249
21_F05,3,Smarcd2.1,137.6679411
21_F06,3,Smarcb1.2,83.26509385
21_F10,3,Smarcc1.1,111.1919733
21_G04,3,Setd7.1,85.59746582
21_G07,3,Smarcd2.2,108.8137971
21_G08,3,Smarca2.2,70.47927826
21_G10,3,Smyd1.3,59.73745211
7_B02,1,Hdac7.1,37.38758832
7_B03,1,Ing4.1,38.04726586
7_B04,1,Ing5.1,42.45743914
7_B05,1,Ing3.1,47.97015406
7_B06,1,Hdac9.1,11.35765119
7_B07,1,Jmjd4.1,49.16361029
7_B08,1,Jarid2.1,42.38733938
7_B09,1,Hltf.1,50.94478395
7_B10,1,Hdac8.1,43.8006055
7_B11,1,Jhdm1d.1,49.39875177
7_C02,1,Jarid2.2,51.73399745
7_C03,1,Hells.1,37.39737957
7_C04,1,Hdac7.2,40.28791208
7_C05,1,Jhdm1d.2,39.86480441
7_C06,1,Ino80.1,45.82720625
7_C07,1,Ing5.2,36.8098775
7_C08,1,Hdac9.2,33.28940235
7_C09,1,Jmjd1c.1,69.66363102
7_C10,1,Ing4.2,40.15748554
7_C11,1,Ing2.1,50.7870792
7_D02,1,Hdac8.2,36.24562752
7_D03,1,Jmjd1c.2,39.5351866
7_D04,1,Ing4.3,35.60724898
7_D05,1,Hira.1,35.97996856
7_D06,1,Hells.2,48.2479631
7_D07,1,Jmjd1c.3,55.10302171
7_D08,1,Ino80.2,34.15990453
7_D09,1,Hltf.2,50.03747139
7_D10,1,Hdac7.3,48.76558056
7_D11,1,Jmjd4.2,42.02754624
7_E02,1,Ing2.2,40.85500107
7_E03,1,Ing3.2,37.38084335
7_E04,1,Hdac7.4,38.29578239
7_E05,1,Jarid2.3,37.89502917
7_E06,1,Ing5.3,48.34449238
7_E07,1,Hira.2,40.9883307
7_E08,1,Hdac8.3,43.05436869
7_E09,1,Jhdm1d.3,44.61060939
7_E10,1,Ino80.3,38.6312367
7_E11,1,Hltf.3,45.92396111
7_F02,1,Hdac9.3,32.42535412
7_F03,1,Jmjd4.3,36.87021356
7_F04,1,Ing5.4,35.40287155
7_F05,1,Hira.3,46.25406227
7_F06,1,Hells.3,41.77759249
7_F07,1,Jarid2.4,39.01032977
7_F08,1,Ing3.3,36.43291997
7_F09,1,Ing2.3,43.43579107
7_F10,1,Hells.4,42.56769954
7_F11,1,Jhdm1d.4,46.9528581
7_G02,1,Ino80.4,38.63732555
7_G03,1,Ing2.4,38.21018189
7_G04,1,Hdac8.4,31.54447821
7_G05,1,Jmjd4.4,42.65291734
7_G06,1,Jmjd1c.4,41.17795901
7_G07,1,Hira.4,45.51795851
7_G08,1,Hdac9.4,31.84145456
7_G09,1,Ing4.4,42.34624149
7_G10,1,Hltf.4,48.36765501
7_G11,1,Ing3.4,62.39287396
3_B02,1,Brwd1.1,32.47018052
3_B03,1,Cbx7.1,34.96456515
3_B04,1,Cbx8.1,33.78730661
3_B05,1,Cbx6.1,35.5702196
3_B06,1,Carm1.1,39.31854341
3_B07,1,Chd2.1,30.31740582
