Position,Pool,shRNA,GeoMean
14_B02,2,Prmt1.1,150.826676100961
14_B03,2,Rbbp4.1,155.901020284781
14_B04,2,Rbbp5.1,124.221171186864
14_B05,2,Psip1.1,135.381737778256
14_B06,2,Prmt3.1,101.313841505028
14_B07,2,Rnf40.1,186.893065091621
14_B08,2,Ring1.1,143.978507355155
14_B09,2,Prmt7.1,124.302979127425
14_B10,2,Prmt2.1,110.752520406944
14_B11,2,Rnf20.1,172.427478487042
14_C02,2,Ring1.2,62.9419526875411
14_C03,2,Prmt5.1,126.097030505649
14_C04,2,Prmt1.2,142.239303083264
14_C05,2,Rnf20.2,113.158579764054
14_C06,2,Rbbp7.1,141.507348266437
14_C07,2,Rbbp5.2,195.661726108632
14_C08,2,Prmt3.2,185.438932075769
14_C09,2,Rnf217.1,172.018335651017
14_C10,2,Rbbp4.2,161.708758057607
14_C11,2,Prmt8.1,153.303871775246
14_D02,2,Prmt2.2,109.240161271326
14_D03,2,Rnf217.2,215.099238199912
14_D04,2,Rbbp4.3,121.840337063074
14_D05,2,Prmt6.1,161.054747679002
14_D06,2,Prmt5.2,66.9854938364461
14_D07,2,Rnf217.3,123.587112743141
14_D08,2,Rbbp7.2,110.095484943323
14_D09,2,Prmt7.2,120.376813588329
14_D10,2,Prmt1.3,175.280949968186
14_D11,2,Rnf40.2,107.629341843793
14_E02,2,Prmt8.2,168.995666149525
14_E03,2,Psip1.2,231.517882825575
14_E04,2,Prmt1.4,92.8529461812423
14_E05,2,Ring1.3,171.883674295764
14_E06,2,Rbbp5.3,120.293319847456
14_E07,2,Prmt6.2,170.793547878293
14_E08,2,Prmt2.3,114.509938152327
14_E09,2,Rnf20.3,251.454137783055
14_E10,2,Rbbp7.3,201.079643021195
14_E11,2,Prmt7.3,103.595898781039
14_F02,2,Prmt3.3,238.481224890174
14_F03,2,Rnf40.3,178.897716696266
14_F04,2,Rbbp5.4,139.104069734468
14_F05,2,Prmt6.3,183.705535257177
14_F06,2,Prmt5.3,191.139724274506
14_F07,2,Ring1.4,146.402292610214
14_F08,2,Psip1.3,153.301399547217
14_F09,2,Prmt8.3,141.16932230799
14_F10,2,Prmt5.4,183.975335934537
14_F11,2,Rnf20.4,118.857827068205
14_G02,2,Rbbp7.4,147.910918929439
14_G03,2,Prmt8.4,46.5192727712848
14_G04,2,Prmt2.4,185.177502831253
14_G05,2,Rnf40.4,157.487645712459
14_G06,2,Rnf217.4,111.526305984888
14_G07,2,Prmt6.4,133.961920040167
14_G08,2,Prmt3.4,221.989190565493
14_G09,2,Rbbp4.4,161.558205092856
14_G10,2,Prmt7.4,128.040313383641
14_G11,2,Psip1.4,0
9_B02,2,Kdm5b.1,83.0993574223976
9_B03,2,L3mbtl4.1,47.5058884515933
9_B04,2,Mbd1.1,69.991887236803
9_B05,2,L3mbtl3.1,92.9701479549626
9_B06,2,Kdm5d.1,77.9972765327221
9_B07,2,Men1.1,121.34872239429
9_B08,2,Mbd3.1,83.507009157433
9_B09,2,L3mbtl1.1,92.5671560186927
9_B10,2,Kdm5c.1,106.800879617795
9_B11,2,Mbd4.1,66.9622238623364
9_C02,2,Mbd3.2,115.860365340995
9_C03,2,Kdm6a.1,86.7449550127445
9_C04,2,Kdm5b.2,108.041389420988
9_C05,2,Mbd4.2,143.128129751861
9_C06,2,Mbd2.1,174.649709882385
9_C07,2,Mbd1.2,126.290018986192
9_C08,2,Kdm5d.2,141.246630100729
9_C09,2,Mecom.1,142.917317273077
9_C10,2,L3mbtl4.2,101.162683636042
9_C11,2,L3mbtl2.1,141.981928005201
9_D02,2,Kdm5c.2,118.82729981545
9_D03,2,Mecom.2,116.705450824205
9_D04,2,L3mbtl4.3,66.5798895192717
9_D05,2,Kdm6b.1,78.483896629839
9_D06,2,Kdm6a.2,43.833746546296
9_D07,2,Mecom.3,83.4213250210048
9_D08,2,Mbd2.2,102.246749302103
9_D09,2,L3mbtl1.2,81.1162934008384
9_D10,2,Kdm5b.3,110.700337114539
9_D11,2,Men1.2,121.070647566662
9_E02,2,L3mbtl2.2,134.200712580027
9_E03,2,L3mbtl3.2,112.273437891743
