shRNA,nbPctg_Q4,nbPctg_Q1,q4minusq1_nbPctg
Bcl6.2,77.75739772070149,90.15176537141855,-12.394367650717058
Bcl6.3,82.26140047578635,93.92597194075014,-11.6645714649638
CD4.1,58.221900688962826,95.4331623041557,-37.211261615192875
CD4.2,66.90942193778531,64.66586286424322,2.2435590735420874
CD4.3,75.58216711763069,82.68186365089906,-7.0996965332683715
CD4.4,83.07745241186728,92.08112791835657,-9.003675506489287
CDK9.2,61.31099183862428,90.91751407631902,-29.60652223769474
CDK9.3,81.87678888179065,97.14862998033395,-15.271841098543305
Ccnt1,81.46813033371842,96.64406354616705,-15.175933212448626
Ccnt1.3,78.4777262641412,91.74233109807439,-13.264604833933191
Ccnt1.4,70.81196567077824,99.35474742829645,-28.542781757518213
Cd14,75.45842016983431,87.84410880951353,-12.385688639679216
Cd14.2,70.73395281383709,80.86871290759701,-10.134760093759922
Cd19,72.22459394011518,84.616625748572,-12.39203180845682
Cd19.3,77.84008539720934,88.24574602449906,-10.40566062728972
Cd19.4,78.29367947698137,89.10282670568954,-10.80914722870817
Fosb,53.866559672613704,73.45601845923123,-19.589458786617527
Fosb.2,68.01386053649672,74.23763702690947,-6.223776490412746
Hes1,66.94046167234445,76.95077382615617,-10.01031215381171
Hes1.2,76.0324614090237,86.2652171862032,-10.232755777179506
Hes1.3,70.83940544305446,83.27633037801589,-12.436924934961425
Id2,42.362972306933024,26.55335294971427,15.809619357218754
Id2.2,64.28164237596961,78.10255400134398,-13.820911625374364
Id2.3,78.50842719149941,80.16257887657318,-1.6541516850737708
Id2.4,75.59351390548132,81.55052765933453,-5.957013753853218
Id2.5,69.4383841203522,74.42843819503918,-4.990054074686981
Id3,81.83066391102548,97.94648476860394,-16.115820857578456
Id3.2,77.12426916346188,93.1257954201058,-16.001526256643928
Id3.3,81.63614061563895,92.8796311428427,-11.243490527203747
Id3.4,69.59771687892328,88.28447927863549,-18.686762399712208
Id3.5,52.505293561942345,67.81518642822357,-15.309892866281224
Jmjd5.1,70.04240420379706,82.07213390715773,-12.029729703360672
Jmjd5.2,67.28691312195828,82.12202067662233,-14.835107554664049
Jmjd5.3,87.95543062840206,97.33975949529827,-9.384328866896212
Jmjd5.4,83.8165207799647,94.72585598709868,-10.909335207133978
Jmjd6.1,77.42855936629088,88.59004007317272,-11.161480706881832
Jmjd6.2,88.7493821313745,98.31655660574656,-9.567174474372052
Jmjd6.3,70.22033989322836,90.13291900110356,-19.912579107875203
Jmjd6.4,68.92348600124261,79.49036558617672,-10.566879584934114
Jmjd8.1,26.55335294971427,26.55335294971427,0.0
Jmjd8.2,44.31818657572594,52.92939102730423,-8.611204451578288
Jmjd8.3,26.55335294971427,71.33347798781283,-44.78012503809856
Kat2a.1,45.50502260492202,53.930332640859866,-8.425310035937848
Kat2a.2,26.55335294971427,26.55335294971427,0.0
Kat2a.3,84.5983204380664,97.33608603879729,-12.737765600730896
Kat2b.1,72.9288798998952,82.02784851786384,-9.098968617968652
Kat2b.3,87.69059387973842,97.57828244002867,-9.887688560290258
Kat2b.4,63.81470555990233,88.86157981441661,-25.046874254514286
Kat5.1,79.98317984697276,89.20498217378352,-9.22180232681076
Kat5.3,72.42850312229633,83.44679875129633,-11.018295628999994
Kat5.4,90.31053445338324,98.23925461053699,-7.928720157153748
Kdm1a.1,84.66405894149585,92.9573072875716,-8.293248346075742
Kdm1a.2,82.04993557202059,93.7319687541946,-11.68203318217401
Kdm1a.4,84.83834804309464,91.35131722438263,-6.5129691812879855
Kdm1b.1,83.36521318411118,98.80806388103748,-15.4428506969263
Kdm1b.2,77.40174085280684,92.35326773434676,-14.95152688153992
Kdm1b.3,74.0980093274722,86.01729139452029,-11.919282067048087
Kdm1b.4,77.88848259642353,83.16943808546289,-5.280955489039357
Kdm2a.1,71.85299402369779,84.7694305557742,-12.916436532076418
Kdm2a.2,83.35699723173452,95.80834925457219,-12.451352022837668
Kdm2a.3,82.15641352422487,91.28761858921706,-9.131205064992187
Kdm2a.4,74.0514223695933,83.090345358952,-9.03892298935871
Kdm2b.1,68.73701451628781,26.55335294971427,42.18366156657355
Kdm2b.2,81.60016229949203,88.61459522158013,-7.014432922088105
Kdm2b.3,74.88427218540143,77.91414929183807,-3.0298771064366434
Kdm2b.4,68.12331015837259,82.61520553327331,-14.491895374900722
Kdm3a.1,77.08984679366442,90.44728593909963,-13.357439145435208
Kdm3a.2,80.30318149986407,92.87823075968387,-12.575049259819806
Kdm3a.3,89.20605992989951,98.44064176413879,-9.234581834239279
Kdm3a.4,70.88197875383115,93.77231056188829,-22.89033180805714
Kdm3b.2,80.69743521344186,90.32556897953228,-9.628133766090414
Kdm3b.3,77.07932538423228,88.50970174893654,-11.430376364704259
Kdm3b.4,72.76679290990215,83.03193342876864,-10.265140518866488
Kdm4a.1,86.14723082809218,96.48645578240172,-10.339224954309543
Kdm4a.2,67.81599419090321,75.69031848608735,-7.874324295184138
Kdm4a.3,85.84244900791789,96.4310359372362,-10.58858692931831
Kdm4a.4,73.86256431628289,83.83922674141488,-9.976662425131991
Kdm4b.1,46.36514026279643,59.02561904405531,-12.660478781258881
Kdm4b.2,56.94881355334091,26.55335294971427,30.395460603626642
Kdm4b.3,42.362972306933024,49.27467931776594,-6.911707010832913
Kdm4c.2,84.44337218735846,95.91600349300303,-11.472631305644569
Kdm4c.3,83.89276103136359,94.64645323164339,-10.7536922002798
Kdm4c.4,74.63267270280902,82.24378523228802,-7.611112529479001
Kdm4d.1,86.6903340539061,98.61462568811224,-11.924291634206142
Kdm4d.2,89.82051665746431,92.18566723594058,-2.3651505784762747
Kdm4d.3,66.3251690372702,82.29404069362582,-15.968871656355617
Kdm4d.4,80.33236156775654,96.64240305896175,-16.31004149120521
Kdm5a.1,87.21632975804519,98.34955469411994,-11.133224936074754
Kdm5a.3,82.55600028483093,90.39677766580154,-7.840777380970607
Kdm5a.4,74.64069936228599,86.89000451498833,-12.249305152702348
Kdm5b.1,63.08911470709937,69.1698896589056,-6.080774951806234
Kdm5b.2,78.12280559836312,92.66192096147503,-14.539115363111918
Kdm5b.3,83.83855592949067,96.54283395189253,-12.704278022401866
Kdm5b.4,75.82113551432423,89.71594604893687,-13.894810534612645
Kdm5c.2,89.73125309440694,99.53714442826087,-9.805891333853936
Kdm5c.3,79.53316149804657,89.328912721871,-9.795751223824439
Kdm5c.4,75.55066605973713,88.37576745766042,-12.82510139792329
Kdm5d.1,84.24896675521087,95.53408617822696,-11.285119423016084
Kdm5d.2,75.22392094638303,90.62441279012343,-15.400491843740397
Kdm5d.3,82.63514603432547,95.29936633882436,-12.664220304498883
Kdm5d.4,56.90918478075777,72.05080356196662,-15.141618781208848
Kdm6a.1,76.48969885922374,91.62165052048343,-15.131951661259691
Kdm6a.2,78.82448571787081,93.87289236891108,-15.048406651040267
Kdm6a.3,78.56892421492152,87.62947389902094,-9.060549684099414
Kdm6a.4,72.442136493304,90.22178996732629,-17.779653474022282
Kdm6b.1,73.03007248238717,63.044156632852,9.985915849535168
Kdm6b.2,72.26835352483106,85.78840972439939,-13.52005619956833
Kdm6b.3,76.46268915678137,86.39212407393757,-9.9294349171562
Kdm6b.4,64.60881291071759,79.3358262195936,-14.72701330887601
Klf12,66.96360520884525,67.18693186024689,-0.223326651401635
Klf12.4,64.59591420419953,66.28264138250877,-1.6867271783092406
Klf12.5,76.75078976705507,79.86881439438706,-3.118024627331991
Klf2,69.16615529593044,74.93081578956509,-5.764660493634651
Klf2.2,67.98299909028303,65.49197269349484,2.491026396788186
Klf2.3,56.78775648720815,76.06931913033685,-19.2815626431287
Klf2.4,72.7119717935365,85.62739565843765,-12.915423864901143
Klf2.5,26.55335294971427,49.27467931776594,-22.721326368051667
Klf2.6,71.86551448243291,80.193931785261,-8.328417302828086
Klf2.7,64.45154534041345,61.623082402897346,2.8284629375161003
L3mbtl1.1,68.65173844408953,77.54404065901537,-8.892302214925834
L3mbtl1.2,79.52209955832818,87.90947463190051,-8.38737507357233
L3mbtl1.4,84.82112468521747,97.93843392087567,-13.117309235658198
L3mbtl2.1,74.43949634361161,87.7115327843233,-13.272036440711688
L3mbtl2.3,63.65016482680329,85.90948338601622,-22.25931855921293
L3mbtl2.4,71.3660168890457,81.8782406281679,-10.512223739122206
L3mbtl3.1,70.30883074778085,91.90282622901681,-21.593995481235964
L3mbtl3.2,73.06408719917279,88.86602084609491,-15.801933646922123
L3mbtl3.3,76.09881970823564,90.76066296067965,-14.661843252444015
L3mbtl3.4,85.55970365757653,95.38887520982462,-9.829171552248084
L3mbtl4.1,82.40044005320846,91.2434124141388,-8.842972360930347
L3mbtl4.2,86.55240112874833,95.05116976152458,-8.498768632776248
L3mbtl4.3,73.05423567559527,86.49237631621601,-13.438140640620745
L3mbtl4.4,72.77143147311969,85.52396690935498,-12.752535436235291
Mbd1.1,84.43309327761186,96.32690239020289,-11.893809112591029
Mbd1.2,66.71868248310743,80.72905897492872,-14.01037649182129
Mbd1.3,71.31038143324395,82.4867972611223,-11.176415827878358
Mbd1.4,83.57931483576107,90.60073352903714,-7.021418693276075
Mbd2.2,71.28232776201536,92.2364685351231,-20.95414077310774
Mbd2.3,78.26611437593743,98.46280764714182,-20.19669327120438
Mbd2.4,71.96183034245985,86.07466606351193,-14.112835721052079
Mbd3.1,73.28237300107608,86.02497737830406,-12.742604377227977
Mbd3.2,87.15128004142838,99.63370053490631,-12.482420493477932
Mbd3.3,62.60046863181783,85.68809281145937,-23.087624179641537
Mbd3.4,70.817122056791,69.33886495681593,1.4782570999750817
Mbd4.1,90.11735179763534,99.18796086441101,-9.070609066775674
Mbd4.2,80.71063231183203,92.64911828519908,-11.938485973367051
Mbd4.3,82.6961643125869,94.80122790200784,-12.105063589420936
Mbd4.4,80.37435233492556,92.61942464869443,-12.245072313768873
Mecom.1,75.79747124264438,83.29234298771956,-7.494871745075187
Mecom.2,69.47022174120902,86.29084364657389,-16.820621905364874
Mecom.3,75.81475066219254,88.7634394303254,-12.948688768132868
Mecom.4,75.62541947940983,82.26897160724548,-6.6435521278356475
Mecp2.1,26.55335294971427,26.55335294971427,0.0
Mecp2.2,54.72564241547197,52.92939102730423,1.7962513881677395
Mecp2.3,45.50502260492202,85.11520444607163,-39.61018184114961
Men1.1,71.28701412703424,87.16381459797245,-15.876800470938207
Men1.3,72.58248095955,83.69724990724474,-11.114768947694742
Men1.4,80.68395104192993,87.44379265193737,-6.759841610007442
Mll1.1,65.5473589911676,84.25736094092483,-18.710001949757228
Mll1.2,84.08317436237911,96.5076432287423,-12.424468866363185
Mll1.3,82.92818901996765,97.34747476732989,-14.419285747362238
Mll1.4,66.5493112172725,82.34192606633664,-15.792614849064137
Mll2.2,89.30096125139858,98.67673906780843,-9.375777816409851
Mll2.3,67.55212499959327,62.55101559792969,5.001109401663584
Mll2.4,64.35037905620834,92.43183471313763,-28.081455656929293
Mll3.3,78.75845246186744,91.8710691355858,-13.112616673718364
Mll3.4,78.01555637528571,91.20459371192551,-13.1890373366398
Mll5.2,82.35280864203298,95.49542834461423,-13.142619702581243
Mll5.3,79.37617247929963,91.29902262408494,-11.922850144785315
Mll5.4,78.6522562490824,94.73131516296948,-16.07905891388708
Morf4l1.3,82.26577029233859,96.6320378286365,-14.366267536297912
Morf4l1.4,86.27447999623364,97.42872347512359,-11.154243478889953
Ms4a1,79.83902680263765,93.60465364327328,-13.765626840635633
Ms4a1.2,77.72644079064875,88.28883396780557,-10.562393177156821
Msl3.1,77.43231285085675,71.22195758183447,6.210355269022273
Msl3.2,78.38884938539047,74.8215947884196,3.5672545969708693
Msl3.3,83.17380512528536,95.85061388301702,-12.676808757731663
Msl3.4,72.8026265256449,93.59782570611334,-20.795199180468444
Mta1.1,77.31662256233251,70.80168582040443,6.514936741928082
Mta1.2,55.0599727604499,90.84270320565265,-35.78273044520275
Mta1.3,73.27818191282412,88.90636479442722,-15.628182881603095
Mta1.4,85.51464809591045,98.10743731774758,-12.592789221837137
Mta2.1,81.14693545286728,97.12508578240163,-15.978150329534344
Mta2.2,87.2415255903025,98.4305908724775,-11.189065282174994
Mta2.3,68.08407609175477,75.8219148501321,-7.737838758377336
Mta2.4,77.37525954755125,93.81758644030285,-16.442326892751595
Mta3.1,89.24349026342398,99.39087001887266,-10.147379755448682
Mta3.2,61.172050928388884,75.09042207261464,-13.918371144225759
Mta3.3,56.213779086437,52.92939102730423,3.284388059132773
Mta3.4,80.74146828364916,87.57546492538549,-6.833996641736334
Mtf2.1,80.24959100696921,96.19196178451641,-15.942370777547197
Mtf2.2,87.93178438653744,96.83656965867577,-8.904785272138326
Mtf2.3,70.16960167598494,86.13612880785553,-15.966527131870592
Mtf2.4,82.50500698148201,91.39876110086804,-8.893754119386031
Myst1.1,67.52490592756214,87.45769596066654,-19.932790033104396
Myst1.2,87.0931886456563,99.01547131262788,-11.922282666971583
Myst1.3,85.44865447786827,94.33962428374362,-8.890969805875343
Myst1.4,78.92697877154889,84.64032363500061,-5.713344863451724
Myst2.1,68.2332201532007,91.2257463009167,-22.992526147715992
Myst2.2,77.69485538965854,87.6231074363198,-9.928252046661257
Myst2.3,66.7671057033629,74.34259132821991,-7.575485624857009
Myst2.4,73.14113506076097,72.4438406655842,0.6972943951767689
Myst3.1,68.6785536069339,80.33141116395073,-11.65285755701683
Myst3.2,82.67331919696188,96.54675788574615,-13.873438688784262
Myst3.3,75.12194530338392,89.1544278874397,-14.03248258405577
Myst3.4,58.8587049589709,65.90434220644644,-7.045637247475547
Myst4.1,86.70684768712741,96.89245158550922,-10.185603898381814
Myst4.3,76.94316871015594,89.91837021583325,-12.975201505677305
Myst4.4,68.32338864628036,85.42279303087905,-17.099404384598685
Nap1l1.1,72.50241622888501,88.77927089873624,-16.276854669851232
Nap1l1.2,64.85319823808699,85.2767409225523,-20.423542684465318
Nap1l1.3,73.75781770847952,89.32992417327131,-15.572106464791787
Nap1l1.4,86.71305801660087,98.96581166049877,-12.252753643897904
Nap1l2.1,86.24697811470185,98.0619093257766,-11.81493121107475
Nap1l2.2,63.92862176637399,68.16151727364705,-4.2328955072730565
Nap1l2.3,79.43984380212787,86.16612734277601,-6.72628354064814
Nap1l2.4,83.86953655150069,97.06349469188153,-13.193958140380843
Nap1l3.1,90.93822289788027,99.1903122478895,-8.252089350009228
Nap1l3.2,85.44097885895484,94.9789448925935,-9.537966033638668
Nap1l3.3,91.44619455766399,99.41747205449528,-7.971277496831291
Nap1l3.4,77.4186952527063,93.67304899203808,-16.254353739331776
Ncoa1.1,82.95950971295986,98.6647546997972,-15.705244986837343
Ncoa1.2,85.74744423467581,97.5204406901627,-11.77299645548689
Ncoa1.3,83.37032251924003,92.962113905339,-9.591791386098961
Ncoa1.4,64.28164237596961,82.17538544236169,-17.893743066392076
Ncoa3.1,76.08185397090377,86.65334957198019,-10.571495601076421
Ncoa3.2,83.10759563872585,94.34859227776903,-11.240996639043175
Ncoa3.3,81.3142336236915,85.1072261711899,-3.792992547498386
Ncoa3.4,81.97208507519397,92.18566723594058,-10.213582160746611
Ncor1.1,85.06627499542864,97.9087567974236,-12.842481801994964
Ncor1.3,69.56893277267262,89.00447940704814,-19.435546634375513
Ncor1.4,86.22732371313134,98.18721900840914,-11.959895295277803
Ncor2.1,73.59111726642419,94.20171750272421,-20.610600236300016
Ncor2.2,70.16763812750528,89.20031310345811,-19.03267497595283
Ncor2.3,70.78090846709432,86.59937576073608,-15.81846729364176
Ncor2.4,77.16093761333157,89.82003866191896,-12.659101048587388
Nfatc3.2,83.33211780334047,95.74143681904972,-12.409319015709258
Nfatc3.3,71.49045231783856,81.92376647095271,-10.433314153114154
Nfatc3.7,45.50502260492202,77.44969110649367,-31.944668501571655
Nfatc3.8,69.44294271961446,90.67639977452878,-21.23345705491431
Nsd1.1,77.10533980275837,82.30557203590476,-5.200232233146394
Nsd1.2,76.81763687146704,77.85717606858687,-1.0395391971198222
Nsd1.3,69.70468677730433,70.2248936017317,-0.5202068244273619
Nsd1.4,78.0802489301403,87.16226792101732,-9.082018990877017
Orc1.1,75.07866906500014,89.15547544337555,-14.076806378375409
Orc1.2,77.92235494643376,92.06110433315405,-14.138749386720292
Orc1.3,76.54552492243977,89.96791116920426,-13.42238624676449
Orc1.4,68.94882155478801,79.25515341754945,-10.30633186276144
Padi1.1,81.58574663517008,96.59661040060415,-15.010863765434067
Padi1.2,74.0360994477865,82.36855720138014,-8.332457753593644
Padi1.3,61.057524832484674,77.59059008254276,-16.533065250058087
Padi1.4,83.67434289235437,93.69062867029713,-10.016285777942755
Padi2.1,26.55335294971427,26.55335294971427,0.0
Padi2.2,49.522792151586884,60.60471913757443,-11.081926985987543
Padi2.3,45.50502260492202,26.55335294971427,18.95166965520775
Padi3,68.71053050112067,72.39318812054508,-3.682657619424404
Padi4.1,74.95492233354074,83.40781534720641,-8.452893013665673
Padi4.2,79.4507566722263,86.82771256047955,-7.376955888253249
Padi4.3,75.55604200870785,90.94218714887154,-15.386145140163691
Padi4.4,80.89035348950598,89.04212235006716,-8.151768860561177
Padi6.1,84.43880623033884,95.55089004654886,-11.112083816210017
Padi6.2,26.55335294971427,26.55335294971427,0.0
Padi6.3,75.7095515544581,80.43021841046436,-4.720666856006261
Padi6.4,79.698544142061,98.15712975768535,-18.458585615624358
Paf1.1,42.362972306933024,26.55335294971427,15.809619357218754
Paf1.2,26.55335294971427,49.27467931776594,-22.721326368051667
Paf1.3,75.72322519034688,82.0981326727837,-6.374907482436825
Parp1.1,77.37952403384728,93.15208501243292,-15.772560978585645
Parp1.2,76.83342820729544,86.04796856722535,-9.214540359929913
Parp1.4,69.89520500281647,80.91364162036626,-11.018436617549796
Parp2.1,56.78775648720815,68.36939747756111,-11.581640990352959
Parp2.2,47.044363331166736,56.42057091788,-9.376207586713264
Parp2.3,47.60596274527805,55.932100105061785,-8.326137359783736
Paxip1.1,79.05419599093726,90.8330820172063,-11.778886026269035
Paxip1.2,78.20933571748174,86.64311139612481,-8.433775678643073
Paxip1.3,66.03344371765377,78.53845042231568,-12.505006704661909
Paxip1.4,89.07932650403939,97.79938463527473,-8.720058131235348
Pbrm1.1,80.51392515052981,91.13013312050519,-10.616207969975378
Pbrm1.3,26.55335294971427,26.55335294971427,0.0
Pbrm1.4,78.23518285759756,89.50674812212479,-11.271565264527226
Pcgf1.1,83.9304103989442,92.09068441446173,-8.16027401551753
Pcgf1.2,75.6709413566384,88.21366305413765,-12.54272169749926
Pcgf1.3,71.64244673536922,90.14320797169002,-18.5007612363208
Pcgf1.4,79.69303110740157,86.45268092896336,-6.759649821561794
Pcgf2.2,76.45082817836759,83.20205402247417,-6.751225844106585
Pcgf2.3,74.55088972893911,77.30002615692365,-2.7491364279845385
Pcgf2.4,61.849787981662566,83.77675008373477,-21.926962102072203
Pcgf5.1,78.90819908366352,90.58631282406957,-11.678113740406047
Pcgf5.2,80.47963544000343,79.32246504493516,1.1571703950682775
Pcgf5.3,80.14105934619626,81.61637477397609,-1.475315427779833
Pcgf5.4,77.05469381512162,82.77769357555647,-5.7229997604348455
Pcgf6.1,76.69334518140394,79.5194550883433,-2.826109906939365
Pcgf6.2,81.62053663548005,94.1805092023154,-12.559972566835356
Pcgf6.4,77.63923507559235,93.43781867109811,-15.798583595505761
Pcmt1.1,83.20580973056035,91.67315165751788,-8.46734192695753
Pcmt1.3,81.65169955414781,94.73475863395917,-13.083059079811363
Phc1.1,89.42160334143591,98.23144514316907,-8.809841801733157
Phc1.2,84.15922954201336,97.28373731958555,-13.124507777572191
Phc1.3,73.69160005797417,82.01570723851054,-8.324107180536373
Phc1.4,78.77958485311726,55.932100105061785,22.84748474805547
Phc2.1,45.50502260492202,26.55335294971427,18.95166965520775
Phc2.2,26.55335294971427,26.55335294971427,0.0
Phc3.1,45.50502260492202,26.55335294971427,18.95166965520775
Phc3.2,46.36514026279643,51.549910056582725,-5.184769793786295
Phc3.3,47.044363331166736,49.27467931776594,-2.2303159865992015
Phf1.1,69.94476858900897,87.88194700750311,-17.937178418494142
Phf1.2,69.9509305567239,79.94973092816163,-9.998800371437724
Phf1.3,81.28697463148961,90.13635106017634,-8.849376428686725
Phf1.4,71.27450656968965,80.93101290244391,-9.656506332754262
Phf10.1,47.044363331166736,51.549910056582725,-4.505546725415989
Phf10.2,42.362972306933024,49.27467931776594,-6.911707010832913
Phf10.3,44.31818657572594,26.55335294971427,17.76483362601167
Phf17.1,26.55335294971427,66.6741145222092,-40.12076157249493
Phf17.2,76.48295951156653,85.63773221306376,-9.154772701497222
Phf19.1,82.38411401696558,97.20554460827702,-14.82143059131144
Phf19.2,71.3243496942338,85.50600271130445,-14.181653017070644
Phf19.4,73.46643638448472,83.53005298029325,-10.063616595808526
Phf2.1,64.86538152383297,66.32781115315937,-1.462429629326408
Phf2.2,80.21022672429959,94.93852586199961,-14.72829913770002
Phf2.3,82.47786780354362,96.0424016897755,-13.564533886231885
Phf2.4,58.4725134404391,62.22591989160955,-3.7534064511704486
Phf20.1,26.55335294971427,26.55335294971427,0.0
Phf20.2,78.84392105037227,94.26379883864165,-15.419877788269375
Phf20.3,86.2184235968312,97.02344655446802,-10.805022957636822
Phf20.4,74.2836587101032,93.68127549139442,-19.39761678129122
Phf20l1.1,80.29223213139247,90.05548109618626,-9.763248964793789
Phf20l1.2,71.99848938073472,65.03851440456435,6.959974976170372
Phf20l1.3,75.96276242963127,87.06704413189689,-11.104281702265624
Phf20l1.4,84.13296756737638,97.95777071887059,-13.824803151494208
Phf8.1,84.3141637687363,92.81827295912544,-8.504109190389144
Phf8.3,71.38901607319721,63.81252839632218,7.576487676875033
Phip.1,83.29521004959298,96.99541572059196,-13.700205670998983
Phip.2,84.43283920182814,94.09906251773636,-9.666223315908212
Phip.3,26.55335294971427,26.55335294971427,0.0
