"Position","shRNA","CD103Percentage_100U_shRNA_fixed_normbycontrolZP.csv","CD103Percentage_10U_shRNA_fixed_normbycontrolZP.csv","CD127GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CD127GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CD25GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CD25GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CD44GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CD44GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CD62LPercentage_100U_shRNA_fixed_normbycontrolZP.csv","CD62LPercentage_10U_shRNA_fixed_normbycontrolZP.csv","CXCR3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","CXCR3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","CXCR3Percentage_100U_shRNA_fixed_normbycontrolZP.csv","CXCR3Percentage_10U_shRNA_fixed_normbycontrolZP.csv","Lag3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","Lag3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","PD1GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","PD1GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","Tim3GeoMean_100U_shRNA_fixed_normbycontrolZP.csv","Tim3GeoMean_10U_shRNA_fixed_normbycontrolZP.csv","Tim3Percentage_100U_shRNA_fixed_normbycontrolZP.csv","Tim3Percentage_10U_shRNA_fixed_normbycontrolZP.csv"
"1_B02","Actl6b.1",-0.00335885568763431,-0.775181364692638,0.168720906184689,-0.0328699964042145,0.16707685698313,2.26352388751321,1.88392819176776,-0.201708809527685,-0.990946679190592,-0.846246489259732,-0.169178194736752,-0.0119751429317254,0.0292585778308432,0.393119329623261,0.0591437254830444,0.497955314033971,0.153081859710721,0.0150555852973992,1.09892247240128,1.33639626602177,1.04467023480919,1.42798766540243
"1_B03","Asxl3.1",-0.364204351713055,-0.333346270753338,1.93800093975508,-0.170333640379772,0.803809853987161,1.57793801342855,1.84779997687126,0.188254724025767,-0.426068924035212,0.2108503356348,-0.266192938049847,-0.179837616307518,-0.27463100287061,0.0483535005526072,-0.311763319931461,1.17035327661843,0.246501996857003,0.931322733862928,0.596497110338701,0.858114025160511,0.788917811231844,1.20251247870992
"1_B04","Atad2.1",-0.187026855382567,-0.615146939583806,1.63834279853795,-0.220051820509578,1.17179744663157,0.782466490100045,1.64368906442658,-0.441663915793454,-0.413912879857492,0.354813220799495,-0.32679414401839,-0.291935588087489,-0.318554524571286,-0.144785345578941,-0.223569093230624,0.661938982514191,0.240155011103909,0.709732827025506,1.27585371986953,0.878185037477823,0.936746165951256,1.17854067868835
"1_B05","Asxl2.1",-0.583265490704147,-0.229311513449565,0.948185270342531,-0.167381743493261,0.582352353004771,0.342338037592737,2.67413947725073,0.625939342563836,-0.361438710945842,0.294718514028346,-0.28552944521601,-0.225863618646513,-0.113142067969469,-0.10670577939893,0.331654507559536,0.576308315617841,1.26391476552927,0.927045046463984,0.534026842944482,-0.111098562413282,0.689825608879028,0.323513596337863
"1_B06","Aff4.1",0.00526425400316648,0.114833369066415,0.731666234189073,-0.0369564765532449,0.640807830699063,1.65945516816732,2.46230394704151,0.678616796539204,-0.47908175872587,-0.0928360113340525,-0.286637933103288,-0.208690986584164,-0.159806233886706,-0.0887921880058855,-0.352962491741991,1.51613143180043,0.853096372129799,1.37921417746764,0.74994830664128,1.02260128911455,0.815484868388715,1.47113555274123
"1_B07","Aurkb.1",-0.521690680005182,-0.12484441821486,0.653179825247042,-0.206142276664645,0.780399157274906,0.952058144965209,2.37312416596034,0.287553414043064,-0.57025724925496,-0.0155075451380573,-0.287726998996057,-0.183489366676942,-0.304253836820309,-0.0212269762966942,0.364804638725286,-0.764384470198568,0.196951843615573,-0.455789625109572,1.3549367305989,0.263056364622831,0.979295705150625,0.484262547847318
"1_B08","Atm.1",-0.447449078071087,-0.00632471897768407,0.186076914312201,-0.103201850329022,0.489434708428328,1.60078188381033,1.99495017507771,0.544763573895206,-0.0953988014792016,0.660779708650748,-0.370820822304531,-0.240883943892613,-0.38582848819346,-0.112525986528369,-0.67690092818977,0.826841814008716,1.29427932322562,0.883465038219653,0.297047054507235,0.38732594412518,0.630668148284061,0.659499466230693
"1_B09","A2l.1",-0.236849264133287,0.25309523219304,0.988071031037063,0.0040334729031618,1.7662785766444,1.44977736073036,1.91770053541006,-0.278894075301154,-0.462771124464466,0.411558778315772,-0.319241000090195,-0.233996918521464,-0.247375351335824,-0.126960085688474,-0.946152902055264,-0.667935165039433,1.65121059738527,1.18427737028607,0.817669315849233,0.466757700708998,0.695568949861057,0.835324673255997
"1_B10","Aff1.1",-0.494515210100081,-0.54014822824172,0.824393900938006,0.0367601164461218,0.468104729830912,2.11342360137771,1.79336855469101,0.559874302454468,-0.769968071117858,-0.261612895619604,-0.356006142141709,-0.249231756911841,-0.401598774294161,-0.201355787276261,-0.447804569754331,1.05079799598138,-0.0164939885161406,0.667892224197027,1.60143637966338,1.90476889469408,0.977242318367688,1.74529407148136
"1_B11","Atr.1",-0.811502177055338,-0.968562038355426,1.03771147848024,-0.133738333384779,1.06218088781123,1.73201622733775,2.30013131437226,-0.544672189916595,-1.16792154713158,-0.158456143308095,-0.376165031805734,-0.321635169247165,-0.448266305742632,-0.286604212586672,-0.471027017954189,0.351815115758143,-0.480617902727966,0.339292450450332,1.27472098691966,1.20968937207815,0.944793696964206,1.47923321776277
"1_C02","Atm.2",-0.266132572374759,-0.00260755863306892,1.56651240348017,-0.0968497361774601,0.725980859607752,1.60807003474204,2.5234034457562,0.856946019559331,-0.507069184927639,-0.296447517686489,-0.276490728298678,-0.0865392832810551,-0.262696482759865,0.220155682819807,-0.350957213153669,1.27000083750821,0.241653084625924,1.13661443425125,0.775824244128604,1.78975843749531,0.834802353633918,1.78973671269764
"1_C03","Arid2.1",-0.430990684718269,-0.17209760918586,2.02535160519254,-0.0327145092430398,0.744428086351722,0.919055244885374,2.76337817234054,0.300088118732838,-0.539114541895495,0.282069512002954,-0.124456816425113,-0.148374342291007,-0.133396538933648,0.0658566532343507,0.322651219768764,0.686742375158389,0.125186973956789,0.581816187965852,1.55059933816679,0.581180765854244,1.05782483390518,0.908203325039488
"1_C04","Actl6b.2",-0.297276765560022,0.0216329185799655,0.32512794856616,-0.252091358605769,1.21500298257354,1.73905231279179,1.5124057193464,0.197974017518594,-0.92699692147063,-0.396074850688105,-0.261306009913819,-0.229198192902616,-0.194982844931329,-0.149044283853855,0.204923952586436,0.0358211949988038,0.0533801579623198,-0.0837094836238277,1.04178420942923,0.611769662940986,0.760297220476075,0.925529256181577
"1_C05","Atr.2",-0.537508482126604,-0.966383994832026,1.74540889665351,-0.323231503471205,1.19392313866099,2.21363197890204,2.45674475287323,-0.347103361996993,-0.96741063703651,-1.00156051791216,-0.274138364321746,-0.292675154976692,-0.253439618392412,-0.319603929963333,-0.579532101572734,0.0220510867643678,0.00348017462849551,1.06787648035102,0.9807937056679,1.33736048910629,0.861302137874338,1.46841571731435
"1_C06","Atad2b.1",-0.650434264145274,-0.130642625763093,0.441251986890665,-0.112060085320137,0.420899346625155,1.11173228173888,2.36676743453983,0.513264932247654,0.226184067013735,0.683936267579023,-0.317075036958752,-0.0802523828740529,-0.338265385511526,0.134722182768421,0.595281533804842,0.382793695235802,-0.311261174530107,0.451029787660461,1.03341536446968,0.406426066028581,0.936556108984463,0.789012105637952
"1_C07","Atad2.2",-0.523256309763493,0.103554992637384,0.311099847356241,0.0619360021447574,-0.330633389146132,0.269534103286046,2.90056588016193,0.695493240012359,-0.796973851521004,0.505456101409507,-0.299185208980855,-0.123129772067043,-0.143203426609576,0.0788536680900835,-0.396205564074103,0.474998008846875,0.566288128654183,1.10679256490081,1.2715797716162,0.696091659167191,0.966139077998962,0.946549243214949
"1_C08","Aff4.2",-0.179446364608126,-0.307207387568181,1.142435755281,-0.0570589428861625,0.527563625800255,1.27637810891104,2.31476074141126,0.425393140667997,-0.620005319434972,-0.534935940360232,-0.334803084755285,-0.139312545998117,-0.38118330536899,0.0209404680301076,-0.12794795209894,1.22359096512945,-0.181861443274767,0.595797763126709,1.62798696056067,1.20254760010453,0.960549196344072,1.32954476363961
"1_C09","Atrx.1",-0.209236792438884,-0.362323144139599,0.241574276972959,-0.14843100362838,0.656511674934728,2.65256467584765,1.57891464581585,-0.0374241140419166,-0.294856802860658,-0.367938504771979,-0.339418470255085,-0.266396423878866,-0.344650131471963,-0.339449929443136,0.13882247757378,0.931657945517575,0.9308779526209,1.10238187708754,1.05327543624419,1.89791793108092,0.989777064881329,1.7576892495705
"1_C10","Asxl3.2",-0.500098765406596,-0.0720749217440897,0.655585623872702,-0.251338520779058,0.987439930187122,3.48197861910668,2.27310072704578,0.448280844159335,-0.743095313866071,-0.78498684363991,-0.326889061725108,-0.258212414942033,-0.349405665827604,-0.323025910512901,0.277260854704733,3.15752389551259,0.380174954719325,1.74080381296516,1.06060824831833,1.48553428219557,0.980634354503051,1.42980427113184
"1_C11","Asxl1.1",0.18950758619403,-0.199916373293682,0.255493734783363,-0.179673460683104,1.21896882073683,1.784045737175,1.68967401570001,-0.306844742379536,-1.07402290834826,-0.411920898270983,-0.292448841948027,-0.282527361599613,-0.210549895039643,-0.293282868264921,-0.445194154396289,2.83900779607717,0.0691517360051278,1.63776466543227,1.37009055658095,3.11556650587741,1.10385725741421,2.3306804722701
"1_D02","Aff1.2",-0.054383328726305,-0.850546939575219,1.45950771988483,-0.54094263844661,0.762597245236443,0.799776565172068,1.7116499629654,-0.646233165658007,-1.01171842204362,-1.0607377923362,-0.244440832531343,-0.420828511049249,-0.28423831185811,-0.567341797333868,0.294071397829856,2.29540010878099,-0.569749007626534,0.160378569566569,1.77511513104959,4.75810627898392,0.971635091960909,2.70918697101611
"1_D03","Atrx.2",0.0542078767003865,-0.325734305937325,1.00058031437997,-0.188362899488318,0.298415137185842,3.22776668357063,2.90268319655922,1.88616008576517,0.544349880885028,-0.201446267449435,-0.284562465583867,-0.228555281004951,-0.243360882267243,-0.264882619197802,0.833892917534131,4.46457363490215,0.517569885650771,1.26820982268862,1.02431484043922,2.58154928083552,0.978343279528147,2.16785001513066
"1_D04","Asxl3.3",-0.417307726434337,-0.160362494172463,1.31993240030296,-0.312239307971104,1.05436965703109,0.981709072170245,2.06251336347468,-0.387136498539806,-0.26283890531159,-0.240967882625507,-0.339281178858932,-0.36422544005381,-0.229682330839874,-0.395937423331457,0.853111151109092,1.89774940642387,0.507669306433869,0.702173398228738,1.0352338473657,1.60338877329728,0.888316274439138,1.52140744407778
"1_D05","A1l.1",-0.249364131097819,0.737211405411967,-0.257467797253727,-0.263543670363453,1.07274859158508,0.335978859697698,-0.132366229991472,-0.868923143130675,-0.699536985441832,-0.432293462571396,-0.213992700250438,-0.245642547834766,-0.0836018367073361,0.00737651861880791,0.0517304297902249,0.684408173628362,0.0693312091094345,0.00900231280407693,1.10133228689384,0.477827863540008,0.816481105960429,0.80586803444268
"1_D06","Arid2.2",-0.451641484628043,0.0124601399746854,0.957988772305439,0.00657855967119722,0.89805837120778,2.20816795598673,2.09597118986318,0.478451423431906,-0.491421041568836,-0.161444660035789,-0.30453809635975,-0.158965993063336,-0.291858925925254,0.00441117368891154,0.747064176072907,1.60323811705462,0.253274589110132,0.658665965466511,1.70945785907001,1.73281109012855,1.01153314111488,1.68052097432665
"1_D07","Atrx.3",-0.44949779906563,0.00075854144775701,0.506200554849908,-0.0600594698616702,0.227295888476221,0.604426019594159,1.23206033647184,0.0104076647117896,-0.706386683758221,-0.687321870731943,-0.286795112765539,-0.151230609331392,-0.20283527328631,0.0657689530257828,0.545226936115731,2.36806693757536,0.950772981254297,1.25359977785396,1.12043196166017,1.04124365876554,0.932584155056774,1.19359943232708
"1_D08","Atad2b.2",-0.149166930633953,0.748895603516824,1.17491404862222,-0.027442154214935,0.0409570562274552,0.858893808750462,1.04834114666598,0.480191714747321,-0.558931422838507,-0.196334370167826,-0.265168967399801,-0.0278151070964655,-0.210246669448648,0.295831804484578,-0.217647767722771,2.0340238039734,0.292703877822575,1.56742329397753,0.721222053770494,1.07752314916033,0.816833509499793,1.37989134438751
"1_D09","A2l.2",-0.289172630438032,-0.249521003572466,1.80370595994242,0.101872265461851,1.00874554542114,2.10967480708293,2.64465758943883,1.63087245093926,-0.920565323353157,-0.41778392475678,-0.376427771218055,0.0588079856819079,-0.269736672429421,0.229434250385784,-0.487463720448892,2.86312151641216,0.546488699548175,1.86280868611827,1.17349033473283,1.99969450691288,0.994409578548587,1.89908844092209
"1_D10","Actl6b.3",-0.427011897561626,-0.0758833121888371,0.554216072458158,-0.0350528789519366,0.622923192113577,2.21440264387219,1.49755933781806,0.707358504227317,-0.713744891833147,-0.463849564433147,-0.323692165852821,-0.156817774199772,-0.34788268078492,-0.0653921459502086,-0.956929483722024,2.83159149277699,0.819426242943469,2.4993654452573,1.13908546141286,2.55897849908515,1.04002546097611,2.00937893934448
"1_D11","Aurkb.2",-0.45952723647516,-0.045193654114535,0.520579099296757,0.0782109470545613,1.07857294281738,4.33372295165817,0.799166204017457,0.140954452296672,-0.831984706506737,-0.761014220545673,-0.369565794892983,-0.203331256493316,-0.428125177623046,-0.171679806032429,-1.31100124489373,2.48071269927907,0.18177210175399,1.82839914232373,0.960204817584088,4.40795919806126,1.1003470162694,2.71285313343853
"1_E02","Asxl1.2",0.436360022708182,-1.12171518997473,1.54391169783756,-0.569053984469435,1.310680045525,0.908968842172771,1.32531278900264,-1.04757245435171,-0.501899951824397,-0.358290121647101,-0.254853839904906,-0.432660603805358,-0.00779801018789012,-0.632251872057677,-0.322181643711357,0.155236971151894,0.106503672645437,0.733526627876289,0.436271753260224,1.22828947793355,0.577517087720654,1.3914634489045
"1_E03","Asxl2.2",-1.00899991576454,-0.161901390328389,1.69648749419128,-0.122208862292721,0.698674668304038,1.1269281357085,3.6956534105231,0.383570131052542,-0.0754942616648202,0.588530602942624,-0.348745799894425,-0.083779599112982,-0.513093976104574,0.21721666673148,-0.897503619975054,1.62217971579792,0.595833710633234,0.369956536010941,-1.0559227338201,6.78971217222917,-0.10541223696033,2.31069105553687
"1_E04","Actl6b.4",-0.592978062618957,-0.455546297442189,1.14368024533372,-0.116527402462792,1.08205844872687,0.957177993829288,2.89096809641232,-0.0548016550255459,-0.668025589825486,-0.474049357372177,-0.287385779923903,-0.117858269569679,-0.278793238964408,0.102139009846297,0.540982086403247,0.848999665984141,0.616514613135054,1.32779662480745,1.27516921862512,0.721181391119449,0.982139540922364,1.10606305727031
"1_E05","Atm.3",-0.528412445736699,-0.0466572230677726,2.14592207716478,-0.280176453423349,1.14206740758201,0.948292307305295,2.27957593747624,0.307253348618578,-0.712404269075892,-0.694442631813038,-0.28755186461133,-0.271223225523246,-0.127387419637036,-0.227263914768427,0.776760957684757,0.768504092622693,0.100334034481447,0.449691223742899,0.822256057497345,0.578552272903322,0.757651681952723,0.825608188837991
"1_E06","Atad2.3",-0.489630862251826,0.459239230062506,0.622930158434697,-0.091445644550284,0.527010188873005,0.946481111901831,2.35648088066489,0.668515451415006,-0.29404663245092,0.163860007375666,-0.283392017198022,-0.0586851800296275,-0.231404204432756,0.230656312297467,-0.119967375214263,2.11419045114429,-0.229464539772967,1.05493961461376,1.01528338023664,0.925128187459389,1.02414129313011,1.43911329103329
"1_E07","A1l.2",0.105886838704641,0.641506606355889,1.04653572462334,0.120069076675934,0.842411373146968,1.00976227475393,0.753600983996797,0.644603003036832,-1.67381587467467,-1.64547031702821,-0.214726765111822,-0.0456594491444855,-0.06313625045832,0.142283864081792,0.0132519823851372,1.98450484768738,0.869281910287491,1.32014808916337,0.622524387351059,0.628525623999011,0.758643218302241,0.864215503306447
"1_E08","Aff1.3",-0.234324024386314,-0.325717435754661,0.348533478063216,-0.185182179191571,0.250552195061529,0.872668606180869,1.57035837248843,0.438909612046437,-1.18089094178841,-0.926759658853961,-0.321935926834373,0.0509908896704409,-0.219619729946473,0.228711232096508,0.620530571879633,2.71135331091357,0.00881228671642861,1.04137467793303,1.6005114334636,1.81766567545133,0.986353843902219,1.71266302563802
