type,shRNA,count
target,Rbbp7.3,382193
target,Kat5.2,188341
target,Psip1.2,147628
target,Kat2b.2,109557
target,Prmt8.4,103636
target,Pcgf6.3,98406
target,Mll5.1,83579
target,Nap1l3.3,62430
target,Morf4l1.2,60036
target,Phf8.2,53081
target,Prdm8.1,52479
target,Pbrm1.2,51385
target,L3mbtl1.3,45173
target,Prmt3.2,44644
target,Nap1l1.4,33996
target,Phf20.3,33543
target,Prmt2.4,31506
target,Prmt5.2,30363
target,Phc1.2,29846
target,Mbd4.1,29172
target,Phf19.1,28495
target,Phf20l1.4,28197
target,Prdm15.4,28067
target,Prmt5.3,27370
target,Padi6.1,26127
target,Mbd3.2,25020
target,Parp1.3,24901
target,Kdm4d.1,24686
target,Prdm9.4,23896
target,Nap1l3.1,21236
target,Prdm10.2,21192
target,Mta3.1,20903
target,Ppargc1a.4,20357
target,Kdm5c.2,20314
target,Jmjd6.2,19934
target,Mtf2.1,19818
target,Rbbp4.3,19631
target,Ncoa1.2,19254
target,Ncor1.4,18946
target,Prkaa2.3,18684
target,Prdm6.4,18193
target,Mll2.2,17944
target,Nap1l2.1,16717
target,Jmjd5.4,16633
target,Phip.1,16631
target,Kdm4a.3,16590
target,Prdm4.2,16399
target,Ncor1.1,14783
target,Kat2a.3,14227
target,Rbbp7.1,14139
target,L3mbtl3.4,13990
target,Pcmt1.4,13666
target,Myst1.2,13485
target,Rnf217.4,13246
target,L3mbtl3.3,13215
target,Myst2.1,13199
target,Kdm2a.2,12946
target,Ncor2.1,12894
target,Prkcd.1,12834
target,Mbd2.3,12554
target,Kdm4c.2,12439
target,Nap1l3.4,12372
target,Prmt3.1,12227
target,Prdm13.1,12126
target,Kat2b.3,12069
target,Kdm5b.3,11822
target,Rbbp7.4,11692
target,Padi1.4,11682
target,Mll5.2,11120
target,Kdm1a.1,11050
target,Pbrm1.1,10861
target,Phf1.3,10757
target,Phf19.3,10751
target,Mta1.4,10736
target,Prdm5.1,10712
target,Myst3.2,10676
target,Prdm2.4,10634
target,Kdm4c.1,10607
target,Kdm5a.2,10412
target,Prkcd.3,10393
target,Phc1.1,10238
target,Prkaa1.2,10174
target,Phip.2,10125
target,Kdm3a.3,9771
target,Prmt3.3,9767
target,Mbd4.4,9520
target,Prmt3.4,9503
target,Msl3.3,9330
target,Kdm5a.3,9204
target,Kdm5a.1,9159
target,Paxip1.4,8873
target,Kdm5d.2,8807
target,Kdm5c.3,8739
target,Ncoa1.1,8375
target,Kdm5d.1,8302
target,Mbd1.1,8294
target,Kdm1a.3,7820
target,Psip1.1,7812
target,L3mbtl3.2,7779
target,Pbrm1.4,7512
target,Rnf20.3,7438
target,Nap1l2.4,7237
target,Mll1.2,7227
target,Mbd1.4,7215
target,Kdm5b.2,7173
target,Rbbp5.4,7161
target,Orc1.2,7037
target,Kdm5c.1,6933
target,L3mbtl4.2,6581
target,Prdm6.1,6556
target,Pcmt1.3,6313
target,Morf4l1.3,6256
target,Pcgf1.1,6146
target,Kdm6a.3,6078
target,Mta2.1,5924
target,Kdm5b.4,5855
target,Ncor1.3,5847
target,Rbbp5.3,5812
target,Kdm4d.4,5770
target,Psip1.3,5769
target,Kdm5d.3,5700
target,Paxip1.2,5686
target,Mll3.2,5682
target,Prkaa2.2,5564
target,Psip1.4,5563
target,Padi1.1,5518
target,Kdm6a.1,5090
target,Rnf40.3,5009
target,Phip.4,4953
target,Myst1.3,4940
target,Kat5.4,4932
target,Prdm1.4,4834
target,Phf8.1,4812
target,Prdm12.2,4716
target,Prdm10.4,4562
target,Mbd4.3,4519
target,Kdm4d.2,4456
target,Kdm6a.2,4446
target,Mta2.2,4379
target,L3mbtl4.4,4352
target,Kdm1b.2,4332
target,Mbd3.1,4253
target,Prdm15.2,4246
target,Prmt2.3,4240
target,Rnf217.1,4128
target,Mecom.3,4089
target,Pcgf1.4,4087
target,Phf2.2,4025
target,Rnf40.1,4016
target,Mtf2.4,3960
target,Prdm1.2,3925
target,Mbd2.4,3921
target,Mll3.3,3847
