shRNA,count,pctg,nbPctg
Bcl6.2,12082,0.07847084089280358,81.87016572917429
Bcl6.3,25905,0.16824922474160542,85.5219224007263
CD4.1,36366,0.23619190530604992,87.16438325959292
CD4.2,65,0.0004221655899712161,60.26401266896588
CD4.3,2916,0.01893899785163179,75.36197735229938
CD4.4,17667,0.11474460735417655,83.67929906191924
Cd14.2,2056,0.013353422353551081,73.83367685920335
Cd4.5,3664,0.023797149563915935,76.37664160237657
Fosb.2,544,0.0035332012452975623,68.28564292828842
Hes1.2,5761,0.037416860981910396,78.42326418061923
Hes1.3,3267,0.021218692037476356,75.86547250155162
Hes6.3,34,0.00022082507783109765,58.00127306849269
Id2.2,1194,0.007754857145009724,71.5147125996398
Id2.3,1792,0.011638780572744912,73.24047906733873
Id2.4,2346,0.01523693037034574,74.40721487814484
Id2.5,566,0.003676088060364743,68.44514644039073
Id3.2,21872,0.14205547359769907,84.70519850016251
Id3.3,20785,0.13499556596233425,84.45975093420853
Id3.4,8447,0.05486204213056711,80.19020510582656
Id3.5,135,0.0008768054560940641,62.90843095273313
Jmjd5.1,2594,0.016847654467466687,74.847004628039
Jmjd5.2,2619,0.017010025848224846,74.88926269854522
Jmjd5.3,60032,0.3898991491869545,89.58564528073268
Jmjd5.4,30889,0.20061958320955223,86.37343598933192
Jmjd6.1,8953,0.058148438877112275,80.46151257029886
Jmjd6.2,83241,0.5406382442276,91.14090058169754
Jmjd6.3,12038,0.07818506726266923,81.85296182012578
Jmjd6.4,1571,0.010203417566842777,72.67687501215954
Kat2a.1,4,2.5979420921305606e-05,51.08829386423789
Kat2a.2,0,0.0,40.92117649556751
Kat2a.3,59966,0.389470488741753,89.58036195516524
Kat2b.1,2572,0.016704767652399505,74.80961206723788
Kat2b.2,196370,1.2753947215791954,94.96665897183686
Kat2b.3,64585,0.41947022505063064,89.93592620598638
Kat2b.4,9429,0.061239989966747635,80.70365967165
Kat5.1,10069,0.06539669731415654,81.01149841505732
Kat5.2,261090,1.6957417520859202,96.08720891292322
Kat5.3,3375,0.021920136402351607,76.01020316186951
Kat5.4,80855,0.5251415196480412,91.00383601748945
Kdm1a.1,21121,0.13717783731972394,84.53692290376004
Kdm1a.2,24850,0.16139715247361108,85.32102312154925
Kdm1a.3,185361,1.2038928603485322,94.72808214772097
Kdm1a.4,15275,0.09920891364323578,82.98386209605844
Kdm1b.1,102281,0.6643002878130146,92.10171647457727
Kdm1b.2,18665,0.12122647287404228,83.942782986832
Kdm1b.3,5497,0.03570221920110423,78.2090056964103
Kdm1b.4,3201,0.020790031592274813,75.77499144062007
Kdm2a.1,4340,0.02818767169961658,77.13674864819355
Kdm2a.2,39805,0.25852771244314243,87.60221386573411
Kdm2a.3,15084,0.09796839629424345,82.92389235297276
Kdm2a.4,3153,0.020478278541219145,75.70791540315302
Kdm2b.1,0,0.0,40.92117649556751
Kdm2b.2,8995,0.058421222796785986,80.48338884333273
Kdm2b.3,1150,0.0074690835148753625,71.3575522323852
Kdm2b.4,2879,0.018698688208109708,75.3056813891752
Kdm3a.1,12795,0.0831016726720263,82.14160034699573
Kdm3a.2,20779,0.1349565968309523,84.4583605525913
Kdm3a.3,87360,0.5673905529213145,91.36781222168045
Kdm3a.4,25065,0.16279354634813126,85.36262505294957
Kdm3b.2,12496,0.08115971095815872,82.02959159537771
Kdm3b.3,8817,0.05726513856578789,80.39007676250363
Kdm3b.4,3118,0.02025095860815772,75.65828387083981
Kdm4a.1,47276,0.30705077586891094,88.43468562908899
Kdm4a.2,734,0.004767223739059578,69.49902462698894
Kdm4a.3,46593,0.30261478974659806,88.36433890962778
Kdm4a.4,3637,0.023621788472697122,76.34346734728248
Kdm4c.1,203664,1.3227681956291961,95.11560303002547
Kdm4c.2,40874,0.26547071268436134,87.73058272684575
Kdm4c.3,30343,0.19707339225379397,86.28706365099748
Kdm4c.4,2681,0.017412706872505082,74.99186745078497
Kdm4d.1,93843,0.6094966993795206,91.70238561603763
Kdm4d.2,18043,0.11718667292077926,83.78022097530196
Kdm4d.3,2707,0.017581573108493568,75.03433499066199
Kdm4d.4,49279,0.32005997089525473,88.63515652443198
Kdm5a.1,84300,0.5475162959165156,91.20038177041252
Kdm5a.2,276460,1.7955676769760371,96.29929962826628
Kdm5a.3,12670,0.0822898157682355,82.09507622186753
Kdm5a.4,6484,0.04211264131343639,78.9656968625688
Kdm5b.1,183,0.0011885585071497314,64.04583754833195
Kdm5b.2,19876,0.12909174255796757,84.24467761470568
Kdm5b.3,47986,0.31166212308244273,88.50673308915955
Kdm5b.4,11107,0.07213835704323535,81.47298685815421
