shRNA,count
Bcl6.2,12082
Bcl6.3,25905
CD4.1,36366
CD4.2,65
CD4.3,2916
CD4.4,17667
Cd14.2,2056
Cd4.5,3664
Fosb.2,544
Hes1.2,5761
Hes1.3,3267
Hes6.3,34
Id2.2,1194
Id2.3,1792
Id2.4,2346
Id2.5,566
Id3.2,21872
Id3.3,20785
Id3.4,8447
Id3.5,135
Jmjd5.1,2594
Jmjd5.2,2619
Jmjd5.3,60032
Jmjd5.4,30889
Jmjd6.1,8953
Jmjd6.2,83241
Jmjd6.3,12038
Jmjd6.4,1571
Kat2a.1,4
Kat2a.2,0
Kat2a.3,59966
Kat2b.1,2572
Kat2b.2,196370
Kat2b.3,64585
Kat2b.4,9429
Kat5.1,10069
Kat5.2,261090
Kat5.3,3375
Kat5.4,80855
Kdm1a.1,21121
Kdm1a.2,24850
Kdm1a.3,185361
Kdm1a.4,15275
Kdm1b.1,102281
Kdm1b.2,18665
Kdm1b.3,5497
Kdm1b.4,3201
Kdm2a.1,4340
Kdm2a.2,39805
Kdm2a.3,15084
Kdm2a.4,3153
Kdm2b.1,0
Kdm2b.2,8995
Kdm2b.3,1150
Kdm2b.4,2879
Kdm3a.1,12795
Kdm3a.2,20779
Kdm3a.3,87360
Kdm3a.4,25065
Kdm3b.2,12496
Kdm3b.3,8817
Kdm3b.4,3118
Kdm4a.1,47276
Kdm4a.2,734
Kdm4a.3,46593
Kdm4a.4,3637
Kdm4c.1,203664
Kdm4c.2,40874
Kdm4c.3,30343
Kdm4c.4,2681
Kdm4d.1,93843
Kdm4d.2,18043
Kdm4d.3,2707
Kdm4d.4,49279
Kdm5a.1,84300
Kdm5a.2,276460
Kdm5a.3,12670
Kdm5a.4,6484
Kdm5b.1,183
Kdm5b.2,19876
Kdm5b.3,47986
Kdm5b.4,11107
Kdm5c.1,129317
Kdm5c.2,159542
Kdm5c.3,10311
Kdm5c.4,8595
Kdm5d.1,37250
Kdm5d.2,13244
Kdm5d.3,35237
Kdm5d.4,343
Kdm6a.1,16116
Kdm6a.2,25611
Kdm6a.3,7459
Kdm6a.4,12247
Kdm6b.1,44
Kdm6b.2,5264
Kdm6b.3,5901
Kdm6b.4,1524
Klf12.4,95
Klf12.5,1692
Klf2.2,79
Klf2.3,793
Klf2.4,5106
Klf2.5,1
Klf2.6,1803
Klf2.7,31
L3mbtl1.1,1068
L3mbtl1.2,7866
L3mbtl1.3,217933
L3mbtl1.4,72652
L3mbtl2.1,7576
L3mbtl2.3,5386
L3mbtl2.4,2499
L3mbtl3.1,17046
L3mbtl3.2,9437
L3mbtl3.3,13601
L3mbtl3.4,35987
L3mbtl4.1,14953
L3mbtl4.2,33263
