type,shRNA,count
contaminants,Prdm11.4,392207
contaminants,Rbbp7.3,75371
contaminants,Rbbp7.1,70694
contaminants,Atrx.3,42854
contaminants,Kdm5c.2,30986
contaminants,Nsd1.4,14932
contaminants,Asxl1.1,10791
contaminants,Dnmt1.3,10385
contaminants,Kdm1b.3,8867
contaminants,Prdm2.3,7933
contaminants,Hdac7.1,7556
contaminants,Cbx1.3,7015
contaminants,Atm.3,6830
contaminants,Prkcd.3,6212
contaminants,Actb,6100
contaminants,Pcgf1.1,6026
contaminants,Mll2.2,5901
contaminants,Phf8.2,5409
contaminants,L3mbtl3.1,5253
contaminants,Cd19,5181
contaminants,Actl6a,4631
contaminants,Kdm2b.4,4597
contaminants,Asxl3.1,4040
contaminants,Dnmt3l.3,3969
contaminants,Crebbp.1,3834
contaminants,Ms4a1,3685
contaminants,Cd14,3151
contaminants,Ash2l.2,3076
contaminants,Tbx21,3064
contaminants,Mtf2.1,2826
contaminants,Prmt8.4,2732
contaminants,Baz1a.2,2541
contaminants,Ncoa1.1,2432
contaminants,Gtf2b.1,2425
contaminants,Dub2a.2,2303
contaminants,Phf20.2,2054
contaminants,Ing3.2,1979
contaminants,Eed.2,1617
contaminants,Atad2.3,1566
contaminants,Kdm1b.1,1435
contaminants,Bcl6,1403
contaminants,Kdm4a.2,1394
contaminants,Ncoa1.2,1328
contaminants,Gadd45b.2,1257
contaminants,Prdm9.4,1178
contaminants,Asxl2.1,1082
contaminants,Klf2,1040
contaminants,Chaf1a.3,931
contaminants,Prdm15.4,921
contaminants,Ash2l.4,915
contaminants,Brwd3.1,890
contaminants,Ncoa3.2,872
contaminants,Jmjd1c.3,840
contaminants,Jmjd5.3,706
contaminants,Fbxl19.2,655
contaminants,Hes6,646
contaminants,Ctsl.2,632
contaminants,Brwd1.1,560
contaminants,Baz1b.2,534
contaminants,Klf12,530
contaminants,Prdm1.2,476
contaminants,Hat1.2,465
contaminants,Brpf3.3,402
contaminants,Bmi1.2,392
