shRNA,count,adjPctg
Bcl6,5373,0.07477304023451987
Bcl6.2,6027,0.08387439298221688
Bcl6.3,1371,0.01907944131053913
CD4.1,164,0.002282296407679371
CD4.2,10309,0.14346459552906482
CD4.3,17858,0.2485198124898671
CD4.4,10290,0.14320018314037028
CDK9.1,18330,0.25508837288270036
CDK9.2,3060,0.0425843110213346
CDK9.3,8659,0.12050246703716873
Ccnt1,16730,0.23282206646631629
Ccnt1.2,86509,1.2038974386093577
Ccnt1.3,65260,0.9081869729582667
Ccnt1.4,39030,0.5431587121446697
Cd14,12884,0.179299432417933
Cd14.2,19849,0.2762274475367551
Cd19,19031,0.26484379838137867
Cd19.3,1039,0.014459182729139429
Cd19.4,12422,0.1728700364402021
Fosb,12185,0.1695718398022752
Fosb.2,632,0.008795191034471721
Hes1,12538,0.17448434365538995
Hes1.3,6954,0.09677493426220941
Id2,3017,0.04198590403639428
Id2.2,4388,0.061065345346933406
Id2.3,4328,0.060230358856319006
Id2.4,7660,0.1065999419684389
Id2.5,4492,0.06251265526399838
Id3,11799,0.16420009337932254
Id3.2,8079,0.1124309309612295
Id3.3,33090,0.46049504957384374
Id3.4,2548,0.03545909296809169
Id3.5,717,0.009978088562842128
Klf12,1793,0.024952179627860435
Klf12.4,87213,1.2136946134325668
Klf12.5,10626,0.14787610748781094
Klf2,3068,0.04269564255341653
Klf2.2,3098,0.04311313579872372
Klf2.3,1751,0.024367689084430356
Klf2.4,1954,0.027192726711009085
Klf2.5,6,8.349864906144038e-05
Klf2.6,44428,0.6182796634169456
Klf2.7,21982,0.3059112172780971
Ms4a1,27882,0.3880182221885135
Nfatc3.2,38864,0.5408485828539699
Nfatc3.3,11124,0.15480649535991048
Nfatc3.7,3326,0.04628608446305846
Nfatc3.8,8184,0.11389215731980469
Rpa3.1,7185,0.09998963225107486
Rpa3.2,17536,0.2440387183235698
Rpa3.3,21932,0.3052153952025851
Rpa3.4,29109,0.405093695921578
Runx3,17548,0.24420571562169266
