shRNA,count,adjPctg
Bcl6,6569,0.05964522486358731
Bcl6.2,12958,0.11765608521576562
Bcl6.3,3590,0.03259649219976837
CD4.1,2857,0.02594099671719728
CD4.2,7619,0.06917901784680647
CD4.3,6824,0.06196057458808339
CD4.4,13996,0.12708092056489087
CDK9.1,24336,0.2209660819424967
CDK9.2,26166,0.2375821211418215
CDK9.3,9171,0.08327087185628851
Ccnt1,18919,0.17178078995192697
Ccnt1.2,38116,0.34608576509369676
Ccnt1.3,45188,0.41029813078638816
Ccnt1.4,33913,0.3079233537522966
Cd14,121604,1.1041403446965554
Cd14.2,11974,0.10872155922006309
Cd19,6587,0.059808661314728215
Cd19.3,2839,0.025777560266056383
Cd19.4,14795,0.1343356830349786
Fosb,100191,0.9097145264587724
Fosb.2,1724,0.015653580098161746
Hes1,8196,0.07441806408615644
Hes1.2,7613,0.06912453902975951
Hes1.3,4020,0.03650080742146765
Id2,25032,0.22728562471994482
Id2.2,2007,0.018223164302210344
Id2.3,6076,0.055168882062894886
Id2.4,20385,0.18509178091706918
Id2.5,5562,0.05050186340253808
Id3,9276,0.08422425115461044
Id3.2,11167,0.10139415832724609
Id3.3,17649,0.16024944034365238
Id3.5,17191,0.1560908906424006
Jmjd5.1,20828,0.18911413357570353
Jmjd5.2,2447,0.02221827755232123
Jmjd5.3,26412,0.23981575264074717
Jmjd5.4,106132,0.9636576351381105
Jmjd6.1,1430,0.012984118062860383
Jmjd6.2,49180,0.44654470372830324
Jmjd6.3,7144,0.06486611149725495
Jmjd6.4,44851,0.40723823722891683
Jmjd8.1,2,1.8159605682322212e-05
Jmjd8.2,1,9.079802841161106e-06
Jmjd8.3,11,9.987783125277219e-05
Kat2a.1,3,2.7239408523483323e-05
Kat2a.2,0,0.0
Kat2a.3,75844,0.688648566685023
Kat2b.1,4507,0.04092267140511311
Kat2b.3,86592,0.7862382876218226
Kat2b.4,8770,0.07962987091698291
Kat5.1,7135,0.0647843932716845
Kat5.3,6109,0.055468515556653206
Kat5.4,108208,0.9825073058363611
Kdm1a.1,25817,0.23441326995025633
Kdm1a.2,23562,0.213938314543438
Kdm1a.3,87625,0.795617723956742
Kdm1a.4,46780,0.4247531769095166
Kdm1b.1,48383,0.4393081008638978
Kdm1b.2,8976,0.0815003103022621
Kdm1b.3,2436,0.022118399721068455
Kdm1b.4,19071,0.17316091998378347
Kdm2a.1,3705,0.0336406695265019
Kdm2a.3,5731,0.0520363500826943
Kdm2a.4,81104,0.7364083296295304
Kdm2b.1,33164,0.30112258142426696
Kdm2b.2,42720,0.3878891773744025
Kdm2b.3,43247,0.3926742334716944
Kdm2b.4,98003,0.8898479178423119
Kdm3a.1,34216,0.3106745340131684
Kdm3a.2,37155,0.33736007456334094
Kdm3a.3,199060,1.80742555356153
Kdm3a.4,13432,0.12195991176247598
Kdm3b.2,12155,0.11036500353431326
Kdm3b.3,19922,0.18088783220161156
Kdm3b.4,7917,0.07188479909347248
Kdm4a.1,20994,0.1906213808473363
Kdm4a.2,20885,0.18963168233764974
Kdm4a.3,18783,0.17054593676552907
Kdm4a.4,3273,0.029718194699120307
Kdm4b.1,2,1.8159605682322212e-05
Kdm4b.2,996,0.009043483629796463
Kdm4b.3,25,0.0002269950710290277
Kdm4c.1,107704,0.9779310852044159
Kdm4c.2,13914,0.12633637673191564
Kdm4c.3,6048,0.05491464758334238
Kdm4c.4,40218,0.3651715106658174
Kdm4d.1,22152,0.20113579253740083
Kdm4d.2,14423,0.13095799637806665
Kdm4d.3,8073,0.07330124833669362
Kdm4d.4,12853,0.1167027059174437
Kdm5a.1,22131,0.20094511667773646
Kdm5a.2,81918,0.7437992891422355
Kdm5a.3,46196,0.4194505720502785
Kdm5a.4,1980,0.017978009625498993
Kdm5b.1,4550,0.04131310292728304
Kdm5b.2,19506,0.17711063421968856
Kdm5b.3,98750,0.8966305305646594
Kdm5b.4,3485,0.03164311290144646
Kdm5c.1,60023,0.5449970059350131
Kdm5c.3,6934,0.06295935290061112
Kdm5c.4,15961,0.14492273314777243
Kdm5d.1,111130,1.0090384897382338
Kdm5d.2,5620,0.051028491967325416
Kdm5d.3,3023,0.027448243988830025
Kdm5d.4,88,0.0007990226500221775
Kdm6a.1,3454,0.03136163901337047
Kdm6a.2,56936,0.5169676545643488
Kdm6a.3,6674,0.06059860416190923
Kdm6a.4,1169,0.010614289521317334
Kdm6b.1,4638,0.04211212557730522
Kdm6b.2,19387,0.1760301376815904
Kdm6b.3,17582,0.1596410935532946
Kdm6b.4,13755,0.12489268808017102
Klf12,55746,0.506162689183367
Klf12.4,16999,0.15434756849689765
Klf12.5,55593,0.5047734793486695
Klf2,80795,0.7336026705516117
Klf2.2,12919,0.11730197290496035
Klf2.3,6197,0.05626753820667538
Klf2.4,2610,0.02369828541543049
Klf2.5,339,0.003078053163153615
Klf2.6,24795,0.22513371144658964
Klf2.7,55790,0.5065622005083782
L3mbtl1.1,8801,0.0799113448050589
L3mbtl1.2,26932,0.24453725011815095
L3mbtl1.3,82884,0.7525703786867972
L3mbtl1.4,8460,0.07681513203622298
L3mbtl2.1,2126,0.019303660840308514
L3mbtl2.3,3407,0.03093488827983589
L3mbtl2.4,8037,0.07297437543441182
L3mbtl3.1,59813,0.5430902473383693
L3mbtl3.2,7819,0.0709949784150387
L3mbtl3.3,7013,0.06367665732506285
L3mbtl3.4,20306,0.18437447649261743
L3mbtl4.1,19676,0.17865420070268595
L3mbtl4.2,16538,0.15016177938712238
L3mbtl4.3,10794,0.098007391867493
L3mbtl4.4,4500,0.04085911278522498
Mbd1.1,72643,0.6595841177904663
Mbd1.2,38945,0.3536129216490193
Mbd1.3,27052,0.24562682645909029
Mbd1.4,24725,0.22449812524770835
Mbd2.2,81629,0.7411752261211401
Mbd2.3,38290,0.3476656507880588
Mbd2.4,22549,0.2047404742653418
Mbd3.1,11468,0.10412717898243558
Mbd3.2,36011,0.3269727801130526
Mbd3.3,7571,0.06874318731043075
Mbd3.4,7087,0.06434856273530876
Mbd4.1,40836,0.370782828821655
Mbd4.2,6865,0.062332846504571
Mbd4.3,35675,0.3239219663584225
Mbd4.4,8205,0.07449978231172688
Mecom.1,7316,0.06642783758593467
Mecom.2,18489,0.1678764747302277
Mecom.3,7448,0.06762637156096793
Mecom.4,8291,0.07528064535606674
Mecp2.1,0,0.0
Mecp2.2,0,0.0
Mecp2.3,3,2.7239408523483323e-05
Men1.1,50740,0.4607091961605146
Men1.3,18736,0.1701191860319945
Men1.4,21610,0.19621453939749153
Mll1.1,6899,0.06264155980117048
Mll1.2,156740,1.423168297323592
Mll1.3,43784,0.3975500875973979
Mll1.4,5610,0.05093769393891381
Mll2.1,26242,0.23827218615774975
Mll2.2,70239,0.637756271760315
Mll2.3,6936,0.06297751250629344
Mll2.4,25404,0.23066331137685678
Mll3.3,7118,0.06463003662338475
Mll3.4,10428,0.09468418402762802
Mll5.2,95657,0.868546700376948
Mll5.3,3856,0.03501171975551723
Mll5.4,34112,0.30973023451768766
Morf4l1.2,95499,0.8671120915280446
Morf4l1.3,4322,0.0392429078794983
Morf4l1.4,39485,0.35851601518324633
Ms4a1,40956,0.37187240516259434
Ms4a1.2,10517,0.09549228648049136
Msl3.1,488,0.00443094378648662
Msl3.2,1598,0.014509524940175449
Msl3.3,15397,0.13980172434535756
Msl3.4,3280,0.02978175331900843
Mta1.1,10813,0.09817990812147503
Mta1.2,23303,0.21158664560757728
Mta1.3,11061,0.100431699226083
Mta1.4,40041,0.36356438556293186
Mta2.1,27951,0.2537895692132941
Mta2.3,7469,0.0678170474206323
Mta2.4,5027,0.045644168882516885
Mta3.1,41474,0.37657574303431574
Mta3.2,3103,0.028174628216122915
Mta3.3,5179,0.047024298914373375
Mta3.4,5719,0.05192739244860037
Mtf2.1,28246,0.25646811105143663
Mtf2.3,39415,0.35788042898436506
Mtf2.4,9530,0.08653052107626534
Myst1.1,4950,0.04494502406374748
Myst1.2,20106,0.18255851592438524
Myst1.3,36897,0.3350174854303214
Myst1.4,12954,0.11761976600440098
Myst2.1,5011,0.04549889203705831
Myst2.2,10287,0.0934039318270243
Myst2.3,10201,0.09262306878268445
Myst2.4,16038,0.14562187796654183
Myst3.1,9088,0.08251724822047214
Myst3.2,24280,0.22045761298339167
Myst3.3,15100,0.1371050229015327
Myst3.4,231,0.0020974344563082156
Myst4.1,13362,0.12132432556359472
Myst4.3,50692,0.4602733656241388
Myst4.4,39099,0.3550112112865581
Nap1l1.1,1960,0.01779641356867577
Nap1l1.2,11057,0.10039538001471837
Nap1l1.3,2952,0.02680357798710759
Nap1l1.4,43176,0.392029567469972
Nap1l2.1,14915,0.13542525937591793
Nap1l2.2,8510,0.07726912217828102
Nap1l2.3,7696,0.06987816266557588
Nap1l2.4,7850,0.07127645230311469
Nap1l3.1,173323,1.5737386678385665
Nap1l3.2,30317,0.2752723827354813
Nap1l3.3,52688,0.47839665209509646
Nap1l3.4,8155,0.07404579216966883
Ncoa1.1,51672,0.4691715724084767
Ncoa1.2,36580,0.3321391879296733
Ncoa1.3,21936,0.19917455512371002
Ncoa1.4,49836,0.4525010543921049
Ncoa3.1,3096,0.028111069596234786
Ncoa3.2,17679,0.16052183442888723
Ncoa3.3,2589,0.023507609555766106
Ncoa3.4,29446,0.26736387446082993
Ncor1.1,27383,0.2486322411995146
Ncor1.3,3309,0.030045067601402103
Ncor1.4,43723,0.39699621962408704
Ncor2.1,3838,0.03484828330437633
Ncor2.2,6839,0.06209677163070081
Ncor2.3,1597,0.014500445137334287
Ncor2.4,8472,0.0769240896703169
Nfatc3.2,15344,0.13932049479477604
Nfatc3.3,3330,0.030235743461066486
Nfatc3.7,4902,0.044509193527371746
Nfatc3.8,61211,0.5557838117103125
Nsd1.1,3991,0.03623749313907398
Nsd1.2,12651,0.11486858574352916
Nsd1.3,2770,0.025151053870016263
Nsd1.4,19143,0.17381466578834706
Orc1.1,5280,0.04794135900133064
Orc1.2,7207,0.0654381390762481
Orc1.3,891,0.008090104331474546
Orc1.4,41069,0.3728984228836455
Padi1.1,17405,0.15803396845040907
Padi1.2,2690,0.02442466964272338
Padi1.4,53726,0.4878214874442216
Padi2.1,0,0.0
Padi2.2,53,0.00048122955058153865
Padi2.3,2,1.8159605682322212e-05
Padi3,3948,0.03584706161690405
Padi4.1,14837,0.13471703475430735
Padi4.2,2533,0.022999140596661083
Padi4.3,23434,0.21277609977976936
Padi4.4,6158,0.05591342589587009
Padi6.1,18557,0.16849390132342668
Padi6.2,0,0.0
Padi6.3,7539,0.06845263361951358
Padi6.4,27322,0.24807837322620377
Paf1.1,0,0.0
Paf1.2,0,0.0
Paf1.3,7481,0.06792600505472625
Parp1.1,6464,0.05869184556526539
Parp1.2,52241,0.4743379802250974
Parp1.3,23584,0.21413807020594353
Parp1.4,10269,0.09324049537588341
Parp2.1,29,0.0002633142823936721
Parp2.2,2,1.8159605682322212e-05
Parp2.3,24,0.00021791526818786658
Paxip1.1,5393,0.04896737672238185
Paxip1.2,1470,0.013347310176506828
Paxip1.3,2382,0.021628090367645757
Paxip1.4,20724,0.18816983408022278
Pbrm1.1,9872,0.08963581364794246
Pbrm1.3,0,0.0
Pbrm1.4,5729,0.052018190477011984
Pcgf1.1,38724,0.35160628522112275
Pcgf1.2,4647,0.042193843802875663
Pcgf1.3,2652,0.024079637134759257
Pcgf1.4,2107,0.019131144586326452
Pcgf2.2,18060,0.1639812393113696
Pcgf2.3,78261,0.7105944501521094
Pcgf2.4,145139,1.317833504563282
Pcgf5.1,23820,0.21628090367645758
Pcgf5.2,2362,0.021446494310822534
Pcgf5.3,14136,0.12835209296265343
Pcgf5.4,25132,0.22819360500406094
Pcgf6.1,1557,0.014137253023687842
Pcgf6.2,7131,0.06474807406031985
Pcgf6.3,54150,0.49167132384887396
Pcgf6.4,2282,0.020720110083529645
Pcmt1.1,7242,0.06575593217568873
Pcmt1.3,10076,0.09148809342753932
Pcmt1.4,173324,1.573747747641408
Phc1.1,101627,0.9227531233386799
Phc1.2,39473,0.35840705754915236
Phc1.3,3102,0.028165548413281755
Phc1.4,30094,0.27324758670190236
Phc2.1,1,9.079802841161106e-06
Phc2.2,43,0.0003904315221699276
Phc3.1,1,9.079802841161106e-06
Phc3.2,2,1.8159605682322212e-05
Phc3.3,0,0.0
Phf1.1,4461,0.0405050004744197
Phf1.2,5492,0.0498662772036568
Phf1.3,18524,0.16819426782966834
Phf1.4,7595,0.06896110257861861
Phf10.1,1,9.079802841161106e-06
Phf10.2,10,9.079802841161107e-05
Phf10.3,55,0.0004993891562638609
Phf17.1,0,0.0
Phf17.2,43715,0.3969235812013578
Phf19.1,27526,0.24993065300580064
Phf19.2,18000,0.1634364511408999
Phf19.3,48605,0.4413238170946356
Phf19.4,14614,0.1326922387207284
Phf2.1,8811,0.08000214283347051
Phf2.2,13203,0.1198806369118501
Phf2.3,8945,0.0812188364141861
Phf2.4,554,0.005030210774003253
Phf20.1,0,0.0
Phf20.2,53320,0.4841350874907102
Phf20.3,41203,0.37411511646436113
Phf20.4,8271,0.07509904929924352
Phf20l1.1,15006,0.13625152143446356
Phf20l1.2,6856,0.06225112827900055
Phf20l1.4,34413,0.31246325517287715
Phf8.1,11064,0.10045893863460649
Phf8.2,50790,0.46116318630257264
Phf8.3,33924,0.3080232315835494
Phip.1,20552,0.18660810799154307
Phip.2,131204,1.1913064519717018
Phip.3,0,0.0
Phip.4,12371,0.11232624094800404
Polr2b.1,20294,0.1842655188585235
Polr2b.2,80516,0.7310694055589276
Polr2b.3,15831,0.14374235877842148
Polr2b.4,8836,0.08022913790449954
Ppargc1a.1,8503,0.07720556355839289
Ppargc1a.2,9085,0.08249000881194866
Ppargc1a.3,11578,0.1051259572949633
Ppargc1a.4,82224,0.7465777088116309
Prdm1.1,7674,0.06967840700307033
Prdm1.2,29350,0.2664922133880785
Prdm1.3,11925,0.1082766488808462
Prdm1.4,15263,0.13858503076464196
Prdm10.1,14768,0.1340905283582672
Prdm10.2,17896,0.1624921516454192
Prdm10.3,22322,0.20267935902039824
Prdm10.4,10679,0.09696321454075946
Prdm11.2,19543,0.17744658692481152
Prdm11.3,4088,0.03711823401466661
Prdm11.4,1798,0.01632548550840767
Prdm12.1,4627,0.042012247746052445
Prdm12.2,5519,0.050111431880368144
Prdm12.3,3607,0.032750848848068115
Prdm12.4,18167,0.16495277821537382
Prdm13.1,28500,0.2587743809730916
Prdm13.2,9067,0.08232657236080776
Prdm13.4,1316,0.011949020538968017
Prdm14.1,29665,0.26935235128304424
Prdm14.2,6368,0.05782018449251393
Prdm14.3,1548,0.014055534798117393
Prdm14.4,956,0.008680291516150018
Prdm15.1,0,0.0
Prdm15.2,6145,0.055795388458935
Prdm15.3,7233,0.06567421395011828
Prdm15.4,34847,0.31640388960594107
Prdm16.1,24911,0.22618696857616433
Prdm16.2,0,0.0
Prdm16.3,0,0.0
Prdm2.1,4154,0.03771750100218324
Prdm2.2,3702,0.03361343011797842
Prdm2.3,24493,0.222391610988559
Prdm2.4,20668,0.18766136512111775
Prdm4.1,8,7.263842272928885e-05
Prdm4.2,41051,0.3727349864325046
Prdm4.3,4453,0.04043236205169041
Prdm4.4,22187,0.20145358563684151
Prdm5.1,214475,1.9473907143580285
Prdm5.2,6855,0.062242048476159384
Prdm5.3,5639,0.05120100822130748
Prdm5.4,132207,1.2004134942213867
Prdm6.1,7352,0.06675471048821646
Prdm6.2,14080,0.1278436240035484
Prdm6.3,14244,0.1293327116694988
Prdm6.4,29109,0.26430398090335866
Prdm8.1,32595,0.29595617360764626
Prdm8.2,36370,0.3302324293330295
Prdm8.3,4513,0.04097715022216007
Prdm8.4,4411,0.04005101033236164
Prdm9.1,5017,0.045553370854105275
Prdm9.2,1062,0.009642750617313097
Prdm9.3,0,0.0
Prdm9.4,45320,0.4114966647614213
Prkaa1.1,8778,0.0797025093397122
Prkaa1.2,24054,0.21840557754128925
Prkaa1.3,10525,0.09556492490322065
Prkaa1.4,2353,0.021364776085252085
Prkaa2.1,91402,0.8299121392878075
Prkaa2.2,4381,0.039778616247126815
Prkaa2.3,16303,0.14802802571944954
Prkaa2.4,3452,0.03134347940768814
Prkcd.1,209196,1.899458435159539
Prkcd.2,1066,0.00967906982867774
Prkcd.4,1814,0.01647076235386625
Prmt1.1,4722,0.04287482901596275
Prmt1.2,4737,0.04301102605858016
Prmt1.3,8136,0.07387327591568676
Prmt1.4,20859,0.18939560746377954
Prmt2.1,9880,0.08970845207067174
Prmt2.2,19370,0.17587578103329063
Prmt2.3,16105,0.14623022475689962
Prmt2.4,34344,0.3118367487768371
Prmt3.1,11092,0.100713173114159
Prmt3.2,56729,0.5150881353762284
Prmt3.3,16283,0.14784642966262632
Prmt3.4,72603,0.6592209256768199
Prmt5.1,53530,0.48604184608735407
Prmt5.2,79966,0.7260755139962891
Prmt5.3,52474,0.47645357428708796
Prmt5.4,8930,0.08108263937156869
Prmt6.1,16505,0.14986214589336408
Prmt6.2,5155,0.04680638364618551
Prmt6.3,7740,0.07027767399058696
Prmt6.4,9556,0.08676659595013554
