shRNA,count,adjPctg
Bcl6.2,89581,164.408144627632
Bcl6.3,5320,9.763804036782378
CD4.1,6378,11.705553035074814
CD4.2,1469,2.6960579191791947
CD4.3,8382,15.38349726246427
CD4.4,22848,41.932968915865374
CDK9.2,3493,6.410708176782115
CDK9.3,54301,99.65870733107516
Ccnt1.3,37811,69.39458542007115
Ccnt1.4,53067,97.39394526690423
Cd14,11672,21.421639232579686
Cd14.2,1682,3.0869771409526243
Cd19,12900,23.675389487686594
Cd19.3,4624,8.486434185353707
Cd19.4,4434,8.137726898325765
Fosb,1374,2.5217042756652237
Fosb.2,2093,3.8412860618393827
Hes1,135,0.24776570394090622
Hes1.2,5020,9.213213583580366
Hes1.3,5,0.009176507553366898
Id2,0,0.0
Id2.2,518,0.9506861825288105
Id2.3,27208,49.93488350240131
Id2.4,4066,7.46233594239796
Id2.5,42,0.07708266344828195
Id3,8603,15.789098896323084
Id3.2,5030,9.231566598687099
Id3.3,17235,31.631421536455694
Id3.4,2762,5.069102772479874
Id3.5,16,0.029364824170774073
Klf12,9022,16.55809022929523
Klf12.4,6185,11.351339843514854
Klf12.5,5791,10.62823104830954
Klf2,2308,4.23587588663416
Klf2.2,146,0.2679540205583134
Klf2.3,31,0.05689434683087476
Klf2.4,11457,21.027049407784908
Klf2.5,267,0.49002550334979234
Klf2.6,1946,3.5714967397703967
Klf2.7,118,0.21656557825945874
Ms4a1,24954,45.79811389734351
Ms4a1.2,7628,13.999679923416538
Nfatc3.2,39948,73.31662474838016
Nfatc3.3,27,0.04955314078818125
Nfatc3.7,52,0.09543567855501574
Nfatc3.8,0,0.0
Rpa3.1,165,0.3028247492611076
Rpa3.2,134,0.24593040243023287
Rpa3.3,1188,2.180338194679975
Rpa3.4,1078,1.978455028505903
Runx3,890,1.6334183444993076
Runx3.2,4338,7.961537953301121
Runx3.3,117,0.2147302767487854
Satb1.1,190,0.34870728702794207
Satb1.2,10752,19.73316184276018
Satb1.3,16877,30.974383595634624
Scmh1.1,1032,1.894031159014928
Scmh1.2,4904,9.000318608342253
Scmh1.3,8801,16.152488595436413
Scml2.1,3064,5.623363828703234
Scml2.2,2449,4.494653399639106
Scml2.3,589,1.0809925897866204
Scml2.4,6471,11.876236075567439
Scml4.1,2068,3.795403524072549
Scml4.2,2286,4.195499253399345
Scml4.3,433,0.7946855541215733
Setd1a.1,0,0.0
Setd1a.2,10593,19.441348902563107
Setd1a.3,1349,2.475821737898389
Setd1a.4,494,0.9066389462726495
Setd2.1,1194,2.1913500037440152
Setd2.2,9765,17.921719251725552
Setd2.3,15366,28.20124301300715
Setd2.4,22047,40.462892405816
Setd3.1,4636,8.508457803481786
Setd3.2,279,0.512049121477873
Setd3.3,6706,12.307531930575683
Setd4.1,0,0.0
Setd4.2,4317,7.922996621576979
Setd4.3,557,1.0222629414450723
Setd4.4,697,1.2792051529393453
Setd5.1,0,0.0
Setd5.2,120986,222.04578857032948
Setd5.3,0,0.0
Setd5.4,67713,124.27377119222653
Setd7.1,4880,8.956271372086091
Setd7.2,92,0.1688477389819509
Setd8.1,77,0.14131821632185024
Setd8.2,1351,2.479492340919736
Setd8.3,1451,2.6630224919870735
Setd8.4,901,1.653606661116715
Setdb1.1,19712,36.17746337839366
Setdb1.2,57872,106.21256902568983
Setdb1.3,5152,9.455473382989252
Setdb1.4,1857,3.408154905320466
Setdb2.1,19,0.034870728702794215
Setdb2.2,5236,9.609638709885814
Setdb2.3,748,1.3728055299836879
Setdb2.4,931,1.7086657064369164
Setmar.1,6251,11.472469743219294
Setmar.2,19808,36.3536523234183
Setmar.3,470,0.8625917100164884
Setmar.4,5909,10.844796626569
Sfmbt1.1,6102,11.199009818128962
Sfmbt1.2,9,0.016517713596060416
Sfmbt1.3,18957,34.791810737835256
Sfmbt1.4,5791,10.62823104830954
Sfmbt2.1,0,0.0
Sfmbt2.2,4109,7.541253907356917
Sfmbt2.3,103,0.18903605559935807
Sgk1.1,9928,18.220873397965313
Sin3a.1,1,0.0018353015106733796
Sin3a.2,46354,85.07356622575382
Sin3a.3,733,1.3452760073235872
Sin3a.4,36,0.06607085438424166
Sin3b.1,16,0.029364824170774073
Sin3b.2,454,0.8332268858457142
Sin3b.3,512,0.9396743734647703
Sin3b.4,231,0.42395464896555063
Sirt1.1,13313,24.4333690115947
Sirt1.2,92603,169.95442579288695
Sirt1.3,3775,6.928263202792008
Sirt1.4,3129,5.742658426897005
