shRNA,count,adjPctg
Actb,12,0.09171770056081552
Actl6a,206,1.5744871929606663
Actl6b.1,3124,23.877174712665642
Actl6b.2,33681,257.428656049069
Actl6b.3,13943,106.56832490995423
Actl6b.4,21694,165.81031633052766
Aff1.1,3260,24.91664198568822
Aff1.2,1721,13.153846888763626
Aff1.3,37505,286.6560299611155
Aff1.4,1379,10.539892422780383
Aff4.1,125,0.9553927141751618
Aff4.2,10631,81.25423955516915
Aff4.3,18846,144.0426487307608
Aff4.4,15260,116.63434254650373
Arid1a.1,3,0.02292942514020388
Arid1a.2,1,0.007643141713401293
Arid1b.1,0,0.0
Arid1b.2,0,0.0
Arid1b.3,123,0.9401064307483591
Arid2.1,33012,252.3153942428035
Arid2.2,139567,1066.7303595142785
Arid2.3,1251,9.561570283465018
Arid2.4,30313,231.68655475833341
Ash1l.1,20997,160.48304655628695
Ash1l.2,28800,220.12248134595725
Ash1l.3,9963,76.14862089061708
Ash1l.4,6566,50.184868490192905
Ash2l.1,60622,463.3425369498132
Ash2l.2,39041,298.3958956328999
Ash2l.3,2134,16.31046441639836
Ash2l.4,0,0.0
Asxl1.1,10441,79.8020426296229
Asxl1.2,7179,54.870114360507884
Asxl1.3,398,3.041970401933715
Asxl1.4,48571,371.23503616161423
Asxl2.1,54347,415.3818226982201
Asxl2.2,13394,102.37224010929692
Asxl2.3,16180,123.66603292283294
Asxl3.2,102443,782.9863665459687
Asxl3.3,28875,220.69571697446239
Asxl3.4,51970,397.2140748454652
Atad2.1,4507,34.44763970229963
Atad2.2,15609,119.30179900448078
Atad2.3,36885,281.9172820988067
Atad2.4,38586,294.9182661533023
Atad2b.1,63416,484.6974748970564
Atad2b.2,7126,54.46502784969762
Atad2b.3,25491,194.83132541631235
Atad2b.4,23441,179.1628849038397
Atm.1,27630,211.18000554127772
Atm.2,15993,122.2367654224269
Atm.3,141022,1077.8511307072772
Atm.4,2265,17.31171598085393
Atr.1,6260,47.8460671258921
Atr.2,28057,214.44362705290007
Atr.3,58631,448.1250417984312
Atr.4,19161,146.4502383704822
Atrx.1,723,5.525991458789135
Atrx.2,19043,145.54834764830085
Atrx.3,117755,900.0181524615692
Atrx.4,38722,295.9577334263249
Aurkb.1,86784,663.3024104558178
Aurkb.2,114,0.8713181553277475
Aurkb.3,9320,71.23408076890006
Aurkb.4,4295,32.82729365905856
Baz1a.1,8600,65.73101873525113
Baz1a.2,47278,361.35245392618634
Baz1a.3,0,0.0
Baz1a.4,59362,453.7121783909276
Baz1b.1,43241,330.49709082918537
Baz1b.3,43986,336.19123140566927
Baz1b.4,2040,15.592009095338641
Baz2a.1,5201,39.751980051400125
Baz2a.3,0,0.0
Baz2a.4,12899,98.58888496116329
Baz2b.2,49067,375.0260344514613
Baz2b.3,54466,416.29135656211486
Baz2b.4,27918,213.38123035473734
Bcl6,97305,743.715904422513
Bcl6.2,68488,523.4634896674278
Bcl6.3,1012,7.73485941396211
Bmi1.1,6385,48.80145984006726
Bmi1.2,8153,62.314534389360745
Bmi1.3,4587,35.05909103937173
Bop1.1,4330,33.0948036190276
Bop1.2,9080,69.39972675768374
Bop1.3,11289,86.28342680258719
Bop1.4,42,0.3210119519628543
Bptf.1,4554,34.80686736282949
Bptf.2,16960,129.62768345928595
Bptf.3,16454,125.76025375230489
Bptf.4,5377,41.09717299295876
Brd1.1,17548,134.12185078676592
Brd1.2,87362,667.7201463661637
Brd1.3,9220,70.46976659755993
Brd1.4,1148,8.774326686984685
Brd2.1,5951,45.4843363364511
Brd2.2,7365,56.29173871920054
Brd2.3,21175,161.84352578127238
Brd2.4,6692,51.147904346081454
