type,shRNA,count
target,Asxl2.4,238233
target,Asxl3.1,167961
target,Elp4.4,76964
target,Hells.4,72302
target,Cbx3.1,66998
target,Baz1b.2,58725
target,Baz2b.1,51439
target,Cbx4.2,44800
target,Chd1.3,43898
target,Brd1.2,41254
target,Hltf.3,34583
target,Cbx5.1,31573
target,Jarid2.2,31292
target,Cbx3.4,31147
target,Chd9.4,27824
target,Ezh1.2,27340
target,Hdac2.1,25455
target,Bmi1.4,23884
target,Chd8.2,23019
target,Dnmt3b.2,19821
target,Hdac7.2,19363
target,Dnmt3b.4,18869
target,Cbx1.2,18238
target,Carm1.2,16036
target,Brwd1.1,15966
target,Jmjd1c.2,14702
target,Crebbp.3,14677
target,Baz2b.2,14263
target,Hat1.3,14161
target,Ing4.3,13924
target,Cbx1.4,13863
target,Arid2.2,13797
target,Arid2.1,13744
target,Dnmt1.2,13147
target,Hdac6.4,12848
target,Hira.4,12671
target,Hdac8.4,12444
target,Brwd3.1,12149
target,Chd9.3,12080
target,Brd8.4,11738
target,Chd8.1,11725
target,Hdac8.1,11699
target,Chd1l.1,11505
target,Baz1a.4,11421
target,Cbx5.2,11261
target,Chd2.4,11233
target,Ehmt2.3,11219
target,Epc1.3,10868
target,Atr.3,10849
target,Hdac2.2,10561
target,Ino80.2,10480
target,Cbx3.3,10475
target,Chd9.1,10465
target,Hells.1,10456
target,Asxl2.1,10154
target,Cxxc1.4,9918
target,Jarid2.1,9883
target,Brd8.3,9509
target,Jarid2.4,9452
target,Dnmt3a.1,9090
target,Brd4.4,8989
target,Cbx7.3,8228
target,Chd3.1,7863
target,Dot1l.1,7834
target,Ezh2.4,7769
target,Atrx.3,7661
target,Epc2.4,7349
target,Jmjd1c.4,7256
target,Asxl3.2,7192
target,Baz1b.1,7168
target,Atad2b.3,7167
target,Chd1.2,7110
target,Hells.2,6964
target,Brwd3.2,6938
target,Dub2a.4,6721
target,Asxl3.3,6581
target,Epc2.3,6549
target,Ezh1.4,6477
target,Eed.2,6459
target,Gtf2b.1,6374
target,Cbx8.2,6288
target,Baz2a.1,6241
