"dataSet","mean_pool1","mean_pool2","mean_pool3","sd_pool1","sd_pool2","sd_pool3"
"Amt_CD103GeoMean_100U_shRNA.csv","NaN","184.633904794698","275.103438978737",NA,"241.439264917257","307.450117158013"
"Amt_CD103GeoMean_10U_shRNA.csv","NaN","298.073012200413","401.977289710348",NA,"284.796872072809","308.877461395126"
"Amt_CD103Percentage_100U_shRNA.csv","284.514582644767","324.162335552087","395.045860050885","403.475451464656","419.61199605471","462.007943982844"
"Amt_CD103Percentage_10U_shRNA.csv","295.510349302873","338.754704508165","409.050971029249","396.030557352391","410.166884701433","450.596720102329"
"Amt_CD127GeoMean_100U_shRNA.csv","295.400792850507","343.469283013422","410.859291452343","396.152388564997","406.046079897692","449.329956383601"
"Amt_CD127GeoMean_10U_shRNA.csv","443.430190922125","633.266907008364","614.462836178251","396.883749374003","533.137545512203","451.00877995548"
"Amt_CD25GeoMean_100U_shRNA.csv","847.616933645677","1235.65404669646","1338.42750443016","1019.39293994911","1607.22982581683","1551.50645126274"
"Amt_CD25GeoMean_10U_shRNA.csv","334.228111976563","398.893625104903","444.217530131659","384.469123828711","401.437111202098","433.551946735377"
"Amt_CD44GeoMean_100U_shRNA.csv","1276.89877541391","1510.12170250937","1381.68258974155","1681.28403397679","1989.40233771403","1608.5879277365"
"Amt_CD44GeoMean_10U_shRNA.csv","598.419480597812","835.720057208834","729.841641831973","560.721292026356","817.191967638219","555.974113549258"
"Amt_CD62LPercentage_100U_shRNA.csv","289.296124998226","328.245841358343","400.055448500408","400.209873299129","416.535975785682","457.824581518038"
"Amt_CD62LPercentage_10U_shRNA.csv","290.85864487547","333.314109002483","404.51124012073","399.019908628121","414.001166722133","454.19140050648"
"Amt_CXCR3GeoMean_100U_shRNA.csv","316.60408875439","395.854671891005","485.253278699524","389.528317899942","418.483427356314","468.293438032491"
"Amt_CXCR3GeoMean_10U_shRNA.csv","1326.94349927271","2590.32722546503","1761.92760829921","1779.26927867101","3967.98077347805","2298.1712454365"
"Amt_CXCR3Percentage_100U_shRNA.csv","288.319609548776","333.127825991557","403.024686481874","400.870006435459","413.000963240875","455.408728735579"
"Amt_CXCR3Percentage_10U_shRNA.csv","306.54558598351","348.84458751644","418.225604841284","389.475721603623","403.527869293096","443.651409937314"
"Amt_Lag3GeoMean_100U_shRNA.csv","896.283884789193","1219.37099663229","1149.09392580375","1026.2599057241","1523.68180403357","1267.79460283049"
"Amt_Lag3GeoMean_10U_shRNA.csv","493.746412544489","613.698930423304","588.167540759412","442.400198896682","523.218892616031","435.796370932642"
"Amt_PD1GeoMean_100U_shRNA.csv","400.240836665263","544.888814117343","521.339953344129","379.561286083221","448.783828645836","417.461918963832"
"Amt_PD1GeoMean_10U_shRNA.csv","366.233050007702","461.293714158616","482.123033911709","380.242635091951","390.488150698597","415.208965978707"
"Amt_Tim3GeoMean_100U_shRNA.csv","369.847710549161","431.818387854817","525.45701000219","375.170462342672","385.386353851173","417.402885425379"
"Amt_Tim3GeoMean_10U_shRNA.csv","290.508690169161","328.89710024304","402.52461889125","399.627250514964","416.052246694382","455.799569780392"
"Amt_Tim3Percentage_100U_shRNA.csv","298.381056850033","339.149250634863","410.754936678131","394.246012829675","408.805360274249","449.282722252448"
"Amt_Tim3Percentage_10U_shRNA.csv","285.54969883098","324.851634321902","396.625674515583","402.601756607482","419.257545782904","460.673008258742"
"AmtGFP_CD103GeoMean_100U_shRNA.csv","NaN","180.152894226455","271.838921171191",NA,"244.058684493629","310.117927338234"
"AmtGFP_CD103GeoMean_10U_shRNA.csv","NaN","236.858692360277","316.038285771788",NA,"241.61558030261","285.061973055261"
