"dataSet","mean_control1","mean_control2","mean_control3","sd_control1","sd_control2","sd_control3"
"AmtGFP_CD103GeoMean_100U_shRNA.csv","NaN","297.710400116513","309.766540121683",NA,"371.336162350271","395.721078754011"
"AmtGFP_CD103GeoMean_10U_shRNA.csv","NaN","389.867565462917","357.510894621375",NA,"366.048205066505","372.829016618184"
"AmtGFP_CD103Percentage_100U_shRNA.csv","472.790501305117","488.2239836246","503.811210533862","562.806412801484","583.624298317275","604.695481744407"
"AmtGFP_CD103Percentage_10U_shRNA.csv","481.214952069542","498.965054616833","513.2627367435","555.881058817962","574.898062598326","597.023500520913"
"AmtGFP_CD127GeoMean_100U_shRNA.csv","486.664102211833","517.701433538167","521.842810840292","551.691444882184","561.97106685348","590.605466212407"
"AmtGFP_CD127GeoMean_10U_shRNA.csv","520.478425422833","611.93999439625","568.879385543083","539.961321698435","537.742572509776","570.789541998545"
"AmtGFP_CD25GeoMean_100U_shRNA.csv","1866.85824426667","2789.82808798125","2340.18775698792","2459.93285865778","4209.0470588232","3379.89517205071"
"AmtGFP_CD25GeoMean_10U_shRNA.csv","581.47653176625","670.388427281667","659.904631839167","515.086453658535","568.805593272154","563.672972105271"
"AmtGFP_CD44GeoMean_100U_shRNA.csv","859.530151905","1452.3298978525","1053.3841529225","702.01970381597","1648.97266768711","977.487764684571"
"AmtGFP_CD44GeoMean_10U_shRNA.csv","626.288104859167","957.135242235417","801.030489169583","506.954108430175","790.47159193894","634.533445266936"
"AmtGFP_CD62LPercentage_100U_shRNA.csv","481.489925734458","495.426458423792","510.9071413725","555.672551800165","577.710985961666","598.932173119887"
"AmtGFP_CD62LPercentage_10U_shRNA.csv","480.682667959292","498.306354849375","512.442540714833","556.306168312473","575.426573902311","597.680607540266"
"AmtGFP_CXCR3GeoMean_100U_shRNA.csv","500.13060123425","496.620315188617","536.056359807792","597.777571316585","578.160042873405","585.241925101051"
"AmtGFP_CXCR3GeoMean_10U_shRNA.csv","631.794509734792","1102.9049695975","857.145378766708","664.081027230558","1719.497392743","1184.05198211317"
"AmtGFP_CXCR3Percentage_100U_shRNA.csv","474.163163634979","490.574458579633","507.168109744121","561.697611614641","581.686044547958","601.951718139496"
"AmtGFP_CXCR3Percentage_10U_shRNA.csv","483.701395420542","503.753495575792","517.139508148417","553.938850855568","571.176406815787","594.012886141481"
"AmtGFP_Lag3GeoMean_100U_shRNA.csv","1213.34863842206","1582.34843299629","1302.38660609079","1264.23771546862","1893.72664423014","1472.37953881794"
"AmtGFP_Lag3GeoMean_10U_shRNA.csv","722.851117082427","924.480434690094","859.449185863836","549.212741354721","781.751950457602","704.696250294402"
"AmtGFP_PD1GeoMean_100U_shRNA.csv","778.90655646596","993.484593333675","780.734571731099","625.9848890258","922.139607726735","646.631332004537"
"AmtGFP_PD1GeoMean_10U_shRNA.csv","1089.9311170906","1603.80063084738","1335.11063235135","1080.18259524498","2004.0199902509","1484.33156620463"
"AmtGFP_Tim3GeoMean_100U_shRNA.csv","755.478419970008","925.444528616852","983.938689800445","600.806118518394","794.378625512516","922.676978021644"
"AmtGFP_Tim3GeoMean_10U_shRNA.csv","495.169796820998","520.964532724521","549.735356874566","545.696002294216","560.206040889276","573.257383000639"
"AmtGFP_Tim3Percentage_100U_shRNA.csv","492.987767483807","509.580889204421","524.365073417963","546.687106684747","566.691771021833","588.461003245104"
"AmtGFP_Tim3Percentage_10U_shRNA.csv","479.78336780611","496.212190238758","514.541701061986","557.048411132882","577.095329524995","596.031947789119"
