"dataSet","mean_control1","mean_control2","mean_control3","sd_control1","sd_control2","sd_control3"
"Amt_CD103GeoMean_100U_shRNA.csv","NaN","300.905529700708","312.812599081779",NA,"369.063625387974","393.511036103327"
"Amt_CD103GeoMean_10U_shRNA.csv","NaN","436.62136643325","446.835077706667",NA,"393.138362690312","399.931279405957"
"Amt_CD103Percentage_100U_shRNA.csv","473.212316230862","488.428828026738","503.608057779912","562.456221766079","583.451854767992","604.863444803194"
"Amt_CD103Percentage_10U_shRNA.csv","483.748635325233","501.475114221583","517.318677957125","553.879038290563","572.925210593379","593.851557827667"
"Amt_CD127GeoMean_100U_shRNA.csv","485.658568978417","507.282112841667","519.288280039833","552.602052686859","568.646502443214","592.500720086661"
"Amt_CD127GeoMean_10U_shRNA.csv","600.709016838667","770.927175412083","714.96719782875","503.365931674946","587.299996129681","561.775263171489"
"Amt_CD25GeoMean_100U_shRNA.csv","1086.34137652167","1475.05119910208","1412.29981039958","1351.18912696163","1776.86684626032","1587.28846049559"
"Amt_CD25GeoMean_10U_shRNA.csv","536.913283489167","553.673787056958","556.46691735825","522.334953844579","546.815223736374","573.940636327823"
"Amt_CD44GeoMean_100U_shRNA.csv","1065.75733971167","1623.81136839167","1346.97753965417","983.972135476046","1850.11750255455","1395.55112920709"
"Amt_CD44GeoMean_10U_shRNA.csv","662.083492635833","1034.12819197625","874.101596075","506.139852756281","864.415211124695","656.213597894504"
"Amt_CD62LPercentage_100U_shRNA.csv","478.994526391412","493.028308944671","509.085133892696","557.704844848036","579.657838101236","600.433915432024"
"Amt_CD62LPercentage_10U_shRNA.csv","479.334768854333","497.634995210708","512.591619414042","557.400034182314","575.960578926351","597.593913698351"
"Amt_CXCR3GeoMean_100U_shRNA.csv","530.26462191845","599.708143043542","645.191445787583","542.806637960263","640.9199059091","711.652808583752"
"Amt_CXCR3GeoMean_10U_shRNA.csv","1204.23979938458","2554.14251187292","1807.95831979125","1310.91751325501","3709.52382408893","2379.15836090442"
"Amt_CXCR3Percentage_100U_shRNA.csv","477.641336182842","497.604648813583","511.906118473875","558.818471389007","575.999423932074","598.167476963677"
"Amt_CXCR3Percentage_10U_shRNA.csv","492.903787011958","511.7789740195","525.164672438208","546.796205632076","565.046207605722","587.887353418389"
"Amt_Lag3GeoMean_100U_shRNA.csv","1005.8859158475","1319.17970020841","1129.04746688183","925.870995279185","1474.30063068949","1118.29508717034"
"Amt_Lag3GeoMean_10U_shRNA.csv","651.004537720973","698.018643871929","699.902884387495","518.453265086545","546.584956736525","563.940870383435"
"Amt_PD1GeoMean_100U_shRNA.csv","597.50678124174","685.738334305458","646.096715440412","510.082274503069","553.749659173028","558.001607034207"
"Amt_PD1GeoMean_10U_shRNA.csv","546.729233650932","598.644578609144","606.97765124761","523.189682855046","539.25938273623","552.841654750925"
"Amt_Tim3GeoMean_100U_shRNA.csv","541.301427916773","590.533830591624","613.677627999226","519.674782422964","532.495999159565","553.004115483515"
"Amt_Tim3GeoMean_10U_shRNA.csv","478.154166554621","492.898501259625","511.412280607968","558.389867284716","579.761870070746","598.505959463684"
"Amt_Tim3Percentage_100U_shRNA.csv","485.360471387418","502.662859593514","517.647281523476","552.587217859468","571.996545653452","593.602141691042"
"Amt_Tim3Percentage_10U_shRNA.csv","473.676619574758","489.032761874901","505.085850574225","562.066113635003","582.948873535874","603.640189840877"
