gene_name,t1,t2
Mll1.1,10.658364,58.337635
Mta3.1,-8.630072,44.208206
Mtf2.1,-39.753292,32.35943
Mta2.1,-42.321247,31.272163
Mll3.1,-32.353664,-27.01906
Nap1l1.1,-49.843155,-12.114324
Myst2.1,9.289312,-40.431114
Msl3.1,-53.794548,-12.26062
Mll2.1,-14.589614,61.35807
Myst3.1,-11.323214,42.337982
Myst2.2,-0.22769554,31.64001
Mll5.1,-49.797104,25.287397
Mll1.2,-46.779594,30.297949
Myst3.2,7.2296352,32.429214
Myst1.1,-47.33971,18.28249
Mtf2.2,-53.576782,17.119389
Mll3.2,26.626112,-46.157356
Myst4.1,-61.24689,30.375893
Mta3.2,-9.377377,30.364777
Mta1.1,-11.240927,69.433876
Mll2.2,-14.146444,61.924244
Myst4.2,-27.000034,59.748802
Mta3.3,-14.233056,83.81018
Morf4l1.1,-23.481106,10.374512
Mll5.2,-51.758987,2.227257
Myst4.3,-46.497433,36.624565
Myst1.2,-47.69186,36.797874
Msl3.2,-37.4977,4.8945827
Mll1.3,8.748969,58.949852
Nap1l1.2,-45.10771,31.11051
Mta1.2,-10.646077,42.823742
Mta2.2,-52.941765,3.3862965
Mll1.4,9.572221,57.92904
Myst2.3,-47.83784,36.781242
Mtf2.3,-43.42631,-39.073925
Morf4l1.2,-59.04688,-33.456585
Mll2.3,-65.27997,-1.9847778
Myst3.3,-8.520151,47.180187
Myst1.3,-46.798244,18.04573
Msl3.3,-55.29671,20.530048
Mll3.3,27.62521,-46.50869
Nap1l1.3,-48.997086,25.910915
Mtf2.4,-51.27673,18.604937
Morf4l1.3,-49.316372,-2.2546766
Mll5.3,-62.298073,-37.83
Myst2.4,-66.67403,-1.8232232
Mta2.3,-47.62819,27.122478
Mta1.3,-47.406044,27.18268
Mll5.4,10.0865965,18.194242
Myst3.4,13.846369,59.109547
Myst1.4,-9.650389,43.504005
Mta1.4,-45.139507,3.5857384
Mll2.4,44.676495,23.426182
Nap1l1.4,-44.4774,15.704035
Myst4.4,-55.3137,20.578737
Morf4l1.4,-51.821426,17.5156
Mll3.4,-86.17643,-29.609995
Mta3.4,-59.801056,27.506363
Msl3.4,-51.7235,17.259628
Mta2.4,-55.284706,-11.153009
Nap1l2.1,-28.635262,34.093105
Padi1.1,-29.796095,18.434145
Padi4.1,6.927755,46.824165
Orc1.1,-23.167149,35.863625
Ncoa1.1,-22.398418,38.860744
Pcgf1.1,-22.178717,39.371696
Parp1.1,-27.555584,41.306927
Ncor2.1,-29.019783,31.769352
Nap1l3.1,-12.916651,22.90782
Paxip1.1,-56.787067,10.438669
Parp1.2,-36.546024,32.471233
Ncoa3.1,-18.12837,29.45736
Nap1l2.2,-80.61208,11.912024
Paxip1.2,-57.593277,10.766007
Padi6.1,-28.49224,20.399105
Padi4.2,-53.48643,-10.280192
Ncoa1.2,-55.503117,12.234926
Pbrm1.1,-40.366646,13.910936
Padi1.2,-53.601574,9.298035
Nsd1.1,-56.410378,8.028996
Nap1l3.2,-25.621445,27.773918
Pbrm1.2,-24.553474,24.747868
Padi1.3,-30.071493,20.990833
Ncor1.1,4.4305434,62.378197
Ncoa3.2,-37.413303,34.74659
Pbrm1.3,-39.121548,42.641716
Padi6.2,-39.742138,43.057682
Ncor2.2,-25.98635,-2.4625676
Nap1l2.3,-55.28172,-9.20334
Pcgf1.2,-58.860634,27.65067
Nsd1.2,-18.123589,29.462534
Orc1.2,-24.408875,25.809105
Nap1l2.4,-28.94389,21.54311
Parp1.3,-55.373264,9.717076
Padi4.3,-54.202015,-11.189102
Ncor1.2,0.31240115,86.19768
Nap1l3.3,-55.844147,9.997646
Paxip1.3,-45.254982,36.460926
Padi6.3,-40.313087,43.436317
Ncor2.3,16.297726,65.27659
Ncoa1.3,-65.11208,17.200424
Pcgf1.3,-22.270061,40.085384
Padi4.4,-29.019434,22.41444
Ncor1.3,4.3840775,62.52623
Ncoa3.3,-28.481924,4.7938156
Parp1.4,-38.314983,33.601383
Orc1.3,-62.219215,-3.2072833
Nsd1.3,-70.18037,-28.288284
Ncoa3.4,-26.9374,21.291021
Paxip1.4,-29.038532,19.05319
Padi6.4,-22.913944,26.547361
Nsd1.4,-31.19085,31.544075
Nap1l3.4,-59.668526,-5.7640424
Pcgf1.4,-59.86034,7.2477865
Pbrm1.4,-24.797918,26.716024
Ncor1.4,-65.699104,14.333702
Ncoa1.4,-27.191267,21.103483
Padi1.4,-21.162054,39.739952
Ncor2.4,-28.1404,30.679665
Orc1.4,-24.000076,23.830706
Pcgf2.1,-24.89659,86.72685
Phf20.1,-50.40597,-12.156204
Phf20l1.1,-35.495422,-10.863089
Phf2.1,17.455414,69.41523
