gene_name,t1,t2
Actl6b.1,46.125782,30.079222
Asxl3.1,50.575085,25.728441
Atad2.1,44.25309,31.634663
Asxl2.1,53.383736,16.53653
Aff4.1,53.461452,25.923704
Aurkb.1,47.72895,25.062338
Atm.1,49.68897,26.6567
A2l.1,-5.4185004,-50.79747
Aff1.1,53.58587,40.636997
Atr.1,36.193806,45.27693
Atm.2,57.676678,32.15987
Arid2.1,45.86328,32.228905
Actl6b.2,47.083572,26.43528
Atr.2,45.76466,31.53543
Atad2b.1,46.50137,25.072794
Atad2.2,52.877304,18.824867
Aff4.2,53.93918,38.828014
Atrx.1,51.447754,26.288237
Asxl3.2,66.443184,30.39717
Asxl1.1,47.24644,30.97948
Aff1.2,36.19558,44.53151
Atrx.2,66.61622,27.230612
Asxl3.3,41.099247,26.163807
A1l.1,4.313254,-48.369736
Arid2.2,40.452045,20.653542
Atrx.3,42.408745,19.159277
Atad2b.2,45.813557,10.8710165
A2l.2,77.71524,23.516794
Actl6b.3,59.707935,34.148693
Aurkb.2,39.26116,41.365646
Asxl1.2,-10.387066,-0.07157663
Asxl2.2,-10.51781,47.353138
Actl6b.4,45.562214,33.376957
Atm.3,39.77442,18.861092
Atad2.3,64.03101,-7.702976
A1l.2,56.296223,4.8950562
Aff1.3,40.738808,19.513304
Atr.3,77.71784,23.501759
Atad2b.3,51.204723,40.2171
A2l.3,48.314533,30.514553
Aff4.3,47.13614,25.941685
Aurkb.3,50.406208,24.317099
Atad2.4,50.34931,42.054226
A1l.3,59.30902,34.265965
Arid2.3,41.44779,19.432945
Atm.4,53.57426,33.638077
Asxl2.3,59.540455,10.329563
Asxl1.3,69.74099,11.708469
Arid2.4,53.700466,41.92823
Atr.4,51.136395,41.121773
Atad2b.4,14.405732,2.5029826
Asxl1.4,47.33166,32.904358
Aff1.4,27.597591,14.718054
Aurkb.4,42.06326,27.112123
Atrx.4,50.25748,23.442207
A1l.4,55.397385,40.06595
Aff4.4,-4.287909,-57.46189
Asxl3.4,54.366043,40.652557
A2l.4,55.51056,41.427105
Asxl2.4,15.461502,1.1146834
Mll1.1,1.8916962,52.030994
Mta3.1,-13.19105,34.039818
Mtf2.1,-33.952206,20.213154
Mta2.1,-35.07678,17.916954
Mll3.1,-9.376112,-41.752857
Nap1l1.1,-49.81443,-11.350936
Myst2.1,10.537374,-15.813826
Msl3.1,-45.78712,-9.547846
Mll2.1,-20.895065,61.524326
Myst3.1,-15.387496,31.507679
Myst2.2,-6.1918883,23.750214
Mll5.1,-46.298676,13.22932
Mll1.2,-38.93028,16.764435
Myst3.2,4.222655,24.427237
Myst1.1,-50.24723,6.2354016
Mtf2.2,-53.935566,10.501476
Mll3.2,29.48721,-47.10393
Myst4.1,-61.562195,29.21956
Mta3.2,-0.832791,20.086344
Mta1.1,-16.853098,68.22255
Mll2.2,-20.421904,62.07418
Myst4.2,-32.524467,58.07615
Mta3.3,-7.8616323,83.54336
Morf4l1.1,-22.038755,13.464058
Mll5.2,-34.88947,2.991288
Myst4.3,-41.36273,18.781002
Myst1.2,-42.36687,18.055073
Msl3.2,-29.451324,11.3487835
Mll1.3,-0.021410152,52.804024
Nap1l1.2,-37.20632,16.002434
Mta1.2,-14.813591,32.177692
Mta2.2,-36.460907,2.8490667
Mll1.4,0.8615414,52.25716
Myst2.3,-42.484604,17.838717
Mtf2.3,-29.860302,-42.994923
Morf4l1.2,-50.584927,-28.42538
Mll2.3,-54.861584,3.8182847
Myst3.3,-14.133169,36.7762
Myst1.3,-49.63135,5.956247
Msl3.3,-61.604286,22.885332
Mll3.3,30.33555,-46.646694
Nap1l1.3,-44.88118,13.615603
Mtf2.4,-54.161453,6.65076
Morf4l1.3,-36.31338,-4.1765175
Mll5.3,-49.220238,-33.42004
Myst2.4,-54.750385,5.4072676
Mta2.3,-43.082447,14.14438
Mta1.3,-42.804726,13.934679
Mll5.4,7.0015116,17.904593
Myst3.4,4.1827645,51.70879
Myst1.4,-14.029769,33.076103
Mta1.4,-31.200779,1.2875626
Mll2.4,42.154697,27.865232
Nap1l1.4,-43.879726,6.3681617
Myst4.4,-61.64161,22.866917
Morf4l1.4,-53.47226,8.604189
Mll3.4,-76.75444,-31.326668
Mta3.4,-59.474392,27.266848
Msl3.4,-53.31212,8.637026
Mta2.4,-45.22396,-7.6807914
Nap1l2.1,-28.203041,33.100124
Padi1.1,-42.49642,31.132381
Padi4.1,4.369603,35.955124
Orc1.1,-28.139336,28.015387
Ncoa1.1,-47.904877,37.520096
Pcgf1.1,-48.326717,37.703064
Parp1.1,-43.460865,38.78002
Ncor2.1,-29.924292,31.050026
Nap1l3.1,-14.241074,21.033173
Paxip1.1,-53.75119,21.706223
Parp1.2,-33.80643,24.929815
Ncoa3.1,-27.060282,38.926125
Nap1l2.2,-80.17305,2.8944046
Paxip1.2,-53.93398,20.639408
Padi6.1,-40.142048,31.985956
Padi4.2,-47.310207,-8.237058
Ncoa1.2,-53.69331,23.979973
Pbrm1.1,-34.223335,42.327427
Padi1.2,-51.082485,21.034279
Nsd1.1,-55.70378,22.606339
Nap1l3.2,-31.82679,34.432655
Pbrm1.2,-34.817055,35.222397
Padi1.3,-41.195198,33.06421
