gene_name,t1,t2
Actl6b.1,38.178078,8.875547
Asxl3.1,39.51263,4.7317724
Atad2.1,37.31429,6.7884674
Asxl2.1,39.84981,-7.798404
Aff4.1,40.99117,2.3206003
Aurkb.1,39.641853,5.5418396
Atm.1,39.24147,3.300625
A2l.1,9.988514,-13.180767
Aff1.1,41.80591,10.853443
Atr.1,26.326712,17.80984
Atm.2,42.598557,7.4030595
Arid2.1,38.559803,7.3598123
Actl6b.2,37.868477,5.584077
Atr.2,37.700924,7.5260854
Atad2b.1,40.589634,4.513015
Atad2.2,38.26787,-2.7996008
Aff4.2,41.954983,9.282422
Atrx.1,41.047756,5.7153816
Asxl3.2,46.983498,7.2453446
Asxl1.1,37.23596,9.061249
Aff1.2,25.585789,17.288204
Atrx.2,48.417572,7.6194696
Asxl3.3,34.732574,5.814055
A1l.1,-11.283778,-33.689075
Arid2.2,42.963955,5.027316
Atrx.3,45.101288,4.421508
Atad2b.2,37.318047,-8.090648
A2l.2,53.831642,2.1223059
Actl6b.3,45.15041,7.756402
Aurkb.2,36.583694,13.516414
Asxl1.2,-6.7622814,0.1434075
Asxl2.2,-19.742376,34.915974
Actl6b.4,39.64532,7.79067
Atm.3,44.443127,2.6776254
Atad2.3,53.73908,-6.0004983
A1l.2,49.67095,-14.340847
Aff1.3,44.1038,3.584125
Atr.3,53.931915,1.9755236
Atad2b.3,40.346786,11.848144
A2l.3,36.877945,10.169504
Aff4.3,38.522038,5.5158877
Aurkb.3,38.42184,4.2420487
Atad2.4,32.12872,17.992933
A1l.3,44.529167,7.586541
Arid2.3,44.095272,3.9611826
Atm.4,37.392715,-1.24935
Asxl2.3,44.995213,-9.454999
Asxl1.3,39.794914,-12.945635
Arid2.4,41.9754,12.157678
Atr.4,40.298622,10.755554
Atad2b.4,6.1676016,2.267202
Asxl1.4,35.92937,8.034556
Aff1.4,24.373747,11.263151
Aurkb.4,35.191242,6.3451104
Atrx.4,37.581505,3.5317457
A1l.4,43.862625,10.442792
Aff4.4,31.097572,-14.311108
Asxl3.4,42.83249,10.915942
A2l.4,43.675438,11.619825
Asxl2.4,19.855904,-13.955626
Mll1.1,12.518337,27.906313
Mta3.1,-14.545046,22.823372
Mtf2.1,-37.545887,29.378685
Mta2.1,-36.996593,30.893515
Mll3.1,-31.50813,-32.910156
Nap1l1.1,-40.140182,9.173716
Myst2.1,11.40704,1.5287765
Msl3.1,-36.048973,4.8404055
Mll2.1,-13.505189,48.4576
Myst3.1,-11.912234,24.993126
Myst2.2,-11.607906,29.403402
Mll5.1,-30.212128,10.646552
Mll1.2,-27.417265,19.101202
Myst3.2,-10.255082,22.415388
Myst1.1,-32.521393,10.65876
Mtf2.2,-30.60415,12.464412
Mll3.2,-38.19303,-26.078535
Myst4.1,-43.17894,28.839184
Mta3.2,-9.093759,11.306092
Mta1.1,-9.58211,50.714073
Mll2.2,-12.987209,48.825462
Myst4.2,-22.355927,44.15753
Mta3.3,5.106323,65.1294
Morf4l1.1,-27.44763,4.040927
Mll5.2,-21.311773,6.9738913
Myst4.3,-24.35228,19.608091
Myst1.2,-24.998268,19.074139
Msl3.2,-19.536793,17.727345
Mll1.3,13.8409815,28.635557
Nap1l1.2,-29.059093,18.6555
Mta1.2,-12.750786,24.724382
Mta2.2,-22.836523,7.130368
Mll1.4,13.842611,27.700796
Myst2.3,-25.052338,18.456305
Mtf2.3,-23.938843,-25.395775
Morf4l1.2,-35.522934,-22.015192
Mll2.3,-28.445728,7.920071
Myst3.3,-15.992397,23.997738
Myst1.3,-32.248245,11.182071
Msl3.3,-30.877142,13.712039
Mll3.3,-39.165943,-26.55775
Nap1l1.3,-26.660158,16.736895
Mtf2.4,-29.19024,10.106182
Morf4l1.3,-19.434177,8.286575
Mll5.3,-34.036797,-18.732237
Myst2.4,-28.998304,8.819019
Mta2.3,-25.853495,17.117771
Mta1.3,-25.84982,15.59267
Mll5.4,8.801438,-8.763965
Myst3.4,11.108772,27.917208
Myst1.4,-13.485777,23.992413
Mta1.4,-17.266756,10.975008
Mll2.4,30.661703,6.971915
Nap1l1.4,-24.773977,13.268894
Myst4.4,-30.556818,14.154395
Morf4l1.4,-29.047886,11.693591
Mll3.4,-54.922024,10.25322
Mta3.4,-42.07603,27.544937
Msl3.4,-29.008785,12.068901
Mta2.4,-34.33045,5.6220274
Nap1l2.1,-4.0785036,28.511955
Padi1.1,-42.492798,13.747406
Padi4.1,-0.34426215,21.514858
Orc1.1,-32.46079,22.831686
Ncoa1.1,-34.5152,22.752972
Pcgf1.1,-35.176594,22.64682
Parp1.1,-34.58594,18.366934
Ncor2.1,-3.708627,26.754856
Nap1l3.1,-3.0058405,13.561359
Paxip1.1,-40.349945,14.4205675
Parp1.2,-33.633224,26.842522
Ncoa3.1,-31.438759,29.543867
Nap1l2.2,-65.23944,-0.41983458
Paxip1.2,-40.648132,15.317891
Padi6.1,-37.438583,17.126442
Padi4.2,-36.238445,7.5417557
Ncoa1.2,-39.61413,16.81978
Pbrm1.1,-26.603653,23.622416
Padi1.2,-37.396667,14.663921
Nsd1.1,-39.68606,11.219787
Nap1l3.2,-5.2745986,27.535952
Pbrm1.2,-29.998447,26.943295
Padi1.3,-36.4771,17.29902
Ncor1.1,-16.35306,38.930172
Ncoa3.2,-36.891777,27.517797
Pbrm1.3,-25.487106,23.430967
Padi6.2,-24.76089,22.70961
Ncor2.2,-23.419333,3.0836785
Nap1l2.3,-37.887093,6.160355
Pcgf1.2,-40.45536,27.641438
Nsd1.2,-31.589481,29.664116
Orc1.2,-29.830364,27.906145
Nap1l2.4,-37.025738,18.315022
Parp1.3,-38.52031,14.581946
Padi4.3,-36.075157,5.965525
Ncor1.2,3.458929,54.64893
Nap1l3.3,-39.201355,14.638047
Paxip1.3,-34.75149,31.129044
Padi6.3,-24.154963,22.47627
Ncor2.3,13.013915,31.405737
Ncoa1.3,-39.537914,21.164625
Pcgf1.3,-35.915585,22.61082
Padi4.4,-36.44133,18.774605
Ncor1.3,-15.929703,39.058445
Ncoa3.3,-43.999393,11.622279
Parp1.4,-35.59693,27.541197
Orc1.3,-37.081787,11.343382
Nsd1.3,-49.5038,6.8537216
Ncoa3.4,-31.492887,24.465836
Paxip1.4,-37.520893,16.432524
Padi6.4,-28.93386,30.08336
Nsd1.4,-33.76218,25.192707
Nap1l3.4,-38.819008,3.5719893
Pcgf1.4,-42.996452,16.824263
Pbrm1.4,-29.093386,28.518658
Ncor1.4,-49.422707,9.2602215
Ncoa1.4,-30.688368,25.242094
Padi1.4,-35.794506,23.614471
Ncor2.4,-3.808826,25.939661
Orc1.4,-28.331308,27.143316
Pcgf2.1,-3.3694606,64.29116
Phf20.1,-39.730946,8.697968
Phf20l1.1,-15.784397,-38.451645
Phf2.1,10.567799,34.68224
Pcgf6.1,-33.345505,17.643898
Prdm1.1,12.232465,32.028774
Phip.1,-34.25715,18.290174
Phf1.1,-31.637629,17.572933
Pcgf5.1,-18.239607,-10.030221
Polr2b.1,-1.9840533,22.282291
Phip.2,-17.753578,14.647217
Pcmt1.1,-16.549643,14.243739
Pcgf2.2,-16.727499,15.00226
Polr2b.2,-42.432808,31.311146
Phf8.1,-16.499874,19.189167
Phf20l1.2,-7.78398,23.56184
Pcgf6.2,11.43415,33.980244
Ppargc1a.1,-0.358275,30.664165
Phf20.2,-0.69311476,30.08822
Phf19.1,-2.6314666,26.515202
Pcgf5.2,-16.474318,13.507835
Ppargc1a.2,-17.86834,16.34213
Phf20.3,-17.079922,22.483902
Phc1.1,-18.223104,15.359711
Pcmt1.2,-11.574163,1.8827711
Ppargc1a.3,-19.75983,9.941312
Phf8.2,-16.70267,16.425951
Phf1.2,-6.7465835,23.187668
Pcgf2.3,1.6017021,34.336098
Prdm1.2,-12.779519,18.726795
Phf19.2,-20.110764,9.373151
Phf2.2,-13.467969,20.933962
Pcgf2.4,-21.141111,6.9025593
Phip.3,-13.069096,15.340916
Phf20l1.3,-14.225078,14.537994
Phc1.2,-15.199214,22.29152
Pcgf5.3,-13.403898,14.929007
Polr2b.3,-17.307554,19.698639
Phf8.3,-16.062752,18.80099
Phf1.3,-3.9827964,20.547234
Pcgf6.3,-12.715048,15.943631
Prdm1.3,-42.924698,30.389845
Phf20l1.4,-13.836254,20.71008
Phc1.3,12.162502,32.1319
Pcmt1.3,9.599438,30.0365
Phip.4,11.636107,33.16531
Phf2.3,-2.824229,23.078705
Phf19.3,-3.8660357,21.623302
Pcmt1.4,-1.8703969,25.237574
Polr2b.4,-41.40586,31.32671
Phf8.4,-20.19258,37.68226
Phf19.4,3.6775506,24.803131
Pcgf5.4,4.7044873,-30.017347
Prdm1.4,-39.632225,19.978264
Ppargc1a.4,-32.487453,17.930645
Phc1.4,-3.3481095,20.937618
Pcgf6.4,-2.8494382,20.51572
Phf20.4,0.85090476,9.90078
Phf1.4,23.676844,19.79171
Phf2.4,-4.7201276,22.661438
Prdm10.1,-70.299324,-1.7720087
Prdm5.1,-74.18525,4.1591287
Prdm6.1,-75.74912,-4.9289856
Prdm4.1,-75.46186,-2.9816911
Prdm12.1,-76.783585,-1.855637
Prkcd.1,-77.82442,-7.170208
Prdm9.1,-76.10907,-5.922858
Prdm15.1,-74.65347,0.21438012
Prdm11.1,-50.34652,6.4815445
Prkaa1.1,-77.0068,-6.949909
Prdm9.2,-78.85986,-2.3369815
Prdm13.1,-78.975426,0.6897411
Prdm10.2,-71.94126,-3.5987344
Prkaa1.2,-80.07138,0.09385647
Prdm8.1,-81.21953,-3.0603163
Prdm6.2,-80.128395,-1.6208922
Prdm12.2,-81.41756,1.2085685
Prkaa2.1,-78.67822,-4.561849
Prdm5.2,-81.10111,-4.0532064
Prdm2.1,-73.66812,-9.092569
Prdm11.2,-72.57822,-8.460033
Prkaa2.2,-77.197014,-0.2970057
Prdm5.3,-67.869545,-0.40017003
Prdm14.1,-77.951164,0.60511523
Prdm13.2,-80.13485,-6.80156
Prkaa2.3,-78.43856,-0.6575244
Prdm8.2,-82.28045,1.2507343
Prdm15.2,-74.49412,0.7762384
Prdm10.3,-71.80185,-8.679552
Prkcd.2,-75.11263,-3.9190657
Prdm2.2,-77.392365,-4.809853
Prdm4.2,-78.65966,2.4708843
Prdm10.4,-76.83746,0.072235525
Prdm9.3,-77.86439,3.2240386
Prdm6.3,-80.31992,3.5836728
Prdm14.2,-80.59506,4.355298
Prdm11.3,-79.35132,0.6436406
Prkaa1.3,-81.41893,-0.97988313
Prdm8.3,-76.2539,-8.045993
Prdm15.3,-80.01232,1.4099247
Prdm12.3,-73.305626,1.176907
Prkcd.3,-73.638176,-3.4324412
Prdm6.4,-74.312,-2.07328
Prdm14.3,-76.79753,1.5996236
Prdm13.3,-43.336937,-6.114735
Prdm9.4,-77.55798,3.6657677
Prdm4.3,-74.414276,3.550433
Prdm2.3,-79.80053,-0.8075267
Prdm13.4,-66.74919,-0.37769026
Prkaa1.4,-76.00444,-3.609347
Prdm8.4,-76.71438,-3.9025562
Prdm2.4,-72.08083,-0.35849142
Prdm11.4,-74.48152,-5.2200317
Prkcd.4,-68.29563,-0.72302794
Prkaa2.4,-74.38843,-1.0992068
Prdm14.4,-73.11746,-7.3202105
Prdm12.4,-73.24646,-4.882959
Prdm5.4,-72.98387,-5.9941373
Prdm15.4,-75.78647,2.06116
Prdm4.4,-76.13867,-6.469598
Prmt1.1,-6.113719,64.90386
Rbbp4.1,1.4130851,67.51933
Rbbp5.1,-3.556287,65.931564
Psip1.1,-7.7812514,51.051704
Prmt3.1,-0.688136,68.87923
Rnf40.1,2.204159,68.333466
Ring1.1,0.7953465,65.073975
Prmt7.1,-1.7291149,65.87635
Prmt2.1,-2.3976042,67.54053
Rnf20.1,1.4516433,67.98164
Ring1.2,-22.983429,48.839993
Prmt5.1,-1.9536699,66.691124
Prmt1.2,-2.9165576,60.75557
Rnf20.2,5.240907,63.39326
Rbbp7.1,-0.4889638,60.736507
Rbbp5.2,-0.5671449,69.11172
Prmt3.2,-0.40762156,63.597446
Rnf217.1,0.817373,64.064995
Rbbp4.2,0.12882212,58.317898
Prmt8.1,3.3228602,60.464783
Prmt2.2,2.3358939,62.582413
Rnf217.2,4.1268415,67.77014
Rbbp4.3,2.8250194,46.15026
Prmt6.1,2.0121477,66.20746
Prmt5.2,4.233302,63.37586
Rnf217.3,-2.3126814,63.84881
Rbbp7.2,1.966749,58.133797
Prmt7.2,0.6650635,61.124577
