Well,GeoMean BV605-A of Amet+GFP+_PD1,GeoMean PerCP-Cy5-5-A of Amet+GFP+_Lag3,Amet+GFP+Tim3+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_Tim3
B02,5464.14933717419,1730.40941812886,33.8251986379115,108.362967527616
B03,6038.83426885715,1648.92897709248,39.6039603960396,130.458003847931
B04,4688.84285823116,1911.35752060761,33.3825701624815,109.711901771064
B05,5031.98958023475,1652.22214784599,29.3583535108959,80.6106876171828
B06,7605.98001187974,2399.42301467977,51.421188630491,227.59323378918
B07,5980.63570574598,2385.44684759004,38.7142857142857,129.889400746128
B08,6208.07040775603,2547.29737537514,51.678445229682,251.033135179494
B09,6705.58398249241,2894.75399209,46.6367713004484,208.02284748687
B10,6166.65928856929,2234.91146893016,41.738299904489,152.696697740031
B11,601.936284149398,633.907774002517,9.87482614742698,27.8866377880002
C02,3011.62491299279,902.904581790764,50.2246181491465,223.361339918016
C03,1664.44327900461,801.718360824444,54.7609640458317,287.168661808372
C04,5275.56910648859,2034.62818880196,28.1303602058319,80.1609267852189
C05,5435.92976936191,1590.71813420651,54.1984732824427,280.330371261691
C06,7193.20179247965,3141.51444312116,36.139896373057,113.317607435043
C07,6153.66186584674,1807.92776459589,34.982332155477,109.808806222292
C08,5309.5030057212,1593.54675792175,32.3853211009174,86.1912221896421
C09,5513.88033941962,1843.06063747453,27.5103163686382,64.5123817228269
C10,5162.76077560724,2228.0456468209,29.2558613659531,73.4331409702558
C11,457.626790313493,530.393031948655,5.35475234270415,18.803452530389
D02,4193.55494583056,1183.74757336781,50.0583430571762,205.578079163165
D03,2882.07050816649,2286.26226244984,50,399.680313859891
D04,6355.87957173099,1793.62049955677,57.5342465753425,307.762718718685
D05,5632.08409966614,1874.88709090588,47.6855253490081,209.47338523591
D06,5155.47427354416,1691.44505483139,28.3904619970194,83.1440394308366
D07,3985.50587031798,1155.9968554857,24.2647058823529,56.4811426141191
D08,4742.07141053086,2003.82354355347,29.0872617853561,87.4731859470544
D09,3778.31260014708,1587.82339624825,32.4728260869565,106.459397757902
D10,4724.10808543755,1577.50263793961,39.5527603074773,144.713844823999
D11,413.453593858038,262.358674828659,7.36256544502618,24.980834660067
E02,2297.84237655654,1166.52136007747,16.3404255319149,38.9248716632119
E03,2252.3986313947,1374.00335897409,18.0555555555556,40.9377887883808
E04,2733.43214772831,1161.84312824796,18.379068283344,41.8742683412626
E05,4555.26067324654,2034.1785918089,22.2886421861657,52.5813497856744
E06,6911.6672313137,1951.74662229844,36.5398420674803,130.394870796928
E07,5241.0040377657,1907.563008592,36.3552266419982,122.942893996986
E08,6171.56102090569,3224.2358984703,39.2857142857143,136.943283785611
E09,4974.57342640663,2376.20777405161,30.757341576507,94.0898409572785
E10,6060.79936673431,2194.79767654621,44.8757763975155,197.688578523308
E11,739.376281906733,578.064663615592,14.367816091954,41.3583123710408
F02,5281.77001127698,1654.51880267435,26.2639527248851,72.8145446300151
F03,1149.67565617905,1087.12246226404,20.1923076923077,62.5661107119586
F04,1225.61732000345,757.291352921958,22.1574344023324,76.3829915396717
F05,10221.4087933276,3516.15679687522,50,110.469449924024
F06,4600.57611543925,1918.66972404918,38.0352644836272,150.67250643805
F07,2992.03357908921,2106.02627038697,42.7492447129909,174.655592022703
F08,4128.33215313046,1805.11966001628,45.3302961275626,201.184375407793
F09,4764.12211504488,1872.19151109286,33.7730870712401,123.703045413795
F10,5305.62679211883,2346.24727113314,22.2222222222222,104.255919660008
F11,2211.81195514951,727.13992741436,50,289.001504374141
G02,5962.61439579199,2296.69090096143,33.0739299610895,105.488297072896
G03,1083.18566447008,609.516841155131,16.887417218543,40.5458899763091
G04,1156.33937907223,485.81631455383,16.25,36.4359345951853
G05,3670.93489194763,1012.13891447243,18.1962025316456,40.8917830633586
G06,5636.73852688206,2019.30231820922,33.7713534822602,118.471295967599
G07,5705.7298622727,2399.44803931277,32.2008862629247,106.526698502355
G08,5749.03687626602,1918.5477585314,32.2992700729927,90.1905467156759
G09,6011.46585078364,1568.7850724152,27.9141104294479,85.9940417986795
G10,4030.499649821,2650.38814687609,44.4444444444445,274.841285634181
G11,3474.31829979076,2145.44048460753,33.3333333333333,400.559614878175
