Well,GeoMean BV605-A of Amet+_PD1,GeoMean PerCP-Cy5-5-A of Amet+_Lag3,Amet+Tim3+ as % of Amet+,GeoMean PE-A of Amet+_Tim3
B02,438.94237068,822.080237361243,3.75629867155291,20.6466480936589
B03,377.254674537992,666.759052420493,2.5,24.6285162642142
B04,462.908218414212,1051.44777050656,3.42377260981912,18.8629678786626
B05,545.38508551417,1330.86784504093,4.81862479696806,22.2626057454226
B06,427.936630916889,1329.67715301398,4.24013434089001,20.1396509608776
B07,427.1728871063,1168.83496525554,3.83001049317943,20.2511834456419
B08,500.137841540592,931.583354008563,2.44761728166141,15.581939023442
B09,614.574691259306,879.327601229,3.50181698050875,19.3893296911607
B10,468.610044186002,1403.00988610578,3.80067567567568,19.8053191376884
B11,421.717927529193,1167.24203006003,3.03519535033904,17.8122315267974
C02,713.490584485726,1272.26597893588,14.6274777853725,43.1844288100007
C03,679.858200824133,1054.13907640066,6.02753525856279,25.5918983177257
C04,444.421814855973,1084.37437601147,4.14201183431953,21.3440993095126
C05,428.739465469528,1063.97192873644,3.541991534863,20.3780782453938
C06,440.810813777865,593.6695959789,6.25,29.1324185135067
C07,373.985351339692,1114.11512103043,3.62575536570119,18.1375174692035
C08,632.186433829418,1077.92375132914,6.73417721518987,28.2246436852781
C09,663.944003430731,1190.72630114739,4.73006438831105,24.9349460095715
C10,862.047776550401,1741.11141723899,8.30246241011113,27.0371549738965
C11,498.256290292832,1151.12516511541,5.27039413382218,22.1916825349876
D02,601.759858587865,1055.23004052638,4.95794599380257,24.4485984052382
D03,497.94776988224,804.781136955585,2.45847176079734,17.564206046307
D04,907.098680367164,1962.13320879668,3.25561856752783,19.1191021334282
D05,392.578468849249,1039.95448188226,2.37556561085973,16.8620099452064
D06,589.701835193952,904.362215287293,3.44242835340003,18.0303898270057
D07,501.008463543436,1099.59093102202,4.93940086896867,20.9793004409867
D08,676.848940284815,2001.44147583959,5.14786418400876,21.8315549516571
D09,745.146102538342,1469.31776089708,9.40530649588289,31.3290320785904
D10,521.544796449651,1247.58477120622,3.84615384615385,20.2089564355433
D11,667.814479786968,1518.09159579877,3.92643108080182,19.9754564131937
E02,433.985679225962,885.087119074365,3.34269662921348,18.0387958074007
E03,471.58670494128,1010.639927729,4.66772151898734,23.3913106435493
E04,500.688435710262,1268.20613906198,4.16666666666667,19.8151218650665
E05,559.859587391023,1202.69320301075,5.18169582772544,24.4360306281618
E06,293.697618798635,618.916496597473,3.50456072971675,17.0132822770815
E07,676.127795098969,1185.8781903111,4.66708151835719,21.7763533208063
E08,507.774682917615,963.800956602695,3.65664704059498,19.4157860643025
E09,313.902525595271,1236.76077368081,1.12404656764352,14.3467707133533
E10,558.284311636676,1115.95970385391,3.00978179082017,17.2088948668633
E11,447.41205783934,1018.39549045383,1.64814105021081,15.2285524765037
F02,480.686383705135,828.947126506134,4.33847257081391,21.869159760273
F03,438.808539676472,1045.8283373018,3.48733233979136,17.7438981504979
F04,467.610493452172,1080.56403421959,1.98587819947043,16.9496312210208
F05,793.058706894204,1356.34575495353,2.54077791718946,20.0794222145533
F06,438.486837610379,766.025726980065,2.18045112781955,17.9151139040731
F07,327.934720615661,831.72946625124,1.73171362109072,17.0203391564522
F08,378.242025970947,907.706229134746,2.25580870742161,18.6005178386325
F09,423.821732219537,1183.59751193065,3.04894356779888,17.8085974513052
F10,513.706848637264,1557.03130987781,3.73831775700935,20.2808689195652
F11,610.638062748083,1463.98516860771,4.66724286949006,22.8150628569139
G02,307.248252938547,580.182370893831,4.37834842046924,21.1177973640993
G03,351.745053042467,712.154413609553,6.19422572178478,25.6403114500889
G04,637.942330772913,1144.19464114203,4.79452054794521,23.5894517574524
G05,415.483765671434,1014.44294765397,4.23592493297587,19.6612370070806
G06,528.983868600133,851.584242670927,3.07314074984634,19.5154026142977
G07,486.933719229911,1129.05789238329,3.60295872106896,18.4850357051413
G08,230.634540115469,455.517121510818,11.1111111111111,15.5154125350686
G09,883.404670887629,1338.12138107354,3.46093340325118,20.4369131389228
G10,725.977333029235,933.720393418709,4.67684313088665,22.0406574125179
G11,481.264272479663,933.46240516964,2.63347763347763,17.7219422650537
