"Position","Pool","shRNA","Percentage","precentile","z"
"18_C03",3,"Tet3.1",44.16523236,73.873765396017,0.639458516498535
"18_C04",3,"Tdg.2",46.16013072,81.6919401954254,0.903687373762416
"18_C05",3,"Usp22.2",42.28737454,65.2002308903167,0.390731946848819
"18_C06",3,"Ube2i.1",24.5482866,2.5065126259623,-1.95885088367178
"18_C07",3,"Ube2e1.2",53.33333333,96.8115716477394,1.85379449027867
"18_C08",3,"Tet2.2",35.87267525,32.3149518062256,-0.458909667518006
"18_C09",3,"Usp27x.1",45.45454545,79.1096284842887,0.810230988548722
"18_C10",3,"Ube2b.2",29.94252874,10.6681496761934,-1.24437115626508
"18_C11",3,"Trim33.1",35.54673403,30.7805156733092,-0.502081328702687
"18_D02",3,"Tet1.2",43.01470588,68.6895158551713,0.48706864884521
"18_D03",3,"Usp27x.2",45.50314465,79.2940926652038,0.816668063909263
"18_D04",3,"Ube2b.3",46.41555286,82.5754075120629,0.937518621271235
"18_D05",3,"Trim24.1",72.72727273,99.9995123227203,4.42256618725222
"18_D06",3,"Tet3.2",40.0241838,53.6240653072909,0.0909671493077565
"18_D07",3,"Usp27x.3",48.23670054,88.0747904520328,1.17873380297862
"18_D08",3,"Ube2i.2",36.90369037,37.3594024141058,-0.322349353247467
"18_D09",3,"Trim28.2",39.94432846,53.2036510342718,0.0803901266094075
"18_D10",3,"Tdg.3",40.07365249,53.8843031929651,0.0975193906104365
"18_D11",3,"Usp51.2",38.79928315,47.1589944261133,-0.0712737475223388
"18_E02",3,"Trim33.2",42.16152019,64.5820998256898,0.374062249911383
"18_E03",3,"Trim66.2",57.89473684,99.3013618308857,2.45796283345519
"18_E04",3,"Tdg.4",40.45480067,55.882993387297,0.148003340103286
"18_E05",3,"Uhrf1.3",40.85981308,57.9904104456719,0.201648161522655
"18_E06",3,"Ube2e1.3",39.16876574,49.1090392001682,-0.0223349321460013
"18_E07",3,"Trim24.2",38.87928906,47.5808311647411,-0.0606767814825973
"18_E08",3,"Tet1.3",44.60708783,75.7406176500493,0.69798328560702
"18_E09",3,"Usp22.3",30.55786844,12.2441530506626,-1.16286800351293
"18_E10",3,"Ube2i.3",46.2962963,82.1663412022594,0.92172281673209
"18_E11",3,"Trim28.3",30.99078341,13.4465559017515,-1.10552742410841
"18_F02",3,"Tet2.3",41.36577708,60.5905968411559,0.2686642522756
"18_F03",3,"Usp51.3",49.94087505,91.990839090589,1.40445562038266
"18_F04",3,"Ube2e1.4",42.71047228,67.2480231453973,0.446772211652651
"18_F05",3,"Trim24.3",40.78947368,57.6258745584188,0.192331546874364
"18_F06",3,"Tet3.3",52.87056367,96.3473512504287,1.79249958879898
"18_F07",3,"Uhrf1.4",45.68411387,79.9724576585984,0.840637851623428
"18_F08",3,"Trim66.3",38.14016173,43.7001512946745,-0.158575889374191
"18_F09",3,"Trim33.3",37.99171843,42.9268212768325,-0.178237544481011
"18_F10",3,"Tet3.4",35.00201857,28.2906038382182,-0.5742301390961
"18_F11",3,"Usp22.4",36.41975309,34.9582470331341,-0.386447954482365
"18_G02",3,"Ube2i.4",44.09907722,73.5880380658083,0.630696116671642
"18_G03",3,"Trim33.4",45.90282814,80.7742410240557,0.869607057668293
"18_G04",3,"Tet1.4",46.48631841,82.8153011139596,0.946891680463158
"18_G05",3,"Usp51.4",33.90722143,23.5996982140693,-0.719238528013702
"18_G06",3,"Usp27x.4",44.8684698,76.8099982131689,0.732603926250828
"18_G07",3,"Trim24.4",42.37804878,65.643096791553,0.402741957633765
"18_G08",3,"Tet2.4",46.15689382,81.6805678652552,0.903258638943026
"18_G09",3,"Ube2b.4",41.14356743,59.4537183862034,0.239232075143273
"18_G10",3,"Trim28.4",37.5831052,40.8129477807509,-0.232359302757359
"18_G11",3,"Trim66.4",39.38802083,50.2675249679023,0.0067059067466582
"19_B02",3,"Wbp7.1",33.12933497,20.5461233240368,-0.822271371454831
"19_B03",3,"Arid1b.1",33.18697402,20.7640077498724,-0.814636947255256
"19_B04",3,"Brd7.2",38.14769482,43.7394625152841,-0.157578114348517
"19_B05",3,"Actb",28.61580946,7.77895523851369,-1.42009816386278
