Gene,nbPctgShift,ZScore
Actl6b,1.7203639174431302,0.18514904859049952
Aff1,5.94927027703147,1.0186153744045923
Aff4,-1.075938672851393,-0.36596839114966057
Arid2,-1.4074731160730707,-0.4313098224268693
Ash1l,-6.432849704015563,-1.421750802773456
Ash2l,-7.285005203932947,-1.5897003512253993
Asxl1,-1.6300903525032684,-0.4751849888016636
Asxl2,-2.5057714914659783,-0.6477711563390779
Asxl3,-6.457946878733722,-1.4266971525438241
Atad2,-3.4566798473537332,-0.8351836990100006
Atad2b,-6.6448318421740495,-1.4635299198325455
Atm,-5.704712374853994,-1.2782437366856991
Atr,-0.2618271038250377,-0.20551684161353082
Atrx,-5.733526818984277,-1.2839227153240391
Aurkb,4.929301534330033,0.8175918642724503
Baz1a,-7.482092270530163,-1.6285438297265997
Baz1b,-6.21897929657997,-1.379599530664641
Baz2a,-3.3303038732320402,-0.8102765221027688
Baz2b,-7.5948604989201876,-1.6507690844361762
Bmi1,-0.8288870036011211,-0.31727749342159955
Bop1,-7.324177560685229,-1.597420749238417
Bptf,-4.947290141862457,-1.1289649700395596
Brd1,-5.33553420433871,-1.2054831817841962
Brd2,-1.4945013242618437,-0.44846203029186954
Brd3,-3.4703008667679924,-0.8378682372900467
Brd4,4.840365705403219,0.8000636874186885
Brd8,-1.456342052513417,-0.4409412990872659
Brd9,-3.4544013214629863,-0.8347346290990231
Brpf1,-3.2249893925293343,-0.7895203109638568
Brpf3,1.5876263718830437,0.15898808284939112
Brwd1,-3.1116625766444557,-0.7671849654110708
Brwd3,-4.844717023565877,-1.1087490482941877
Carm1,-2.780821594305362,-0.7019802068914871
Cbx1,-4.346401152333101,-1.0105370135562843
Cbx3,-2.3892197560806707,-0.6248002181345476
Cbx4,-2.830192751504825,-0.7117106651928226
Cbx5,-3.3195142668087616,-0.8081500210980349
Cbx6,4.748297586059202,0.7819181739858158
Cbx7,-7.450987454163435,-1.6224134464057398
Cbx8,-2.5693167436583337,-0.660295157431608
Chaf1a,1.1558202946862064,0.07388432456695937
Chaf1b,2.1520236871917575,0.2702239714434065
Chd1,-2.8606045681250514,-0.7177044666404052
