shRNA,nbPctg_Q4,nbPctg_Q1,q4minusq1_nbPctg
Bcl6,60.2498129075738,57.66303673933187,2.5867761682419257
Bcl6.2,66.31117961262053,72.31573390051047,-6.004554287889931
Bcl6.3,52.70502020720066,54.12097570042468,-1.4159554932240184
CD4.1,35.609497999840265,40.89967849306746,-5.290180493227197
CD4.2,27.651778401565597,30.658730395242117,-3.0069519936765197
CD4.3,55.258122734726314,51.15386636056495,4.104256374161366
CD4.4,47.1927618080871,33.12900505400846,14.06375675407864
CDK9.1,74.3544406808232,51.524620400088516,22.829820280734687
CDK9.2,42.17983497587489,24.64546822686432,17.53436674901057
CDK9.3,90.52960410278727,93.60894001673739,-3.0793359139501177
Ccnt1,72.52597564293143,54.655204971059845,17.870770671871583
Ccnt1.3,86.95922204709771,77.87135451329998,9.087867533797734
Ccnt1.4,66.17244053206433,78.08939578035393,-11.916955248289597
Cd14,79.20890554868834,68.33306838021618,10.87583716847216
Cd14.2,65.94937894625501,62.63176345978492,3.317615486470089
Cd19,70.17349660965023,71.9144601564633,-1.7409635468130773
Cd19.3,85.47097444904385,81.10084512407663,4.370129324967223
Cd19.4,86.58511405763737,83.22909675206994,3.356017305567434
Fosb,27.799701549238648,46.17310450653212,-18.37340295729347
Fosb.2,58.567243548312305,47.78873764925337,10.778505899058935
Hes1,55.73965748972054,53.59943748526367,2.1402200044568715
Hes1.2,80.12655676087186,76.08820015836328,4.0383566025085855
Hes1.3,66.28741190355734,68.542549902315,-2.255137998757661
Id2,12.768766045001263,5.387592201832225,7.381173843169037
Id2.2,49.03778499643428,56.1796325867154,-7.141847590281117
Id2.3,75.50661959904812,60.87518826197771,14.63143133707041
Id2.4,79.57935671960657,64.29853539816128,15.280821321445288
Id2.5,62.41792570888982,48.200841453914514,14.217084254975305
Id3,74.00146435540002,72.95422055965169,1.0472437957483294
Id3.2,83.64538330648122,92.4798769033996,-8.834493596918378
Id3.3,93.52645703568207,91.97139299470948,1.5550640409725958
Id3.4,60.60181034219766,56.50998170488091,4.091828637316752
Id3.5,25.593551809561767,35.688301430636955,-10.094749621075188
Jmjd5.1,23.502182454892743,5.387592201832225,18.11459025306052
Jmjd5.2,30.059629699467038,17.871844697897245,12.187785001569793
Jmjd5.3,58.2521627415993,56.23686731536891,2.015295426230388
Jmjd5.4,88.33065577757733,89.5906593171112,-1.2600035395338693
Jmjd6.1,31.176384156995756,28.76682441307579,2.409559743919967
Jmjd6.2,90.51311303903033,91.54522934151044,-1.0321163024801052
Jmjd6.3,41.78088043387087,50.91443089966745,-9.133550465796581
Jmjd6.4,48.09547257793636,54.49395064072667,-6.398478062790311
Jmjd8.1,5.387592201832225,5.387592201832225,0.0
Jmjd8.2,12.768766045001263,5.387592201832225,7.381173843169037
Jmjd8.3,5.387592201832225,41.91471461444303,-36.5271224126108
Kat2a.1,5.387592201832225,5.387592201832225,0.0
Kat2a.2,5.387592201832225,5.387592201832225,0.0
Kat2a.3,88.41117178909751,87.78333760740297,0.6278341816945385
Kat2b.1,48.59305112524092,47.96947733394094,0.6235737912999824
Kat2b.3,90.25309644142486,85.7823436050366,4.470752836388257
Kat2b.4,32.65305894859269,61.79334333501052,-29.140284386417832
