shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,nbPctg_input,inputMinusAvg_nbPctg
Bcl6,70.63363766564486,63.14052283108506,68.77307205063674,55.24296760970261,58.43310839290324,-6.0144416463640695
Bcl6.2,85.83568686404992,78.3675489272298,62.32169330940276,69.25696332225772,63.31043792497441,-10.635035180760639
Bcl6.3,57.909572631446004,66.0053165505874,62.493607721575195,64.25716752301707,52.458643971789265,-10.207772134867149
CD4.1,35.09641812528022,13.916277302596372,20.386636721586893,22.092619081783944,37.5449761097434,14.671988301931545
CD4.2,27.644303666694086,30.66379407043913,51.570225674546,27.153281757882226,86.04526327489368,51.78736198250333
CD4.3,71.87092980224898,77.09178079724214,70.34929501458524,69.46946175501706,91.92163496121303,19.72626811893967
CD4.4,63.84162539014406,69.06236807643124,67.21440371938128,61.423431140150974,75.66959984681475,10.284142765287868
CDK9.1,80.42091995978805,73.5853721074968,83.99425479680413,71.89509405950912,77.67876217352861,0.2048519426290909
CDK9.2,34.63033783943453,17.51233320380469,42.296970506148085,25.85334506258139,54.66093820821558,24.58769155522341
CDK9.3,90.01562661619667,92.58034857372944,94.62309218970839,96.48193221589295,74.80118973406165,-18.62406016482022
Ccnt1,52.072869605121895,52.43478277026282,44.29362846961418,34.00319858255116,91.44029769544633,45.739177838558824
Ccnt1.2,99.56552370209283,98.6219732867747,98.91411106516401,96.64024979622835,99.73076034396551,1.2952958814005484
Ccnt1.3,82.93174207282206,72.39668801304396,74.70358296082097,78.16630156555992,98.15660574423565,21.10702709117392
Ccnt1.4,63.289105845186924,66.62668791705816,65.57825842481626,62.20973501317383,84.27454347998324,19.84859667992444
Cd14,78.08632636135363,75.80207263898056,80.91495556480535,73.42728519866799,66.96294764638276,-10.09471229456912
Cd14.2,63.23615368105866,62.702338504947484,75.69415081619823,76.24343488879273,54.917245079798796,-14.551774392950485
Cd19,69.11480074150117,56.57321020280601,65.1654431143281,68.63636121645217,63.20568037438987,-1.6667734443820024
Cd19.3,80.11479820226441,78.69232804950987,80.58634442346565,82.28266237661667,51.09209803435309,-29.326935228611056
Cd19.4,73.14576466505662,78.13127141943224,82.94601898667189,80.22311753495558,72.24478952163976,-6.366753629889317
Fosb,19.536244131886424,39.84862054657375,20.97585661591814,20.279966631051792,87.65421345140466,62.49404147004714
Fosb.2,47.52179930311065,57.01543259124391,45.384369941766955,5.387592201832225,51.293797712225,12.466499202736564
Hes1,44.23468882163796,38.98003949594851,58.72429112535688,65.51117629696114,88.52875916927516,36.666210234299044
Hes1.3,17.553662855374853,19.49476589132354,20.386636721586893,21.547068345102556,80.34640678368929,60.60087333034233
Id2,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,69.5566508533137,64.16905865148148
Id2.2,26.159128214289417,51.54536998731901,30.159937583125394,61.9716950620098,61.71319008113058,19.25415736944467
Id2.3,85.4887555918314,90.04510149896376,62.222588316419305,69.80740178999665,71.19131079439411,-5.6996510049086595
Id2.4,91.68639465557507,76.97029928051074,88.2306812063623,77.32258958755467,78.11412904618425,-5.438362136316442
Id2.5,5.387592201832225,30.51307251477024,23.94074893352602,48.510769376433814,59.43753545411236,32.34948969747178
Id3,82.62167129194434,83.99509735315475,81.64918576455264,77.63518549756009,87.7632807648698,6.287995788066851
Id3.2,87.86242425258844,79.81401231318112,83.77177992296161,83.35917767812066,83.11277243022228,-0.5890761114906837
Id3.3,96.75871069100067,94.10811784853287,97.27847790914115,96.72870651104694,97.19889027519464,0.9803870352642434
Id3.4,52.540537283418466,34.55809872813136,32.78975511164157,36.41189867678399,46.07257774928971,6.9975052992958595
Id3.5,26.6906982785613,24.910652433011666,17.05453339191437,5.387592201832225,38.750928548810265,20.240059472480375
Klf12,39.87485999173321,59.1181614309598,60.65538642141763,55.895790481455286,41.627929181900406,-12.258120399491084
Klf12.4,30.10316065885631,5.387592201832225,23.591013187027855,58.8353408712321,56.76514480825847,27.285868078521347
Klf12.5,79.47061404690552,70.01579902879111,82.20919427847984,74.82651247080088,83.63668149380408,7.006151537559731
Klf2,46.420766795353195,51.36021898872911,54.92500944171243,36.796819604706734,48.505938036720956,1.130234329095586
Klf2.2,33.40262735785781,39.51008109686894,50.61632883689021,55.32039411143506,67.68488747303043,22.97252962226743
Klf2.3,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,62.655019384038404,57.26742718220618
Klf2.4,76.29255345739452,88.8061418755332,77.63004612322784,73.10938381423125,64.40314065126903,-14.556390666327673
Klf2.5,5.387592201832225,5.387592201832225,5.387592201832225,5.387592201832225,19.339775970055776,13.95218376822355
Klf2.6,55.55797853690516,64.9112421424134,64.19454619432409,55.32039411143506,98.58156186982272,38.5855216235533
Klf2.7,19.536244131886424,30.04050999726141,62.711538340283354,5.387592201832225,90.85638730487476,61.437416137058904
Ms4a1,81.06414629528312,84.06138988838475,84.37252588795813,80.83947725013064,92.23753359023407,9.653148759794902
Nfatc3.2,95.73748944422941,96.61455854767372,97.4424715804501,94.8958934458171,96.82426771751769,0.6516644629751056
Nfatc3.3,51.084221808156826,25.824423986758767,21.978673929826385,48.27357412464074,63.83028737825091,27.04006391590523
