gene_name,gene_name2,cluster,interation,source_appearance,source_appearance_sqrt
KDM6B,SMARCC1,6,pp,12,3.4641016151377544
SIRT3,SIRT5,4,pp,2,1.4142135623730951
MEN1,SIN3A,5,pp,14,3.7416573867739413
PCGF2,PHC3,6,pp,8,2.8284271247461903
SMARCD2,SMARCE1,6,pp,8,2.8284271247461903
SIN3A,SIN3B,5,pp,25,5.0
BRD4,KDM6B,5,pp,12,3.4641016151377544
RING1,WDR5,6,pp,15,3.872983346207417
HCFC1,KMT2A,6,pp,15,3.872983346207417
KDM2B,WDR5,6,pp,7,2.6457513110645907
BRD4,KDM2B,5,pp,12,3.4641016151377544
HES1,KDM6B,6,pp,4,2.0
KMT2D,WDR5,4,pp,3,1.7320508075688772
ARID1A,SIN3A,5,pp,16,4.0
ARID1A,SMARCE1,5,pp,16,4.0
HCFC1,RPA3,6,pp,15,3.872983346207417
KMT2A,WDR5,4,pp,20,4.47213595499958
SIN3A,SMARCE1,5,pp,25,5.0
BRD4,SIRT5,5,pp,12,3.4641016151377544
BRD7,SMARCE1,4,pp,8,2.8284271247461903
SIN3A,SMARCC1,5,pp,25,5.0
KMT2A,SMARCC1,4,pp,20,4.47213595499958
SIRT3,SIRT4,4,pp,2,1.4142135623730951
KDM6B,PRMT7,6,pp,12,3.4641016151377544
HCFC1,WDR5,6,pp,15,3.872983346207417
PHC3,RING1,4,pp,8,2.8284271247461903
CBX6,PHC3,5,pp,13,3.605551275463989
HCFC1,SIN3B,6,pp,15,3.872983346207417
KDM2B,SIN3A,6,pp,7,2.6457513110645907
MBD2,PHF20L1,4,pp,11,3.3166247903554
POLR2B,ZMYND8,5,pp,5,2.23606797749979
SMARCA5,SMARCC1,5,pp,16,4.0
RING1,UBE2E1,6,pp,15,3.872983346207417
SMARCC1,SMARCE1,6,pp,24,4.898979485566356
KDM3A,KDM6B,4,pp,4,2.0
MECP2,SMARCE1,4,pp,13,3.605551275463989
CBX6,RING1,5,pp,13,3.605551275463989
HCFC1,MEN1,6,pp,15,3.872983346207417
RPA3,SMARCA5,6,pp,7,2.6457513110645907
KMT2D,MEN1,4,pp,3,1.7320508075688772
KDM6B,WDR5,6,pp,12,3.4641016151377544
KMT2A,MEN1,4,pp,20,4.47213595499958
MECP2,SIN3A,4,pp,13,3.605551275463989
SIN3B,SMARCE1,6,pp,7,2.6457513110645907
MBD2,ZMYND8,4,pp,11,3.3166247903554
MEN1,WDR5,5,pp,14,3.7416573867739413
HCFC1,SIN3A,6,pp,15,3.872983346207417
SMARCC1,SMARCD2,6,pp,24,4.898979485566356
ARID1A,SMARCD2,5,pp,16,4.0
SMARCA1,SMARCA5,6,pp,7,2.6457513110645907
CBX6,PCGF2,5,pp,13,3.605551275463989
KDM6B,KMT2A,6,pp,12,3.4641016151377544
AFF1,KMT2A,4,pp,7,2.6457513110645907
BRD4,KDM3A,5,pp,12,3.4641016151377544
ARID1A,SMARCC1,5,pp,16,4.0
KDM2B,RING1,6,pp,7,2.6457513110645907
BRD4,KMT2A,5,pp,12,3.4641016151377544
BRD7,SMARCC1,4,pp,8,2.8284271247461903
MBD2,SIN3A,4,pp,11,3.3166247903554
PRDM14,PRDM6,6,pp,1,1.0
PCGF2,RING1,6,pp,8,2.8284271247461903
SMARCA1,SMARCC1,6,pp,7,2.6457513110645907
MEN1,POLR2B,5,pp,14,3.7416573867739413
AFF1,BRD4,4,pp,7,2.6457513110645907
KMT2A,SIN3A,4,pp,20,4.47213595499958
SIN3A,SMARCA5,5,pp,25,5.0
