type,shRNA,count,ZScore
target,Smarcb1.2,827563,18.049928341855452
target,Tet3.2,325501,6.994725353174024
target,Zmynd11.3,187492,3.9558227689016925
target,Taf1.2,123832,2.554055213780094
target,Sp100.1,109399,2.236246367988859
target,Sirt1.2,91351,1.838836678468994
target,Smarcd1.2,90111,1.8115323779922303
target,Setd5.2,63184,1.2186106853004415
target,Setd5.4,53880,1.0137403533360785
target,Sp140.1,41437,0.7397505058906176
target,Brdt.1,37451,0.6519803916161173
target,Supt16h.4,36715,0.6357739681073286
target,Whsc1l1.4,33940,0.5746695859919903
target,Setdb1.2,31934,0.5304982740916773
target,Ube2a.1,26489,0.41060156756266214
target,Paf1.3,24924,0.37614089800932726
target,Ube2a.2,23915,0.35392312447621865
target,Suv39h2.3,22817,0.3297456067959875
target,Whsc1.4,20988,0.28947176359276094
target,Hdac5.3,20611,0.2811703754639384
target,Dpy30.1,17692,0.21689517135775016
target,Smarcc2.4,17556,0.2139005061441696
target,Fkbp5.2,16593,0.19269563408036033
target,Smyd5.1,16180,0.18360154045382532
target,Setmar.2,15228,0.1626388839587615
target,Taf1.3,15100,0.1598203755224504
target,Chd7.1,14831,0.15389710388676536
target,Setd2.3,14729,0.15165110497657996
target,Chd7.2,14597,0.14874451815163414
target,Smarce1.4,14549,0.14768757748801747
target,Smarca5.1,13904,0.13348493732066857
target,Wdr82.2,13717,0.12936727265199532
target,Gtf2h1.2,13286,0.11987682627660405
target,Taf3.1,11403,0.07841392482680876
target,Trim24.3,10745,0.063925029896397
target,Smarca4.3,10674,0.06236163849813069
target,Smarca1.1,10476,0.058001758260711966
target,Fkbp2.2,10323,0.054632759895433855
target,Whsc1l1.2,10232,0.052628976553993935
target,Sirt1.1,9963,0.04670570491830889
target,Setdb1.1,9704,0.04100262925421065
target,Sfmbt1.3,9688,0.040650315699671764
target,Satb1.3,9635,0.0394832770502617
target,Trim28.3,9321,0.03256912354243603
target,Smarcc1.2,9291,0.03190853562767562
target,Sirt3.4,8963,0.02468610775962843
target,Smarcd3.3,8702,0.01893899290121283
target,Taf3.4,8661,0.018036189417706933
target,Smarcd1.1,8476,0.013962563943351046
target,Ube2b.4,8275,0.009536624914456273
target,Rnf2.2,8270,0.009426526928662872
target,Tet2.3,8164,0.007092449629842743
target,Phc2.1,7893,0.0011251387998403382
target,Sin3a.2,7733,-0.002397996745548535
target,Zmynd11.4,7608,-0.005150446390383593
target,Whsc1l1.3,7598,-0.005370642361970397
target,Smarcd1.4,7138,-0.015499657054963409
target,Suz12.3,7039,-0.017679597173672776
target,Ube2b.1,6982,-0.018934714211717562
target,Padi2.2,6939,-0.01988155688954082
target,Parp2.1,6822,-0.022457849757106435
target,Smyd4.1,6724,-0.02461577027865712
target,Brdt.3,6502,-0.02950412084788418
target,Smyd4.2,6089,-0.03859821447441921
target,Setmar.1,5952,-0.041614899285158435
target,Suv39h2.2,5705,-0.047053739783352505
target,Scmh1.3,5653,-0.04819875883560389
target,Cecr2.1,5603,-0.04929973869353792
target,Smarca1.2,5582,-0.049762150233870206
target,Smyd1.3,5516,-0.05121544364634312
target,Hdac11.3,5477,-0.05207420793553165
target,Setmar.4,5362,-0.0546064616087799
target,Tcea1.3,5303,-0.05590561784114205
target,Gtf2h1.1,5241,-0.05727083286498024
target,Setd1a.2,5185,-0.05850393030586635
target,Suv39h1.4,5059,-0.06127839954786008
target,Smarcc1.3,5050,-0.06147657592228821
target,Usp22.3,4892,-0.06495567227335972
target,Setd7.1,4865,-0.0655502013966441
target,Smyd3.1,4790,-0.06720167118354513
target,Sfmbt1.1,4683,-0.06955776807952394
target,Usp51.2,4573,-0.07197992376697879
target,Sirt7.1,4556,-0.07235425691867635
target,Scml2.4,4532,-0.07288272725048468
target,Scmh1.2,4512,-0.07332311919365829
target,Arid1b.3,4460,-0.07446813824590968
target,Sirt7.4,4431,-0.07510670656351141
target,Zmynd8.3,4411,-0.07554709850668502
target,Suv39h1.2,4397,-0.07585537286690655
target,Smarce1.3,4333,-0.0772646270850621
target,Clock.1,4325,-0.07744078386233154
target,Usp27x.1,4271,-0.07862984210890028
target,Suv39h2.1,4168,-0.08089786061624438
target,Tcea1.4,4110,-0.08217499725144783
target,Sfmbt2.2,4103,-0.0823291344315586
target,Setd2.2,4052,-0.0834521338866513
target,H2afz.1,4049,-0.08351819267812735
target,Tet2.2,4004,-0.08450907455026797
target,Taf3.3,3846,-0.08798817090133948
target,Sirt4.2,3772,-0.08961762109108183
target,Setd2.4,3755,-0.0899919542427794
target,Fkbp5.3,3713,-0.09091677732344398
target,Wdr5.1,3707,-0.09104889490639606
target,Clock.2,3707,-0.09104889490639606
target,Rnf2.3,3693,-0.09135716926661759
target,Setd3.3,3581,-0.0938233641483898
target,Ube2b.3,3575,-0.09395548173134188
target,Hdac5.2,3556,-0.09437385407735681
target,Setd3.1,3540,-0.0947261676318957
target,Usp22.2,3533,-0.09488030481200646
target,Smarca2.2,3497,-0.09567301030971896
target,H2afz.3,3441,-0.09690610775060507
target,Setdb1.3,3436,-0.09701620573639846
target,Sirt1.3,3393,-0.09796304841422172
target,Brd7.3,3388,-0.09807314640001513
target,Sirt5.1,3315,-0.0996805769925988
target,Parp2.3,3243,-0.1012659879880238
target,Sfmbt1.4,3219,-0.10179445831983212
target,Zmynd11.1,3174,-0.10278534019197275
target,Phf10.2,3137,-0.10360006528684393
target,Sirt1.4,3129,-0.10377622206411337
target,Smarcd3.4,3117,-0.10404045723001754
target,Rnf2.1,3078,-0.10489922151920607
target,Ssrp1.3,3062,-0.10525153507374496
target,Suv39h2.4,3057,-0.10536163305953837
target,Trim24.2,2990,-0.10683694606916995
target,Ube2e1.3,2987,-0.106903004860646
target,Smarcc1.1,2970,-0.10727733801234357
target,Satb1.2,2893,-0.10897284699356195
target,Smarca4.1,2841,-0.11011786604581335
target,Usp22.1,2841,-0.11011786604581335
target,Smyd2.1,2818,-0.110624316780463
target,Setd4.2,2816,-0.11066835597478035
target,Cecr2.2,2804,-0.11093259114068452
target,Sirt4.1,2799,-0.11104268912647793
target,Trim33.4,2792,-0.11119682630658868
target,Sirt5.2,2739,-0.11236386495599875
target,Sirt7.2,2709,-0.11302445287075917
target,Smarcd1.3,2700,-0.11322262924518729
target,Mecp2.3,2661,-0.11408139353437582
target,Smyd2.2,2616,-0.11507227540651645
target,Usp27x.4,2607,-0.11527045178094457
target,Uhrf1.3,2572,-0.11604113768149839
target,Smyd4.4,2555,-0.11641547083319595
target,Smyd2.3,2468,-0.11833117578600115
target,Sp140.4,2446,-0.11881560692349212
target,Ssrp1.4,2445,-0.1188376265206508
target,Ube2i.1,2361,-0.12068727268197996
target,Gtf2h1.3,2361,-0.12068727268197996
target,Uhrf1.1,2311,-0.12178825253991399
target,Scml4.2,2286,-0.122338742468881
target,Jmjd8.3,2282,-0.12242682085751572
target,Tet3.4,2258,-0.12295529118932405
target,Cbx2.1,2198,-0.12427646701884487
target,Trim33.3,2181,-0.12465080017054245
target,Sp100.3,2169,-0.12491503533644661
target,Whsc1.3,2149,-0.1253554272796202
