x,bc_10
Total reads,9708885
Target percentage,79.42319844142762
Control percentage,2.6555263554980826
Contaminant percentage,17.9212752030743
No.1 Target,Psip1.2: 379612
No.2 Target,Kdm5a.2: 246158
No.3 Target,Morf4l1.2: 234862
Top 3 target %,11.160939667936134
No.1 Control,Bcl6: 103848
No.2 Control,CDK9.1: 35719
No.3 Control,CD4.4: 24506
Top 3 control %,63.63809139638976
No.1 Contaminant,Baz2b.2: 554235
No.2 Contaminant,Bop1.3: 249430
No.3 Contaminant,Supt16h.4: 109210
Top 3 contaminant %,52.46540717121583
