x,bc_12
Total reads,9942378
Target percentage,57.71439186882655
Control percentage,8.21638445048056
Contaminant percentage,34.069223680692886
No.1 Target,Tet3.2: 1204129
No.2 Target,Zmynd11.3: 998926
No.3 Target,Smarcb1.2: 609243
Top 3 target %,49.010252897127884
No.1 Control,Ccnt1: 363088
No.2 Control,Nfatc3.2: 97052
No.3 Control,Ms4a1: 78146
Top 3 control %,65.89342199328195
No.1 Contaminant,Rbbp7.1: 1416745
No.2 Contaminant,Brdt.1: 383520
No.3 Contaminant,Prdm2.3: 229222
Top 3 contaminant %,59.9147519359866
