x,bc_4_firstrun
Total reads,981636
Target percentage,27.6409993113537
Control percentage,65.72680708531472
Contaminant percentage,6.63219360333158
No.1 Target,Chd1.1: 27810
No.2 Target,Asxl2.4: 23895
No.3 Target,Cbx3.4: 11857
Top 3 target %,23.425740968695408
No.1 Control,CDK9.1: 289346
No.2 Control,Bcl6: 143525
No.3 Control,Bcl6.2: 108491
Top 3 control %,83.90633572949699
No.1 Contaminant,Prmt5.3: 28216
No.2 Contaminant,Prdm1.4: 8110
No.3 Contaminant,Kdm1a.1: 3061
Top 3 contaminant %,60.4985868763824
