x,bc_9_firstrun
Total reads,5119738
Target percentage,5.850592354530642
Control percentage,92.56196313170713
Contaminant percentage,1.5874445137622275
No.1 Target,Psip1.2: 10715
No.2 Target,Mll3.2: 9481
No.3 Target,Prmt8.4: 9302
Top 3 target %,9.84793095965413
No.1 Control,Ccnt1.2: 2001808
No.2 Control,Ccnt1.3: 1398990
No.3 Control,Ccnt1.4: 470504
Top 3 control %,81.69147887814337
No.1 Contaminant,Baz2b.2: 26000
No.2 Contaminant,Bop1.3: 22002
No.3 Contaminant,Smarce1.4: 6325
Top 3 contaminant %,66.84507770108154
