x,bc_10_firstrun
Total reads,3266893
Target percentage,77.36387448257412
Control percentage,3.134874634706432
Contaminant percentage,19.501250882719454
No.1 Target,Psip1.2: 73665
No.2 Target,Kdm5a.2: 72186
No.3 Target,Morf4l1.2: 67522
Top 3 target %,8.44240809212648
No.1 Control,Bcl6: 37818
No.2 Control,CDK9.1: 14713
No.3 Control,Ccnt1: 11396
Top 3 control %,62.420786423598564
No.1 Contaminant,Baz2b.2: 195432
No.2 Contaminant,Bop1.3: 178470
No.3 Contaminant,Supt16h.4: 34016
Top 3 contaminant %,64.02881876044798
