shRNA,count
Actb,3
Actl6a,307
Actl6b.1,1
Actl6b.2,0
Actl6b.3,1
Actl6b.4,0
Aff1.1,0
Aff1.2,0
Aff1.3,121
Aff1.4,1
Aff4.1,0
Aff4.2,0
Aff4.3,3
Aff4.4,0
Arid1a.1,10137
Arid1a.2,1266
Arid1b.1,149
Arid1b.2,5354
Arid1b.3,6892
Arid2.1,158
Arid2.2,2
Arid2.3,1
Arid2.4,0
Ash1l.1,0
Ash1l.2,0
Ash1l.3,0
Ash1l.4,1
Ash2l.1,0
Ash2l.2,1548
Ash2l.3,2
Ash2l.4,64
Asxl1.1,2
Asxl1.2,0
Asxl1.3,0
Asxl1.4,1
Asxl2.1,2
Asxl2.2,5
Asxl2.3,2269
Asxl2.4,0
Asxl3.1,359
Asxl3.2,1
Asxl3.3,3
Asxl3.4,0
Atad2.1,4
Atad2.2,0
Atad2.3,0
Atad2.4,0
Atad2b.1,3
Atad2b.2,4
Atad2b.3,0
Atad2b.4,0
Atm.1,2
Atm.2,0
Atm.3,0
Atm.4,1
Atr.1,0
Atr.2,3
Atr.3,0
Atr.4,0
Atrx.1,0
Atrx.2,2
Atrx.3,34837
Atrx.4,1
Aurkb.1,19
Aurkb.2,0
Aurkb.3,0
Aurkb.4,1
Baz1a.1,0
Baz1a.2,25026
Baz1a.3,0
Baz1a.4,0
Baz1b.1,0
Baz1b.2,1
Baz1b.3,26
Baz1b.4,0
Baz2a.1,1
Baz2a.3,0
Baz2a.4,0
Baz2b.1,0
Baz2b.2,1
Baz2b.3,0
Baz2b.4,1
Bcl6,58093
Bcl6.2,46977
Bcl6.3,5607
Bmi1.1,2
Bmi1.2,149
Bmi1.3,1
Bmi1.4,0
Bop1.1,0
Bop1.2,0
Bop1.3,0
Bop1.4,0
Bptf.1,0
Bptf.2,0
Bptf.3,0
Bptf.4,0
Brd1.1,0
Brd1.2,0
Brd1.3,1
Brd1.4,0
Brd2.1,0
Brd2.2,1827
Brd2.3,4
Brd2.4,0
Brd3.1,0
Brd3.2,3813
Brd3.3,1
Brd3.4,0
Brd4.1,0
Brd4.2,0
Brd4.3,1
Brd4.4,2
Brd7.1,143
Brd7.2,0
