type,shRNA,count
target,Tet3.2,2262053
target,Zmynd11.3,818587
target,Smarcb1.2,635813
target,Sp100.1,270382
target,Setd5.2,176224
target,Taf1.2,82077
target,Tet2.3,80510
target,Setdb1.2,80357
target,Sin3a.2,78344
target,Smyd4.1,75363
target,Usp27x.1,71060
target,Setd5.4,61176
target,Sp140.1,58780
target,Smarcc2.4,57496
target,Ube2b.4,56369
target,Wdr82.2,56211
target,Supt16h.4,52645
target,Setdb1.1,48765
target,Whsc1l1.4,43875
target,Trim24.3,42933
target,Ube2b.1,38153
target,Trim28.2,34839
target,Setd2.4,34553
target,Trim24.4,34434
target,Suv39h1.2,33729
target,Taf3.1,33304
target,Satb1.2,32544
target,Smarca1.2,30298
target,Smyd4.2,28862
target,Satb1.3,28748
target,Scml2.2,28604
target,Ube2a.1,27955
target,Usp51.3,26625
target,Suv39h2.1,25992
target,Setmar.2,24720
target,Usp22.2,22727
target,Usp51.1,19453
target,Suv39h1.4,19252
target,Sp110.1,17485
target,Usp51.2,17197
target,Trim24.2,16318
target,Smarca5.4,16101
target,Whsc1l1.2,15726
target,Sirt1.1,15668
target,Smarcd1.4,15562
target,Sp140.3,15401
target,Smarcd1.1,15367
target,Ube2e1.3,15257
target,Tet2.2,15175
target,Usp22.1,14781
target,Trim28.3,14733
target,Trim33.4,14382
target,Tcea1.4,14371
target,Usp27x.4,14105
target,Setd2.2,12956
target,Uhrf1.1,12719
target,Scmh1.3,12625
target,Whsc1.4,12536
target,Sirt3.3,12468
target,Sirt7.1,12077
target,Zmynd11.4,11647
target,Smyd1.3,11514
target,Setd1a.2,11349
target,Sfmbt1.4,10458
target,Smarca1.1,10317
target,Ube2i.4,10070
target,Suz12.3,9737
target,Usp27x.2,9696
target,Suv420h1.2,9201
target,Rpa3.4,8993
target,Trim33.1,8702
target,Tcea1.3,8622
target,Ube2b.3,8595
target,Smarce1.3,8341
target,Smyd4.4,8172
target,Tet2.4,7967
target,Setdb1.3,7760
target,Smyd5.3,7530
target,Setd3.3,7351
target,Setdb2.2,7150
target,Sfmbt1.3,6957
target,Smarca2.2,6863
target,Smarcc1.3,6855
target,Usp22.3,6653
target,Sgk1.1,5939
target,Wdr5.4,5924
target,Smarcd2.1,5892
target,Setdb2.3,5699
target,Smarca1.3,5297
target,Sp100.2,5286
target,Ube2a.2,5274
target,Setd4.2,5263
target,Sirt1.2,4949
target,Uhrf1.2,4947
target,Setd1a.4,4854
target,Smarcc1.1,4816
target,Scml4.1,4720
target,Wdr82.4,4581
target,Zmynd11.2,4463
target,Sp100.4,4449
target,Scml2.3,4445
target,Usp22.4,4438
target,Whsc1.1,4407
target,Taf3.3,4401
target,Trim33.3,4147
target,Setd2.3,4020
target,Sirt7.2,3994
target,Whsc1.3,3946
target,Setd4.4,3935
target,Suv420h1.3,3930
target,Sirt1.3,3751
target,Trim33.2,3659
target,Zmynd11.1,3628
target,Smarcd1.2,3557
target,Smyd5.1,3541
target,Smarce1.2,3440
target,Smarca2.3,3147
target,Scmh1.2,3147
target,Tdg.2,3064
target,Sfmbt1.1,3052
target,Sirt3.4,3052
target,Scml4.2,3016
target,Setd8.3,2999
target,Smarcd2.2,2975
target,Setmar.1,2941
target,Smarcd2.3,2845
target,Setd3.1,2701
target,Trim66.3,2677
target,Tdg.3,2609
target,Smyd2.2,2594
target,Trim66.1,2543
target,Sirt4.4,2524
target,Trim28.1,2447
target,Usp51.4,2395
target,Wbp7.4,2353
target,Suv39h1.3,2267
target,Usp27x.3,2254
target,Sirt7.4,2227
target,Uhrf1.3,2182
target,Tet1.3,2103
target,Wdr82.3,2089
target,Sp100.3,2087
target,Supt16h.1,2026
target,Taf1.4,2015
target,Smarca4.2,1954
target,Smarce1.4,1903
target,Zmynd8.3,1833
target,Suz12.1,1733
target,Setdb1.4,1728
target,Smarce1.1,1683
target,Sp140.2,1676
target,Suv39h2.4,1667
target,Suv39h2.2,1632
target,Scmh1.1,1618
target,Ssrp1.1,1599
target,Smarcc2.3,1587
target,Sirt1.4,1499
target,Smarca1.4,1487
target,Tet1.4,1444
