x,bc_1
Total reads,8214750
Target percentage,88.5661036550108
Control percentage,1.5556772878054719
Contaminant percentage,9.878219057183726
No.1 Target,Asxl3.1: 2523955
No.2 Target,Jhdm1d.1: 802334
No.3 Target,Hdac2.1: 389960
Top 3 target %,51.07906223146117
No.1 Control,Hes1.3: 18237
No.2 Control,Ms4a1: 15407
No.3 Control,Hes1.2: 11458
Top 3 control %,35.2924605813999
No.1 Contaminant,Prkaa2.2: 338252
No.2 Contaminant,Sirt1.4: 112803
No.3 Contaminant,Phf20.3: 54007
Top 3 contaminant %,62.24030187153946
