shRNA,count
Actb,1
Actl6a,45
Actl6b.1,0
Actl6b.2,9348
Actl6b.3,2844
Actl6b.4,9050
Aff1.1,26
Aff1.2,5
Aff1.3,4948
Aff1.4,84
Aff4.1,0
Aff4.2,2
Aff4.3,1576
Aff4.4,523
Arid1a.1,1
Arid1a.2,0
Arid1b.1,0
Arid1b.2,0
Arid1b.3,8
Arid2.1,9275
Arid2.2,11550
Arid2.3,0
Arid2.4,5532
Ash1l.1,1425
Ash1l.2,983
Ash1l.3,368
Ash1l.4,3415
Ash2l.1,4114
Ash2l.2,5924
Ash2l.3,63
Ash2l.4,0
Asxl1.1,17
Asxl1.2,28
Asxl1.3,369
Asxl1.4,5618
Asxl2.1,9516
Asxl2.2,945
Asxl2.3,7352
Asxl2.4,187269
Asxl3.1,157129
Asxl3.2,10377
Asxl3.3,10186
Asxl3.4,728
Atad2.1,8
Atad2.2,5028
Atad2.3,4956
Atad2.4,10320
Atad2b.1,7895
Atad2b.2,238
Atad2b.3,3312
Atad2b.4,4896
Atm.1,2670
Atm.2,1179
Atm.3,23279
Atm.4,987
Atr.1,3757
Atr.2,4317
Atr.3,12540
Atr.4,2464
Atrx.1,81
Atrx.2,698
Atrx.3,13696
Atrx.4,5565
Aurkb.1,14136
Aurkb.2,97
Aurkb.3,0
Aurkb.4,476
Baz1a.1,8132
Baz1a.2,775
Baz1a.3,0
Baz1a.4,6908
Baz1b.1,8474
Baz1b.2,87091
Baz1b.3,12330
Baz1b.4,655
Baz2a.1,1150
Baz2a.3,0
Baz2a.4,210
Baz2b.1,65065
Baz2b.2,8349
Baz2b.3,2422
Baz2b.4,7033
Bcl6,10900
Bcl6.2,45187
Bcl6.3,8
Bmi1.1,1646
Bmi1.2,3293
Bmi1.3,1168
Bmi1.4,34973
Bop1.1,0
Bop1.2,130
Bop1.3,0
Bop1.4,0
Bptf.1,285
Bptf.2,508
Bptf.3,5766
Bptf.4,331
Brd1.1,1857
Brd1.2,20055
Brd1.3,746
Brd1.4,1064
Brd2.1,780
Brd2.2,1102
Brd2.3,2828
Brd2.4,37
Brd3.1,0
Brd3.2,21739
Brd3.3,1410
Brd3.4,0
Brd4.1,126
Brd4.2,24
Brd4.3,0
Brd4.4,829
Brd7.1,0
Brd7.2,0
Brd7.3,2
Brd8.1,215
Brd8.2,6061
Brd8.3,10642
Brd8.4,3002
Brd9.2,189
Brd9.3,4596
Brd9.4,0
Brdt.1,5
Brdt.2,0
Brdt.3,1
Brpf1.1,0
Brpf1.2,12088
Brpf1.3,3282
Brpf1.4,1298
Brpf3.1,2883
Brpf3.2,0
Brpf3.3,487
Brpf3.4,230
Brwd1.1,25152
Brwd1.2,8
Brwd1.3,807
Brwd1.4,4266
Brwd3.1,17411
Brwd3.2,27413
Brwd3.3,473
Carm1.1,40
Carm1.2,7750
Carm1.3,541
Carm1.4,1341
Cbx1.1,9173
Cbx1.2,35839
Cbx1.3,196
Cbx1.4,15450
Cbx2.1,890
Cbx2.2,13417
Cbx2.3,3
Cbx3.1,95554
Cbx3.2,0
Cbx3.3,26934
Cbx3.4,70377
Cbx4.1,2469
Cbx4.2,43316
