,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 7,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:32:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Hdac7.1,B02,Sample,13683,822,1203,2983,1674.180009,1337.758873,989.1074143,104.6292841,413.92687,188.4961548,43.92307124,24.93917275,40.98088113,29.36640965,21.31236443,4323.868575,536.3365644,516.2693468,3702.937934,93.18734793,48.46217789,46.96614147,90.08947939,42.70072993,33.74896093,34.52899765,39.84544469,429.6614067,131.4796619,107.0173645,443.9343037
B03,Ing4.1,B03,Sample,12860,3029,2799,918,1489.010973,1105.892893,998.1680079,98.08922628,438.7622732,307.6988475,82.9781005,30.37306042,36.08431583,30.17429194,21.30977131,4659.567237,528.8999548,467.1180204,3772.727818,94.61868603,48.76741693,42.04793028,89.52182952,55.9590624,39.51411218,30.61002179,41.51767152,677.2244508,119.4044044,85.4508263,448.1397936
B04,Ing5.1,B04,Sample,13046,2430,2547,1410,1586.676535,1178.620697,917.1606916,82.68850941,501.4548066,196.7792244,70.85724416,23.04526749,29.76050255,33.75886525,22.57740249,4492.645308,451.3966068,531.994339,3468.442549,93.33333333,45.46525324,48.0141844,88.27905107,53.25102881,33.76521398,33.12056738,41.59630076,671.9929643,136.4300065,95.95203575,466.2069615
B05,Ing3.1,B05,Sample,10246,1244,1125,1390,1776.248654,1216.467701,1026.60229,104.5233316,336.5357914,224.8452852,64.41630557,27.25080386,36.97777778,32.15827338,22.32591529,5442.688272,645.5114264,562.2464827,3744.962392,94.77491961,50.93333333,47.41007194,89.91385499,60.53054662,41.86666667,33.81294964,42.51615219,600.6440961,141.8006611,111.0188087,498.0138808
B06,Hdac9.1,B06,Sample,13694,19,19,3159,1135.243319,1832.350719,1105.496579,44.42816365,2180.043951,367.0201434,65.44135571,52.63157895,31.57894737,30.1994302,22.37438112,3107.027431,251.5663524,555.2975616,4120.75875,84.21052632,42.10526316,48.11649256,91.49899926,31.57894737,31.57894737,30.70591959,43.06330981,439.2063946,259.8952728,114.6823369,516.2588241
B07,Jmjd4.1,B07,Sample,12174,1251,1621,1994,1670.109785,1474.334632,999.613693,92.86307864,648.1217924,249.1281794,54.41015877,24.54036771,36.08883405,31.99598796,21.87447977,5319.771038,728.8567368,564.3848953,3797.047559,95.60351719,51.81986428,47.64292879,89.31246879,46.52278177,33.25107958,30.94282849,45.94639587,634.7002034,159.2392328,108.1013979,566.3848423
B08,Jarid2.1,B08,Sample,12752,2865,2853,1177,1662.696197,1196.340483,1018.104188,117.3529326,564.8800525,285.1934914,69.5669371,32.18150087,43.46302138,34.40951572,23.13647423,5185.262262,643.0305859,640.3696408,4443.693544,95.81151832,50.64844024,50.55225149,91.43994691,61.60558464,39.57237995,28.03738318,48.48484848,675.7068584,129.7875347,108.4490247,615.8787295
B09,Hltf.1,B09,Sample,12714,2104,1762,1670,1919.301838,1700.047166,1084.113967,202.7345286,974.0742331,362.0887491,75.67385695,25.90304183,31.61180477,29.46107784,23.17825579,5623.049291,879.2059171,554.2082437,4337.884288,96.62547529,55.10783201,46.28742515,91.87927297,56.27376426,36.66288309,25.74850299,41.92096048,642.4231259,179.5324824,95.70815777,571.8123602
B10,Hdac8.1,B10,Sample,12865,3260,3097,857,1513.452934,824.6246571,966.4913805,107.158867,611.0309308,225.3606051,68.06024059,23.65030675,30.28737488,31.62193699,21.38126774,5754.119291,500.3165833,610.2158626,3716.643117,96.04294479,45.72166613,49.00816803,89.09649953,55.42944785,30.15821763,27.77129522,40.44465468,555.0441046,95.56785589,110.0686358,539.0837016
B11,Jhdm1d.1,B11,Sample,12465,1167,1240,2178,1559.851867,1117.801184,967.9530332,126.6304335,622.0737521,331.8900347,81.09832231,27.24935733,31.20967742,30.94582185,21.53159851,4518.481879,524.5498102,547.7305528,3982.860189,93.40188518,47.01612903,46.51056015,89.73977695,44.0445587,30.56451613,25.61983471,40.80297398,615.1780708,140.3283874,121.3111112,540.9368677
C02,Jarid2.2,C02,Sample,15772,181,674,4279,1591.382388,1677.107231,921.5697496,283.7141855,701.8332831,211.2710014,99.58020051,41.98895028,47.92284866,34.68100023,26.87046509,3979.323737,668.0304363,509.9427858,3400.611045,92.81767956,54.45103858,48.70296798,88.48578565,53.03867403,46.14243323,36.34026642,41.17996907,662.064772,214.9446306,105.8833751,439.863048
C03,Hells.1,C03,Sample,15012,4422,3648,736,1323.280898,902.3992301,896.3160871,65.49315486,233.7912264,164.9898443,80.99336838,25.98371777,33.00438596,28.94021739,18.52867261,4474.66093,618.1039699,503.2669321,2805.334362,94.02985075,50.43859649,47.41847826,84.50993831,49.20850294,36.84210526,32.60869565,34.06442769,643.6365648,133.6811083,98.41488315,359.4507988
C04,Hdac7.2,C04,Sample,13546,2420,2741,1430,1450.220847,1191.651263,893.8647394,74.68334758,287.8466614,140.8272533,52.81822285,26.73553719,36.37358628,33.42657343,24.4181751,4969.587711,581.5098566,641.8273802,3691.27203,94.54545455,51.22218169,52.65734266,89.47173993,55.04132231,38.78146662,36.22377622,45.5116365,629.8359451,130.904033,106.4111137,516.4977344
C05,Jhdm1d.2,C05,Sample,15093,822,1180,2968,1433.24269,1049.587284,898.3787169,42.71356278,216.476794,161.3272395,37.27124451,25.42579075,36.44067797,30.89622642,20.73555166,4692.321343,637.3781844,539.5640929,3611.865231,94.28223844,52.20338983,47.84366577,89.29363689,49.8783455,35.84745763,32.47978437,44.14477525,693.5545316,128.6658973,99.51016115,502.9500943
