,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 6,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:33:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
C04,Fbxw9.2,C04,Sample,9791,2072,1709,1070,1969.264682,1315.158502,1115.996094,160.1468891,1087.414632,380.1744296,66.55463008,26.15830116,30.83674664,27.75700935,24.13372377,4978.558577,334.8092834,472.9318416,4231.10419,92.90540541,39.20421299,43.8317757,90.58077111,46.33204633,30.01755413,32.42990654,47.36456808,417.5034269,106.8905593,113.5661136,602.7908971
C05,Hdac3.2,C05,Sample,7783,283,260,1934,1678.201042,893.5314104,1028.72893,579.475481,1345.647296,433.2742316,64.91036412,18.3745583,29.23076923,29.42088935,23.81153602,3752.054793,460.3509429,399.7366691,4552.893476,83.74558304,45.38461538,41.57187177,91.44305937,26.50176678,21.53846154,27.30093071,46.03845341,285.1424822,144.4191975,103.8939615,592.8351552
C06,Hdac10.1,C06,Sample,7249,631,801,1339,1790.488265,1150.272772,943.9508599,142.8036012,773.3111083,389.777018,61.12723244,26.30744849,29.83770287,28.97684839,23.29721362,4059.313684,281.9183222,340.7628448,4005.70561,87.63866878,37.9525593,38.23749066,89.21568627,37.71790808,25.34332085,26.73637043,48.11661507,443.8365135,100.4126575,92.40542592,591.2337369
C07,Hdac1.2,C07,Sample,7730,581,508,1554,1648.634301,1361.458862,1001.827824,90.27130561,842.1039669,465.5591774,73.84553317,18.93287435,25.59055118,29.85842986,20.73722298,4797.173703,373.6653957,308.3790146,4016.079826,94.49225473,41.33858268,39.63963964,89.93668024,43.88984509,24.80314961,26.70527671,46.44957033,475.4322856,107.9811071,95.3060283,535.6030805
C08,Gadd45a.2,C08,Sample,9306,945,838,1727,1762.178183,1172.270589,1151.472044,140.0110149,1125.733963,560.0324322,83.19569742,20.10582011,28.99761337,25.59351477,18.17113765,4663.687936,330.0365008,372.2223345,4188.554573,93.12169312,41.64677804,38.79559931,90.7773644,43.28042328,26.61097852,24.26172554,45.52574897,431.4540821,93.15830158,88.19897394,549.3732172
C09,Hdac4.1,C09,Sample,9831,432,480,2021,1194.307209,832.4512187,963.3134593,86.69328463,668.4379804,532.5762934,81.46150006,21.75925926,28.54166667,26.42256309,18.87510339,5118.077171,411.2229188,320.7915924,4044.25023,93.51851852,44.58333333,37.0113805,90.22332506,39.12037037,25.625,24.49282533,41.90239868,578.5702792,101.7145967,88.34971818,536.9156073
C10,Hcfc1.2,C10,Sample,7421,416,360,1387,1793.851702,1707.265417,1064.869385,350.9649749,2604.649599,670.5901662,88.30535946,25.96153846,29.72222222,22.85508291,19.27212572,3686.032225,265.2107798,295.129488,4290.240875,85.09615385,34.44444444,34.82335977,91.06699752,38.22115385,18.88888889,21.05263158,43.77584781,358.5091812,113.9688942,76.74722262,549.2981556
C11,Gtf3c4.1,C11,Sample,9356,317,310,1720,1346.799126,1334.129571,962.7382482,232.9152377,1439.156632,960.917827,172.2320519,22.08201893,28.06451613,21.56976744,17.42289682,3212.821578,220.8382063,237.2565534,3871.786988,85.48895899,38.06451613,33.08139535,88.61617956,31.54574132,23.22580645,17.79069767,35.03956079,389.7025057,106.1873747,88.56242702,504.4524728
D02,Fkbp1a.2,D02,Sample,7023,163,224,1779,1513.308423,1058.775934,994.2500872,63.42243419,354.2159473,307.3446744,60.19524495,27.60736196,30.80357143,31.59078134,28.25984991,4137.672538,306.0776268,504.5206554,3646.358284,92.02453988,37.5,45.58740866,88.20356473,49.69325153,21.875,31.81562676,36.63227017,591.9824092,93.2846179,120.2925005,488.1112047
D03,Hdac4.2,D03,Sample,6484,1178,1249,832,1781.866637,1143.564757,918.2608047,136.6929562,565.2373585,270.2006371,78.62256045,33.02207131,37.79023219,32.33173077,25.46082949,4657.505392,401.6155099,453.6256912,4123.380086,94.65195246,42.75420336,43.26923077,89.59293395,48.89643463,32.5060048,32.33173077,48.96313364,620.4058442,104.1655593,110.1478145,588.2760446
