,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 4,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:30:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Chd3.1,B02,Sample,9701,958,1699,1083,663.6669054,427.823598,404.0955989,90.36768985,178.3990584,124.8757558,81.75986641,28.91440501,27.89876398,25.11542013,15.37387836,1948.106853,378.9128992,263.4803553,1027.108039,79.74947808,35.96233078,31.57894737,57.26819541,25.36534447,17.01000589,22.16066482,15.81256231,335.3424968,114.9869007,92.01360491,166.2456846
B03,Cxxc1.1,B03,Sample,7940,805,792,959,406.8969259,211.0549099,330.7818718,84.43615403,93.71689171,117.4547976,82.88543745,21.73913043,23.98989899,27.42440042,15.40299804,1369.863409,182.4742495,217.4997684,1084.327739,67.57763975,22.34848485,27.11157456,59.63502064,22.98136646,12.5,20.4379562,17.46686943,247.9588281,71.71231787,85.1545996,181.9746081
B04,Dmap1.1,B04,Sample,11804,371,536,1952,363.1110268,279.7066755,248.1972478,59.00927554,71.02111171,89.24079017,96.23259473,31.80592992,27.6119403,27.04918033,14.07661957,1566.038203,197.6544033,169.5021486,687.5849319,69.54177898,27.05223881,23.20696721,43.9862543,13.47708895,14.55223881,13.93442623,10.754741,335.5678523,85.7856882,62.71530222,126.5762952
B05,Ctsl.1,B05,Sample,10685,198,246,2163,542.8535848,378.160638,374.006848,63.11647389,126.2614431,125.7226079,77.87979461,25.75757576,37.39837398,28.01664355,17.11612548,2396.894005,205.747007,238.5477243,1390.380959,85.35353535,34.14634146,31.94637078,67.61144744,18.18181818,16.2601626,18.63153028,22.55090809,307.4964191,75.71844093,81.85368365,233.4136334
B06,Chd5.1,B06,Sample,12986,1758,1667,1552,679.4245894,517.2568383,474.273709,57.54199359,125.6951292,149.2156263,66.71900418,17.2923777,26.81463707,26.67525773,14.65541893,2199.05961,272.557571,256.4005251,1473.227662,82.08191126,34.85302939,31.76546392,68.94480984,31.51308305,22.5554889,19.32989691,25.53617386,401.9911418,102.4256222,81.35405229,231.4107309
B07,Dot1l.1,B07,Sample,10071,2065,1496,996,1316.290405,849.934639,734.3545895,133.7942745,463.2392487,244.5426679,83.18644934,21.8401937,27.54010695,30.42168675,19.44329897,3770.472783,284.6110369,471.2313444,3155.78929,91.42857143,35.96256684,45.48192771,85.36082474,39.9031477,22.59358289,24.39759036,42.04123711,646.2875757,120.7160571,120.1985779,503.7764377
B08,Dnmt3a.1,B08,Sample,13362,1444,1441,1511,520.3240121,329.3760319,312.1428797,91.53171202,102.5428038,82.33230578,86.88948495,19.04432133,26.92574601,24.55327598,13.57929798,1759.646572,173.6714666,184.3754375,893.4669805,73.61495845,28.17487856,28.25943084,52.79272355,27.56232687,15.40596808,16.81005956,16.10299769,272.8462828,66.11861439,66.01992073,169.7544922
B09,Chd9.1,B09,Sample,14134,2691,2331,1203,585.9634291,436.3066561,367.8857952,83.27311002,129.1615015,85.25187142,70.35123742,20.28985507,31.14543115,29.17705736,16.3500374,1933.982722,224.9448707,250.2175575,1249.641698,77.03455964,33.29043329,33.00083126,63.11144353,30.88071349,19.99141999,23.44139651,23.94913987,282.0961841,79.51623474,78.80442339,224.2504445
B10,Chd4.1,B10,Sample,15631,815,711,2391,374.6756352,322.9528694,295.5356048,61.0752916,85.59678393,71.41859654,71.19013526,23.43558282,24.47257384,26.80886658,13.23901434,1225.576663,155.8220534,207.0541524,940.2465263,63.80368098,28.12939522,27.8126307,53.8086761,25.76687117,21.37834037,14.51275617,15.37524595,218.4177494,73.66132044,69.2316691,175.7645267
B11,Dnmt3b.1,B11,Sample,17597,2876,1969,1592,629.0903239,413.3387193,411.9343699,117.131736,183.3811288,123.0424804,90.93464758,14.15159944,22.75266633,21.98492462,14.44520615,2018.612722,189.6292323,280.5337602,1517.204689,77.78164117,29.96444896,34.86180905,69.18029576,32.05841446,19.04520061,20.66582915,26.93174028,308.1535403,68.22931039,73.51543424,267.9219089
C02,Dnmt3a.2,C02,Sample,12397,1092,1411,2257,1311.611501,743.8898297,677.5048682,146.7886956,431.7739981,268.2322419,104.4445339,17.85714286,18.2140326,18.3429331,14.10334347,4139.32884,234.9606906,301.4108285,2352.311098,92.21611722,32.03401843,35.17944174,81.09422492,44.41391941,28.98653437,27.73593265,35.18237082,390.9180164,92.68043973,104.8899578,344.8031476
C03,Chd6.1,C03,Sample,12509,1145,1616,2311,1070.925339,720.6401375,719.8527436,108.7366566,340.2308131,356.848338,108.6316361,28.29694323,30.01237624,24.96754652,20.797585,3634.099163,353.2333264,333.993303,2683.321932,92.13973799,40.16089109,34.74686283,82.66603114,38.86462882,25.68069307,23.06360883,36.27264061,531.1539204,122.2477203,101.5660688,362.364872
C04,Chd3.2,C04,Sample,12655,686,924,2573,968.2444268,631.3748599,612.3670947,104.4903421,250.3117215,195.0741514,94.99908922,24.34402332,31.6017316,27.51651768,21.2133606,3191.965732,321.9404535,357.2320601,2339.085456,89.79591837,41.77489177,39.56471045,80.61349693,42.71137026,28.57142857,28.21609017,35.61008862,494.5114888,116.2796052,104.449934,333.814563
C05,Dnmt3b.2,C05,Sample,10472,1140,1671,1420,976.2534971,705.5980049,682.9069171,102.5638714,160.5827006,289.0901772,103.4020367,19.03508772,19.92818671,23.23943662,16.12903226,3457.790351,397.7776069,307.138596,2128.140527,91.40350877,42.54937163,35.28169014,78.55469454,51.84210526,34.59006583,25.63380282,35.35772211,347.4448911,99.08489129,99.78149627,272.4203848
C06,Dnmt1.1,C06,Sample,14159,1790,1639,1680,469.6418176,320.2894199,323.6249789,79.70090369,132.6950511,107.2226045,90.43271804,14.74860335,23.42892007,20.83333333,10.56355825,1616.882671,188.5200572,214.633053,1010.091874,72.40223464,27.76082977,26.48809524,57.1392469,26.03351955,17.02257474,15.83333333,17.84179934,245.9740257,76.53669292,72.9954791,170.9169269
C07,Dmap1.2,C07,Sample,13115,1686,1275,2073,1174.750776,977.4438171,568.6426515,159.5994557,341.72368,192.8959934,115.4115812,19.75088968,24.8627451,26.00096479,18.61278143,3122.99959,312.4223213,361.5707555,2324.547783,87.06998814,40.54901961,41.34105162,81.10753741,37.72241993,23.21568627,26.24216112,37.46329185,407.7454609,106.8982967,91.87935648,349.0712849
C08,Chd5.2,C08,Sample,10611,761,838,1878,1353.559873,984.5322161,804.9449666,169.6168747,560.6918558,285.2124528,110.7609875,19.7109067,29.35560859,23.26943557,15.2259332,3618.833614,361.6111114,406.3231829,3085.605667,88.56767411,42.60143198,42.86474973,86.18205632,49.80289093,28.63961814,29.65921193,45.80877538,486.4758092,117.8467449,115.3852898,442.3284095
C09,Dnmt3l.1,C09,Sample,12610,1869,1598,1901,1192.851414,827.3806044,754.9178156,158.3963599,373.154029,297.0519259,121.9400039,21.08079187,27.40926158,25.35507628,17.63033175,3148.265821,307.0858829,337.4734078,2927.81851,89.19208133,40.30037547,40.71541294,85.41864139,46.86998395,28.97371715,25.8811152,43.49131122,479.5680383,85.75059378,88.03025577,407.6870587
