NA,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 2,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/22/2015,Export Time: 10:17:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
,Brd4.2,D08,Sample,9175,236,409,2499,628.4968041,600.9073812,792.8770113,122.0524222,395.7094429,266.3303357,66.99846563,56.3559322,53.78973105,35.93437375,26.89415847,1212.52676,203.8634919,386.6301952,2527.19176,68.6440678,31.5403423,42.21688675,81.10661269,44.06779661,32.27383863,31.37254902,36.39868903,1030.510978,118.1024815,100.9248368,401.5047341
,Bop1.2,D09,Sample,7657,1092,1198,1159,1438.670915,1015.401602,842.1680628,101.3550378,387.6302108,368.0010844,68.52643666,35.07326007,36.89482471,32.09663503,21.86711522,4500.355802,531.1662714,483.0321132,2342.769013,93.4981685,47.24540902,42.62295082,77.60022428,44.32234432,33.05509182,28.73166523,31.25876086,588.5876382,133.1415302,92.53597418,330.8100981
,Baz1a.3,D10,Sample,7908,1106,1556,1174,1756.828084,1082.947939,814.3779373,121.6940571,551.3305823,277.9257196,63.37951853,34.35804702,33.93316195,29.98296422,25.5850234,3778.977595,310.2359585,373.9287697,2751.514378,90.86799277,39.46015424,41.82282794,81.84087363,36.07594937,28.27763496,31.51618399,35.75663027,490.7746085,113.6873585,100.7653514,424.2103067
,Brpf3.2,D11,Sample,8451,329,513,2152,1456.809824,1097.271148,779.6550981,62.69049528,357.3735538,321.2476064,67.25976125,38.90577508,39.5711501,29.36802974,24.58982347,4190.77115,442.4344407,350.2681356,2527.111577,92.09726444,41.91033138,37.68587361,79.97923157,42.85714286,30.99415205,27.83457249,31.11111111,639.7942325,129.299003,94.29718832,386.0510773
,Bptf.2,E02,Sample,9570,151,269,2318,1371.79095,723.3413845,826.2313497,54.62598385,371.3492584,342.6642352,72.65904852,21.19205298,25.27881041,26.31578947,17.90534768,4084.91236,396.2672412,360.3731432,2409.754179,93.37748344,42.75092937,40.89732528,79.63437553,43.70860927,28.99628253,31.14754098,34.05091406,629.712652,114.4184853,109.8499824,358.5401098
,Brd1.2,E03,Sample,9705,707,1113,1856,1404.863559,1065.198831,815.0037997,134.8526971,506.0050889,282.8430153,77.42827399,31.40028289,34.86073675,29.74137931,18.88338415,3750.879007,324.260577,395.9779319,2551.838617,91.23055163,40.25157233,41.75646552,81.91692073,60.3960396,45.28301887,31.41163793,39.69131098,697.7616261,138.2730622,104.5040143,392.2183259
,Baz1a.4,E04,Sample,9035,1717,2237,632,1432.74286,909.8424079,783.444518,86.54166522,400.2906098,247.5670441,104.5937582,33.48864298,35.2704515,28.48101266,14.33576642,3346.524179,258.5668277,377.1243675,1666.85604,90.33197437,37.55029057,38.44936709,71.21167883,38.20617356,27.08985248,30.69620253,28.46715328,465.7044643,87.8129761,93.85181,221.8712327
,Brd8.3,E05,Sample,10089,333,335,2473,1373.410338,786.4059339,766.7205881,27.0797959,177.7031239,283.7289991,73.4855693,38.13813814,32.8358209,30.00404367,21.93233462,4709.66795,562.2768291,451.7138693,2789.661794,95.1951952,53.73134328,44.96562879,83.72327891,58.55855856,42.3880597,29.47836636,37.77141895,956.2315896,125.6491358,105.3851138,411.8644293
,Brd3.3,E06,Sample,9972,612,829,2458,1062.126799,939.2172267,781.5168167,52.30235411,347.4088748,316.3150485,67.67408039,41.0130719,40.41013269,31.28559805,24.18350009,3010.789483,331.4931574,371.8559923,3075.126648,87.09150327,40.53075995,41.37510171,85.40683406,47.22222222,37.03256936,31.40764849,44.70454975,956.661628,142.1449435,95.87036933,448.8170116
,Bmi1.2,E07,Sample,9308,497,770,2534,1561.489121,1051.25045,1001.196288,78.20799897,572.5794466,299.5121714,66.15936364,31.58953722,31.2987013,26.63772691,20.44462913,4233.642275,433.9776652,421.3618689,3281.525214,93.9637827,46.23376623,43.40962904,86.64034905,50.9054326,41.68831169,40.09471192,49.17930605,832.9954778,145.4541166,114.5418114,516.124428
,Baz1b.3,E08,Sample,7108,759,1380,1112,1472.413733,955.1659038,898.3561005,184.4473608,435.6919665,424.6037157,78.86210252,27.66798419,26.15942029,28.86690647,20.3811866,4393.273476,633.8900732,354.129706,2850.105851,92.49011858,50.43478261,38.75899281,83.36919766,50.72463768,30,27.3381295,35.87457731,454.9249147,96.33546061,84.56325469,329.6705362
,Brd9.3,E09,Sample,7195,1115,1534,909,1199.628826,675.4029812,804.319517,84.02008206,238.9942852,352.638944,74.32668257,26.8161435,29.726206,23.65236524,17.42219215,4544.057417,552.4885947,324.7389781,2422.315057,93.99103139,48.50065189,36.30363036,79.8037889,41.97309417,28.87874837,26.51265127,32.07036536,491.1159211,97.95777754,79.24201924,320.6373607
,Brd4.3,E10,Sample,8003,831,845,1427,713.4624164,750.912874,870.7080424,154.600984,702.019592,487.4279297,81.23373326,53.30926594,48.99408284,25.92852137,20.46276211,731.7547658,113.1724016,331.9011017,2761.581306,52.46690734,28.16568047,38.89278206,82.67052302,36.58243081,31.71597633,26.90960056,34.92407809,882.8572985,159.7961915,94.39753089,392.7037373
,Bop1.3,E11,Sample,8590,1444,1660,921,1402.016309,910.9277698,760.0608519,97.5959651,575.3565236,259.7053054,62.45854502,29.15512465,32.10843373,31.05320304,20.46943231,3601.277791,247.6851292,429.4364383,2512.933732,90.37396122,36.08433735,40.39087948,80.2128821,38.50415512,26.3253012,31.9218241,32.06877729,360.6504336,90.69696403,102.1545956,336.4409092
,Baz2a.3,F02,Sample,10027,771,868,1747,1356.797477,967.029752,821.8583497,109.7770035,566.5432931,411.1691503,88.45912607,16.60181582,26.84331797,23.6977676,15.28519731,3360.93698,328.4664549,345.6222513,2495.810723,90.40207523,38.01843318,37.72180882,82.19886266,32.16601816,28.4562212,25.41499714,32.51766328,334.9457427,102.5732377,85.74140747,309.2560269
,Brpf3.3,F03,Sample,10013,1914,1796,1069,1425.249553,890.0755863,758.6227308,77.27566279,366.0880297,259.7015106,78.37567423,25.75757576,28.9532294,24.97661366,18.00643087,4372.670339,456.0783803,398.5622171,2404.104751,93.93939394,45.87973274,41.81478017,79.90353698,48.58934169,33.90868597,32.36669785,36.97749196,658.4251481,122.0625218,93.84131914,351.7310394
,Brd3.4,F04,Sample,10536,40,46,3067,1486.696246,1057.300487,828.7394884,84.00600806,216.0167835,243.3046219,72.12915087,27.5,26.08695652,29.01858494,20.1065449,4575.200553,937.4906422,440.1020971,2696.24337,90,60.86956522,42.97358983,83.72907154,50,39.13043478,32.08346919,39.25418569,548.7475446,233.1640079,105.4905077,398.8417574
,Bmi1.3,F05,Sample,8767,540,857,1856,1342.157252,810.859664,768.3581039,101.0525893,330.3288179,348.0068605,76.26443483,32.59259259,28.58809802,26.93965517,20.30138133,3749.487539,381.1575635,397.0254288,2582.893314,93.14814815,41.77362894,39.97844828,82.67057346,50.37037037,30.80513419,29.41810345,41.43993303,619.9975141,113.5774273,94.73018643,395.4917436
,Baz2b.3,F06,Sample,8569,1236,1304,1217,1484.262507,1062.400617,725.97764,56.39446146,263.6940408,278.62949,64.15997743,25.3236246,31.28834356,32.21035333,20.88047221,5091.562741,568.3300112,380.0930779,2323.855798,95.22653722,51.76380368,39.03040263,78.4800787,55.01618123,36.88650307,24.65078061,35.41564191,685.0767615,134.5699036,100.2593194,348.3709467
,Brd8.4,F07,Sample,9025,2363,2090,740,1193.956433,745.8021746,863.5462669,47.65850458,337.8874442,277.2486166,67.37082158,24.54506983,26.31578947,22.97297297,18.15235008,4907.415652,408.7763251,429.8106804,2437.28881,93.77909437,41.19617225,39.59459459,80.64829822,41.72661871,28.80382775,27.7027027,36.27228525,433.4653295,91.87900204,95.99779104,338.6909767
,Brd1.3,F08,Sample,7908,1192,1697,1098,1365.442877,845.7176325,747.1771323,92.20238115,340.8855484,247.3296342,66.64533688,36.9966443,40.3064231,31.23861566,25.63011457,3891.017571,299.1205776,381.6603416,2476.083385,90.8557047,40.77784325,40.61930783,80.49099836,54.02684564,36.82969947,31.51183971,37.67594108,631.344408,112.3839704,97.00726066,379.0639667
,Bptf.3,F09,Sample,8865,1206,1085,1727,1623.721961,1055.373648,834.3436975,82.90884163,405.4308702,277.6743213,59.75495948,26.94859038,32.35023041,32.36826867,27.23487632,4854.776542,450.6148854,465.2478374,2962.147305,92.039801,45.52995392,42.44354372,84.17830027,27.28026534,28.11059908,32.77359583,36.73769287,456.9925608,125.0289441,102.5903752,438.763478
,Baz2b.4,F10,Sample,7606,1134,1226,1195,1483.002754,844.6284476,805.6854431,92.01641745,278.9889398,337.4427112,75.62854341,20.37037037,24.8776509,19.16317992,17.5985874,4316.714717,413.9270539,341.4940727,2720.130247,93.65079365,43.63784666,38.41004184,82.87227781,46.91358025,37.19412724,33.22175732,35.60918187,614.0971253,117.7954005,93.19008932,382.8082465
,Brd9.4,F11,Sample,7879,1020,1147,1190,1434.71498,794.1061392,833.2637297,105.5681576,482.7737913,339.0626736,60.3394419,30,33.39145597,29.32773109,20.4218107,4051.451053,221.3025024,315.1168958,2718.345305,92.05882353,31.29904098,37.64705882,81.94444444,31.96078431,18.91891892,28.40336134,33.12757202,390.5453155,87.64424481,95.34095183,393.2703603
,Brd4.4,G02,Sample,8858,524,499,1394,755.4860701,730.2416829,859.5942561,146.3495304,290.8666536,442.9442862,105.575174,49.80916031,47.09418838,22.02295552,17.00122185,1294.020368,188.6870878,388.8435974,2218.563339,65.26717557,30.06012024,39.52654232,77.88444755,43.70229008,34.66933868,28.98134864,32.64094955,832.0300428,144.9432392,107.5547981,347.5508893
,Bptf.4,G03,Sample,12944,2665,2622,1135,1404.788268,938.7172261,723.5968237,43.87178789,191.9708304,235.6429714,73.4791504,26.00375235,30.09153318,26.16740088,16.20657277,4482.976859,700.5333304,438.027836,2128.711111,93.77110694,53.73760488,42.64317181,78.44131455,46.79174484,34.32494279,31.18942731,32.41314554,644.7152049,146.1655583,98.56896663,296.9899262
,Baz1b.4,G04,Sample,11800,1224,1823,1588,1325.871412,747.2426145,799.0754031,79.66218344,307.6145694,207.1607091,63.23186731,27.94117647,30.27975864,30.35264484,19.09287977,3308.471328,278.9364538,489.6150293,2440.406315,88.88888889,39.8793198,45.27707809,80.04002001,55.39215686,35.76522216,34.76070529,36.70168418,664.8568375,92.04296472,123.4805068,397.2730971
,Brpf3.4,G05,Sample,10588,1406,2013,1332,1400.639715,846.8432619,716.6437542,86.37138287,331.7755697,203.5101897,72.2317654,25.39118065,29.75658222,27.1021021,18.49627175,4118.792315,542.6129047,413.3851784,2258.887715,91.32290185,48.58420268,42.04204204,79.16321458,47.86628734,32.33979136,30.18018018,33.84424192,584.6657145,120.3565818,90.34732772,344.6339679
,Brpf1.4,G06,Sample,10346,450,783,2422,1364.590908,861.1581241,745.9459539,74.91068078,337.2220605,298.2904657,64.03362911,24.88888889,27.07535121,25.59867878,20.80884895,4346.552171,399.5749813,396.5026931,2926.305742,93.55555556,44.82758621,42.6507019,83.7538887,46.44444444,35.24904215,32.49380677,40.83995852,560.9236039,114.764315,114.1347035,436.6741065
,Bmi1.4,G07,Sample,10488,1280,1561,1607,1453.324703,911.5794348,883.8782489,79.41997548,389.8860727,290.0233348,62.09072888,32.1875,25.88084561,27.8780336,19.81531358,4329.188957,475.2350949,379.9090386,2448.529692,93.984375,45.41960282,40.13690106,80.33859177,40,28.57142857,31.05164904,36.36013851,541.9294453,102.5842626,91.42638613,372.8044869
,Baz2a.4,G08,Sample,9758,1229,1547,1450,1402.168559,833.3790022,734.8310778,68.84367749,312.4728924,210.5060698,66.2180115,27.6647681,31.22171946,29.79310345,19.14341337,4163.643817,380.1289956,400.7451989,2291.593032,92.83970708,43.89140271,42.34482759,78.26086957,42.06672091,31.67420814,32.34482759,33.39822626,482.5974984,102.7480724,98.41013919,344.8507546
,Brd2.4,G09,Sample,9484,1076,1432,1576,890.7281385,520.9969618,691.8266972,68.52056822,186.4087889,344.2861645,58.09242095,28.1598513,29.60893855,25.31725888,19.45945946,4037.491836,450.3271626,356.9678693,2528.597203,92.37918216,44.27374302,38.3248731,80.90810811,50,39.17597765,25.31725888,32.64864865,677.7407526,116.678908,96.2590767,384.3572884
,Bop1.4,G10,Sample,9460,390,594,2276,1335.940697,797.4703745,751.7919366,56.29899054,269.2626121,278.9619226,61.46899902,31.02564103,29.7979798,27.15289982,20.36275243,4683.903101,364.6541945,342.7126774,2655.37855,94.1025641,44.78114478,40.55360281,81.88107704,44.35897436,35.69023569,30.79964851,34.68586387,785.8073501,124.5606671,95.42614573,388.4986256
,Brd1.4,G11,Sample,9283,355,525,2315,1539.485319,840.9636081,775.8686003,186.0081893,436.9828345,388.666555,102.144028,18.02816901,23.80952381,20.47516199,16.14471893,3673.39847,316.642241,301.4750257,2659.797009,88.16901408,42.28571429,37.10583153,82.57148415,44.78873239,37.33333333,32.52699784,36.29644038,529.0240377,122.9565444,101.5777497,418.8756497
